Company name,Exchange,Ticker
Emerita Resources Corp.,TSXV,EMO
Entree Resources Ltd.,TSX,ETG
Erdene Resource Development Corporation,TSX,ERD
Euro Sun Mining Inc.,TSX,ESM
Excellon Resources Inc.,TSXV,EXN
Falco Resources Ltd.,TSXV,FPC
First Mining Gold Corp.,TSX,FF
Freegold Ventures Limited,TSX,FVL
Fury Gold Mines Limited,TSX,FURY
G Mining Ventures Corp.,TSX,GMIN
G2 Goldfields Inc.,TSX,GTWO
Galleon Gold Corp.,TSXV,GGO
Golconda Gold Ltd.,TSXV,GG
Gold Terra Resource Corp.,TSXV,YGT
Gold X2 Mining Inc.,TSXV,AUXX
GoldMining Inc.,TSX,GOLD
Goldgroup Mining Inc.,TSXV,GGA
GoldQuest Mining Corp.,TSXV,GQC
Goldsky Resources Corp.,TSXV,GSKR
Gunnison Copper Corp,TSX,GCU
Harfang Exploration inc.,TSXV,HAR
Heliostar Metals Ltd.,TSXV,HSTR
Helius Minerals Limited,TSXV,HHH
Highlander Silver Corp.,TSX,HSLV
International Tower Hill Mines Ltd.,TSX,ITH
Kincora Copper Limited,TSXV,KCC
Kodiak Copper Corp.,TSXV,KDK
Koryx Copper S.A.,TSXV,KRY
Lahontan Gold Corp.,TSXV,LG
Lavras Gold Corp.,TSXV,LGC
Lion One Metals Limited,TSXV,LIO
Luca Mining Corp.,TSXV,LUCA
Majestic Gold Corp.,TSXV,MJS
Maple Gold Mines Ltd.,TSXV,MGM
Marimaca Copper Corp.,TSX,MARI
Mayfair Gold Corp.,TSXV,MFG
Meridian Mining plc,TSX,MNO
Metallic Minerals Corp.,TSXV,MMG
Minsud Resources Corp.,TSXV,MSR
Monument Mining Limited,TSXV,MMY
NGEx Minerals Ltd.,TSX,NGEX
NeXGold Mining Corp.,TSXV,NEXG
Nevgold Corp.,TSXV,NAU
New Found Gold Corp.,TSXV,NFG
Newcore Gold Ltd.,TSXV,NCAU
Northwest Copper Corp.,TSXV,NWST
NovaGold Resources Inc.,TSX,NG
Omai Gold Mines Corp.,TSXV,OMG
Oroco Resource Corp.,TSXV,OCO
Orosur Mining Inc.,TSXV,OMI
Orvana Minerals Corp.,TSX,ORV
Osisko Development Corp.,TSXV,ODV
Osisko Metals Incorporated,TSX,OM
P2 Gold Inc.,TSXV,PGLD
PPX Mining Corp.,TSXV,PPX
Pan American Silver Corp.,TSX,PAAS
Patagonia Gold Corp.,TSXV,PGDC
Perpetua Resources Corp.,TSX,PPTA
RTG Mining Inc.,TSX,RTG
Regulus Resources Inc.,TSXV,REG
Revival Gold Inc.,TSXV,RVG
Roxmore Resources Inc.,TSXV,RM
Rua Gold Inc.,TSX,RUA
Rupert Resources Ltd.,TSX,RUP
STLLR Gold Inc.,TSX,STLR
Scorpio Gold Corporation,TSXV,SGN
Scottie Resources Corp.,TSXV,SCOT
Selkirk Copper Mines Inc.,TSXV,SCMI
Silver Viper Minerals Corp.,TSXV,VIPR
Silvercorp Metals Inc.,TSX,SVM
Sitka Gold Corp.,TSXV,SIG
Skeena Resources Limited,TSX,SKE
Snowline Gold Corp.,TSX,SGD
Soma Gold Corp.,TSXV,SOMA
Southern Cross Gold Consolidated Ltd.,TSX,SXGC
Spanish Mountain Gold Ltd.,TSXV,SPA
St. Augustine Gold and Copper Limited,TSX,SAU
Steppe Gold Ltd.,TSX,STGO
Surge Copper Corp.,TSXV,SURG
TDG Gold Corp.,TSXV,TDG
TRX Gold Corporation,TSX,TRX
Talisker Resources Ltd.,TSX,TSK
Teuton Resources Corp.,TSXV,TUO
Thesis Gold & Silver Inc.,TSXV,TAU
Thor Explorations Ltd.,TSXV,THX
Trident Resources Corp.,TSXV,ROCK
Trilogy Metals Inc.,TSX,TMQ
Troilus Mining Corp.,TSX,TLG
Tudor Gold Corp.,TSXV,TUD
Unigold Inc.,TSXV,UGD
Vizsla Copper Corp.,TSXV,VCU
Wallbridge Mining Company Limited,TSX,WM
West Point Gold Corp.,TSXV,WPG
West Red Lake Gold Mines Ltd.,TSXV,WRLG
West Vault Mining Inc.,TSXV,WVM
Western Copper and Gold Corporation,TSX,WRN
i-80 Gold Corp.,TSX,IAU
Andean Precious Metals Corp.,TSX,APM
Apollo Silver Corp.,TSXV,APGO
Argenta Silver Corp.,TSXV,AGAG
Avino Silver & Gold Mines Ltd.,TSX,ASM
Bold Ventures Inc.,TSXV,BOL
Endeavour Silver Corp.,TSX,EDR
First Majestic Silver Corp.,TSX,AG
Guanajuato Silver Company Ltd.,TSXV,GSVR
Kootenay Silver Inc.,TSXV,KTN
New Pacific Metals Corp.,TSX,NUAG
Outcrop Silver & Gold Corporation,TSX,OCG
Santacruz Silver Mining Ltd.,TSXV,SCZ
Silver Mountain Resources Inc.,TSX,AGMR
Silver One Resources Inc.,TSXV,SVE
Silver Storm Mining Ltd.,TSXV,SVRS
Silver Tiger Metals Inc.,TSXV,SLVR
