symbol,name,exchange,tier,sector,industry,market_cap,company_type,in_universe
ALK,Alkane Resources Limited,TSX,1,Materials,Mining,1817052412,,
CLCH,Clinch Resources Ltd.,TSX,2,Materials,Steel,568508655,,
ECOR,Ecora Royalties PLC,TSX,1,Materials,Mining,598688259,,
STG,STRACON Group Holding Inc.,TSX,1,Materials,Mining,551192444,,
TECK.A,Teck Resources Limited,TSX,1,Materials,Mining,511676490,,
AAN,Aton Resources Inc.,TSXV,1,Materials,Mining,44439458,,
ALBT.P,Albatros Acquisition Corporation Inc.,TSXV,2,Finance,Diversified Financial Services,73467,,
BEAR,Big Bear Gold Corp.,TSXV,1,Materials,Mining,9017607,,
CMCG,Chilean Metals Inc.,TSXV,1,Materials,Mining,7137627,,
CYG,Cygnus Metals Limited,TSXV,1,Materials,Mining,138406235,,
ESXR,Essex Resources Corp.,TSXV,1,Materials,Mining,2225250,,
EXG,ExGen Resources Inc.,TSXV,1,Materials,Mining,12552228,,
LUNR,LunR Royalties Corp.,TSXV,1,Materials,Mining,2008788329,,
LUXR,Luxor Metals Ltd.,TSXV,1,Materials,Mining,3561058,,
MMX,Mustang Minerals Limited,TSXV,1,Materials,Mining,5906322,,
MRZL,Mont Royal Resources Limited.,TSXV,1,Materials,Mining,33686290,,
OGN,Orogen Royalties Inc.,TSXV,3,,,197676576,,
RRRL,River Road Resources Ltd.,TSXV,1,Materials,Mining,2067001,,
VENT,Ventra Metals Corp.,TSXV,1,Materials,Mining,3557913,,
VLD,Vinland Lithium Inc.,TSXV,1,Materials,Mining,5527639,,
