symbol,name,exchange,tier,sedar_party_number,sedar_party_name,found_at
AAUC,Allied Gold Corporation,TSX,1,NOT_FOUND,,2026-03-30 07:17:56 EDT
ABRA,AbraSilver Resource Corp.,TSX,1,000001147,AbraSilver Resource Corp. / AbraSilver Resource Corp.,2026-03-30 07:18:04 EDT
ABX,Barrick Mining Corporation,TSX,1,000000923,Barrick Mining Corporation / Societe Miniere Barrick,2026-03-30 07:18:12 EDT
AEM,Agnico Eagle Mines Limited,TSX,1,000000834,Agnico Eagle Mines Limited / Mines Agnico Eagle Limitée,2026-03-30 07:18:20 EDT
AGI,Alamos Gold Inc.,TSX,1,000037377,Alamos Gold Inc. / Alamos Gold Inc.,2026-03-30 07:18:27 EDT
AII,Almonty Industries Inc.,TSX,1,000029658,Almonty Industries Inc. / Almonty Industries Inc.,2026-03-30 07:18:34 EDT
ALK,Alkane Resources Limited,TSX,1,000109167,Alkane Resources Limited,2026-03-30 07:18:43 EDT
ALS,Altius Minerals Corporation,TSX,1,000008222,Altius Minerals Corporation / Altius Minerals Corporation,2026-03-30 07:18:51 EDT
AMC,Arizona Metals Corp.,TSX,1,000044022,Arizona Metals Corp. / Arizona Metals Corp.,2026-03-30 07:18:58 EDT
ARA,Aclara Resources Inc.,TSX,1,000053428,Aclara Resources Inc. / Aclara Resources Inc.,2026-03-30 07:19:05 EDT
ARG,Amerigo Resources Ltd.,TSX,1,000005967,Amerigo Resources Ltd / Amerigo Resources Ltd,2026-03-30 07:19:13 EDT
ARIS,Aris Mining Corporation,TSX,1,000003116,Aris Mining Corporation / Aris Mining Corporation,2026-03-30 07:19:20 EDT
ASCU,Arizona Sonoran Copper Company Inc.,TSX,1,000048095,Arizona Sonoran Copper Company Inc. / Arizona Sonoran Copper Company Inc.,2026-03-30 07:19:28 EDT
AVL,Avalon Advanced Materials Inc.,TSX,1,000007482,Avalon Advanced Materials Inc. / Avalon Advanced Materials Inc.,2026-03-30 07:19:36 EDT
BGAU,Blossom Gold Inc.,TSX,1,000052072,Blossom Gold Inc. (formerly 1290448 B.C. Ltd.),2026-03-30 07:19:43 EDT
BKI,Black Iron Inc.,TSX,1,000031138,Black Iron Inc. / Black Iron Inc.,2026-03-30 07:19:52 EDT
BNKR,Bunker Hill Mining Corp.,TSX,1,000032649,Bunker Hill Mining Corp. / Bunker Hill Mining Corp.,2026-03-30 07:19:59 EDT
BSX,Belo Sun Mining Corp.,TSX,1,000006215,Belo Sun Mining Corp. / Belo Sun Mining Corp.,2026-03-30 07:20:06 EDT
BTO,B2Gold Corp.,TSX,1,000026119,B2Gold Corp. / B2Gold Corp.,2026-03-30 07:20:13 EDT
CCM,Canagold Resources Ltd.,TSX,1,000000187,Canagold Resources Ltd. / Canagold Resources Ltd.,2026-03-30 07:20:21 EDT
CDE,"Coeur Mining, Inc.",TSX,1,000021638,"Coeur Mining, Inc. / Coeur Mining, Inc.",2026-03-30 07:20:28 EDT
CG,Centerra Gold Inc.,TSX,1,000020738,Centerra Gold Inc. / Centerra Gold Inc.,2026-03-30 07:20:35 EDT
CGG,China Gold International Resources Corp. Ltd.,TSX,1,000016269,China Gold International Resources Corp. Ltd. / China Gold International Resources Corp. Ltd.,2026-03-30 07:20:44 EDT
CNL,Collective Mining Ltd.,TSX,1,000045946,Collective Mining Ltd. / Collective Mining Ltd.,2026-03-30 07:20:51 EDT
COPR,Coppernico Metals Inc.,TSX,1,000050605,"Coppernico Metals Inc., formerly Sombrero Resources Inc. / Coppernico Metals Inc., formerly Sombrero Resources Inc.",2026-03-30 07:20:58 EDT
CS,Capstone Copper Corp.,TSX,1,000054684,Capstone Copper Corp. / Capstone Copper Corp.,2026-03-30 07:21:05 EDT
DC.A,Dundee Corporation,TSX,1,000001786,Dundee Corporation / Dundee Corporation,2026-03-30 07:21:12 EDT
DIAM,Star Diamond Corporation,TSX,1,000000523,Star Diamond Corporation,2026-03-30 07:21:20 EDT
DNG,Dynacor Group Inc.,TSX,1,000025731,Dynacor Group Inc. / Groupe Dynacor inc.,2026-03-30 07:21:27 EDT
DPM,DPM Metals Inc.,TSX,1,000001767,DPM Metals Inc.,2026-03-30 07:21:34 EDT
DSV,Discovery Silver Corp.,TSX,1,000007580,Discovery Silver Corp. / Discovery Silver Corp.,2026-03-30 07:21:41 EDT
ECOR,Ecora Royalties PLC,TSX,1,000030202,Ecora Resources PLC / Ecora Resources PLC,2026-03-30 07:21:53 EDT
ELD,Eldorado Gold Corporation,TSX,1,000001610,Eldorado Gold Corporation / Eldorado Gold Corporation,2026-03-30 07:22:01 EDT
ELEF,Silver Elephant Mining Corp.,TSX,1,000005981,Silver Elephant Mining Corp. / Silver Elephant Mining Corp.,2026-03-30 07:22:09 EDT
ELO,Eloro Resources Ltd.,TSX,1,000007851,Eloro Resources Ltd. / Eloro Resources Ltd.,2026-03-30 07:22:16 EDT
ELR,Eastern Platinum Limited,TSX,1,000022081,Eastern Platinum Limited / Eastern Platinum Limite,2026-03-30 07:22:24 EDT
