symbol,name,exchange,status,last_seen,listed_date,delisted_date,pending_since,sector,industry,market_cap,description,price,price_change_pct,last_trade_datetime,shares_outstanding,eps,pe_ratio,weeks52high,weeks52low,website,full_address,phone_number,email,employees,beta,price_to_book,return_on_equity,return_on_assets,currency,open_price,day_high,day_low,total_debt_to_equity,dividend_yield,dividend_amount,ex_dividend_date,dividend_frequency,sedar_party_number,sedar_party_name,tier,company_type,company_type_confidence,primary_commodity,primary_commodity_confidence,adjacent_category,reasoning,filing_type,filing_date,filing_doc_name,filing_url,filing_pdf_path,filing_text_chars,sw_symbol,sedar_only,mda_type,mda_date,mda_doc_name,mda_url,mda_pdf_path,mda_text_chars,mda_company_type,mda_primary_commodity,mda_reasoning,discrepancy,override_type,override_commodity,universe_added_date,universe_notes
AAB,Aberdeen International Inc.,TSX,LISTED,2026-04-02,,,,Finance,Asset Management Services,4017408,Aberdeen is a global resource investment company and merchant bank focused on small capitalization companies in the rare metals and renewable energy sectors.,0.025,-16.666666,2026-04-02T23:46:28-04:00,160696282,,,0.04,0.02,https://aberdeen.q4web.com,"198 Davenport Road,Suite 815, P.O. Box 75, Toronto, ON, CA",+1 416 861-5882,dstein@aberdeeninternational.ca,2,0.93227,4.46,-201.94,-137.66,CAD,0.03,0.03,0.025,0.04,,,,,000005692,Aberdeen International Inc. / Aberdeen International Inc.,2,Mining Investment Company,90,,0,,"Aberdeen International Inc. primarily engages in capital allocation into mining assets and companies, as indicated by its investment portfolio and focus on investment performance. The company does not operate mines or engage in mining activities directly, which aligns it with the Mining Investment Company classification.",AIF,2025-04-28,ANNUAL_INFORMATION_FORM_EN,https://www.stockwatch.com/News/Sedardoc/5902333.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\AAB_Aberdeen_International_Inc\2025-04-28_AAB_AIF.pdf,15000,,,Interim MD&A,2025-12-15,INTERIM_MDA_EN,https://www.stockwatch.com/News/Sedardoc/6085727.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\AAB_Aberdeen_International_Inc\2025-12-15_AAB_Interim_MD&A.pdf,15000,Mining Investment Company,Diversified,"Aberdeen International Inc. is primarily engaged in investing in small capitalization companies within the metals and mining sector, indicating its role as a mining investment company. The company focuses on acquiring equity in resource companies, which aligns with the definition of actively managing investments in mining assets.",,,,,
AAUC,Allied Gold Corporation,TSX,LISTED,2026-04-02,,,,Materials,Mining,5454433653,"Allied Gold is a Canadian-based gold producer with a significant growth profile and mineral endowment, operating a portfolio of three producing assets and development projects located in Côte d'Ivoire, Mali , and Ethiopia.Led by a team of mining executives with operational and development experience and a proven track record of creating value, Allied Gold is progressing through exploration, construction, and operational enhancements to become a mid-tier, next-generation gold producer in Africa ,",43.33,0.161812,2026-04-02T23:46:28-04:00,125881229,,,43.56,12.24,https://www.alliedgold.com/,"Royal Bank Plaza,North Tower,200 Bay Street, Toronto, Ontario, CA",+1 (416) 869-5300,investor@alliedgoldmc.com,1987,0.607677,12.08,-14.14,-2.82,CAD,43,43.42,42.96,0.41,,,,,000051991,Allied Gold Corporation,1,Miner,95,Gold,90,,"Allied Gold Corporation is engaged in the production and exploration of gold, with a focus on projects in Africa. The filing text discusses their plans for gold production, development-stage properties, and exploration activities, clearly indicating their primary role as a miner.",AIF,2025-03-31,ANNUAL_INFORMATION_FORM_EN,https://www.stockwatch.com/News/Sedardoc/5882364.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\AAUC_Allied_Gold_Corporation\2025-03-31_AAUC_AIF.pdf,15000,,,Interim MD&A,2025-11-05,INTERIM_MDA_EN,https://www.stockwatch.com/News/Sedardoc/6048220.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\AAUC_Allied_Gold_Corporation\2025-11-05_AAUC_Interim_MD&A.pdf,15000,Miner,Gold,"Allied Gold Corporation is engaged in the mining and production of gold, with a portfolio of operating gold mines and development projects. The filing text clearly indicates their focus on gold production and exploration, confirming their classification as a miner.",,,,,
ABRA,AbraSilver Resource Corp.,TSX,LISTED,2026-04-02,,,,Materials,Mining,2003900433,"AbraSilver is an advanced-stage exploration company focused on rapidly advancing its 100%-owned Diablillos silver-gold project in the mining-friendly Salta province of Argentina. The current Measured and Indicated Mineral Resource estimate for Diablillos (tank leach-only) consists of 73.1 Mt grading 79 g/t Ag and 0.66 g/t Au, containing approximately 186Moz of silver and 1.6Moz of gold, with significant further upside potential based on recent exploration drilling. The Company is led by an exper",12.46,-2.883866,2026-04-02T23:46:27-04:00,160826680,,,18,2.44,https://www.abrasilver.com,"220 Bay Street,Suite 550, Toronto, ON, CA",+1 416 648-1626,info@abrasilver.com,36,1.768721,40.21,-124.57,-107.09,CAD,12,12.64,12,,,,,,000001147,AbraSilver Resource Corp. / AbraSilver Resource Corp.,1,Miner,95,Silver,90,,"AbraSilver Resource Corp. is engaged in the exploration and development of mineral properties, specifically focusing on silver and gold mining projects, as indicated by their ongoing drilling programs and resource estimates. The company has filed technical reports and is actively involved in exploration activities, which aligns with the definition of a miner.",AIF,2025-04-03,ANNUAL_INFORMATION_FORM_EN,https://www.stockwatch.com/News/Sedardoc/5885566.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\ABRA_AbraSilver_Resource_Corp\2025-04-03_ABRA_AIF.pdf,15000,,,Interim MD&A,2025-11-13,INTERIM_MDA_EN,https://www.stockwatch.com/News/Sedardoc/6056122.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\ABRA_AbraSilver_Resource_Corp\2025-11-13_ABRA_Interim_MD&A.pdf,15000,Miner,Silver,"AbraSilver Resource Corp. is primarily engaged in the exploration and development of mineral deposits, specifically focusing on silver and gold at its Diablillos project. The filing text discusses drilling results, mineral resource estimates, and ongoing exploration activities, which are characteristic of a mining company.",,,,,
ABX,Barrick Mining Corporation,TSX,LISTED,2026-04-02,,,,Materials,Mining,97237917326,"Barrick is a leading global mining, exploration and development company. With one of the largest portfolios of world-class and long-life gold and copper assets in the industry, Barrick's operations and projects span 17 countries and five continents. Barrick is also the largest gold producer in the United States. We create real, long-term value for all stakeholders through responsible mining, strong partnerships and a disciplined approach to growth. Barrick shares trade on the New York Stock Exch",58.04,-1.107514,2026-04-02T23:46:27-04:00,1675360395,2.44,14.73,74,24.28,https://www.barrick.com,"310 South Main Street,Suite 1150, Salt Lake City, Utah, CA",+1 801 - 990-3745,investor@barrick.com,24600,1.123305,2.72,19.64,10.07,CAD,55.81,58.8,55.31,0.18,3.959,0.42,2026-02-27 00:00:00.0,Quarterly,000000923,Barrick Mining Corporation / Societe Miniere Barrick,1,Miner,95,Gold,95,,"Barrick Mining Corporation is primarily engaged in the mining and processing of gold, as indicated by its operations and the terminology used in the filing text. The company is classified as a Miner due to its focus on extracting gold from ore and its significant market capitalization in the mining sector.",AIF,2026-02-27,ANNUAL_INFORMATION_FORM_EN,https://www.stockwatch.com/News/Sedardoc/6135087.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\ABX_Barrick_Mining_Corporation\2026-02-27_ABX_AIF.pdf,15000,,,Interim MD&A,2025-11-10,INTERIM_MDA_EN,https://www.stockwatch.com/News/Sedardoc/6052199.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\ABX_Barrick_Mining_Corporation\2025-11-10_ABX_Interim_MD&A.pdf,15000,Miner,Gold,"Barrick Mining Corporation is primarily engaged in the mining and exploration of gold and copper, as indicated by its significant production and revenue from these commodities. The filing text discusses various mining-related risks and operational details, confirming its classification as a miner.",,,,,
AEM,Agnico Eagle Mines Limited,TSX,LISTED,2026-04-02,,,,Materials,Mining,145373567970,"Canadian-based and led, Agnico Eagle is Canada's largest mining company and the second largest gold producer in the world, operating mines in Canada, Australia, Finland and Mexico'The Company is advancing a pipeline of high-quality development projects in these regions to support sustainable growth over the next decade. Agnico Eagle is a partner of choice within the mining industry, recognized globally for its leading sustainability practices. Agnico Eagle was founded in 1957 and has consistentl",290.14,-0.626777,2026-04-02T23:46:28-04:00,501046281,9.55,24.2,348.94,135.4,https://www.agnicoeagle.com,"145 King Street East,Suite 400, Toronto, Ontario, CA",+1 416 - 947-1212,,16968,1.485793,4.35,19.58,13.84,CAD,280.81,293.45,279.01,0.01,0.848,0.45,2026-03-02 00:00:00.0,Quarterly,000000834,Agnico Eagle Mines Limited / Mines Agnico Eagle Limit?e,1,Miner,95,Gold,95,,"Agnico Eagle Mines Limited is primarily engaged in the mining and production of gold, as indicated by its operations and the focus on gold production in its filings. The company is classified as a Miner because it explores for, develops, and operates gold mining projects.",AIF,2025-02-26,ANNUAL_INFORMATION_FORM_EN,https://www.stockwatch.com/News/Sedardoc/5846261.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\AEM_Agnico_Eagle_Mines_Limited\2025-02-26_AEM_AIF.pdf,15000,,,Interim MD&A,2025-10-29,INTERIM_MDA_EN,https://www.stockwatch.com/News/Sedardoc/6042966.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\AEM_Agnico_Eagle_Mines_Limited\2025-10-29_AEM_Interim_MD&A.pdf,15000,Miner,Gold,"Agnico Eagle Mines Limited is primarily engaged in the mining and production of gold, as indicated by its operations and revenue generation from gold sales. The company also produces by-product metals such as silver, zinc, and copper, but its main focus is on gold mining.",,,,,
AG,First Majestic Silver Corp.,TSX,LISTED,2026-04-02,,,,Materials,Mining,15001217505,"First Majestic is a publicly traded mining company focused on silver and gold production in Mexico and the United States.The Company presently owns and operates four producing underground mines in Mexico : the Santa Elena Silver/Gold Mine , the Los Gatos Silver Mine (the Company holds a 70% interest in the Los Gatos Joint Venture that owns and operates the mine), the San Dimas Silver/Gold Mine , and the La Encantada Silver Mine , as well as a portfolio of development and exploration assets, incl",30.43,-1.104972,2026-04-02T23:46:28-04:00,492974614,,,43.69,7.4,https://www.firstmajestic.com,"Suite 1800,925 West Georgia Street, Vancouver, BC, CA",+1 604 - 688-3033,info@firstmajestic.com,3746,2.142789,4.04,8.02,4.94,CAD,28.38,31,28.38,0.11,0.149,0.0083,2026-02-27 00:00:00.0,Quarterly,000005496,First Majestic Silver Corp. / First Majestic Silver Corp.,1,Miner,95,Silver,90,,"First Majestic Silver Corp. is primarily engaged in the mining and production of silver and gold, as indicated by its operations at multiple silver/gold mines in Mexico and the USA. The company's filings detail its mining activities and mineral properties, confirming its classification as a Miner.",AIF,2025-03-31,ANNUAL_INFORMATION_FORM_EN,https://www.stockwatch.com/News/Sedardoc/5881421.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\AG_First_Majestic_Silver_Corp\2025-03-31_AG_AIF.pdf,15000,FR,,,,,,,,,,,,,,,
AGI,Alamos Gold Inc.,TSX,LISTED,2026-04-02,,,,Materials,Mining,26887815615,"Alamos is a Canadian-based intermediate gold producer with diversified production from three operations in North America . This includes the Island Gold District and Young - Davidson mine in northern Ontario, Canada , and the Mulatos District in Sonora State, Mexico . Additionally, the Company has a strong portfolio of growth projects including the IGD Expansion, and the Lynn Lake project in Manitoba, Canada . Alamos employs more than 2,400 people and is committed to the highest standards of sus",64.03,0.930013,2026-04-02T23:46:28-04:00,419925279,1.75,22.21,75.78,32.9,https://alamosgold.com,"Brookfield Place,181 Bay Street,Suite 3910, Toronto, Ontario, CA",+1 416 368-9932,sparsons@alamosgold.com,2400,1.33761,4.4,22.06,15.12,CAD,60.28,64.2,60.24,0.05,0.341,0.04,2026-03-12 00:00:00.0,Quarterly,000037377,Alamos Gold Inc. / Alamos Gold Inc.,1,Miner,95,Gold,90,,"Alamos Gold Inc. is primarily engaged in the mining and exploration of gold deposits, as indicated by its classification in the Materials / Mining sector and the focus on gold production in its filings. The company operates several gold mining projects, which confirms its status as a miner.",AIF,2025-03-31,ANNUAL_INFORMATION_FORM_EN,https://www.stockwatch.com/News/Sedardoc/5880410.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\AGI_Alamos_Gold_Inc\2025-03-31_AGI_AIF.pdf,15000,,,Interim MD&A,2025-10-29,INTERIM_MDA_EN,https://www.stockwatch.com/News/Sedardoc/6043096.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\AGI_Alamos_Gold_Inc\2025-10-29_AGI_Interim_MD&A.pdf,15000,Miner,Gold,"Alamos Gold Inc. is primarily engaged in the mining and production of gold, with operations in Canada and Mexico. The company's filings detail its gold production, sales, and associated costs, clearly categorizing it as a miner focused on gold.",,,,,
AGMR,Silver Mountain Resources Inc.,TSX,LISTED,2026-04-02,,,,Materials,Mining,224384441,"Silver Mountain Resources Inc. is a Canadian mining company focused on the exploration and development of silver projects in Peru. The Company's principal asset is the Reliquias Project, a past-producing silver mine located in the Castrovirreyna district of Huancavelica. Silver Mountain is committed to creating long-term value for its shareholders through responsible mining, strong community engagement, and sustainable development practices.",3.76,-4.810127,2026-04-02T23:46:28-04:00,59676713,,,6.16,0.5,www.agmr.ca,"82 Richmond Street East, Toronto, ON, CA",+1 51991688540,,31,2.052625,5.61,-48.5,-31.42,CAD,3.71,3.86,3.6,0.01,,,,,000052252,Silver Mountain Resources Inc. / Silver Mountain Resources Inc.,1,Miner,95,Silver,90,,"Silver Mountain Resources Inc. is engaged in the exploration and development of mineral deposits, specifically focusing on silver mining as indicated by their operations and the mention of the Reliquias Mine. The company's activities align with the definition of a miner, as they are involved in targeting mineral resources and expanding deposits.",AIF,2025-07-17,ANNUAL_INFORMATION_FORM_EN,https://www.stockwatch.com/News/Sedardoc/5966066.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\AGMR_Silver_Mountain_Resources_Inc\2025-07-17_AGMR_AIF.pdf,15000,,,Interim MD&A,2025-11-21,INTERIM_MDA_EN,https://www.stockwatch.com/News/Sedardoc/6063266.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\AGMR_Silver_Mountain_Resources_Inc\2025-11-21_AGMR_Interim_MD&A.pdf,15000,Miner,Silver,"Silver Mountain Resources Inc. is primarily engaged in the exploration and development of silver mining projects, specifically the Reliquias underground mine in Peru. The company is focused on restarting production and has significant infrastructure and mineral concessions, which aligns with the definition of a miner.",,,,,
AII,Almonty Industries Inc.,TSX,LISTED,2026-04-02,,,,Materials,Mining,5997187412,"Almonty (Nasdaq: ALM) (TSX: AII) (ASX: AII) (Frankfurt: ALI1) is a leading supplier of conflict free tungsten - a strategic metal critical to the defense and advanced technology sectors. As geopolitical tensions heighten, tungsten has become essential for armor, munitions, and electronics manufacturing. Almonty's flagship Sangdong Mine in South Korea, historically one of the world's largest and highest-grade tungsten deposits, is expected to supply a significant portion of global non- China tung",21.39,2.295552,2026-04-02T23:46:27-04:00,280373418,,,30.58,2.775,https://www.almonty.com,"8 S Idaho St, Suite A, Dillon, MT, US",+1 647- 438-9766,info@almonty.com,408,1.905878,16.48,-81.59,-38.27,CAD,19.73,21.75,19.49,0.45,,,,,000029658,Almonty Industries Inc. / Almonty Industries Inc.,1,Miner,95,Tungsten,90,,"Almonty Industries Inc. is primarily engaged in the mining, processing, and shipping of tungsten concentrate from its various mining projects, including the Los Santos Mine in Spain and the Panasqueira Mine in Portugal. The company's focus on tungsten mining and its development of multiple tungsten projects clearly classify it as a Miner.",AIF,2025-03-21,ANNUAL_INFORMATION_FORM_EN,https://www.stockwatch.com/News/Sedardoc/5865980.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\AII_Almonty_Industries_Inc\2025-03-21_AII_AIF.pdf,15000,,,Interim MD&A,2025-11-03,INTERIM_MDA_EN,https://www.stockwatch.com/News/Sedardoc/6045567.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\AII_Almonty_Industries_Inc\2025-11-03_AII_Interim_MD&A.pdf,15000,Miner,Tungsten,"Almonty Industries Inc. is primarily engaged in the mining and processing of tungsten concentrate, with active operations at multiple tungsten mines. The company's focus on developing and operating tungsten mining projects clearly classifies it as a miner.",,,,,
ALK,Alkane Resources Limited,TSX,LISTED,2026-04-02,,,,Materials,Mining,1980996991,"Alkane Resources (ASX:ALK; TSX:ALK; OTCQX:ALKRY) is an Australia-based gold and antimony producer with a portfolio of three operating mines across Australia and Sweden. The Company has a strong balance sheet and is positioned for further growth. Alkane's wholly owned producing assets are the Tomingley open pit and underground gold mine southwest of Dubbo in Central West New South Wales, the Costerfield gold and antimony underground mining operation northeast of Heathcote in Central Victoria, and",1.45,-2.684564,2026-04-02T23:46:27-04:00,1366204821,0.03,,1.72,0.6,,"Level 4,66 Kings Park Road, Western Australia, West Perth, WA, AU",,,0,2.414719,,,,CAD,1.39,1.46,1.38,,,,,,000109167,Alkane Resources Limited,1,Miner,95,Gold,90,,"Alkane Resources Limited is primarily engaged in the mining and production of gold and antimony, with operating mines in Australia and Sweden. The company has a clear focus on mineral extraction, as evidenced by its detailed descriptions of mining operations and projects in its filings.",AIF,2025-09-29,Annual information form - English.pdf,https://www.sedarplus.ca/csa-party/viewInstance/resource.html?node=W2958&drmKey=38e22b035acaf3fb&drr=ss1fd91c4e935ec4a980f671e4f2d5bd0d2f850a29f3f0d6a3196fd21094eebe8c54f611fad7db4105cb32d1540f2f771bux&id=0c11f8b7998bcd9606363272b6974b57748749cd35979f00,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\ALK_SEDAR\2025-09-29_ALK_AIF.pdf,15000,,Y,,,,,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\1. Canadian Master Sync\Universe Builder\Results\pdfs\ALK_SEDAR\2026-02-12_ALK_Interim_MD&A.pdf,15000,,,,,,,,
