symbol,company_name,exchange,website,presentation_url,pdf_url,local_path,r2_url,found_via,score,file_size_kb,last_checked,error
ASM,Avino Silver & Gold Mines Ltd.,TSX,https://www.avino.com,,,,,not_found,0,0,2026-04-03T18:04:32.231457,
ABX,Barrick Mining Corporation,TSX,https://www.barrick.com,,,,,not_found,0,0,2026-04-03T18:04:32.228386,
AGI,Alamos Gold Inc.,TSX,https://alamosgold.com,,,,,not_found,0,0,2026-04-03T18:04:32.229486,
AEM,Agnico Eagle Mines Limited,TSX,https://www.agnicoeagle.com,,,,,not_found,0,0,2026-04-03T18:04:32.228801,
AAUC,Allied Gold Corporation,TSX,https://www.alliedgold.com/,,,,,not_found,0,0,2026-04-03T18:04:32.228135,
ARG,Amerigo Resources Ltd.,TSX,https://www.amerigoresources.com,https://www.amerigoresources.com/investors/overview/,https://www.amerigoresources.com/_resources/presentations/CRS-Deck-2025.pdf?v=0.379,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ARG\pdfs\Presentations\CRS-Deck-2025.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ARG/CRS-Deck-2025.pdf,sitemap,65,677,2026-04-03T18:04:32.230245,
BTO,B2Gold Corp.,TSX,https://www.b2gold.com,,,,,not_found,0,0,2026-04-03T18:04:40.900923,
ASCU,Arizona Sonoran Copper Company Inc.,TSX,https://www.arizonasonoran.com,https://arizonasonoran.com/investors/corporate-presentations/,https://arizonasonoran.com/site/assets/files/6584/2025-12-03_corporate_presentation.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ASCU\pdfs\Presentations\2025-12-03_corporate_presentation.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ASCU/2025-12-03_corporate_presentation.pdf,sitemap,100,6201,2026-04-03T18:04:32.230905,
AYA,Aya Gold & Silver Inc.,TSX,https://www.ayagoldsilver.com,,,,,not_found,0,0,2026-04-03T18:04:40.404681,
CG,Centerra Gold Inc.,TSX,https://www.centerragold.com,,,,,not_found,0,0,2026-04-03T18:04:47.830236,
CCO,Cameco Corporation,TSX,https://www.cameco.com,,,,,not_found,0,0,2026-04-03T18:04:41.642709,
AG,First Majestic Silver Corp.,TSX,https://www.firstmajestic.com,https://www.firstmajestic.com/investors/presentation/,https://www.firstmajestic.com/_resources/presentation/corporate-presentation.pdf?v=040310?v=0.4,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\AG\pdfs\Presentations\2026-04-03_corporate-presentation.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/AG/2026-04-03_corporate-presentation.pdf,sitemap,65,12680,2026-04-03T18:04:32.229236,
CGG,China Gold International Resources Corp. Ltd.,TSX,http://www.chinagoldintl.com,,,,,not_found,0,0,2026-04-03T18:04:48.439004,
APM,Andean Precious Metals Corp.,TSX,https://www.andeanpm.com,,,,,not_found,0,0,2026-04-03T18:04:32.229920,
EFR,Energy Fuels Inc.,TSX,https://www.energyfuels.com,,,,,not_found,0,0,2026-04-03T18:04:55.879917,
