source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,ADE,Adex Mining Inc.,2026-03-03,NEWS_RELEASE_EN,not applicable,NewsRelease,Adex Mining does not say why trading is up,https://www.stockwatch.com/News/Item/Z-C!ADE-3792117/C/ADE,3792117,https://www.stockwatch.com/News/Sedardoc/6139272.pdf,,0,0,no,,"2026-03-03 08:56 ET - News Release
Ms. Linda Kwan
 reports
ADEX MINING REPORTS NO MATERIAL CHANGE
In response to an inquiry from the Canadian Investment Regulatory Organization,
Adex Mining Inc.  has confirmed that management is unaware of any material change in the company's operations that would
account for the recent increase in market activity. The company has no material information to
report at this time.
About Adex Mining Inc.
Adex Mining  is a Canadian junior mining company with an experienced management team.
The company has maintained stewardship over the Mount Pleasant mine property while
evaluating strategic alternatives and ensuring regulatory compliance. The Mount Pleasant mine
property is a multimetal project that is host to promising tungsten-molybdenum and tin-indium-zinc mineralization. The common shares of Adex trade on the TSX Venture Exchange under the
stock symbol ADE.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ADE\news_html\2026-03-03.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ADE/news_html/2026-03-03.html,,NONE,No material change reported,,,2024-01-31,2024-04-02
stockwatch,ADE,Adex Mining Inc.,2025-11-18,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6059236.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ADE,Adex Mining Inc.,2025-11-18,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6059235.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ADE,Adex Mining Inc.,2025-11-18,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6059231.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ADE,Adex Mining Inc.,2025-11-18,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6059232.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ADE\pdfs\MD&A\2025-11-18_ADE_MD&A_INTERIM_MDA_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ADE/2025-11-18_ADE_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ADE,Adex Mining Inc.,2025-08-18,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/5987950.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ADE,Adex Mining Inc.,2025-08-18,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/5987951.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ADE,Adex Mining Inc.,2025-08-18,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/5987944.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ADE\pdfs\MD&A\2025-08-18_ADE_MD&A_INTERIM_MDA_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ADE/2025-08-18_ADE_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ADE,Adex Mining Inc.,2025-08-18,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/5987941.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ADE,Adex Mining Inc.,2025-07-25,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/5970957.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ADE\pdfs\MaterialChange\2025-07-25_ADE_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ADE/2025-07-25_ADE_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,New loan agreement with Great Harvest,,,,,2024-01-31,2024-04-02
