source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,AEC,ANFIELD ENERGY INC.,2025-07-22,ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5968076.pdf,,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/AEC/2025-07-22_AEC_AIF.pdf,,,,,,,,,2025-04-30,2025-07-22
stockwatch,AEC,ANFIELD ENERGY INC.,2026-03-02,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Anfield Energy shareholders approve UEC control,https://www.stockwatch.com/News/Item/Z-C!AEC-3791564/C/AEC,3791564,https://www.stockwatch.com/News/Sedardoc/6137489.pdf,,0,0,no,,"2026-03-02 16:31 ET - News Release
Mr. Corey Dias reports
ANFIELD ENERGY ANNOUNCES SHAREHOLDER APPROVAL AT SPECIAL SHAREHOLDER MEETING OF URANIUM ENERGY CORP. AS A CONTROL PERSON
Anfield Energy Inc.'s shareholders have considered and voted at the special meeting of shareholders held on Feb. 27, 2026, to approve Uranium Energy Corp. as a control person of the company and the issuance by the company to UEC Energy Corp. (UEC), a wholly owned subsidiary of Uranium Energy, of 896,861 common shares in the capital of the company, upon conversion of certain subscription receipts (as defined below) issued by the company to UEC, following satisfaction of the escrow release conditions (as defined below), all as described in more detail in the company's management information circular dated Jan. 27, 2026. The common shares of Anfield beneficially owned by Uranium Energy were excluded from the vote as required by the TSX Venture Exchange. The company also announces that it has issued the 896,861 subscription receipt shares to UEC.
The special meeting was held in connection with company's previous non-brokered private placement of 896,861 subscription receipts of the company issued to UEC (see news release dated Jan. 12, 2026). Each subscription receipt entitled UEC to receive, upon satisfaction of the escrow release conditions one subscription receipt share, without payment of additional consideration and without further action on the part of UEC. The company required the approval of the TSX-V of the participation of Uranium Energy, through its wholly owned subsidiary, UEC, in the offering and, pursuant to the policies of the TSX-V, the approval of the disinterested shareholders of the company of Uranium Energy as a control person of the company (as such term is defined by the policies of the TSX-V) by at least a simple majority of the votes cast at the special meeting, excluding votes attached to common shares held by Uranium Energy and its associates and affiliates (as such terms are defined by the policies of the TSX-V).
About Anfield
 Energy Inc.
Anfield is a uranium and vanadium development company that is committed to becoming a top-tier energy-related fuels supplier by creating value through sustainable, efficient growth in its assets. Anfield is a publicly traded corporation listed on the Nasdaq (AEC-Q), the TSX Venture Exchange (AEC-V) and the Frankfurt Stock Exchange (0AD).
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\AEC\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/AEC/news_html/2026-03-02.html,,NONE,Shareholder approval for UEC control,,,2025-04-30,2025-07-22
stockwatch,AEC,ANFIELD ENERGY INC.,2026-02-06,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Anfield Energy to hold AGM Feb. 27,https://www.stockwatch.com/News/Item/Z-C!AEC-3782694/C/AEC,3782694,https://www.stockwatch.com/News/Sedardoc/6120066.pdf,,0,0,no,,"2026-02-06 17:52 ET - News Release
Mr. Corey Dias reports
ANFIELD ENERGY ANNOUNCES SPECIAL SHAREHOLDER MEETING AND MAILING OF RELATED DOCUMENTS
Today is the legal mailing date for the mailing and filing of the notice of a meeting of shareholders, the management information circular and related documents to convene a special meeting of shareholders of Anfield Energy Inc. The meeting will take place on Feb. 27, 2026, at 10 a.m. Vancouver time. Copies of the meeting materials are available for review under the profile for the company on SEDAR+ and on Anfield's corporate website.
The meeting has been convened to seek shareholder approval of Uranium Energy Corp. as a control person of the company as such term is defined by the policies of the TSX Venture Exchange by at least a simple majority of the votes cast at the meeting, excluding votes attached to common shares of the company held by Uranium Energy and its associates and affiliates (as such terms are defined by the policies of the TSX-V). Such shareholder approval is being sought in connection with the company's issuance, pursuant to a non-brokered private placement, of 896,861 subscription receipts of the company to UEC Energy Corp., a subsidiary of Uranium Energy, which is an insider and controlling shareholder of the company, at a price of $4.46 (U.S.) per subscription receipt for gross proceeds to the company of $4-million (U.S.) (see news release dated Jan. 12, 2026).
Each subscription receipt entitles UEC to receive, upon satisfaction of the escrow release conditions (as defined below) on or prior to 5 p.m. Vancouver time on March 31, 2026, or such other later date as may be specified by UEC in writing, one common share in the capital of the company, without payment of additional consideration and without further action on the part of UEC. The company requires the approval of the TSX-V of the participation of Uranium Energy through its wholly owned subsidiary, UEC, in the concurrent offering and, pursuant to the policies of the TSX-V, the approval of the disinterested shareholders of the company of Uranium Energy as a control person of the company (as such term is defined by the policies of the TSX-V) by at least a simple majority of the votes cast at the meeting, excluding votes attached to common shares held by Uranium Energy and its associates and affiliates (as such terms are defined by the policies of the TSX-V).
About Anfield Energy Inc.
Anfield is a uranium and vanadium development company that is committed to becoming a top-tier energy-related fuel supplier by creating value through sustainable, efficient growth in its assets. Anfield is a publicly traded corporation listed on Nasdaq, the TSX Venture Exchange and the Frankfurt Stock Exchange.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\AEC\news_html\2026-02-06.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/AEC/news_html/2026-02-06.html,,NONE,Special shareholder meeting announcement,,,2025-04-30,2025-07-22
stockwatch,AEC,ANFIELD ENERGY INC.,2026-01-29,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,ANFIELD ENERGY INC.,,,https://www.stockwatch.com/News/Sedardoc/6114556.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\AEC\pdfs\NewsRelease\2026-01-29_AEC_NewsRelease_fallback.pdf,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/AEC/2026-01-29_AEC_NewsRelease_fallback.pdf," 
 
 
 
 
 
Head Office: 
4390 Grange Street, Suite 2005,  
Burnaby, BC V6H 1P6 
www.anfieldenergy.com 
Office: 
 604-669-5762 
Fax: 
604-608-4804 
 
TSX.V : AEC 
NASDAQ : AEC 
Frankfurt : 0AD 
 
 
Anfield Energy Amends Credit Facility with Extract 
 
VANCOUVER, BC, January 29, 2026  Anfield Energy Inc. (Anfield or the Company) (TSX.V: AEC; NASDAQ: AEC; 
FRANKFURT: 0AD) announces that it has entered into an amending and consent agreement (the Amending 
Agreement) with Extract Advisors LLC (Extract) to amend the terms of an existing credit facility (the Credit Facility) 
(see the Companys news release dated October 6, 2023, April 17, 2024 and March 18, 2025) with Extract, as agent of 
the Credit Facility. Pursuant to the Amending Agreement, Extract consented to the Companys proposed acquisition (the 
Acquisition) of all of the issued and outstanding securities of B.R.S. Inc. (see the Companys news release dated 
December 18, 2025) (the Consent).  
In consideration for the Consent, the Company has agreed to issue 50,000 bonus common shares (the Bonus Shares) 
and 500,000 bonus common share purchase warrants (the Bonus Warrants) to Extract, with each such Bonus Warrant 
entitling the holder thereof to acquire one common share of the Company at an exercise price of C$12.50 per share until 
September 26, 2028. The issuance of the Bonus Shares and Bonus Warrants is made in accordance with TSX Venture 
Exchange (TSXV) Policy 5.1  Loans, Loan Bonuses, Finders Fees and Commissions. For so long as the Credit Facility 
remains outstanding, all proceeds from the exercise of the Bonus Warrants by the lender shall be used to repay the 
principal amount of the Credit Facility. The Consent is conditional upon the Companys issuance of the Bonus Shares and 
Bonus Warrants to Extract. The issuance of the Bonus Shares and Bonus Warrants is subject to the approval of the TSXV  
Extract and its joint actor, Extract Capital Master Fund Ltd., are insiders of the Company. The transactions contemplated 
by the Amending Agreement, including the issuance of the Bonus Warrants and Bonus Shares, constitute a related 
party transaction under Multilateral Instrument 61-101 - Protection of Minority Security Holders in Special Transactions 
(MI 61-101). The board of directors of the Company have determined that the transactions contemplated by the 
Amending Agreement, including the issuance of the Bonus Shares and Bonus Warrants, will be exempt from the formal 
valuation and minority shareholder approval requirements in MI 61-101 in reliance on the exemptions set forth in 
sections 5.5(a) and 5.7(1)(a) of MI 61-101 and, in connection therewith, the directors have determined that at the time 
the Amending Agreement was agreed to, neither the fair market value of the subject matter of, nor the fair market 
value of the consideration for, the transaction, insofar as it involves interested parties, exceeds 25% of the Companys 
market capitalization. 
About Anfield 
Aneld is a uranium and vanadium development company that is committed to becoming a top-tier energy-related fuels 
supplier by creating value through sustainable, ecient growth in its assets. Aneld is a publicly traded corporation 
listed on the NASDAQ (AEC-Q), the TSXV (AEC-V) and the Frankfurt Stock Exchange (0AD). 
On behalf of the Board of Directors 
ANFIELD ENERGY INC. 
Corey Dias, Chief Executive Ocer 
Neither the TSXV nor its Regulation Services Provider (as that term is defined in policies of the TSXV) accepts 
responsibility for the adequacy or accuracy of this release. 

  
Contact: 
Aneld Energy, Inc. 
Corporate Communications 
604-669-5762 
contact@aneldenergy.com 
www.aneldenergy.com 
This news release contains forward-looking statements and forward-looking information (together, forward-looking statements) within the 
meaning of applicable Canadian securities laws. All statements, other than statements of historical facts, are forward-looking statements.  
Generally, forward-looking statements can be identified by the use of terminology such as plans, expects, estimates, intends, anticipates, 
believes or variations of such words, or statements that certain actions, events or results may, could, would, might, occur or be 
achieved. The forward-looking statements contained herein may include, but are not limited to, statements regarding the activities, events or 
developments that the Company expects or anticipates will or may occur in the future, including the approval of the TSXV of the issuance of the 
Bonus Share and Bonus Warrants to Extract, the Consent being made effective as contemplated; and the Acquisition being completed as 
contemplated.  
Forward-looking statements are based on the Companys current beliefs and assumptions as to the outcome and timing of future events, including, 
but not limited to, the TSXV approval of the issuance of the Bonus Shares and Bonus Warrants to Extract, the Consent being made effective, and the 
completion of the Acquisition. Forward-looking statements involve risks, uncertainties and other factors that could cause actual results, 
performance and opportunities to differ materially from those implied by such forward-looking statements. Factors that could cause actual results 
to differ materially from these forward-looking statements include, among other things: risks that the TSXV will not approve the issuance of the 
Bonus Shares and Bonus Warrants to Extract as contemplated, or at all; risks that the Consent will not be made effective as contemplated, or at all; 
risks that the Acquisition will not be completed as contemplated, or at all; the risks and uncertainties relating to exploration and development; the 
ability of the Company to obtain additional financing, the need to comply with environmental and governmental regulations in Canada and the 
United States; fluctuations in the prices of commodities; operating hazards and risks; competition and other risks and uncertainties and other such 
factors as are set forth in the annual information form for the Companys most recently completed year end, as well as the management discussion 
and analysis and other disclosures of risk factors for the Company, filed on SEDAR+ at www.sedarplus.ca. 
Although the Company believes that the information and assumptions used in preparing the forward-looking statements are reasonable, undue 
reliance should not be placed on these statements, which only apply as of the date of this news release, and no assurance can be given that such 
events will occur in the disclosed time frames or at all. Except where required by applicable law, the Company disclaims any intention or obligation to 
update or revise any forward-looking statement, whether as a result of new information, future events or otherwise. 
",,,,NONE,Amended credit facility with Extract Advisors,,,2025-04-30,2025-07-22
stockwatch,AEC,ANFIELD ENERGY INC.,2026-01-29,NOTICE_OF_MEETING_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6113551.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-22
stockwatch,AEC,ANFIELD ENERGY INC.,2026-01-29,MANAGEMENT_INFORMATION_CIRCULAR_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6113552.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-22
stockwatch,AEC,ANFIELD ENERGY INC.,2026-01-29,FORM_OF_PROXY_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6113553.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-22
stockwatch,AEC,ANFIELD ENERGY INC.,2026-01-29,FORM_OF_PROXY_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6113554.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-22
stockwatch,AEC,ANFIELD ENERGY INC.,2026-01-29,OTHER,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6113555.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-22
stockwatch,AEC,ANFIELD ENERGY INC.,2026-01-28,NOTICE_OF_MEETING_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6112417.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-22
