source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,ALDE,Aldebaran Resources Inc.,2026-03-02,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Aldebaran and Centauri Announce Significant Increase in Mineral Resources for the Rio Grande Gold-Copper Project in Salta, Argentina",https://www.stockwatch.com/News/Item/Z-C!ALDE-3791123/C/ALDE,3791123,https://www.stockwatch.com/News/Sedardoc/6137528.pdf,,0,0,no,,"2026-03-02 07:00 ET - News Release
VANCOUVER, British Columbia, March  02, 2026  (GLOBE NEWSWIRE) --
Aldebaran Resources Inc.
(“
Aldebaran
” or the “
Company
”)
(TSX-V: ALDE, OTCQX: ADBRF)
and
Centauri Minerals Inc.
(“
Centauri
”) are pleased to announce the results of an updated mineral resource estimate for the Rio Grande gold-copper project in Salta, Argentina (the “
MRE
”).
Highlights
Indicated Resources containing 1.45 million ounces of gold, 384,000 tonnes of copper and 12.7 million ounces of silver
153.7 million tonnes grading 0.29 g/t gold, 0.25% copper and 2.6 g/t silver
Inferred Resources containing 1.55 million ounces of gold, 420,000 tonnes of copper and 17.8 million ounces of silver
220.8 million tonnes grading 0.22 g/t gold, 0.19% copper and 2.5 g/t silver
Mineralization is still open in several directions, with significant porphyry potential beneath the current resource, with historical drilling hitting 257.2 m of 1.20 g/t gold, and 0.53% copper in porphyry dykes
Sam Leung, Chief Executive Officer and Director of Centauri, commented:
“
This new mineral resource estimate is fresh evidence that encourages modern exploration and future studies on the Rio Grande gold-copper project. With no drilling or targeting programs since 2012, Centauri now has the exciting opportunity to apply modern geophysical and geochemical tools ahead of future drilling programs on a project that already contains a substantial mineral inventory. With this resource in hand, a drill program planned for later this year and five additional exploration projects in our portfolio, Centauri is well set up to move forward to becoming a public company in the first half of 2026.”
Dr. Kevin B. Heather, Chief Geological Officer of Aldebaran Resources and Technical Advisor to Centauri, commented:
“I have been directly involved in the exploration at the Rio Grande gold-copper project since 2004 and we have always felt the project needed additional exploration to realize its full potential. The MRE reported here marks a significant milestone in the resurrection of the project, and I look forward to working with the Centauri team to unlock significant value in the future.”
Mineral Resource Estimate
SLR Consulting (Canada) Ltd. (“SLR”) was retained by Centauri to complete a National Instrument (“NI”) 43-101 Technical Report and Mineral Resource Estimate update for the Rio Grande gold-copper project, located in Salta Province, Argentina. The Rio Grande gold-copper property is located in the Altiplano of northwest Argentina and supported by established infrastructure that services regional mines. The property ranges in elevation between 3,700 m and 4,700 m above sea level and is located approximately 260 km west of the city of Salta, 40 km east of the Chilean border, and 9 km from the operating Lindero gold-copper mine. SLR visited the Rio Grande property from December 5 to 7, 2025.
To generate a new resource pit shell, SLR applied new Whittle input parameters to the 2018 resource block model from the NI 43-101 Technical Report and MRE completed by Roscoe Postle Associates Inc. (“RPA” – since acquired by SLR in 2019) and dated August 17, 2018. There has been no new drilling or trenching work carried out at Rio Grande since 2013.
RPA used Datamine Studio RM and Leapfrog Geo software to build the resource block model. The resource database contains drilling and trenching data to the end of November 2012. The database is comprised of 124 drill holes for a total of 74,201 m of drilling and 84 trenches with a total length of 9,489 m. Both drill holes and trenches were used for resource estimation. Wireframes for geology and mineralization were constructed in Leapfrog Geo based on geology sections, assay results, and lithological information. Assays were capped to various levels based on exploratory data analysis and then composited to four metre lengths.
Wireframes were filled with blocks measuring 10 m by 10 m by 10 m with sub-celling at wireframe boundaries. Blocks were interpolated with grade using Ordinary Kriging. Block estimates were validated using industry-standard validation techniques. Classification of blocks was based on distance criteria. Definitions for resource categories are consistent with CIM (2014) definitions as incorporated into NI 43-101. Blocks were classified as Indicated and Inferred based on the following criteria:
Indicated Mineral Resources: Blocks located within areas drilled at 100 m spacing and demonstrating reasonable continuity above the cut-off grade; and
Inferred Mineral Resources: Blocks located within 200 m of the nearest drill hole.
The Rio Grande project is situated next to the operating Lindero Au-Cu mine (Figure 1) and it includes five Mineral Resource areas, ranked by relative contribution: Discovery–Sofía, Central (West and East), North, Southwest, and Seven (Figure 2).
The conceptual processing strategy for Rio Grande includes Heap Leach with SART for oxide material, a combined Heap Leach–SART and flotation approach for transitional material, and flotation for sulphide material. While several viable gold and copper recovery options have been evaluated, the final process flowsheet has not yet been defined and will require additional metallurgical test work. Each process assumes different recoveries for gold, copper, and silver. The updated MRE for Rio Grande is provided in Table 1. A supporting NI 43-101 Technical Report will be filed on SEDAR at
www.sedarplus.com
within 45 days.
Table 1:
Rio Grande Open Pit Mineral Resource Estimate - February 15, 2026
Category
Oxidation
Tonnes
(Mt)
Au
(g/t)
Cu
(%)
Ag
(g/t)
Au
(koz)
Cu
(kt)
Ag
(Moz)
Indicated
Oxide
94.1
0.26
0.20
2.1
781
188
6.3
Transitional
47.3
0.34
0.33
3.6
523
156
5.5
Sulphide
12.3
0.36
0.29
2.3
144
36
0.9
Indicated
153.7
0.29
0.25
2.6
1,448
384
12.7
Inferred
Oxide
144.5
0.19
0.16
2.2
898
231
10.3
Transitional
75.6
0.26
0.24
3.0
643
181
7.4
Sulphide
0.7
0.25
0.24
4.1
6
2
0.1
Inferred
220.8
0.22
0.19
2.5
1,547
420
17.8
Notes:
1)   CIM (2014) definitions were followed for Mineral Resources.
2)   Mineral Resources are reported within a preliminary open pit resource shell.
3)   The quantity and grade of reported Inferred Mineral Resources in the updated MRE are uncertain in nature and there has been insufficient exploration to define these Inferred Mineral Resources as Indicated Mineral Resources. However, it is reasonably expected that the majority of Inferred Mineral Resources could be upgraded to Indicated Mineral Resources with continued exploration.
4)   Mineral Resources are estimated at a net smelter return (NSR) cut-off grade of US$10.25/t for oxide.
5)   US$15.00/t for Transition and US$9.50/t for sulphide.
6)   Mineral Resources are estimated using a long-term gold price of US$3,000 per ounce, copper price of US$4.50 per pound and silver price of US$45 per ounce.
7)   Bulk density is 2.41 t/m³ oxide, 2.50 t/m³ oxide, and 2.62 t/m³ sulphide.
8)   Metallurgical recoveries vary from 83% to 90% for gold, 29% to 64% for copper, and 0% to 41% for silver.
9)   Numbers may not add due to rounding.
10)   The updated MRE for Rio Grande may be materially affected by environmental, permitting, legal, title, taxation, socio-political, marketing or other relevant issues.
Exploration Potential
Mineralization at Rio Grande remains open at depth in all of the known zones, particularly in the Sofia and Southwest zones. Drilling completed to date has primarily tested the upper portions of the mineralized system, however many of the existing drill holes terminated in sulphide mineralization. In addition, geological interpretation indicates potential for deeper sulphide extensions of the known zones, with historic drilling intercepting mineralization in porphyry dykes whose source has yet to be discovered. This potential is conceptual in nature, and insufficient drilling has been completed to define additional Mineral Resources; however, the observed continuity of alteration and structural controls supports continued exploration.
Centauri Next Steps
Centauri is currently working on the legal and commercial requirements to complete the previously announced spinout and go-public event, expected to be completed in the first half of 2026. In addition, Centauri is building out a management and exploration team to advance the exploration portfolio, including developing new drill targets for the Rio Grande project with the intention to commence a drill program on the project in 2026.
Value to Aldebaran Shareholders
Aldebaran and Centauri have executed a definitive share transfer agreement pursuant to which Centauri will acquire all of the shares of Aldebaran Argentina S.A. and Minera El Toro S.A., the Aldebaran subsidiaries that hold the Rio Grande, Aguas Calientes, and four other early-stage mineral exploration properties in Argentina. In exchange, Aldebaran will receive 40,000,000 common shares (representing approximately 78% of the currently outstanding Centauri shares, with the balance owned by investors in the recent placement by Centauri. The share transfer is subject to certain conditions, and closing is expected to occur in the first quarter of 2026 (see Company news release dated October 24, 2025). Aldebaran intends to distribute shares of Centauri to Aldebaran shareholders upon a go-public event for Centauri. Aldebaran may elect to distribute the Centauri shares all at once or in stages and may retain a minority interest in Centauri. The formation of Centauri allows Aldebaran shareholders to maintain their exposure to the Altar copper-gold project in San Juan, Argentina, while also receiving additional value from the other properties currently owned by Aldebaran through the shares in Centauri that they will ultimately receive.
Qualified Person’s Statement
The updated Mineral Resource estimate was prepared by Mr. Benjamin Sanfurgo FAusIMM, ChMC, SLR Managing Principal Geologist. Mr. Sanfurgo is an independent qualified person (“QP”) as defined by NI 43-101. Mr. Sanfurgo has reviewed, verified and approved the technical information related to the MRE in this announcement.
For further information or to subscribe to the Centauri news list, please contact:
Sam Leung
CEO and Director
Centauri Minerals Inc.
Phone: +1 416 206 4187
Email: sam.leung@centauriminerals.com
Ben Cherrington
Manager, Investor Relations
Aldebaran Resources Inc.
Phone: +1 347 394-2728 or +44 7538 244 208
Email: ben.cherrington@aldebaranresources.com
About Aldebaran Resources Inc.
Aldebaran is a mineral exploration company that was spun out of Regulus Resources Inc. in 2018 and has the same core management team. Aldebaran holds an 80% interest in the Altar copper-gold project in San Juan Province, Argentina. The Altar project hosts multiple porphyry copper-gold deposits with potential for additional discoveries. Altar forms part of a cluster of world-class porphyry copper deposits which includes Los Pelambres (Antofagasta Minerals), El Pachón (Glencore), and Los Azules (McEwen Copper). In November 2024, the Company announced an updated mineral resource estimate for Altar, prepared by Independent Mining Consultants Inc. (“IMC”) and based on the drilling completed up to and including the 2023-24 field season (independent technical report prepared by IMC, Tucson, Arizona, titled “Technical Report, Estimated Mineral Resources, Altar Project, San Juan Province, Argentina”, dated December 31, 2024 - see news release dated November 25, 2024). In October 2025, the Company announced a Preliminary Economic Assessment for Altar, prepared by SRK Consulting Inc. (“SRK”) (independent technical report prepared by SRK, titled “NI 43-101 Technical Report Preliminary Economic Assessment, Altar Project, San Juan, Argentina”, dated September 30, 2025 – see news release dated October 30, 2025).
About Centauri Minerals Inc.
Centauri Minerals Inc. is a new mineral exploration company focused on Northern Argentina, a mining region of increasing global significance. Centauri holds 100%-interest in a portfolio of exploration projects spanning over 43,000 hectares in the provinces of Salta, Catamarca and Jujuy, which was spun-out from Aldebaran Resources Inc. The most advanced is the Rio Grande gold-copper project located in Salta, which has an independent NI 43-101 compliant mineral resource estimate that highlights significant gold and copper quantities. Centauri has offices and facilities in Salta, Argentina and Vancouver, Canada. It is currently a private company majority owned by Aldebaran Resources Inc. with plans to become a public company in 2026.
Forward-Looking Statements
Certain statements regarding Aldebaran, including management's assessment of future-plans and operations, may constitute forward-looking statements under applicable securities laws and necessarily involve known and unknown risks and uncertainties, most of which are beyond Aldebaran's control. Often, but not always, forward-looking statements or information can be identified by the use of words such as ""plans"", ""expects"" or ""does not expect"", ""is expected"", ""budget"", ""scheduled"", ""estimates"", ""forecasts"", ""intends"", ""anticipates"" or ""does not anticipate"" or ""believes"" or variations of such words and phrases or statements that certain actions, events or results ""may"", ""could"", ""would"", ""might"" or ""will"" be taken, occur or be achieved.
Specifically, and without limitation, all statements included in this press release that address activities, events or developments that Aldebaran expects or anticipates will or may occur in the future, including the potential of the Rio Grande Project, the amounts and types of Mineral Resources and the recoverability thereof, timing for filing the updated MRE, the significance of exploration results, the ability to continue exploration, future exploration and development plans, corporate and technical objectives, proposed spinout of properties into a newly formed company described herein, the financing plans of Centauri, the expected structure of the proposed transactions, the intent to have Centauri shares listed on an exchange, and management's assessment of future plans and operations and statements with respect to the completion of the anticipated exploration and development programs, may constitute forward-looking statements under applicable securities laws and necessarily involve known and unknown risks and uncertainties, most of which are beyond Aldebaran's control. Factors that could affect outcomes include future prices and the supply of metals, future demand for metals, results of drilling and other exploration activities, the ability of exploration results to accurately predict mineralization, errors in geological modelling, environmental liabilities, general business, economic, competitive, political and social uncertainties, risks of the mining industry, governmental approvals, the inability to obtain satisfactory financing for Centauri, and inability to obtain the necessary approvals for the proposed transactions. These risks may cause actual financial and operating results, performance, levels of activity and achievements to differ materially from those expressed in, or implied by, such forward-looking statements. Although Aldebaran believes that the expectations represented in such forward-looking statements are reasonable, there can be no assurance that such expectations will prove to be correct. The forward-looking statements contained in this press release are made as of the date hereof and Aldebaran does not undertake any obligation to publicly update or revise any forward-looking statements or information, whether as a result of new information, future events or otherwise, unless so required by applicable securities law.
Figure 1: Rio Grande Project Location Map – approximately 9 km northwest of the operating Lindero gold copper mine (Fortuna Mining Corp.)
Figure 2:
Rio Grande Mineral Resource Areas and Resource Pit Shell
Figure 3: Rio Grande Mineral Resource Block Model and Resource Pit Shell
Photos accompanying this announcement are available at
https://www.globenewswire.com/NewsRoom/AttachmentNg/f28eb55c-56eb-4349-8328-4ed0b804b1bc
https://www.globenewswire.com/NewsRoom/AttachmentNg/badda586-0f04-427c-8882-b42b17b5b100
https://www.globenewswire.com/NewsRoom/AttachmentNg/0603e13e-0a46-42f4-a11b-652fbdfa9e4e
Figure 1
Rio Grande Project Location Map
Figure 2
Rio Grande Mineral Resource Areas and Resource Pit Shell
Figure 3
Rio Grande Mineral Resource Block Model and Resource Pit Shell
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ALDE\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ALDE/news_html/2026-03-02.html,,CHANGED,"Updated MRE at Rio Grande: 1.45 Moz Au, 384 kt Cu, 12.7 Moz Ag indicated",Rio Grande,,2024-01-31,2024-04-02
stockwatch,ALDE,Aldebaran Resources Inc.,2026-02-26,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134039.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ALDE,Aldebaran Resources Inc.,2026-02-26,INTERIM_MDA_EN,gold and precious metals,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6134032.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ALDE\pdfs\MD&A\2026-02-26_ALDE_MD&A_INTERIM_MDA_EN.pdf,22,667,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ALDE/2026-02-26_ALDE_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ALDE,Aldebaran Resources Inc.,2026-02-26,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134035.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ALDE,Aldebaran Resources Inc.,2026-02-26,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134036.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ALDE,Aldebaran Resources Inc.,2026-02-26,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134030.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ALDE,Aldebaran Resources Inc.,2026-02-18,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Aldebaran closes $5-million private placement,https://www.stockwatch.com/News/Item/Z-C!ALDE-3786469/C/ALDE,3786469,https://www.stockwatch.com/News/Sedardoc/6126529.pdf,,0,0,no,,"2026-02-18 20:59 ET - News Release
Mr. John Black reports
ALDEBARAN ANNOUNCES CLOSING OF CONCURRENT PRIVATE PLACEMENT
Aldebaran Resources Inc. has closed its previously announced private placement offering of common shares of the company. Pursuant to the offering, the company issued 1,538,462 common shares at a price of $3.25 per common share for aggregate gross proceeds of $5,000,001.50. The common shares issued pursuant to the offering are subject to a statutory hold period until June 18, 2026.
The offering was completed in connection with the previously announced private placement under Part 5A of National Instrument 45-106 (Prospectus Exemptions), as amended by Coordinated Blanket Order 45-935 (Exemptions from Certain Conditions of the Listed Issuer Financing Exemption) (see press releases dated Jan. 26, Jan. 27, Feb. 3 and Feb. 5), which closed on Feb. 5, 2026. Collectively between the offering and the LIFE offering, the company issued 13,923,157 common shares for total gross proceeds of $45,250,260.50.
Certain funds controlled by the company's largest shareholder, Route One Investment Company LLC, acquired the 1,538,462 common shares issued pursuant to the offering, which constitutes a related-party transaction pursuant to Multilateral Instrument 61-101 (Protection of Minority Securityholders in Special Transactions). The company has relied on the exemptions from the formal valuation and securityholder approval requirements contained in sections 5.5(a) and 5.7(1)(a) of MI 61-101, respectively, on the basis that the fair market value of the of the offering is not more than 25 per cent of the company's market capitalization. A material change report was not filed more than 21 days in advance of closing the offering as details of Route One's participation were not determined until a short period of time prior to closing. Further information concerning the offering is available in a material change report dated Feb. 11, 2026, and available on the company's profile at SEDAR+.
The company intends to use the net proceeds from the offering to complete a prefeasibility study on its Altar copper-gold project in San Juan province, Argentina, and for general working capital purposes.
About Aldebaran Resources Inc.
Aldebaran is a mineral exploration company that was spun out of Regulus Resources Inc. in 2018 and has the same core management team. Aldebaran holds an 80-per-cent interest in the Altar copper-gold project in San Juan province, Argentina. The Altar project hosts multiple porphyry copper-gold deposits with potential for additional discoveries. Altar forms part of a cluster of world-class porphyry copper deposits, which includes Los Pelambres (Antofagasta Minerals), El Pachon (Glencore) and Los Azules (McEwen Copper). In November, 2024, the company announced an updated mineral resource estimate for the Altar project, prepared by Independent Mining Consultants Inc. and based on the drilling completed up to and including the 2023-24 field season (independent technical report prepared by Independent Mining Consultants Inc., Tucson, Ariz., titled ""Technical Report, Estimated Mineral Resources, Altar Project, San Juan Province, Argentina,"" dated Dec. 31, 2024 -- see news release dated Nov. 25, 2024).
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ALDE\news_html\2026-02-18.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ALDE/news_html/2026-02-18.html,,NONE,Closed $5 million private placement,,,2024-01-31,2024-04-02
stockwatch,ALDE,Aldebaran Resources Inc.,2026-02-13,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6125092.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,ALDE,Aldebaran Resources Inc.,2026-02-11,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6122931.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ALDE\pdfs\MaterialChange\2026-02-11_ALDE_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,3,220,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ALDE/2026-02-11_ALDE_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Bought deal private placement closed,,,,,2024-01-31,2024-04-02
stockwatch,ALDE,Aldebaran Resources Inc.,2026-02-11,MATERIAL_DOCUMENTS,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6122932.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
