source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,APGO,"Apollo Silver Corp. formerly, Apollo Gold and Silver Corp.",2026-03-11,AUDITED_ANNUAL_FINANCIAL_STATEMENTS_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6145689.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,APGO,"Apollo Silver Corp. formerly, Apollo Gold and Silver Corp.",2026-03-11,AB_FORMF1,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6145690.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,APGO,"Apollo Silver Corp. formerly, Apollo Gold and Silver Corp.",2026-03-11,MDA_EN,gold and precious metals,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6145691.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\APGO\pdfs\MD&A\2026-03-11_APGO_MD&A_MDA_EN.pdf,33,1230,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/APGO/2026-03-11_APGO_MD&A_MDA_EN.pdf,,,,,,,,,2023-12-31,2024-03-30
stockwatch,APGO,"Apollo Silver Corp. formerly, Apollo Gold and Silver Corp.",2026-03-11,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6145692.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,APGO,"Apollo Silver Corp. formerly, Apollo Gold and Silver Corp.",2026-03-11,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6145693.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,APGO,"Apollo Silver Corp. formerly, Apollo Gold and Silver Corp.",2026-02-25,MANAGEMENT_INFORMATION_CIRCULAR_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6132631.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,APGO,"Apollo Silver Corp. formerly, Apollo Gold and Silver Corp.",2026-02-25,FORM_OF_PROXY_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6132632.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,APGO,"Apollo Silver Corp. formerly, Apollo Gold and Silver Corp.",2026-02-25,OTHER,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6132633.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,APGO,"Apollo Silver Corp. formerly, Apollo Gold and Silver Corp.",2026-02-25,OTHER,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6132634.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,APGO,"Apollo Silver Corp. formerly, Apollo Gold and Silver Corp.",2026-02-25,NOTICE_OF_MEETING_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6132635.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
