source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,AVL,Avalon Advanced Materials Inc.,2025-11-28,ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6074245.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\AVL\pdfs\AIF\2025-11-28_AVL_AIF.pdf,94,1327,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/AVL/2025-11-28_AVL_AIF.pdf,,,,,,,,,2025-08-31,2025-11-28
stockwatch,AVL,Avalon Advanced Materials Inc.,2026-03-04,OTHER_SECURITYHOLDERS_DOCUMENTS_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6140228.pdf,,0,0,no,,,,,,,,,,2025-08-31,2025-11-28
stockwatch,AVL,Avalon Advanced Materials Inc.,2026-03-04,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Avalon Advanced rehires Marsh for Nechalacho work,https://www.stockwatch.com/News/Item/Z-C!AVL-3792588/C/AVL,3792588,https://www.stockwatch.com/News/Sedardoc/6139970.pdf,,0,0,no,,"2026-03-04 15:28 ET - News Release
Mr. Scott Monteith reports
AVALON RE-ENGAGES DAVE MARSH TO SUPPORT NECHALACHO RARE EARTH PROJECT DEVELOPMENT & ADVANCEMENT
Dave Marsh has rejoined Avalon Advanced Materials Inc. on a contract basis to support continuing process development and the advancement of updated feasibility work at the Nechalacho rare earths and zirconium project in the Northwest Territories.
Mr. Marsh previously served as chief operating officer and senior vice-president, metallurgy, at Avalon, where he led the metallurgical and process development programs supporting the company's 2013 feasibility study for the Nechalacho project. His re-engagement provides strategic continuity as Avalon advances updated feasibility work for the project.
Drawing on his first-hand expertise of Nechalacho's original development and its evolution, Mr. Marsh will work closely with Wood Engineering and Avalon's technical team to adapt the project's metallurgical flow sheet to reflect current technical, commercial and geopolitical realities. This includes incorporating advances in rare earth processing technologies, evolving infrastructure and logistics considerations, and the growing emphasis on secure, allied supply chains for critical minerals.
Over the past decade, the geopolitical importance of critical minerals has intensified, with rare earth elements now widely recognized as essential to economic and national security. Through Mr. Marsh's past contributions and continuing work, Nechalacho is positioned as a technically derisked and strategically significant project, aligned with allied supply chain priorities and critical to Canada's role in strengthening North America's critical minerals resilience.
""We are very pleased to welcome Dave back to Avalon at this important stage in the advancement of the Nechalacho project,"" said Scott Monteith, president and chief executive officer. ""Dave brings a rare combination of deep metallurgical expertise and invaluable institutional knowledge, having played a central role in the development of the project's 2013 definitive feasibility study. His experience will be instrumental as we refresh the project's technical foundation and advance Nechalacho toward its next phase of development.""
""Nechalacho is recognized as one of North America's most advanced rare earth projects and hosts exceptionally high concentrations of the four magnet rare earth elements most critical to defence and advanced manufacturing. Its technical foundation provides a strong platform as we advance toward updated feasibility and development readiness. By incorporating updated metallurgical approaches and current market realities, we can position the project for financing and long-term integration into allied rare earth supply chains. I'm pleased to re-engage at this pivotal stage in the project's evolution,"" said Mr. Marsh.
Mr. Marsh is currently the chief executive officer of URE Consulting Inc., Canada, and brings more than 30 years of global experience in metallurgical process design, implementation and project development across a range of commodities, including rare earth elements, uranium, gold, heavy minerals and platinum group metals. His technical expertise spans engineering design, pilot plant development, feasibility studies and project execution.
Project highlights:
Nechalacho is the largest rare earth project in North America to reach feasibility-level evaluation; it contains the continent's richest deposit of the four rare earth elements most critical to position Canada as a secure and strategic supplier while reducing global dependence on monopolized sources;
Strong project fundamentals are supported by a 2013 definitive feasibility study (DFS) completed by SNC-Lavalin and a National Instrument 43-101 technical report prepared by Micon, confirming the project's technical and economic viability; regulatory pathway derisked with land use permit and water licence secured;
The company has engaged Wood Canada Ltd. to commence a refresh of Nechalacho's technical and economic basis through an updated PEA (preliminary economic assessment) and NI 43-101 technical report; following the PEA, the company's plan is to transition into a full definitive feasibility study, positioning the project for construction and financing readiness;
Actively engaging with Canadian and U.S. government stakeholders and strategic partners;
Engaged SCP Resource Finance as strategic capital adviser to support the development of a long-term capital and partnership strategy in connection with Avalon's lithium and rare earth element projects;
Mineralization in the Nechalacho deposit includes light rare earth elements (LREEs) found principally in allanite, monazite, bastnaesite and synchysite; yttrium, heavy rare earth elements (HREEs), niobium and tantalum found in fergusonite; niobium in ferrocolumbite; HREEs, niobium, tantalum and zirconium in zircon; and gallium in biotite, chlorite and feldspar in albitized feldspathic rocks.
About Avalon Advanced Materials Inc.
Avalon Advanced Materials is a Canadian critical minerals company advancing the supply of materials essential for Canada's future. The company is focused on developing strategic assets that support secure, domestic supply chains and long-term economic growth. Avalon is advancing the Nechalacho rare earth elements and zirconium project in the Northwest Territories, which contains all light and heavy rare earth elements as well as yttrium, zirconium, tantalum and niobium -- critical minerals used in advanced technologies across the communications, defence, clean-technology and energy sectors. The company is also focused on vertically integrating the Ontario lithium supply chain through the development of Lake Superior Lithium Inc., Ontario's first mid-stream lithium hydroxide processing facility, located in Thunder Bay. This facility will serve as a cornerstone of North America's integrated battery materials supply chain, transforming Northern Ontario lithium into essential inputs for transportation, grid storage and advanced manufacturing. Through its joint venture with SCR Sibelco NV, Avalon holds a minority interest in the Separation Rapids lithium project near Kenora, Ont.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\AVL\news_html\2026-03-04.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/AVL/news_html/2026-03-04.html,,NONE,Rehired Dave Marsh for Nechalacho project support,,,2025-08-31,2025-11-28
stockwatch,AVL,Avalon Advanced Materials Inc.,2026-03-02,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Avalon Announces the Results of its 2026 Annual and Special Meeting of Shareholders,https://www.stockwatch.com/News/Item/Z-C!AVL-3791365/C/AVL,3791365,https://www.stockwatch.com/News/Sedardoc/6137499.pdf,,0,0,no,,"2026-03-02 11:46 ET - News Release
Toronto, Ontario--(Newsfile Corp. - March 2, 2026) -
Avalon Advanced Materials Inc.
(TSX: AVL) (OTCQB: AVLNF) (""Avalon"" or the ""Company"") announces the results of its 2026 Annual and Special Meeting of Shareholders held in Toronto, Ontario on February 26, 2026 (the ""Meeting""). At the Meeting, all seven director nominees listed in the Company's information circular dated January 13, 2026, were elected as directors of the Company. The detailed results of the vote are as follows:
Director
Number of Votes
Cast
Percentage of
Votes Cast
Alan Ferry
For:
Against:
137,688,955
15,440,265
89.92%
10.08%
Timothy Haig
For:
Against:
147,144,667
5,984,553
96.09%
3.91%
Flavio Hees
For:
Against:
147,027,868
6,101,352
96.02%
3.98%
Naomi Johnson
For:
Against:
137,908,842
15,220,378
90.06%
9.94%
Alec Kodatsky
For:
Against:
145,610,766
7,518,454
95.09%
4.91%
Scott Monteith
For:
Against:
143,783,301
9,345,919
93.90%
6.10%
Harvey L.A. Yesno
For:
Against:
145,104,900
8,021,320
94.76%
5.24%
At the Meeting, shareholders also re-appointed Ernst & Young LLP as auditors of the Company, approved the continuation of the Company's Stock Option and RSU Plans, ratified the amendment to the Deferred Share Unit Plan, and approved the amendment to By-law No. 1 regarding the quorum requirement for shareholder meetings.
About Avalon Advanced Materials Inc.
Avalon Advanced Materials Inc. is a Canadian critical minerals company advancing the supply of materials essential for Canada's future. The Company is focused on developing strategic assets that support secure, domestic supply chains and long-term economic growth. Avalon is advancing the Nechalacho Rare Earth Elements and Zirconium Project in the Northwest Territories, which contains all light and heavy rare earth elements, as well as yttrium, zirconium, tantalum, and niobium-critical minerals used in advanced technologies across the communications, defense, clean tech, and energy sectors. The Company is also focused on vertically integrating the Ontario lithium supply chain through the development of Lake Superior Lithium Inc., Ontario's first midstream lithium hydroxide processing facility, located in Thunder Bay. This facility will serve as a cornerstone of North America's integrated battery materials supply chain, transforming northern Ontario lithium into essential inputs for transportation, grid storage, and advanced manufacturing.  Through its joint venture with SCR Sibelco NV, Avalon holds a minority interest in the Separation Rapids Lithium Project near Kenora, Ontario.
For further information regarding Avalon Advanced Materials Inc., please visit
www.avalonadvancedmaterials.com
, email
ir@avalonam.com
, or call 416-364-4938.
Cautionary Statement Regarding Forward-Looking Information
This news release contains ""forward-looking information"" within the meaning of applicable Canadian securities legislation. Generally, forward-looking information can be identified by the use of forward-looking terminology such as ""add"" or ""additional"", ""advancing"", ""anticipates"" or ""does not anticipate"", ""appears"", ""believes"", ""can be"", ""conceptual"", ""confidence"", ""continue"", ""convert"" or ""conversion"", ""deliver"", ""demonstrating"", ""estimates"", ""encouraging"", ""expand"" or ""expanding"" or ""expansion"", ""expect"" or ""expectations"", ""forecasts"", ""forward"", ""goal"", ""improves"", ""increase"", ""intends"", ""justification"", ""plans"", ""potential"" or ""potentially"", ""promise"", ""prospective"", ""prioritize"", ""reflects"", ""robust"", ""scheduled"", ""suggesting"", ""support"", ""top-tier"", ""updating"", ""upside"", ""will be"" or ""will consider"", ""work towards"", or variations of such words and phrases or state that certain actions, events or results ""may"", ""could"", ""would"", ""might"", or ""will be taken"", ""occur"", or ""be achieved"".
Forward-looking information is subject to known and unknown risks, uncertainties and other factors that may cause the actual results, level of activity, performance or achievements of the Company to be materially different from those expressed or implied by such forward-looking information, including those risk factors discussed or referred to in the annual information form of the Company dated November 26, 2025 (the ""AIF"") under the heading ""Description of the Business - Risk Factors"". Forward-looking information is based on the reasonable assumptions, estimates, analysis and opinions of management made in light of its experience and perception of trends, current conditions and expected developments, as well as other factors that management believes to be relevant and reasonable in the circumstances at the date that such statements are made, but which may prove to be incorrect. Although the Company believes that the assumptions and expectations reflected in such forward-looking information are reasonable, undue reliance should not be placed on forward-looking information because the Company can give no assurance that such expectations will prove to be correct. Although the Company has attempted to identify important factors that could cause actual results to differ materially from those contained in forward-looking information, there may be other factors that cause results not to be as anticipated, estimated or intended. There can be no assurance that such information will prove to be accurate, as actual results and future events could differ materially from those anticipated in such information. Accordingly, readers should not place undue reliance on forward-looking information. The Company does not undertake to update any forward-looking information, except in accordance with applicable securities laws.
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/285939
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\AVL\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/AVL/news_html/2026-03-02.html,,NONE,2026 Annual and Special Meeting results,,,2025-08-31,2025-11-28
stockwatch,AVL,Avalon Advanced Materials Inc.,2026-02-18,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Avalon to Participate in Red Cloud Securities 2026 Pre-PDAC Mining Showcase,https://www.stockwatch.com/News/Item/Z-C!AVL-3786151/C/AVL,3786151,https://www.stockwatch.com/News/Sedardoc/6126575.pdf,,0,0,no,,"2026-02-18 09:01 ET - News Release
Toronto, Ontario--(Newsfile Corp. - February 18, 2026) -
Avalon Advanced Materials Inc.
(TSX: AVL) (OTCQB: AVLNF) (""Avalon"" or the ""Company""), a Canadian critical minerals company advancing lithium and rare earth projects vital to North America's supply chain security, today announced that Lorin Crenshaw, Chief Financial Officer, will present at the Red Cloud Securities 2026 Pre-PDAC Mining Showcase in Toronto, Ontario.
The presentation is scheduled for Friday, February 27, 2026, at 10:00 a.m. ET in the Kensington Presentation Room at the Sheraton Centre Toronto Hotel. The session will include a 15-minute corporate presentation followed by a 5-minute question-and-answer period.
About Avalon Advanced Materials Inc.
Avalon Advanced Materials Inc. is a Canadian critical minerals company advancing the supply of materials essential for Canada's future. The Company is focused on developing strategic assets that support secure, domestic supply chains and long-term economic growth. Avalon is advancing the Nechalacho Rare Earth Elements and Zirconium Project in the Northwest Territories, which contains all light and heavy rare earth elements, as well as yttrium, zirconium, tantalum, and niobium-critical minerals used in advanced technologies across the communications, defense, clean tech, and energy sectors. The Company is also focused on vertically integrating the Ontario lithium supply chain through the development of Lake Superior Lithium Inc., Ontario's first midstream lithium hydroxide processing facility, located in Thunder Bay. This facility will serve as a vital link between northern Ontario's lithium resources and the growing EV battery manufacturing base in southern Ontario and North America. Through a joint venture with SCR Sibelco NV, Avalon is advancing the Separation Rapids Lithium Project near Kenora, Ontario, as well as continuing exploration at its Snowbank lithium and Lilypad lithium-cesium deposits.
For further information regarding Avalon Advanced Materials Inc., please visit
www.avalonadvancedmaterials.com
, email
ir@avalonam.com
, or call 416-364-4938.
Cautionary Statement Regarding Forward-Looking Information
This news release contains ""forward-looking information"" within the meaning of applicable Canadian securities legislation. Generally, forward-looking information can be identified by the use of forward-looking terminology such as ""add"" or ""additional"", ""advancing"", ""anticipates"" or ""does not anticipate"", ""appears"", ""believes"", ""can be"", ""conceptual"", ""confidence"", ""continue"", ""convert"" or ""conversion"", ""deliver"", ""demonstrating"", ""estimates"", ""encouraging"", ""expand"" or ""expanding"" or ""expansion"", ""expect"" or ""expectations"", ""forecasts"", ""forward"", ""goal"", ""improves"", ""increase"", ""intends"", ""justification"", ""plans"", ""potential"" or ""potentially"", ""promise"", ""prospective"", ""prioritize"", ""reflects"", ""robust"", ""scheduled"", ""suggesting"", ""support"", ""top-tier"", ""updating"", ""upside"", ""will be"" or ""will consider"", ""work towards"", or variations of such words and phrases or state that certain actions, events or results ""may"", ""could"", ""would"", ""might"", or ""will be taken"", ""occur"", or ""be achieved"".
Forward-looking information is subject to known and unknown risks, uncertainties and other factors that may cause the actual results, level of activity, performance or achievements of the Company to be materially different from those expressed or implied by such forward-looking information, including those risk factors discussed or referred to in the annual information form of the Company dated November 26, 2025 (the ""AIF"") under the heading ""Description of the Business - Risk Factors"". Forward-looking information is based on the reasonable assumptions, estimates, analysis and opinions of management made in light of its experience and perception of trends, current conditions and expected developments, as well as other factors that management believes to be relevant and reasonable in the circumstances at the date that such statements are made, but which may prove to be incorrect. Although the Company believes that the assumptions and expectations reflected in such forward-looking information are reasonable, undue reliance should not be placed on forward-looking information because the Company can give no assurance that such expectations will prove to be correct. Although the Company has attempted to identify important factors that could cause actual results to differ materially from those contained in forward-looking information, there may be other factors that cause results not to be as anticipated, estimated or intended. There can be no assurance that such information will prove to be accurate, as actual results and future events could differ materially from those anticipated in such information. Accordingly, readers should not place undue reliance on forward-looking information. The Company does not undertake to update any forward-looking information, except in accordance with applicable securities laws.
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/284254
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\AVL\news_html\2026-02-18.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/AVL/news_html/2026-02-18.html,,NONE,Participation in mining showcase announced,,,2025-08-31,2025-11-28
stockwatch,AVL,Avalon Advanced Materials Inc.,2026-02-17,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Avalon Advanced hires Bridge for Lake Superior FS,https://www.stockwatch.com/News/Item/Z-C!AVL-3785859/C/AVL,3785859,https://www.stockwatch.com/News/Sedardoc/6125377.pdf,,0,0,no,,"2026-02-17 19:07 ET - News Release
Mr. Scott Monteith reports
AVALON ADVANCED MATERIALS ENGAGES RACHEL BRIDGE AS INTERIM CONSULTANT TO FACILITATE LAKE SUPERIOR LITHIUM INC. FEASIBILITY STUDY ENGINEERING
Rachel Bridge, chief executive officer of Laira Consulting Services, has been engaged to support the advancement of Avalon Advanced Materials Inc.'s Lake Superior lithium project on an interim basis until the company employs a full-time project director. Ms. Bridge will be Avalon's representative in co-ordinating with Nordmin Engineering to advance Avalon's LSLi feasibility study that has commenced.
Ms. Bridge brings specialized experience driving the execution of technical and industrial projects across the critical mineral and resource development sectors, and, through Laira Consulting Services, she provides independent consulting support in project execution, co-ordination and technical advisory services. This engagement is intended to support the progression of engineering activities at the LSLi project as it advances from the 2024 preliminary economic assessment into the feasibility study phase, with Ms. Bridge working alongside Nordmin and Metso as work gets under way.
Ms. Bridge has worked with organizations across the mining and industrial value chain, contributing to initiatives related to project planning, operational support and stakeholder co-ordination. Her experience spans early-stage and advancing projects such as Avalon's, where clear communication, technical understanding and disciplined execution are critical to progress.
""Engaging Ms. Bridge to work with alongside Nordmin Engineering will accelerate development, mitigate risk and secure project financing,"" said Avalon president and chief executive officer Scott Monteith.
""The Lake Superior lithium project is entering a critical phase as it advances from the 2024 preliminary economic assessment into detailed feasibility study engineering. As the project progresses, we are thrilled to come aboard and prioritize cost certainty, constructability and risk reduction to position LSLi for construction readiness and long-term operational success within North America's lithium supply chain,"" said Ms. Bridge.
LSLi PEA project highlights:
After-tax net present value of $4.1-billion at an 8-per-cent discount rate and an after-tax internal rate of return of 48 per cent over a 30-year operating mine life, based on annual production of approximately 30,000 tonnes of battery-grade lithium hydroxide;
LSLi is positioned to deliver a state-of-the-art lithium hydroxide conversion facility, supplying battery-grade material to the rapidly growing electric vehicle and energy storage sectors;
Located in Thunder Bay, Ont., the project benefits from existing road, rail, deepwater port, power and municipal infrastructure, supporting accelerated development timelines and reduced execution risk;
The plant will use Metso's advanced, lower-carbon processing technology to produce 30,000 tonnes per year of lithium hydroxide; a full feasibility study is under way with Nordmin Engineering and Primero North America, selected for their extensive experience with the Metso process;
Completion of a preliminary economic assessment in September, 2024, demonstrating strong project economics, supporting advancement into the feasibility study phase;
Advancing with a strong focus on environmental responsibility, social accountability and sound governance; sustainability features include on-site renewable energy integration and responsible byproduct utilization, supporting Canada's climate objectives and Ontario's clean growth priorities.
About Avalon Advanced Materials Inc.
Avalon Advanced is a Canadian critical mineral company advancing the supply of materials essential for Canada's future. The company is focused on developing strategic assets that support secure, domestic supply chains and long-term economic growth. Avalon is advancing the Nechalacho rare earth element and zirconium project in the Northwest Territories, which contains all light and heavy rare earth elements, as well as yttrium, zirconium, tantalum and niobium, critical minerals used in advanced technologies across the communications, defence, clean tech and energy sectors. The company is also focused on vertically integrating the Ontario lithium supply chain through the development of Lake Superior Lithium Inc., Ontario's first mid-stream lithium hydroxide processing facility, located in Thunder Bay. This facility will serve as a vital link between Northern Ontario's lithium resources and the growing EV battery manufacturing base in Southern Ontario and North America. Through a joint venture with SCR Sibelco NV, Avalon is advancing the Separation Rapids lithium project near Kenora, Ont., as well as continuing exploration at its Snowbank lithium and Lilypad lithium-cesium deposits.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\AVL\news_html\2026-02-17.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/AVL/news_html/2026-02-17.html,,NONE,Engaged consultant for Lake Superior feasibility study,,,2025-08-31,2025-11-28
stockwatch,AVL,Avalon Advanced Materials Inc.,2026-02-09,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Avalon Advanced hires SCP as capital adviser,https://www.stockwatch.com/News/Item/Z-C!AVL-3783170/C/AVL,3783170,https://www.stockwatch.com/News/Sedardoc/6120527.pdf,,0,0,no,,"2026-02-09 20:35 ET - News Release
Mr. Scott Monteith reports
AVALON ADVANCED MATERIALS APPOINTS SCP RESOURCE FINANCE AS STRATEGIC CAPITAL ADVISOR FOR RARE EARTH AND LITHIUM PROJECTS
Avalon Advanced Materials Inc. has engaged SCP Resource Finance (SCP) as strategic capital adviser to support the development of a long-term capital and partnership strategy in connection with Avalon's lithium and rare earth element projects. Any future capital formation related to a strategic partnership is expected to occur primarily at the project level.
SCP will work with Avalon to identify and engage strategic investors, industrial partners and other sources of aligned capital to advance the company's critical minerals assets, including its Nechalacho rare earth project in the Northwest Territories and its proposed lithium-hydroxide processing facility in Thunder Bay, Ont.
Avalon is pursuing a disciplined approach to building a vertically integrated, North American critical minerals platform focused on supplying materials essential to energy transition, advanced manufacturing and defence applications. The engagement of SCP reflects the company's intent to pro-actively position its assets for strategic investment and partnership as its projects mature and market conditions evolve.
""As Avalon's projects move into later stages of development, the complexity and scale of strategic engagement increase materially,"" said Scott Monteith, president and chief executive officer of Avalon. ""Engaging SCP reflects our decision to formalize this work stream to ensure we are engaging the right counterparties, in the right sequence, and on terms that support long-term value creation for all stakeholders.""
Avalon will continue to evaluate capital formation alternatives consistent with its development timeline, balance sheet objectives and long-term shareholder value creation.
About SCP Resource Finance
Established in May, 2023, SCP is a leading broker dealer specialized in the global mining sector that provides research, distribution, financing and advisory to small- and mid-cap resource companies. The team at SCP has worked together since 2017, previously under the Sprott Capital Partners banner, and has raised more than $9.1-billion of capital and advised on $6.7-billion in M&A (merger and acquisition) transactions/strategic investments. Headquartered in Canada and with an office in London, SCP has one of the broadest mining investment teams globally.
About Avalon Advanced Materials Inc.
Avalon Advanced Materials is a Canadian critical minerals company advancing the supply of materials essential for Canada's future. The company is focused on developing strategic assets that support secure, domestic supply chains and long-term economic growth. Avalon is advancing the Nechalacho rare earth element (REE) and zirconium project in the Northwest Territories, which contains all light and heavy rare earth elements, as well as yttrium, zirconium, tantalum and niobium -- critical minerals used in advanced technologies across the communications, defence, clean tech and energy sectors. The company is also focused on vertically integrating the Ontario lithium supply chain through the development of Lake Superior Lithium Inc., Ontario's first mid-stream lithium hydroxide processing facility, located in Thunder Bay. This facility will serve as a vital link between Northern Ontario's lithium resources and the growing EV (electric vehicle) battery manufacturing base in Southern Ontario and North America. Through a joint venture with SCR Sibelco NV, Avalon is advancing the Separation Rapids lithium project near Kenora, Ont., as well as continuing exploration at its Snowbank lithium and Lilypad lithium-cesium deposits.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\AVL\news_html\2026-02-09.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/AVL/news_html/2026-02-09.html,,NONE,Appointment of SCP as capital adviser,,,2025-08-31,2025-11-28
stockwatch,AVL,Avalon Advanced Materials Inc.,2026-01-26,REPORT_OF_VOTING_RESULTS,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6139787.pdf,,0,0,no,,,,,,,,,,2025-08-31,2025-11-28
stockwatch,AVL,Avalon Advanced Materials Inc.,2026-01-26,NOTICE_OF_MEETING_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6109110.pdf,,0,0,no,,,,,,,,,,2025-08-31,2025-11-28
stockwatch,AVL,Avalon Advanced Materials Inc.,2026-01-26,MANAGEMENT_INFORMATION_CIRCULAR_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6109111.pdf,,0,0,no,,,,,,,,,,2025-08-31,2025-11-28
