source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,BOGO,"Borealis Mining Company Limited (formerly, 1329300 B.C. Ltd.)",2025-11-26,ANNUAL_INFORMATION_FORM_EN,gold and precious metals,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6068345.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BOGO\pdfs\AIF\2025-11-26_BOGO_AIF.pdf,63,2551,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BOGO/2025-11-26_BOGO_AIF.pdf,,,,,,,,,2025-07-31,2025-11-26
stockwatch,BOGO,"Borealis Mining Company Limited (formerly, 1329300 B.C. Ltd.)",2026-02-19,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Borealis Mining Announces Updated NI 43-101 Preliminary Economic Assessment for the Sandman Gold Project Highlighting Strong Stand-Alone Economics, ADR-Enabled Capital Efficiency and Substantial Leverage to Gold Prices",https://www.stockwatch.com/News/Item/Z-C!BOGO-3786573/C/BOGO,3786573,https://www.stockwatch.com/News/Sedardoc/6127642.pdf,,0,0,no,,"2026-02-19 07:01 ET - News Release
Vancouver, British Columbia--(Newsfile Corp. - February 19, 2026) - Borealis Mining Company Limited (TSXV: BOGO) (OTC Pink: BORMF) (FSE: L4B0) (""
Borealis
"" or the ""
Company
"") is pleased to announce the results of an updated preliminary economic assessment (""
PEA
"") for the Sandman Gold project (""
Sandman
"" or the ""
Project
"") located in Humboldt County, Nevada, USA. All dollar amounts in this press release are in United States dollars unless indicated otherwise.
The updated National Instrument 43-101 -
Standards of Disclosure for Mineral Projects
(""
NI 43-101
"") technical report reflects updated economic assumptions following Borealis' acquisition of the Project in March 2025 for approximately C$8.9 million and demonstrates substantial improvement in the economics of the Project relative to the 2023 PEA, while maintaining the same underlying mineral resource reported in 2021, which forms the basis of the updated PEA, together with the same mine plan, production profile, processing approach and metallurgical framework.
Figure 1. Project location relative to Winnemucca, major transportation corridors, and nearby mines and
infrastructure projects.
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/9344/284415_8419037874982a9d_001full.jpg
The updated PEA outlines a conventional open-pit, heap-leach gold operation with an approximately nine-year mine life, average annual production of approximately 38,000 ounces of gold, total life-of-mine production of approximately 340,000 ounces of gold and a low strip ratio of approximately 2.2 to 1. The Project is designed as a phased, capital-efficient development with rapid payback and operating characteristics consistent with similar Nevada heap-leach operations.
The economic analysis contained in the updated PEA is based on the Mineral Resource Estimate for the Sandman Project originally reported in 2021. The PEA includes inferred mineral resources that are considered too speculative geologically to have economic considerations applied to them that would enable them to be categorized as mineral reserves, and there is no certainty that the PEA will be realized. Mineral resources that are not mineral reserves do not have demonstrated economic viability.
""Our updated economic assessment reinforces our operating vision for Sandman's potential as a conventional, low-strip, heap-leach gold project capable of delivering strong production and rapid payback,"" said Andreas Steckenborn, Chief Operating Officer of Borealis. ""Because the geology, mine plan and recoveries remain unchanged from the prior study, the improved economics directly demonstrate the strength of the asset in today's gold price environment.""
""The updated PEA clearly illustrates the scale of value created since Borealis acquired Sandman for approximately C$8.9 million,"" said Kelly Malcolm, President and Chief Executive Officer of Borealis. ""Advancing the Project to an updated study demonstrating more than US$200 million in base-case NPV and substantial leverage to higher gold prices underscores Sandman's importance within our Nevada portfolio. Equally important, the ability to leverage Borealis' existing ADR infrastructure provides a credible, capital-efficient pathway toward potential future production and cash flow.""
Updated PEA Base-Case Results (Post-Tax) at US$2,600 Gold:
Internal Rate of Return of approximately 105%
Net Present Value at a 6% discount rate of approximately US$203 million
Average annual cash flow of approximately US$36 million
Undiscounted cumulative cash flow of approximately US$290 million
Payback period of approximately 1.1 years from first production
All-in sustaining cost of approximately US$1,823 per ounce
Initial capital of approximately US$36 million and total life-of-mine capital of approximately US$57 million
Total life-of-mine gold production of approximately 340,000 ounces
Table 1. Summary of updated Sandman PEA base-case economics including NPV, IRR, payback, AISC, capital intensity, annual production and mine life.
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/9344/284415_borealis1.jpg
The updated PEA uses a base-case gold price of US$2,600 per ounce compared to US$1,800 per ounce in the 2023 study and incorporates updated capital and operating cost assumptions reflecting current industry conditions. Despite cost inflation, Sandman continues to demonstrate strong margins, rapid payback and meaningful free cash flow generation. The updated PEA demonstrates strong leverage to gold price. At a gold price of US $4,550 per ounce, the sensitivity analysis indicates a post-tax NPV of approximately US$696 million and an IRR of approximately 289%, while maintaining the same mine plan and operating assumptions.
Value Uplift Relative to the 2023 PEA
Compared to the 2023 PEA, the updated study demonstrates:
Increase in post-tax IRR of approximately 24 percentage points
Increase in NPV (6 %) of approximately US$82 million
Increase in average annual cash flow of approximately US$13 million
Increase in undiscounted cumulative cash flow of approximately US$115 million
Faster capital payback by approximately 0.2 years
Table 2. Comparison of key post-tax economic metrics between the 2023 PEA and the updated 2026 PEA, along with a ""spot case"" from the 2026 sensitivity study, comparable to recent gold prices.
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/9344/284415_borealis2.jpg
This improvement is driven primarily by updated economic inputs and gold price assumptions rather than changes to geology, mine design or metallurgical recovery.
Operating and Capital Cost Profile
Average life-of-mine operating cost is estimated at approximately US$29 per tonne processed. Total life-of-mine capital is estimated at approximately US$57 million, including sustaining and working capital. While higher than the 2023 study, capital intensity remains modest relative to projected cash flow and payback.
Full Post-Tax Sensitivity Analysis
The updated PEA demonstrates strong leverage to gold price and moderate sensitivity to operating and capital costs across a wide range of assumptions.
Table 3. Post-tax sensitivity of NPV(6%) and IRR to changes in gold price, capital cost and operating cost assumptions.
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/9344/284415_borealis3.jpg
The updated PEA base case assumes a gold price of US$2,600 per ounce. Recent market prices for gold have traded materially above this level, including spot prices exceeding US$5,000 per ounce during early 2026. While such prices are not assumed in the base-case economic analysis, the sensitivity results indicate that at a gold price of US$4,550 per ounce the Project would generate a post-tax NPV of approximately US$696 million and an IRR of approximately 289%, highlighting Sandman's significant leverage to higher gold prices.
ADR-Enabled Capital Efficiency and Strategic Integration
The Borealis Mine hosts an active adsorption-desorption-recovery (""
ADR
"") processing facility with available capacity to process loaded carbon from Sandman, consistent with development scenarios contemplated in both the 2023 and updated 2026 PEAs. Utilization of this existing infrastructure has the potential to materially reduce Sandman's standalone capital requirements, enhance overall capital efficiency and accelerate the pathway toward production and cash flow.
Next Steps
Borealis is now focused on advancing Sandman through the technical work required to support a construction decision, with an emphasis on timelines, execution readiness, and capital-efficient development.
The Company is in the final stages of selecting an independent engineering firm to support rapid progression toward project advancement. This work is expected to include detailed mine planning, infrastructure design, and refinement of capital and operating cost estimates, together with targeted trade-off studies aimed at optimizing development sequencing and maximizing integration with existing Borealis infrastructure.
Sunstone Environmental Solutions of Reno, Nevada, has been contracted to advance environmental baseline programs to support future permitting and position the Project along an efficient regulatory pathway in Nevada. These programs are being advanced in parallel with engineering activities to help reduce overall development timelines.
Additional metallurgical testwork is planned to confirm recovery assumptions and optimize heap-leach performance, with the objective of improving operating efficiency and further strengthening the Project's capital profile ahead of potential development.
At the same time, Borealis intends to continue evaluating exploration upside across the broader Sandman land package. The Project benefits from an existing, property-wide Exploration Plan of Operations, providing a clear regulatory framework to support future drilling, target expansion, and resource growth efforts alongside development planning. The Company is well financed to advance these exploration initiatives following the C$23 million financing completed in January 2026.
Collectively, these initiatives are intended to position Sandman for a timely, disciplined path toward potential construction.
Qualified Person and Technical Disclosure
The scientific and technical information contained in this news release is based on, and fairly represents, information prepared by Jerod Eastman, President of DJ 6E Consulting LLC, an independent Qualified Person as defined under NI 43-101. Mr. Eastman is responsible for the entirety of the updated PEA and has reviewed and approved this news release.
The PEA is preliminary in nature and includes inferred mineral resources that are considered too speculative geologically to have economic considerations applied that would enable them to be categorized as mineral reserves. There is no certainty that the PEA will be realized. Mineral resources that are not mineral reserves do not have demonstrated economic viability.
About Borealis
Borealis Mining is a gold mining and exploration company focused on exploration and the resumption of production of the Borealis Gold Mine in Nevada and the advancement of its Sandman project also in Nevada. The Borealis Gold Mine is a fully permitted mine site, equipped with active heap leach pads, an ADR facility, and all necessary infrastructure to support a heap leach gold mining operation. In addition to the mine, the property, comprised of 815 unpatented mining claims of approximately 20 acres each totaling approximately 16,300 acres and one unpatented mill site claim of about five acres located in western Nevada, is highly prospective for additional high-sulfidation gold mineralization. The Sandman project, recently acquired through the acquisition of Gold Bull Resources Inc., is an advanced exploration project with a recently completed (2021) NI 43-101 compliant resource and a recent (2023) Preliminary Economic Assessment which indicates compelling economics, particularly in light of the increase in commodity prices since publication of the study. Borealis is led by a strong board and management team, many of whom have founded, managed, and sold highly successful mining and exploration companies.
For further information, please contact:
Kelly Malcolm
President and Chief Executive Officer
info@BorealisMining.com
Office: (289) 371-3371
Certain statements in this news release, including statements regarding the results of the Sandman PEA and the Company's ongoing production decision and operations at the Borealis Gold Mine, constitute forward-looking statements within the meaning of applicable securities legislation. Such forward-looking statements are based on the opinions and estimates of management and are subject to a variety of risks and uncertainties and other factors that could cause actual events or results to differ materially from those projected in the forward-looking statements. Forward-looking statements are often, but not always, identified by the use of words such as ""seek"", ""anticipate"", ""budget"", ""plan"", ""continue"", ""estimate"", ""expect"", ""forecast"", ""may"", ""will"", ""project"", ""predict"", ""potential"", ""targeting"", ""intend"", ""could"", ""might"", ""should"", ""believe"" and similar words suggesting future outcomes or statements regarding an outlook.  Such risks and uncertainties include, but are not limited to, risks associated with the mining industry (including operational risks in exploration development and production; delays or changes in plans with respect to exploration or development projects or capital expenditures; the uncertainties involved in the discovery and delineation of mineral deposits, resources or reserves; the uncertainty of resource and reserve estimates and the ability to economically exploit resources and reserves; the uncertainty of estimates and projections in relation to production, costs and expenses; the uncertainty surrounding the ability of the Company to obtain all permits, consents or authorizations required for its operations and activities; and health and safety and environmental risks), the risk of commodity price and foreign exchange rate fluctuations, the ability of the Company to fund the capital and operating expenses necessary to achieve the business objectives of the Company, the uncertainty associated with commercial negotiations and negotiating with foreign governments and risks associated with international business activities, as well as those risks described in public disclosure documents filed by the Company.  Due to the risks, uncertainties and assumptions inherent in forward-looking statements, prospective investors in securities of the Company should not place undue reliance on these forward-looking statements.
Readers are cautioned that the foregoing lists of risks, uncertainties and other factors are not exhaustive.  The forward-looking statements contained in this press release are made as of the date hereof and the Company undertakes no obligation to update publicly or revise any forward-looking statements contained in this press release or in any other documents filed with Canadian securities regulatory authorities, whether as a result of new information, future events or otherwise, except in accordance with applicable securities laws.  The forward-looking statements contained in this press release are expressly qualified by this cautionary statement.
Neither TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this press release.
The decision to increase production at the Borealis Gold Mine and the Company's ongoing mining operations as referenced herein (the ""
Production Decision and Operations
"") are based on internal models prepared by the Company in conjunction with management's knowledge of the property. The Production Decision and Operations are not based on a preliminary economic assessment, a pre-feasibility study or a feasibility study of mineral reserves demonstrating economic and technical viability. Accordingly, there is increased uncertainty and economic and technical risks of failure associated with the Production Decision and Operations, in particular: the risk that mineral grades will be lower than expected; the risk that ongoing mining operations are more difficult or more expensive than expected; and production and economic variables may vary considerably, due to the absence of a detailed economic and technical analysis in accordance with NI 43-101.
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/284415
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BOGO\news_html\2026-02-19.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BOGO/news_html/2026-02-19.html,,NONE,Updated PEA for Sandman Gold Project,,,2025-07-31,2025-11-26
stockwatch,BOGO,"Borealis Mining Company Limited (formerly, 1329300 B.C. Ltd.)",2026-01-29,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Borealis completes first production blast at Borealis,https://www.stockwatch.com/News/Item/Z-C!BOGO-3779551/C/BOGO,3779551,https://www.stockwatch.com/News/Sedardoc/6112743.pdf,,0,0,no,,"2026-01-29 15:09 ET - News Release
Mr. Kelly Malcolm reports
BOREALIS MINING ANNOUNCES FIRST PRODUCTION BLAST AT BOREALIS GOLD MINE, NEVADA
Borealis Mining Company Ltd. has successfully completed its first production blast at the Borealis gold mine, located near Hawthorne, Nev. The blast, completed on Wednesday, Jan. 28, 2026, marks a key milestone in the restart of the Borealis gold mine and the transition into sustained mining operations.
The inaugural production blast was completed within the permitted East Ridge open pit and successfully fragmented approximately 40,000 short tons of material. This blast represents the first large-scale production shot since the initiation of the company's mine restart program and confirms operational readiness following site preparation, contractor mobilization and commissioning activities.
""The completion of our first blast is a defining operational milestone for Borealis,"" said Andreas Steckenborn, chief operating officer of Borealis. ""It reflects the successful execution of our restart plan and the efforts of our site team and contractors. With this milestone achieved, we are focused on safely advancing toward consistent, sustained mining operations.""
Following the successful blast, material will be excavated and hauled to the heap-leach pad as part of the company's planned mining sequence. Initial stacking activities are expected to occur as mining advances, followed by leaching and solution processing through the on-site ADR (adsorption, desorption and recovery) facility. Borealis is advancing the restart in a staged manner, prioritizing safety, operating discipline and steady execution as the operation ramps up.
The Borealis gold mine benefits from substantial existing infrastructure, including multiple permitted open pits, a permitted heap-leach pad and an on-site ADR plant. This infrastructure significantly reduces restart risk and capital intensity compared with a greenfield development and allows the company to advance toward gold production using a conventional open-pit, heap-leach operating model.
The Borealis gold mine is located within a well-established Nevada mining jurisdiction with access to infrastructure, skilled labour  and experienced service providers. The company believes the successful completion of the first production blast demonstrates the effectiveness of its restart strategy and reinforces Borealis's position as a growing gold producer in Nevada.
Borealis remains focused on safe operations, disciplined execution and long-term value creation as it advances the Borealis gold mine toward sustained production while continuing to evaluate regional exploration opportunities and operational synergies within its broader Nevada asset portfolio.
Qualified person
Technical information contained in this press release has been reviewed and approved by Kelly Malcolm, PGeo, a non-independent qualified person as defined under National Instrument 43-101.
Borealis gold mine
The Borealis gold mine property, located close to the town of Hawthorne, Nev., is fully equipped for present mine operations and future expansion, with existing open pits, heap-leach pads, modern infrastructure and a functional ADR facility that produces dore bars. The project has historically produced over 600,000 ounces of gold from an open-pit heap-leach operation. It is an underexplored property and has not been drilled since 2011, aside from Borealis Mining's modest efforts in 2024 and 2025. The property possesses high-grade expansion potential with robust historical drilling results, along with a number of untested regional targets.
Please see the Borealis gold mine technical report entitled ""NI 43-101 Technical Report, Project Status Report, Borealis Mine, Nevada, U.S.A.,"" written by Douglas Reid, PEng of SRK Consulting, dated Feb. 16, 2024. The report can be found on SEDAR+ or the Borealis website.
The Borealis gold mine project holds existing federal and state permits for mining and processing operations. However, certain permit modifications may be required for expanded production, and the timeline for such approvals is subject to regulatory review. The company cannot guarantee the timing or success of any permit modifications that may be required for future expansions.
About Borealis Mining Company Ltd.
Borealis Mining is a gold mining and exploration company focused on exploration and resumption of production of the Borealis gold mine in Nevada and the advancement of its Sandman project, also in Nevada. The Borealis gold mine is a fully permitted mine site, equipped with active heap-leach pads, an ADR facility and all necessary infrastructure to support a heap-leach gold mining operation. In addition to the mine, the property, comprising 815 unpatented mining claims of approximately 20 acres each totalling approximately 16,300 acres and one unpatented mill site claim of about five acres located in western Nevada, is highly prospective for additional high-sulphidation gold mineralization. The Sandman project, recently acquired through the acquisition of Gold Bull Resources Inc., is an advanced exploration project with a recently completed (2021) National Instrument 43-101-compliant resource and a recent (2023) preliminary economic assessment, which indicates compelling economics, particularly in light of the increase in commodity prices since publication of the study. Borealis is led by a strong board and management team, many of whom have founded, managed and sold highly successful mining and exploration companies.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BOGO\news_html\2026-01-29.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BOGO/news_html/2026-01-29.html,,NONE,First production blast at Borealis gold mine,,,2025-07-31,2025-11-26
stockwatch,BOGO,"Borealis Mining Company Limited (formerly, 1329300 B.C. Ltd.)",2026-01-21,REPORT_OF_DISTRIBUTIONS_OUTSIDE_CANADA_72503F,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6105999.pdf,,0,0,no,,,,,,,,,,2025-07-31,2025-11-26
stockwatch,BOGO,"Borealis Mining Company Limited (formerly, 1329300 B.C. Ltd.)",2026-01-21,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6105985.pdf,,0,0,no,,,,,,,,,,2025-07-31,2025-11-26
stockwatch,BOGO,"Borealis Mining Company Limited (formerly, 1329300 B.C. Ltd.)",2026-01-21,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Borealis begins moving mining equipment to Borealis,https://www.stockwatch.com/News/Item/Z-C!BOGO-3776474/C/BOGO,3776474,https://www.stockwatch.com/News/Sedardoc/6105354.pdf,,0,0,no,,"2026-01-21 17:35 ET - News Release
Mr. Kelly Malcolm reports
BOREALIS MINING COMMENCES MOBILIZATION OF MINING EQUIPMENT AT BOREALIS GOLD MINE
Borealis Mining Company Ltd. has commenced  mobilization of mining equipment at the Borealis gold mine in Nevada, marking a key milestone toward the restart of gold mining operations. Heavy mining equipment, production drill rigs and support equipment are now arriving on site as the company prepares for initial mining activities.
Borealis has engaged Ledcor CMI Inc. as its mining contractor. Ledcor is a well-established North American mining and construction contractor with extensive experience in open-pit mining operations, including multiple projects in Nevada. Under the current scope of work, Ledcor will be responsible for mine development, production drilling and blasting, material movement, crushing, stacking on the leach pad, and continuing operational support as the project progresses toward production. Safety remains a core operational priority for Borealis, and, in 2025, Borealis personnel and contractors collectively worked a total of 37,461 hours without a lost-time injury (LTI), reflecting the company's commitment to disciplined site execution and a strong safety culture.
In parallel with site mobilization, Borealis commenced confirmatory drilling at the Borealis mine in early January. This drilling program is designed to validate historical data, refine grade control and support short-term mine planning ahead of initial mining activities. Site activities over the coming weeks will focus on equipment commissioning, final site preparations  and the commencement of production drilling, with the first production blast anticipated to occur in the coming weeks, subject to final scheduling and operational readiness.
Kelly Malcolm, president and chief executive officer of Borealis, commented: ""Mobilizing equipment to site is a significant operational milestone and a clear indication that Borealis is moving into execution. Safety is foundational to how we operate, and completing over 37,000 work hours in 2025 without a lost-time injury reflects the discipline of our team and our approach to site readiness. With confirmatory drilling under way and production drilling preparations advancing, we are focused on safely and efficiently progressing toward our first blast in the coming weeks.""
The Borealis mine is a fully permitted, past-producing open-pit gold mine located in Nevada. The restart plan is designed to leverage existing infrastructure, permitted facilities and a staged approach to production ramp-up.
Qualified person
Technical information contained in this press release has been reviewed and approved by Kelly Malcolm, PGeo, a non-independent qualified person as defined under National Instrument 43-101.
Borealis mine
The Borealis mine property, located close to the town of Hawthorne, Nev., is fully equipped for present mine operations and future expansion, with existing open pits, heap-leach pads, modern infrastructure and a functional ADR (adsorption, desorption and recovery)  facility that produces dore bars. The project has historically produced over 600,000 ounces of gold from an open-pit heap-leach operation. It is an underexplored property and has not been drilled since 2011, aside from Borealis's efforts in 2024 and 2025. The property possesses high-grade expansion potential with robust historical drilling results, along with a number of untested regional targets. Please see the Borealis mine technical report entitled ""NI 43-101 Technical Report, Project Status Report, Borealis Mine, Nevada, U.S.A.,"" written by Douglas Reid, PEng, of SRK Consulting, dated Feb. 16, 2024. The report can be found on SEDAR+ or Borealis's  website.
The Borealis project holds existing federal and state permits for mining and processing operations. However, certain permit modifications may be required for expanded production, and the timeline for such approvals is subject to regulatory review. The company cannot guarantee the timing or success of any permit modifications that may be required for future expansions.
About Mining Company Ltd.
Borealis is a gold mining and exploration company focused on exploration and resumption of production of the Borealis mine in Nevada and the advancement of its Sandman project, also in Nevada. The Borealis mine is a fully permitted mine site, equipped with active heap-leach pads, an ADR facility and all necessary infrastructure to support a heap-leach gold mining operation. In addition to the mine, the property, comprising 815 unpatented mining claims of approximately 20 acres each, totalling approximately 16,300 acres, and one unpatented mill site claim of about five acres located in western Nevada, is highly prospective for additional high-sulphidation gold mineralization. The Sandman project, recently acquired through the acquisition of Gold Bull Resources Inc., is an advanced exploration project with a recently completed (2021) National Instrument 43-101-compliant resource and a recent (2023) preliminary economic assessment that indicates compelling economics, particularly in light of the increase in commodity prices since publication of the study. Borealis is led by a strong board and management team, many of whom have founded, managed and sold highly successful mining and exploration companies.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BOGO\news_html\2026-01-21.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BOGO/news_html/2026-01-21.html,,NONE,Mobilization of mining equipment at Borealis mine,,,2025-07-31,2025-11-26
stockwatch,BOGO,"Borealis Mining Company Limited (formerly, 1329300 B.C. Ltd.)",2026-01-15,OTHER_MATERIAL_CONTRACTS_SHMC_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6102737.pdf,,0,0,no,,,,,,,,,,2025-07-31,2025-11-26
stockwatch,BOGO,"Borealis Mining Company Limited (formerly, 1329300 B.C. Ltd.)",2026-01-15,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6102716.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BOGO\pdfs\MaterialChange\2026-01-15_BOGO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BOGO/2026-01-15_BOGO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Private placement offering closed,,,,,2025-07-31,2025-11-26
stockwatch,BOGO,"Borealis Mining Company Limited (formerly, 1329300 B.C. Ltd.)",2026-01-15,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Borealis Mining closes $23.01-million private placement,https://www.stockwatch.com/News/Item/Z-C!BOGO-3774776/C/BOGO,3774776,https://www.stockwatch.com/News/Sedardoc/6102050.pdf,,0,0,no,,"2026-01-15 20:15 ET - News Release
Mr. Kelly Malcolm reports
BOREALIS ANNOUNCES CLOSING OF C$23 MILLION BOUGHT DEAL OFFERING, INCLUDING FULL EXERCISE OF THE UNDERWRITERS' OPTION
Borealis Mining Company Ltd. has closed its previously announced bought deal private placement offering pursuant to the listed issuer financing exemption (as defined below)  of an aggregate of 15,341,000 common shares of the company at a price of $1.50 per common share for aggregate gross proceeds of $23,011,500, including full exercise of the option granted to the underwriters (as defined below).
Stifel Canada, as lead underwriter and sole bookrunner, together with Haywood Securities Inc. and Red Cloud Securities Inc., acted as underwriters pursuant to the terms of an underwriting agreement dated Jan. 15, 2026.
The net proceeds of the offering shall be used to advance the company's gold projects in Nevada, as well as for general working capital.
In accordance with National Instrument 45-106, Prospectus Exemptions, the common shares were issued to purchasers resident in certain provinces of Canada, except Quebec, pursuant to the listed issuer financing exemption under Part 5A of NI 45-106, as amended by Coordinated Blanket Order 45-935, Exemptions from Certain Conditions of the Listed Issuer Financing Exemption. Pursuant to the listed issuer financing exemption, the common shares issued pursuant to the offering are not subject to a statutory hold period pursuant to applicable Canadian securities laws. The common shares were also offered in the United States or to, or for the account or benefit of, U.S. persons, by way of private placement pursuant to exemptions from the registration requirements of the United States Securities Act of 1933, as amended, and in jurisdictions outside of Canada and the United States on a private placement or equivalent basis, in each case in accordance with all applicable laws, provided that no prospectus, registration statement or other similar document is required to be filed in such jurisdiction.
In connection with the offering, the company paid the underwriters an aggregate cash commission of $1,370,689.98 and issued 913,793 compensation warrants. Each compensation warrant entitles the holder to acquire a common share of the company at a price of $1.50 per common share for a period of 24 months from the closing of the offering. The compensation warrants and common shares issuable upon exercise of the compensation warrants are subject to a hold period in accordance with applicable Canadian securities law, expiring four months and one day following the issue date, being May 16, 2026.
The offering is subject to final approval by the TSX Venture Exchange.
There is an offering document related to the offering that can be accessed under the company's issuer profile on SEDAR+ and on the company's website.
About Borealis Mining Company Ltd.
Borealis is a gold mining and exploration company focused on exploration and resumption of production of the Borealis mine in Nevada and the advancement of its Sandman project also in Nevada. The Borealis mine is a fully permitted mine site, equipped with active heap leach pads, an ADR facility and all necessary infrastructure to support a heap leach gold mining operation. In addition to the mine, the property, comprising 815 unpatented mining claims of approximately 20 acres each totalling approximately 16,300 acres and one unpatented mill site claim of about five acres located in western Nevada, is highly prospective for additional high-sulphidation gold mineralization. The Sandman project, recently acquired through the acquisition of Gold Bull Resources Inc., is an advanced exploration project with a recently completed (2021) National Instrument 43-101-compliant resource and a recent (2023) preliminary economic assessment, which indicates compelling economics, particularly in light of the increase in commodity prices since publication of the study. Borealis is led by a strong board and management team, many of whom have founded, managed and sold highly successful mining and exploration companies.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BOGO\news_html\2026-01-15.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BOGO/news_html/2026-01-15.html,,NONE,Closed private placement financing,,,2025-07-31,2025-11-26
stockwatch,BOGO,"Borealis Mining Company Limited (formerly, 1329300 B.C. Ltd.)",2026-01-05,OFFERING_DOCUMENT_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6096584.pdf,,0,0,no,,,,,,,,,,2025-07-31,2025-11-26
