source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,BRW,BRUNSWICK EXPLORATION INC.,2026-03-11,AB_FORMF1,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6145042.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,BRW,BRUNSWICK EXPLORATION INC.,2026-03-06,OFFERING_DOCUMENT_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6144290.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,BRW,BRUNSWICK EXPLORATION INC.,2026-03-06,OFFERING_DOCUMENT_AMENDED_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6146098.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,BRW,BRUNSWICK EXPLORATION INC.,2026-03-06,NEWS_RELEASE_AMENDED_EN,metals and minerals - mining,NewsRelease,Brunswick Exploration increases financing to $5.5M,https://www.stockwatch.com/News/Item/Z-C!BRW-3793583/C/BRW,3793583,https://www.stockwatch.com/News/Sedardoc/6142098.pdf,,0,0,no,,"2026-03-06 17:32 ET - News Release
Mr. Killian Charles reports
BRUNSWICK EXPLORATION ANNOUNCES UPSIZED NON-BROKERED LIFE PRIVATE PLACEMENT
Brunswick 
  Exploration Inc., as a result of strong investor demand, has increased the maximum gross proceeds of its previously announced non-brokered private placement from $4-million to $5.5-million. The upsized offering now consists of the sale of up to 22 million units of the corporation at a price of 25 cents per unit. For more information about the offering, please refer to the corporation's news release dated Feb. 25, 2026.
Killian Charles, president and chief executive officer of Brunswick Exploration, commented: ""With these additional funds, we will accelerate the consolidation of multiple targets across several jurisdictions that we have identified as high-priority alongside the advancement of our Quebec portfolio. We look forward to sharing the result of these initiatives as rapidly as possible over the coming weeks.""
Each unit will consist of one common share of the corporation and one-half of one common share purchase warrant. Each warrant will entitle the holder thereof to purchase one common share of the corporation at a price of 35 cents at any time for a period of 36 months following the closing date (as defined herein).
The offering is conducted pursuant to the listed issuer financing exemption under Part 5A of National Instrument 45-106, Prospectus Exemptions, as amended by Coordinated Blanket Order 45-935, Exemptions from Certain Conditions of the Listed Issuer Financing Exemption. The securities issued under the listed issuer financing exemption are expected to be immediately freely tradeable under applicable Canadian securities legislation if sold to purchasers resident in Canada.
There is an amended and restated offering document related to the upsized offering that can be accessed under the corporation's profile on SEDAR+ and on the corporation's website. Prospective investors should read this offering document before making an investment decision.
The offering is expected to close on or about March 18, 2026, and is subject to customary conditions, including the receipt of all necessary regulatory approvals, including the approval of the TSX Venture Exchange.
About Brunswick Exploration Inc.
Brunswick Exploration is a Montreal-based mineral exploration company listed on the TSX Venture Exchange under symbol BRW. The corporation is focused on grassroots exploration for lithium in Canada, a critical metal necessary to global decarbonization and energy transition. The corporation is rapidly advancing the most extensive grassroots lithium property portfolio in Canada, Greenland and Saudi Arabia, underpinned by its Mirage project, one of the largest undeveloped hard-rock lithium Inferred mineral resource estimate in the Americas, with 52.2 million tonnes grading 1.08 per cent Li2O.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BRW\news_html\2026-03-06.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BRW/news_html/2026-03-06.html,,NONE,Financing increase to $5.5M announced,,,2024-01-31,2024-04-02
stockwatch,BRW,BRUNSWICK EXPLORATION INC.,2026-03-06,OFFERING_DOCUMENT_AMENDED_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6142095.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,BRW,BRUNSWICK EXPLORATION INC.,2026-02-27,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,"Brunswick appoints Kodors as VP, international projects",https://www.stockwatch.com/News/Item/Z-C!BRW-3790484/C/BRW,3790484,https://www.stockwatch.com/News/Sedardoc/6135119.pdf,,0,0,no,,"2026-02-27 12:04 ET - News Release
Mr. Killian Charles reports
BRUNSWICK EXPLORATION ANNOUNCES APPOINTMENT OF VICE PRESIDENT – INTERNATIONAL PROJECTS
Brunswick Exploration Inc. has appointed Charles Kodors to vice-president, international projects. Mr. Kodors has been with Brunswick Exploration since its rebranding in 2020 and has been instrumental in securing the company's international portfolio over the last three years.
Killian Charles, president and chief executive officer of Brunswick, commented: ""Charles is a key part of Brunswick's exploration team alongside Francois Goulet and Simon Hebert and its successes over the last five years where he first managed our Canadian lithium portfolio, ex-Quebec, before continuing to grow our international portfolio. With a major work program planned in Saudi Arabia and Greenland over the coming months, this new title reflects his accrued responsibility within the company.""
Mr. Kodors has over 15 years of experience in the mining and exploration industry, where prior to his role at Brunswick Exploration, he served as an exploration manager for Osisko Metals and a senior exploration geologist for Kirkland Lake Gold. Mr. Kodors received his BSc from Brock University and is a registered professional geologist within the provinces of New Brunswick and Quebec.
Grant of stock options and DSUs
 (deferred share units)
The company announces that it has granted 186,566 deferred share units (DSUs) to its non-executive directors, in accordance with the corporation's deferred share unit plan, available on SEDAR+ in lieu of their board fees. The DSUs were granted at a fair market value of 26.8 cents per DSU and will vest one year from the grant date.
The company's board of directors have also approved the grant of incentive stock options to directors, officers, employees and consultants to purchase up to an aggregate of 3,515,000 common shares in the capital stock of the corporation. Grants are subject to a three-year vesting period and a five-year term at an exercise price of 23.5 cents per share.
About Brunswick Exploration
 Inc.
Brunswick Exploration is a Montreal-based mineral exploration company listed on the TSX-V under symbol BRW. The company is focused on grassroots exploration for lithium in Canada, a critical metal necessary to global decarbonization and energy transition. The company is rapidly advancing the most extensive grassroots lithium property portfolio in Canada, Greenland and Saudi Arabia underpinned by its Mirage project, one of the largest undeveloped hard-rock lithium inferred mineral resource estimate in the Americas, with 52.2 million tonnes grading 1.08 per cent Li2O (lithium oxide).
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BRW\news_html\2026-02-27.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BRW/news_html/2026-02-27.html,,NONE,"Appointment of VP, international projects",,,2024-01-31,2024-04-02
stockwatch,BRW,BRUNSWICK EXPLORATION INC.,2026-02-26,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134442.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,BRW,BRUNSWICK EXPLORATION INC.,2026-02-26,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134444.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,BRW,BRUNSWICK EXPLORATION INC.,2026-02-26,MDA_EN,metals and minerals - mining,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6134438.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\BRW\pdfs\MD&A\2026-02-26_BRW_MD&A_MDA_EN.pdf,33,2981,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/BRW/2026-02-26_BRW_MD&A_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,BRW,BRUNSWICK EXPLORATION INC.,2026-02-26,AUDITED_ANNUAL_FINANCIAL_STATEMENTS_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134430.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
