source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,CCM,Canagold Resources Ltd.,2025-03-28,ANNUAL_INFORMATION_FORM_EN,gold and precious metals,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5876740.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\CCM\pdfs\AIF\2025-03-28_CCM_AIF.pdf,60,956,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/CCM/2025-03-28_CCM_AIF.pdf,,,,,,,,,2024-12-31,2025-03-28
stockwatch,CCM,Canagold Resources Ltd.,2026-02-25,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Canagold plans 7,000 m drill program at New Polaris",https://www.stockwatch.com/News/Item/Z-C!CCM-3789139/C/CCM,3789139,https://www.stockwatch.com/News/Sedardoc/6132501.pdf,,0,0,no,,"2026-02-25 16:23 ET - News Release
Mr. Catalin Kilofliski reports
CANAGOLD ACCELERATES ANTIMONY PRODUCTION STRATEGY WITH ADDITIONAL DRILLING AND TECHNICAL STUDIES
Canagold Resources Ltd. is planning for a comprehensive 2026 work program at its 100-per-cent-owned New Polaris project, focused on expanding gold-antimony resources and advancing technical studies to evaluate the financial benefits of incorporating antimony production into the project development plans and economics.
The fully financed program, will include approximately 7,000 metres of diamond drilling, scheduled to commence in June and continue through July, 2026. The drilling will target expansion of the high-grade gold-antimony mineralization within and adjacent to the current mine plan outlined in the feasibility study completed in July, 2025. The objective is to further define and potentially increase the gold-antimony resource base in areas expected to have a direct and positive impact on early production and overall project economics.
In parallel, the company will undertake additional metallurgical testwork and preliminary engineering studies to optimize the flotation and refining process flowsheet for the production of saleable antimony metal. Drill core from the 2026 program will provide fresh material for detailed metallurgical characterization, recovery optimization and product specification testing.
Importantly, the majority of mining, crushing, grinding and processing costs associated with antimony recovery are already incorporated within the existing gold-focused mine plan. As a result, the addition of a saleable antimony product is expected to represent a meaningful incremental revenue stream with limited additional capital or operating cost requirements.
Engineering and financial studies planned for 2026 will quantify the potential impact of antimony revenue on overall project cash flow, operating margins and after-tax returns.
Upon completion of the drilling and metallurgical programs, the company expects to have sufficient technical and economic data to support the inclusion of antimony production and revenue into the current project economics.
The company believes that integrating antimony production, enhances the strategic and economic profile of New Polaris, particularly in light of growing global demand for secure and diversified critical mineral supply.
Further updates will be provided as the 2026 work program advances.
Qualified persons
In accordance with National Instrument 43-101 -- Standards of Disclosure for Mineral Projects, Garry Biles, PEng, president and chief operating officer, is the qualified person for the company and has prepared, validated, and approved the technical and scientific content of this news release. The company strictly adheres to CIM (Canadian Institute of Mining) Best Practices Guidelines in conducting, documenting and reporting activities on its projects.
About Canagold Resources Ltd.
Canagold Resources is an advanced development company dedicated to advancing the New Polaris project through feasibility, permitting and production stages. Additionally, Canagold aims to expand its asset base by acquiring advanced projects, positioning itself as a leading project developer. With a team of technical experts, the company is poised to unlock substantial value for its shareholders.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\CCM\news_html\2026-02-25.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/CCM/news_html/2026-02-25.html,,NONE,Planned drilling program at New Polaris,,,2024-12-31,2025-03-28
stockwatch,CCM,Canagold Resources Ltd.,2026-02-20,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6129111.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-28
stockwatch,CCM,Canagold Resources Ltd.,2026-02-18,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6127103.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\CCM\pdfs\MaterialChange\2026-02-18_CCM_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,4,192,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/CCM/2026-02-18_CCM_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Financing of common shares completed,,,,,2024-12-31,2025-03-28
stockwatch,CCM,Canagold Resources Ltd.,2026-02-13,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Canagold closes $9.22-million offering,https://www.stockwatch.com/News/Item/Z-C!CCM-3785060/C/CCM,3785060,https://www.stockwatch.com/News/Sedardoc/6124797.pdf,,0,0,no,,"2026-02-13 16:59 ET - News Release
Mr. Catalin Kilofliski reports
CANAGOLD RESOURCES LTD. ANNOUNCES CLOSING OF $9.2M FINANCING
Canagold Resources Ltd. has arranged and closed an offering consisting of: (i) 9,396,570 common shares in the capital of the company at a price of 45 cents per common share, and (ii) 10 million common shares that qualify as flow-through shares for the purposes of the Income Tax Act (Canada) at a price of 50 cents per FT share, for total gross proceeds of $9,228,456.50.
The net proceeds from the issuance of common shares will be used for working capital, administrative expenses and project development expenses. The net proceeds from the issuance of FT shares will be used to incur Canadian exploration expenses as such term is defined under Subsection 66.1(6) of the Income Tax Act (Canada) and will qualify as flow-through mining expenditures as defined in Subsection 127(9) of the Income Tax Act (Canada), and B.C. flow-through mining expenditures as defined in Subsection 4.721(1) of the Income Tax Act (British Columbia) at the company's new Polaris project.
The company received conditional approval from the Toronto Stock Exchange (the TSX) for the offering on Jan. 22, 2026, and is currently seeking final approval.
No finders' fees were paid in connection with the offering. The common shares and FT shares were issued on a private placement basis and are subject to a hold period of four months and one day following the closing date of the offering, expiring on June 14, 2026.
Under the offering, Sun Valley Investments AG, purchased five million FT shares and 4,698,285 common shares. Prior to the closing of the offering, Sun Valley beneficially owned 93,527,817 common shares, which in the aggregate represents 48.07 per cent of the company's total issued and outstanding common shares. Following the closing of the offering, Sun Valley beneficially owns 103,226,102 common shares, representing in the aggregate 48.25 per cent of the company's total issued and outstanding common shares.
As Sun Valley is an insider of the company, the offering is a related party transaction as this term is defined in Multilateral Instrument 61-101 -- Protection of Minority Securityholders in Special Transactions. The company is relying on the exemption from valuation requirement and minority approval pursuant to Subsection 5.5(a) and 5.7(a) of MI 61-101, respectively, for the insider participation in the offering, as the FT shares and common shares purchased by Sun Valley in the aggregate do not represent more than 25 per cent of the company's market capitalization, as determined in accordance with MI 61-101.
About Canagold Resources Ltd.
Canagold Resources is a growth-oriented gold exploration company focused on advancing the New Polaris project through feasibility and permitting. Canagold is also seeking to grow its assets base through future acquisitions of additional advanced projects. The company has access to a team of technical experts to help unlock significant value for all Canagold shareholders.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\CCM\news_html\2026-02-13.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/CCM/news_html/2026-02-13.html,,NONE,Closed $9.22 million financing offering,,,2024-12-31,2025-03-28
stockwatch,CCM,Canagold Resources Ltd.,2026-01-28,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6111230.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-28
stockwatch,CCM,Canagold Resources Ltd.,2025-11-14,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6058068.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-28
stockwatch,CCM,Canagold Resources Ltd.,2025-11-14,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6058069.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-28
stockwatch,CCM,Canagold Resources Ltd.,2025-11-14,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6056987.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-28
stockwatch,CCM,Canagold Resources Ltd.,2025-11-14,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6056988.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-28
