source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,CKG,Chesapeake Gold Corp.,2025-08-07,ANNUAL_INFORMATION_FORM_EN,gold and precious metals,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5980184.pdf,,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/CKG/2025-08-07_CKG_AIF.pdf,,,,,,,,,2025-05-31,2025-08-07
stockwatch,CKG,Chesapeake Gold Corp.,2026-02-05,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6119396.pdf,,0,0,no,,,,,,,,,,2025-05-31,2025-08-07
stockwatch,CKG,Chesapeake Gold Corp.,2026-02-02,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6116861.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\CKG\pdfs\MaterialChange\2026-02-02_CKG_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/CKG/2026-02-02_CKG_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Equity financing completed successfully,,,,,2025-05-31,2025-08-07
stockwatch,CKG,Chesapeake Gold Corp.,2026-02-02,MATERIAL_DOCUMENTS,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6116862.pdf,,0,0,no,,,,,,,,,,2025-05-31,2025-08-07
stockwatch,CKG,Chesapeake Gold Corp.,2026-01-27,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Chesapeake Gold closes $17.25-million bought deal,https://www.stockwatch.com/News/Item/Z-C!CKG-3778449/C/CKG,3778449,https://www.stockwatch.com/News/Sedardoc/6110084.pdf,,0,0,no,,"2026-01-27 19:01 ET - News Release
Mr. Jean-Paul Tsotsos reports
CHESAPEAKE GOLD ANNOUNCES CLOSING OF $17.2 MILLION BOUGHT DEAL PUBLIC OFFERING (OVER-ALLOTMENT OPTION EXERCISED IN FULL) AND $2.8 MILLION NON-BROKERED PRIVATE PLACEMENT WITH PARTICIPATION BY ERIC SPROTT
Chesapeake Gold Corp. has closed its previously announced bought deal public offering of 4,107,225 units of the company at a price of $4.20 per unit for aggregate gross proceeds of $17,250,345, which includes the full exercise of the overallotment option.
Each unit consists of one common share of the company and one-half of one common share purchase warrant. Each warrant entitles the holder thereof to purchase one common share at a price of $5.65 until Jan. 27, 2029.
The brokered offering was led by Red Cloud Securities Inc., as lead underwriter and joint bookrunner, on behalf of a syndicate which included Cantor Fitzgerald Canada Corp. as joint bookrunner. In connection with the brokered offering, the company paid the underwriters a cash commission of $993,126.37 and issued to the underwriters 236,458 common share purchase warrants. Each compensation warrant is non-transferable and exercisable into one common share at the issue price until Jan. 27, 2029.
The brokered offering was completed pursuant to a prospectus supplement dated Jan. 14, 2026, to the company's short form base shelf prospectus dated Feb. 23, 2024, filed with the securities regulatory authorities in each of the provinces and territories of Canada (except Quebec), and in the United States on a private placement basis pursuant to an exemption from the registration requirements of the United States Securities Act of 1933, as amended,  and applicable state securities laws and other jurisdictions. An electronic or paper copy of the supplement and the base shelf prospectus may be obtained, without charge, from Red Cloud Securities Inc., attention: Victoria Ellis Hayes, 120 Adelaide St. West, 14th floor, Toronto, Ont., M5H 1T1, e-mail: ecm@redcloudsecurities.com by providing the contact with an e-mail address or address, as applicable.
Certain insiders of the company purchased or acquired direction and control over a total of 39,931 units under the brokered offering. The sale to such persons constitutes a related party transaction within the meaning of TSX-V Policy 5.9 and Multilateral Instrument 61-101 -- Protection of Minority Security Holders in Special Transactions adopted in the policy. The company has relied on exemptions from the formal valuation and minority shareholder approval requirements of MI 61-101 contained in sections 5.5(a) and 5.7(1)(a) of MI 61-101 in respect of the related party participation in the offering as neither the fair market value (as determined under MI 61-101) of the subject matter of, nor the fair market value of the consideration for, the transaction, insofar as it involved the related party, exceeded 25 per cent of the company's market capitalization (as determined under MI 61-101).  The company is not aware of any new insider or control person being created as a result of the brokered offering.
The company is also pleased to announce the completion of its non-brokered private placement with 2176423 Ontario Ltd., a corporation beneficially owned by Mr. Sprott, as the sole investor, as previously announced on Jan. 12, 2026. The NB offering consisted of a total of 685,000 units (the NB units) at a price of $4.20 per unit for gross proceeds of $2,877,000. Each NB unit consists of one common share and one-half common share purchase warrant. Each NB warrant is exercisable for one common share at a price of $5.65 until Jan. 27, 2029. In aggregate, the company raised gross proceeds of $20,127,345 under the offerings.
The common shares and the NB warrants issued in connection with the NB offering are subject to a hold period expiring on May 28, 2026. The NB offering is subject to final approval of the TSX-V.  No finders' fees were paid in connection with the NB offering.
The participation of Mr. Sprott in the NB offering constituted a related party transaction within the meaning of the policy and MI 61-101 adopted in the policy. The company has relied on exemptions from the formal valuation and minority shareholder approval requirements of MI 61-101 contained in sections 5.5(a) and 5.7(1)(a) of MI 61-101 in respect of the related party participation in the NB offering as neither the fair market value (as determined under MI 61-101) of the subject matter of, nor the fair market value of the consideration for, the transaction is expected to exceed 25 per cent of the company's market capitalization (as determined under MI 61-101).  Further details will be included in the company's material change report to be filed. The material change report will not be filed more than 21 days prior to closing of the NB offering due to the timing of the announcement of the NB offering and closing occurring in less than 21 days.
The net proceeds from the offerings are expected to be used by the company to advance the company's proprietary oxidative leach technology, the Metates project, the Lucy project and for general working capital.
About Chesapeake Gold Corp.
Chesapeake Gold's flagship asset is the Metates project located in Durango state, Mexico. Metates hosts one of the largest undeveloped gold-silver deposits in the Americas with over 16.77 million ounces of gold at 0.57 grams per tonne (g/t) and 423.2 million ounces of silver at 14.3 g/t within 921.2 million tonnes in the measured and indicated mineral resource category and a further 2.13 million ounces of gold at 0.47 g/t and 59.0 million ounces of silver at 13.2 g/t within 139.5 million tonnes in the inferred mineral resource category. See the technical report titled ""Metates Sulphide Heap Leach Project Phase I"" dated Jan. 13, 2023, and news release dated Feb. 22, 2023.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\CKG\news_html\2026-01-27.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/CKG/news_html/2026-01-27.html,,NONE,Closed bought deal financing of $17.25 million,,,2025-05-31,2025-08-07
stockwatch,CKG,Chesapeake Gold Corp.,2026-01-15,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Chesapeake files prospectus supplement,https://www.stockwatch.com/News/Item/Z-C!CKG-3774296/C/CKG,3774296,https://www.stockwatch.com/News/Sedardoc/6101915.pdf,,0,0,no,,"2026-01-15 04:54 ET - News Release
Mr. Jean-Paul Tsotsos reports
CHESAPEAKE GOLD ANNOUNCES FILING OF PROSPECTUS SUPPLEMENT IN CONNECTION WITH PREVIOUSLY ANNOUNCED $15 MILLION BOUGHT DEAL PUBLIC OFFERING
Chesapeake Gold Corp. has filed a prospectus supplement dated Jan. 14, 2026, to its short form base shelf prospectus dated Feb. 23, 2024, with the securities regulatory authorities in each of the provinces and territories of Canada, other than Quebec, to qualify the public distribution of 3,751,500 units of the company at an offering price of $4.20 per unit for gross proceeds of $15,000,300 in connection with the company's previously announced bought deal public Offering (see news releases dated Jan. 12, 2026).
Each unit will consist of one common share of the company and one-half of one common share purchase warrant. Each warrant will entitle the holder thereof to purchase one common share at a price of $5.65 at any time on or before that date which is 36 months following the closing date (as defined herein).
The offering is being made pursuant to an underwriting agreement dated Jan. 14, 2026, among the company and Red Cloud Securities Inc. as lead underwriter and joint bookrunner, and Cantor Fitzgerald Canada Corp. as joint bookrunner.
Pursuant to the underwriting agreement, the company has granted to the underwriters an option, exercisable in whole or in part, at any time for a period of up to 30 days after and including the closing date, to purchase for resale at the offering price up to an additional 535,725 units of the company at the offering price to cover overallotments, if any, and for market stabilization purposes. The prospectus supplement to the base shelf prospectus qualifies the grant of the overallotment option and the issuance of the overallotment units pursuant thereto.
The company has agreed to pay the underwriters a cash fee equal to 6 per cent of the gross proceeds of the offering (which shall be reduced to 2 per cent for gross proceeds from the sale of units to certain purchasers on the president's list agreed to by the company and Red Cloud), including in respect of any gross proceeds raised on the exercise of the overallotment option. The underwriters will also receive, on the closing date (as defined herein), as additional compensation, non-transferable broker warrants to purchase that number of common shares equal to 6 per cent of the aggregate number of units issued by the company under the offering (including pursuant to the exercise of the over-allotment option) (which shall be reduced to 2 per cent from the sale of units to purchasers on the president's list). Each broker warrant shall entitle the holder thereof to acquire one broker warrant share at a price of $4.20 per broker warrant share for a period of 36 months from the closing date.
The full particulars of the offering along with the possible exercise and issue of overallotment units pursuant to the overallotment option are set out in the prospectus supplement.
The offering is expected to close on or about Jan. 27, 2026, or on such date as agreed upon between the company and Red Cloud. The closing of the offering is subject to the company receiving all necessary regulatory approvals, including the final approval of the TSX Venture Exchange.
Delivery of the base shelf prospectus, the prospectus supplement and any amendments to such documents will be satisfied in accordance with the access equals delivery provisions of applicable securities legislation. The prospectus supplement, the base shelf prospectus and any amendment, as applicable, are accessible under the company's profile on SEDAR+. An electronic or paper copy of the prospectus supplement, the base shelf prospectus and any amendment, as applicable, may be obtained, without charge, from Red Cloud Securities Inc., attention: Victoria Ellis Hayes, 120 Adelaide St. West, 14th floor, Toronto, Ont., M5H 1T1, or e-mail: ecm@redcloudsecurities.com by providing the contact with an e-mail address or address, as applicable.
About Chesapeake Gold Corp.
Chesapeake's flagship asset is the Metates project located in Durango state, Mexico. Metates hosts one of the largest undeveloped gold-silver deposits in the Americas with over 16.77 million ounces of gold at 0.57 gram per tonne and 423.2 million ounces of silver at 14.3 g/t within 921.2 million tonnes in the measured and indicated mineral resource category and a further 2.13 million ounces of gold at 0.47 g/t and 59.0 million ounces of silver at 13.2 g/t within 139.5 million tonnes in the inferred mineral resource category. See the technical report titled ""Metates Sulphide Heap Leach Project Phase I"" dated Jan. 13, 2023, and news release dated Feb. 22, 2023.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\CKG\news_html\2026-01-15.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/CKG/news_html/2026-01-15.html,,NONE,Filing of prospectus supplement for offering,,,2025-05-31,2025-08-07
stockwatch,CKG,Chesapeake Gold Corp.,2026-01-12,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Chesapeake increases bought deal offering to $15M,https://www.stockwatch.com/News/Item/Z-C!CKG-3773327/C/CKG,3773327,https://www.stockwatch.com/News/Sedardoc/6099989.pdf,,0,0,no,,"2026-01-12 20:16 ET - News Release
Mr. Jean-Paul Tsotsos reports
CHESAPEAKE GOLD ANNOUNCES UPSIZE OF PREVIOUSLY ANNOUNCED BOUGHT DEAL PUBLIC OFFERING TO $15 MILLION AND NON-BROKERED PRIVATE PLACEMENT WITH PARTICIPATION BY ERIC SPROTT
Due to significant investor demand,  Chesapeake Gold Corp. and Red Cloud Securities Inc., as lead underwriter and sole bookrunner on behalf of a syndicate of underwriters, have agreed to increase a previously announced bought deal public offering from $10,000,002.60 to $15,000,300. Pursuant to the upsized underwritten offering, the underwriters have agreed to purchase for resale 3,571,500 units of the company at a price of $4.20 per unit.
Each unit will consist of one common share of the company and one-half of one common share purchase warrant. Each warrant will entitle the holder thereof to purchase one common share at a price of $5.65 at any time on or before that date which is 36 months following the closing date (as defined herein).
The company has granted to the underwriters an option, exercisable in whole or in part, at any time for a period of up to 30 days after and including the closing date, to purchase for resale at the offering price additional units equal to up to 15 per cent of the number of units sold pursuant to the underwritten offering at the offering price to cover overallotments, if any, and for market stabilization purposes.
The company also intends to complete a non-brokered private placement of up to 685,000 units of the company at a price of $4.20 per NB unit for gross proceeds of up to $2,877,000. Each NB unit consists of one common share and one-half of one common share purchase warrant. Each NB warrant will entitle the holder thereof to purchase one common share at a price of $5.65 at any time on or before that date which is 36 months following the closing of the NB offering. The NB units will be issued on substantially the same terms as the units and will be subject to a hold period under applicable Canadian securities laws until four months and one day after the closing of the NB offering.
Eric Sprott, through 2176423 Ontario Ltd., a corporation which is beneficially owned by Mr. Sprott, has indicated his intention to participate in the NB offering to maintain his pro rata ownership of common shares of the company following the completion of the offerings. Prior to the offerings, Mr. Sprott beneficially owned or controlled 12,883,499 common shares and 1.85 million warrants, representing approximately 17.9 per cent of the outstanding common shares of the company on a non-diluted basis and approximately 19.9 per cent on a partially diluted basis assuming the exercise of such warrants.
As the NB offering involves a related-party transaction within the meaning of TSX Venture Exchange Policy 5.9 and Multilateral Instrument 61-101 (Protection of Minority Security Holders in Special Transactions) adopted in the policy, the company intends to rely on exemptions from the formal valuation and minority shareholder approval requirements of MI 61-101 contained in sections 5.5(a) and 5.7(1)(a) of MI 61-101 in respect of related-party participation in the NB offering as neither the fair market value (as determined under MI 61-101) of the subject matter of, nor the fair market value of the consideration for, the transaction is expected to exceed 25 per cent of the company's market capitalization (as determined under MI 61-101).
The company intends to use the net proceeds from the offerings to advance the company's proprietary oxidative leach technology, the Metates project and the Lucy project and for general working capital.
In connection with the brokered offering, the company intends to file a prospectus supplement to the company's short form base shelf prospectus dated Feb. 23, 2024, with the securities regulatory authorities in each of the provinces and territories of Canada (except Quebec). The units may also be sold in the United States on a private placement basis pursuant to one or more exemptions from the registration requirements of the U.S. Securities Act of 1933, as amended, and in such other jurisdictions outside of Canada and the United States, in each case in accordance with all applicable laws provided that no prospectus, registration statement or similar document is required to be filed in such jurisdiction.
Copies of the applicable offering documents, when available, can be obtained free of charge under the company's profile on SEDAR+. Delivery of the base shelf prospectus and the prospectus supplement and any amendments thereto will be satisfied in accordance with the access equals delivery provisions of applicable Canadian securities legislation.
The base shelf prospectus and the prospectus supplement will contain important detailed information about the company and the brokered offering. Prospective investors should read the prospectus supplement and the accompanying base shelf prospectus and the other documents the company has filed on SEDAR+ before making an investment decision.
The offerings are expected to close on or about Jan. 27, 2026, or on such date as agreed upon between the company and Red Cloud. The closing of the offerings is subject to the company receiving all necessary regulatory approvals, including the approval of the TSX Venture Exchange and the entering into of an underwriting agreement among the company and the underwriters.
About Chesapeake Gold Corp.
Chesapeake's flagship asset is the Metates project located in Durango state, Mexico. Metates hosts one of the largest undeveloped gold-silver deposits in the Americas with over 16.77 million ounces of gold at 0.57 gram per tonne and 423.2 million ounces of silver at 14.3 g/t within 921.2 million tonnes in the measured and indicated mineral resource category and a further 2.13 million ounces of gold at 0.47 g/t and 59.0 million ounces of silver at 13.2 g/t within 139.5 million tonnes in the inferred mineral resource category. See the technical report titled ""Metates Sulphide Heap Leach Project Phase I"" dated Jan. 13, 2023, and the news release dated Feb. 22, 2023.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\CKG\news_html\2026-01-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/CKG/news_html/2026-01-12.html,,NONE,Upsized bought deal offering to $15M,,,2025-05-31,2025-08-07
stockwatch,CKG,Chesapeake Gold Corp.,2026-01-05,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Chesapeake Gold grants option to acquire 100,000 shares",https://www.stockwatch.com/News/Item/Z-C!CKG-3771087/C/CKG,3771087,https://www.stockwatch.com/News/Sedardoc/6096271.pdf,,0,0,no,,"2026-01-05 12:13 ET - News Release
Mr. Jean-Paul Tsotsos reports
CHESAPEAKE GOLD ANNOUNCES STOCK OPTION GRANT
Chesapeake Gold Corp. has granted stock options to Rajesh Vyas in relation to his appointment as chief financial officer (previously announced by news release dated Jan. 2, 2026) under its stock option plan to purchase an aggregate of 100,000 common shares of the company at an exercise price of $4.24 per share for a five-year term expiring Jan. 5, 2031. The options will vest and be exercisable on the basis of 25 per cent annually, commencing Jan. 5, 2027, the first anniversary of the date of the grant.
About Chesapeake Gold Corp.
Chesapeake Gold's flagship asset is the Metates project located in Durango state, Mexico. Metates hosts one of the largest undeveloped gold-silver deposits in the Americas with over 16.77 million ounces of gold at 0.57 gram per tonne (g/t) and 423.2 million ounces of silver at 14.3 g/t within 921.2 million tonnes in the measured and indicated mineral resource category, and a further 2.13 million ounces of gold at 0.47 g/t and 59.0 million ounces of silver at 13.2 g/t within 139.5 million tonnes in the inferred mineral resource category. See the technical report titled ""Metates Sulphide Heap Leach Project Phase I"" dated Jan. 13, 2023, and news release dated Feb. 22, 2023.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\CKG\news_html\2026-01-05.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/CKG/news_html/2026-01-05.html,,NONE,Stock option grant announcement,,,2025-05-31,2025-08-07
stockwatch,CKG,Chesapeake Gold Corp.,2026-01-02,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Chesapeake Gold appoints Tsotsos as permanent CEO,https://www.stockwatch.com/News/Item/Z-C!CKG-3770735/C/CKG,3770735,https://www.stockwatch.com/News/Sedardoc/6095869.pdf,,0,0,no,,"2026-01-02 09:21 ET - News Release
Mr. Jean-Paul Tsotsos reports
CHESAPEAKE ANNOUNCES MANAGEMENT UPDATES
Chesapeake Gold Corp. has appointed Jean-Paul Tsotsos as the company's permanent chief executive officer, effective Jan. 1, 2026, following his service as interim CEO since Nov. 1, 2023.
Chesapeake is also pleased to announce the appointment of Rajesh Vyas as chief financial officer and corporate secretary, effective Jan. 1, 2026.  Mr. Vyas is a seasoned finance executive with over 25 years of experience in the mining industry, including international leadership roles. Mr. Vyas started his mining career as a controller at the Suriname operations of Iamgold Corp. and has since held progressively senior roles, including vice-president, corporate controller and corporate secretary at Sierra Metals, director of finance at Alamos Gold, and operations controller at Richmont Mines. Mr. Vyas is a chartered accountant and a CPA with a strong  record in governance, investor relations and information-technology-enabled finance transformation.
The company further announces that Navin Sandhu stepped down as interim chief financial officer, effective Dec. 31, 2025. Bernard Poznanski, the company's corporate lawyer, has also stepped down as corporate secretary, effective Dec. 31, 2025. The company would like to thank both Mr. Sandhu and Mr. Poznanski for their dedication and valuable contributions during their respective tenures.
About Chesapeake Gold Corp.
Chesapeake Gold's flagship asset is the Metates project, located in Durango state, Mexico. Metates hosts one of the largest undeveloped gold-silver deposits in the Americas with over 16.77 million ounces of gold at 0.57 gram per tonne   and 423.2 million ounces of silver at 14.3 grams per tonne   within 921.2 million tonnes in the measured and indicated mineral resource category and a further 2.13 million ounces of gold at 0.47 gram per tonne  and 59.0 million ounces of silver at 13.2 grams per tonne    within 139.5 million tonnes in the inferred mineral resource category. See the technical report titled ""Metates Sulphide Heap Leach Project Phase I"" dated Jan. 13, 2023, and news release dated Feb. 22, 2023.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\CKG\news_html\2026-01-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/CKG/news_html/2026-01-02.html,,NONE,Management updates and appointments,,,2025-05-31,2025-08-07
stockwatch,CKG,Chesapeake Gold Corp.,2025-12-22,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Chesapeake Confirms No Material Change,https://www.stockwatch.com/News/Item/Z-C!CKG-3768310/C/CKG,3768310,https://www.stockwatch.com/News/Sedardoc/6090608.pdf,,0,0,no,,"2025-12-22 15:24 ET - News Release
Vancouver, British Columbia--(Newsfile Corp. - December 22, 2025) - Chesapeake Gold Corp. (TSXV: CKG) (OTCQX: CHPGF) (""
Chesapeake
"" or the ""
Company
"") announces that at the request of CIRO, Chesapeake wishes to confirm that the Company's management is unaware of any material change in the Company's operations that would account for the recent increase in market activity.
For Further Information:
For more information on Chesapeake, its Metates and Lucy Projects or proprietary oxidative leach technology, please visit our website at
www.chesapeakegold.com
or contact Jean-Paul Tsotsos at
invest@chesapeakegold.com
or +1 778 731 1362.
Neither TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this news release.
About Chesapeake
Chesapeake Gold Corp's flagship asset is the Metates Project (""
Metates
"") located in Durango State, Mexico. Metates hosts one of the largest undeveloped gold-silver deposits in the Americas
1
with over 16.77 million ounces of gold at 0.57 grams per tonne (g/t) and 423.2 million ounces of silver at 14.3 g/t within 921.2 million tonnes in the Measured and Indicated Mineral Resource category and a further 2.13 million ounces of gold at 0.47 g/t and 59.0 million ounces of silver at 13.2 g/t within 139.5 million tonnes in the Inferred Mineral Resource category. See the technical report titled ""Metates Sulphide Heap Leach Project Phase I"" dated January 13, 2023, and news release dated February 22, 2023.
1
Mexico's biggest undeveloped gold deposits. Bnamericas. Published Tuesday, November 24, 2020.
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/278861
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\CKG\news_html\2025-12-22.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/CKG/news_html/2025-12-22.html,,NONE,No material change in operations confirmed,,,2025-05-31,2025-08-07
