source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,DEF,Defiance Silver Corp.,2026-03-11,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Defiance Silver receives drill permit for San Acacio,https://www.stockwatch.com/News/Item/Z-C!DEF-3794747/C/DEF,3794747,https://www.stockwatch.com/News/Sedardoc/6144879.pdf,,0,0,no,,"2026-03-11 10:59 ET - News Release
Mr. Chris Wright reports
DEFIANCE SILVER RECEIVES DRILL PERMIT ON THE ZACATECAS SILVER PROJECT FOR SIGNIFICANT EXPLORATION IN THE WORLD CLASS ZACATECAS MINING DISTRICT
The office of the representatives of the Secretariat of Environment and Natural Resources of Mexico (Semarnat) has approved Defiance Silver Corp.'s informe preventivo (IP), the environmental authorization required to, amongst many items, increase the available roads and total drill pad construction for site access and exploration drilling, at the San Acacio project, located in Zacatecas, Mexico.
This informe preventivo allows for the construction of up to new 44 drill pads and for up to 35 new access roads to be constructed for rapid advancement of the resource exploration potential where exploration has seldom (if ever) occurred. The IP permit is valid for a period of 54 months.
This drilling permit significantly increases the drilling footprint of the San Acacio project, which historically produced significant amounts of silver, lead and zinc over a multihundred-year history and saw very little exploration outside of the main Veta Grande mine levels. This IP permit will also allow the company to test exploration targets that will be significant for mineral resource estimation outside of any historical mining or historical resource estimates.
The informe preventivo was prepared and submitted in accordance with Mexican environmental regulations. The company would like to acknowledge the office of the representatives of Semarnat and the collaborative efforts of the technical and environmental consultants for the efficient review process.
Management commentary
""We look forward to evolving our resource drilling program to include the significant exploration potential of these never-before-tested targets in the Veta Grande camp within the world-class Zacatecas silver district,"" stated Chris Wright, executive chairman and chief executive officer of  Defiance Silver.
About Defiance Silver Corp.
Defiance Silver   is an exploration company advancing the district-scale Zacatecas project, located in the historic Zacatecas silver district, the 100-per-cent-owned Tepal gold/copper project in Michoacan state, Mexico, and the newly acquired Green Earth metals property portfolio in Sonora state. Defiance is managed by a team of proven mine developers with a  record of exploring, advancing and developing several operating mines and advanced resource projects. Defiance Silver's corporate mandate is to advance its projects through capital-efficient exploration focused on resource growth and new mineral discoveries.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DEF\news_html\2026-03-11.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DEF/news_html/2026-03-11.html,,NONE,Drill permit received for San Acacio project,,,2024-01-31,2024-04-02
stockwatch,DEF,Defiance Silver Corp.,2026-02-26,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Defiance receives environmental OK for Victoria target,https://www.stockwatch.com/News/Item/Z-C!DEF-3789459/C/DEF,3789459,https://www.stockwatch.com/News/Sedardoc/6133087.pdf,,0,0,no,,"2026-02-26 05:30 ET - News Release
Mr. Chris Wright  reports
DEFIANCE SILVER RECEIVES UPDATED DRILL PERMIT FOR VICTORIA COPPER PROJECT, SONORA, MEXICO
The Secretariat of Environment and Natural Resources of Mexico (Semarnat) has approved Defiance Silver Corp.'s informe preventivo, the environmental authorization required to conduct exploration drilling, for the Victoria target at its Green Earth project, located in Sonora, Mexico.
The informe preventivo was prepared and submitted in accordance with Mexican environmental regulations, and reflects Defiance's commitment to responsible exploration practices and environmental stewardship. The approval authorizes a drilling permit valid for 36 months and includes permission for up to 89 drill pads and the construction of new access roads, subject to compliance with the approved environmental terms and conditions. The company would like to acknowledge the Semarnat offices and the collaborative efforts of the technical and environmental consultants for the efficient review process.
""The Victoria copper project represents a rare opportunity to drill a large-scale copper-molybdenum target with coincidental surface mineralization, widespread surface hydrothermal alteration and prospective geophysics. This updated drill permit allows Defiance to move forward at the Victoria project,"" said Chris Wright, executive chairman and chief executive officer, Defiance Silver.
About Defiance Silver Corp.
Defiance is an exploration company advancing the district-scale Zacatecas project, located in the historic Zacatecas silver district, the 100-per-cent-owned Tepal gold/copper project in Michoacan state, Mexico, and the newly acquired Green Earth metal property portfolio in Sonora state. Defiance is managed by a team of proven mine developers with a record of exploring, advancing and developing several operating mines and advanced resource projects. Defiance Silver's corporate mandate is to advance its projects through capital-efficient exploration focused on resource growth and new mineral discoveries.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DEF\news_html\2026-02-26.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DEF/news_html/2026-02-26.html,,NONE,Updated drill permit for Victoria project,,,2024-01-31,2024-04-02
stockwatch,DEF,Defiance Silver Corp.,2026-02-24,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6131241.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,DEF,Defiance Silver Corp.,2026-02-24,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6131240.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,DEF,Defiance Silver Corp.,2026-02-24,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6131226.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,DEF,Defiance Silver Corp.,2026-02-24,INTERIM_MDA_EN,gold and precious metals,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6131235.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DEF\pdfs\MD&A\2026-02-24_DEF_MD&A_INTERIM_MDA_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DEF/2026-02-24_DEF_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,DEF,Defiance Silver Corp.,2026-02-20,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Defiance drills 3.55 m of 355.32 g/t Ag at Zacatecas,https://www.stockwatch.com/News/Item/Z-C!DEF-3787354/C/DEF,3787354,https://www.stockwatch.com/News/Sedardoc/6128748.pdf,,0,0,no,,"2026-02-20 17:35 ET - News Release
Mr. Chris Wright reports
DEFIANCE REPORTS HIGH GRADE DRILL RESULTS AT SAN ACACIO
Defiance Silver Corp. has provided an update on the current drilling campaign at the Zacatecas project. The campaign was designed to confirm the extension of the known mineralized structures both laterally and vertically as well as to validate the current geological model that will be used for the coming mineral resource estimate. The company continues to consistently encounter high-grade silver mineralization in multiple mineralized zones with lateral and vertical continuity in the Veta Grande system. This release contains results from five holes: DDSA-25-73 through DDSA-25-77, representing 2,553 metres of the 10,000-metre diamond drill program that began Sept. 12, 2025. The company has completed 12 drill holes to date and additional drill holes will be reported as the company receives the analytical results.
Highlights of results:
DDSA-25-76 returned 3.55 m of 355.32 grams per tonne silver (from 176.38 m to 179.93 m) within a 22.57-metre interval grading 102.91 g/t  Ag from (179.93 m to 198.95 m). This hole also returned 3.07 m of 579.27 g/t Ag (from 209.15 m to 212.22 m),  including 0.55 m of 2,120 g/t Ag (from 209.15 m) within a wider interval returning 10.65 m grading 210.70 g/t Ag from (209.15 m to 219.80 m).
DDSA-25-77 returned 3.01 m of 262.88 g/t Ag (from 286.18 m to 289.19 m), including 1.75 m of 431.58 g/t Ag (from 286.18 m  to 287.93 m) with 0.37 m of 1,965 g/t Ag (from 286.18 m to 286.55 m), all hosted within a larger interval of 6.77 m (from 286.18 m to 292.95 m) grading 128.69 g/t Ag.
DDSA-25-75 returned 2.35 m of 298.58 g/t Ag (from 255.17 m to 257.52 m), including 0.36 m of 1,595 g/t Ag (from 255.17 m to 255.53 m) within a 5.20-metre interval grading 149.25 g/t Ag (from 252.32 m to 257.52 m).
Table 1 --  table of results
Note: True thickness is assumed to be 50 per cent to 80 per cent of downhole width.
Discussion of results
Defiance announced the start of the drill program on Sept. 12, 2025. The information presented in this release includes approximately  2,553 metres of drilling of a minimum 10,000-metre  drill program designed to collect additional data in the San Acacio proposed mineral resource area. These holes were designed to improve the main Veta Grande structural model and to infill poorly drilled zones as well as to test both mineralized hanging wall and footwall splays to the Veta Grande system. High-grade results over wide widths were encountered in holes DDSA-25-75, DDSA-25-76 and DDSA-25-77.
Through surface mapping and drilling, the company has been able to identify at least three blocks on the main Veta Grande structure. These blocks are delineated by major north-northwest-striking faults, where displacement of the veins, mineralization styles and vein splays occur. The displacement of the vein in the area of the coming mineral resource estimate, can be approximately 15 m  to 30 m.
The current blocks are being delineated by the San Jose and San Genaro fault systems and are named as follows: NW block, Central block and SE block. The NW block includes the significant past-producing Carolina and Almaden pits. The Central block includes the past-producing Esperanza pit and part of the Guadalupe pits, one of the largest past-producing open pits at San Acacio. The SE block is part of Guadalupe to Refugio-Tiro Intermedio area.
DDSA-25-73: This hole re-entered historical drill hole SAD-17-29, an older drill hole that ended before reaching the Veta Grande structure. By re-entering, the company was able to prove the continuity of the Veta Grande structure on the SE block. Although the Veta Grande structure was intercepted and some silver values were detected, the hole returned no results greater than 100 parts per million silver.
DDSA-25-74: This hole re-entered DDSA-21-48. The Veta Grande structure was intercepted and some silver values were detected; the hole returned no results greater than 100 ppm Ag.
DDSA-25-75: The first objective of this hole was to better define the width of Veta Navidad and farther downhole, drill through high-grade veinlets arrangements and then intersect the Veta Grande structure. The intercept of Veta Navidad in this drill hole, which was designed to cut through the vein perpendicularly, is only 0.8 m, which confirms that it is indeed a narrow subvertical structure. The hole was successful in identifying high-grade veinlet arrays between the Veta Navidad and Veta Grande structures.
DDSA-25-76: This is an infill drill hole that targeted the intersection of Veta Grande with hangingwall splays that create a mineralized shoot below the past-producing Esperanza pit area that is coherent with a wide mineralized vein at surface. The highest values correspond to one of the modelled mineralized splays in Veta Grande vein system.
DDSA-25-77: This hole re-entered historical drill hole SAD-17-30A, which previously encountered drilling problems and did not intercept Veta Grande when it was drilled in 2017. This drill hole targeted SE block hangingwall splays and the Veta Grande structure. Hole DDSA-25-77 was successful in intercepting the Veta Grande structure but with low grades. The wide intercepts with high grades correspond to widely mineralized veinlet zones both in both the hangingwall and footwall of the Veta Grande. The company believe that these wide, mineralized, array zones have the potential to add ounces to the coming resource estimate.
Discussion of quality assurance/quality control and analytical procedure
Samples were selected based on the lithology, alteration and mineralization characteristics; sample size ranges from 0.25  m to two m in width.  All altered and mineralized intervals were sent for assay. One blank, one standard and one duplicate were included within every 20 samples. Standard materials are certified reference materials (CRMs) from OREAS and CDN that contain a range of silver, gold, copper, lead and zinc values. Blanks, standards and duplicates did not detect any issues with the analytical results.
Samples were analyzed by ALS Chemex Laboratories, an independent analytical facility. Sample preparation was performed at the prep facility in Zacatecas, Mexico, and analyses were performed at the analytical facility in Vancouver, Canada. All elements except gold and mercury were analyzed by a multielement geochemistry method utilizing a four-acid digestion followed by ICP-MS detection (ME-MS61m); mercury was analyzed after a separate aqua regia digest by ICP-MS. Overlimit assays for silver, lead and zinc  were conducted using the OG62 method (multiacid digest with ICP-AES/AAS finish). Gold was measured by fire assay with an ICP-AES finish (50-gram sample, Au-ICP22).
About Defiance Silver Corp.
Defiance Silver  is an exploration company advancing the district-scale Zacatecas project, located in the historic Zacatecas silver district, the 100-per-cent-owned Tepal gold/copper project in Michoacan state, Mexico, and the newly acquired Green Earth Metals property portfolio in Sonora state. Defiance is managed by a team of proven mine developers with a record of exploring, advancing and developing several operating mines and advanced resource projects. Defiance Silver's corporate mandate is to advance its projects through capital-efficient exploration focused on resource growth and new mineral discoveries.
Qualified person statement
George Cavey, PGeo, is a qualified person within the meaning of National Instrument 43-101 and has approved the technical information concerning the company's material mineral properties contained in this press release.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DEF\news_html\2026-02-20.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DEF/news_html/2026-02-20.html,,NONE,High-grade drill results at Zacatecas project,,,2024-01-31,2024-04-02
stockwatch,DEF,Defiance Silver Corp.,2026-02-12,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Defiance signs surface access deal at Green Earth,https://www.stockwatch.com/News/Item/Z-C!DEF-3784464/C/DEF,3784464,https://www.stockwatch.com/News/Sedardoc/6123170.pdf,,0,0,no,,"2026-02-12 09:40 ET - News Release
Mr. Chris Wright reports
DEFIANCE SILVER SIGNS LONG-TERM ACCESS AGREEMENT AT ITS GREEN EARTH PROJECT, SONORA
Defiance Silver Corp.   has successfully secured a long-term surface access agreement covering the Victoria target at its Green Earth project in Sonora, Mexico.  Under the terms of the five-year agreement, the company has secured the right to conduct surface exploration, drilling and engineering studies at its Green Earth project.
Management commentary
""Securing surface access at Victoria is an important step in unlocking the value of the Green Earth project. This agreement allows us to advance Victoria in a disciplined, capital-efficient manner,""
                                                                                                                                             stated Chris Wright, executive chairman and chief executive officer of  Defiance Silver.
Victoria target highlights
The Victoria target represents a large, previously untested Laramide-age porphyry copper-molybdenum-gold system located within the highly prospective Sonora Laramide porphyry copper belt, which hosts world-class deposits such as Cananea and La Caridad. The Green Earth project spans approximately 6,800 hectares and benefits from excellent infrastructure, year-round access, and proximity to skilled labor and services.
Key attributes include:
A large alteration footprint defined by phyllic and potassic alteration assemblages;
Leached capping with anomalous copper, molybdenum and gold geochemistry;
Intermediate-sulphidation epithermal veins indicative of a robust mineralized system;
Strong geophysical responses, including coincident MT (magnetotelluric) and IP (induced polarization) chargeability/resistivity anomalies.
Grant of omnibus awards
Defiance has granted the following:
Stock options: An aggregate of 2.72 million incentive stock options have been granted to certain employees, directors and consultants to purchase common shares of the company  at an exercise price of 35 cents. The options are exercisable for five years from the date of grant and vest equally over a three-year period beginning on the date of grant.
Deferred share units: An aggregate of 289,000 deferred share units (DSUs) have been granted to certain directors. Each DSU represents a right of the holder to receive one common share effective as at the date the holder ceases to serve as a director of the company. The DSUs vest on the one-year anniversary of the date of grant.
Performance share units: An aggregate of 458,000 performance share units (PSUs) have been granted to certain employees. Each PSU entitles the holder to acquire one common share on the vesting date. The PSUs vest on the one-year anniversary of the date of grant, subject to certain corporate and individual performance criteria.
Restricted share units: An aggregate of 314,000 restricted share units (RSUs) have been granted to certain employees. Each RSU entitles the holder to acquire one common share on vesting. The RSUs vest equally over a three-year period beginning on the one-year anniversary of the date of grant.
About Defiance Silver Corp.
Defiance Silver   is an exploration company focused on advancing district-scale precious and base metal projects in Mexico. The company's portfolio includes:
The Zacatecas project in the historic Zacatecas silver district;
The 100-per-cent-owned Tepal gold-copper project in Michoacan;
The Green Earth metals property portfolio in Sonora state.
Defiance is led by a proven management and technical team with experience advancing exploration assets through discovery and development. The company is committed to capital-efficient exploration, disciplined growth and responsible development.
Qualified person
George Cavey, PGeo, is a qualified person within the meaning of National Instrument 43-101 and has approved the technical information concerning the company's material mineral properties contained in this press release.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DEF\news_html\2026-02-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DEF/news_html/2026-02-12.html,,NONE,Surface access agreement at Green Earth project,,,2024-01-31,2024-04-02
stockwatch,DEF,Defiance Silver Corp.,2025-12-23,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6091700.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,DEF,Defiance Silver Corp.,2025-12-10,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Defiance Announces Results of 2025 Annual General and Special Meeting,https://www.stockwatch.com/News/Item/Z-C!DEF-3764046/C/DEF,3764046,https://www.stockwatch.com/News/Sedardoc/6081661.pdf,,0,0,no,,"2025-12-10 01:46 ET - News Release
Vancouver, British Columbia--(Newsfile Corp. - December 10, 2025) - Defiance Silver Corp. (TSXV: DEF) (OTCQX: DNCVF) (FSE: D4E) (WKN: A1JQW5) (""
Defiance
"" or the ""
Company
"") is pleased to announce the results of its 2025 Annual General and Special Meeting (the ""
AGM
"") held on Friday, December 5, 2025.
Shareholders approved all items to be acted upon, as outlined in the management information circular of the Company dated October 22, 2025, namely:
Electing all nominees to the board of directors of the Company.
Appointing Davidson & Company LLP as auditor of the Company for the ensuing year and authorizing the Directors to determine the auditor's compensation.
Approving, ratifying and confirming the Company's 2021 Omnibus Plan.
A total of 90,698,476 common shares of the Company were voted at the meeting, representing approximately 24.918% of the issued and outstanding common shares of the Company (see below).
Resolution
Votes For
Votes Against
Votes Withheld
To set the number of directors at five
98.53%
1.470%
n/a
To elect the following as directors:
Christopher Wright
97.279%
n/a
2.721 %
Ronald Sowerby
99.016%
n/a
0.984%
James Bergin
93.7536%
n/a
6.427%
George Cavey
95.502%
n/a
4.498%
Paul A. Smith
95.359%
n/a
4.461%
Appointment of Auditor
96.699%
n/a
3.301%
Approve, ratify and confirm the 2021
Omnibus Plan
93.238%
6.762%
n/a
""We appreciate the continued support of our shareholders. Our team remains committed to creating long-term value through strategic exploration and the advancement of our key assets,"" stated Christopher Wright, CEO of the Company.
About Defiance Silver Corp.
Defiance Silver Corp. (TSXV: DEF) (OTCQX: DNCVF) (FSE: D4E) is an exploration company advancing the district-scale Zacatecas project, located in the historic Zacatecas Silver District, the 100% owned Tepal Gold/Copper Project in Michoacán state, Mexico and the newly acquired Green Earth Metals property portfolio in Sonora State. Defiance is managed by a team of proven mine developers with a track record of exploring, advancing, and developing several operating mines and advanced resource projects. Defiance Silver's corporate mandate is to advance its projects through capital-efficient exploration focused on resource growth and new mineral discoveries.
On behalf of Defiance Silver Corp.
""Chris Wright""
CEO & Chairman of the Board
For more information, please contact: Investor Relations at +1 (604) 343-4677 or via email at
info@defiancesilver.com
.
www.defiancesilver.com
Suite 2900-550 Burrard Street
Vancouver, BC V6C 0A3
Canada
Tel: +1 (604) 343-4677
Email:
info@defiancesilver.com
Disclaimer
Neither the TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this release.
Cautionary Statements Regarding Forward-Looking Information
Information contained in this news release which are not statements of historical facts may be ""forward-looking information"" for the purposes of Canadian securities laws. Such forward-looking information and statements involve known and unknown risks and uncertainties that may cause Defiance's actual results, performance and achievements to differ materially from those expressed or implied by the forward-looking information and statements and accordingly, undue reliance should not be placed thereon... The words ""believe"", ""expect"", ""anticipate"", ""contemplate"", ""plan"", ""intends"", ""continue"", ""budget"", ""estimate"", ""may"", ""will"", ""schedule"", ""understand"" and similar expressions identify forward-looking information.
Risks and uncertainties that may cause actual results to vary include but are not limited to the speculative nature of mineral exploration and development, including the uncertainty of reserve and resource estimates; operational and technical difficulties; the availability of suitable financing alternatives; fluctuations in gold and other commodity prices; changes  to and compliance with applicable laws and regulations, including environmental laws and obtaining requisite permits;  political, economic and other risks arising from Defiance's Mexican activities; fluctuations in foreign exchange rates; as well as other risks and uncertainties which are more fully described in our annual and quarterly Management's Discussion and Analysis and in other filings made by us with Canadian securities regulatory authorities and available at
www.sedarplus.ca
. Accordingly, all such factors should be considered carefully when making decisions with respect to Defiance, and prospective investors should not place undue reliance on forward-looking information. Forward-looking information in this news release is made as at the date hereof. The Company assumes no obligation to update or revise forward-looking information to reflect changes in assumptions, changes in circumstances or any other events affecting such forward-looking information, except as required by applicable law.
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/277489
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\DEF\news_html\2025-12-10.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/DEF/news_html/2025-12-10.html,,NONE,Results of 2025 Annual General Meeting,,,2024-01-31,2024-04-02
