source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,ELO,Eloro Resources Ltd.,2025-06-30,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5957715.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ELO\pdfs\AIF\2025-06-30_ELO_AIF.pdf,73,1774,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ELO/2025-06-30_ELO_AIF.pdf,,,,,,,,,2025-03-31,2025-06-30
stockwatch,ELO,Eloro Resources Ltd.,2026-03-06,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6142795.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ELO\pdfs\MaterialChange\2026-03-06_ELO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,3,642,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ELO/2026-03-06_ELO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Increased private placement offering,,,,,2025-03-31,2025-06-30
stockwatch,ELO,Eloro Resources Ltd.,2026-03-06,MATERIAL_DOCUMENTS,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6142535.pdf,,0,0,no,,,,,,,,,,2025-03-31,2025-06-30
stockwatch,ELO,Eloro Resources Ltd.,2026-03-06,NEWS_RELEASE_EN,not applicable,NewsRelease,Eloro Resources closes $17-million financing,https://www.stockwatch.com/News/Item/Z-C!ELO-3793603/C/ELO,3793603,https://www.stockwatch.com/News/Sedardoc/6142142.pdf,,0,0,no,,"2026-03-06 17:58 ET - News Release
Mr. Thomas Larsen reports
ELORO RESOURCES ANNOUNCES CLOSING OF BOUGHT DEAL LIFE PRIVATE PLACEMENT FOR GROSS PROCEEDS OF C$17 MILLION
Eloro Resources Ltd. has closed its previously announced bought deal private placement for gross proceeds of $17,000,360, which includes the exercise in full of the overallotment option. Pursuant to the offering, the company sold 6,538,600 common shares of the company at a price of $2.60 per common share. Red Cloud Securities Inc. and Cantor Fitzgerald Canada Corp. acted as co-lead underwriters and joint bookrunners on behalf of a syndicate of underwriters, including Haywood Securities Inc., under the offering.
The company intends to use the net proceeds of the offering for continued exploration and development of the Iska Iska project in southern Bolivia, as well as general corporate purposes and working capital.
In accordance with National Instrument 45-106, Prospectus Exemptions, 1,941,100 common shares were issued to Canadian purchasers pursuant to the listed issuer financing exemption under Part 5A of NI 45-106, as amended by Coordinated Blanket Order 45-935, Exemptions from Certain Conditions of the Listed Issuer Financing Exemption. The common shares sold to purchasers resident in Canada pursuant to the listed issuer financing exemption are immediately freely tradeable in accordance with applicable Canadian securities legislation. The remaining common shares sold under the offering were issued to purchasers outside of Canada pursuant to an exemption from the prospectus requirements in Canada available under OSC Rule 72-503 and, accordingly, such common shares issued to purchasers outside of Canada are not subject to a four-month hold period in Canada.
As consideration for their services, the underwriters received aggregate cash fees of $1,020,021.60 and 392,316 non-transferable common share purchase warrants. Each broker warrant is exercisable into one common share at the offering price at any time on or before March 6, 2028. The broker warrants and any common shares issuable upon any future exercise of the broker warrants will be subject to a hold period in Canada in accordance with applicable Canadian securities law, expiring on July 7, 2026.
An insider of the company by virtue of being a significant shareholder participated in the offering. The issuance of common shares under the offering to the insider constitutes a related party transaction within the meaning of Multilateral Instrument 61-101, Protection of Minority Security Holders in Special Transactions. A formal valuation was not required under MI 61-101, as the fair market value of the consideration for the transaction involving the insider was only $2,501,200 and, accordingly, does not exceed 25 per cent of the company's market capitalization (determined in accordance with MI 61-101) as of the date of the offering. Similarly, minority shareholder approval was also not required under MI 61-101 as the fair market value of the consideration for the transaction involving the insider does not exceed 25 per cent of the company's market capitalization (determined in accordance with MI 61-101) as of the date of the offering. The company did not file a material change report in respect of the participation of the insider in the offering at least 21 days before closing of the offering as the period from announcement of the offering to closing was less than 21 days and the insider's participation was not determined in advance of its announcement.
There is an amended and restated offering document related to the offering that can be accessed under the company's profile on SEDAR+ and on the company's website.
The closing of the offering remains subject to the final approval of the Toronto Stock Exchange.
About Eloro Resources Ltd.
Eloro is an exploration and mine development company with a portfolio of precious and base metal properties in Bolivia, Peru and Quebec. Eloro, through its Bolivian subsidiary, Minera Tupiza SRL, has a 99-per-cent joint venture interest and a 100-per-cent economic participation interest in the highly prospective Iska Iska property, which can be classified as a polymetallic epithermal-porphyry complex, a significant mineral deposit type in the Potosi department, in southern Bolivia. A National Instrument 43-101 technical report on Iska Iska, which was completed by Micon International Ltd., is available on Eloro's website and under its filings on SEDAR+. Iska Iska is a road-accessible, royalty-free property. Eloro also owns an 82-per-cent interest in the La Victoria gold/silver project, located in the north-central mineral belt of Peru approximately 50 kilometres south of the Lagunas Norte gold mine and the La Arena gold mine.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ELO\news_html\2026-03-06.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ELO/news_html/2026-03-06.html,,NONE,Closed bought deal financing for $17 million,,,2025-03-31,2025-06-30
stockwatch,ELO,Eloro Resources Ltd.,2026-02-25,NEWS_RELEASE_EN,not applicable,NewsRelease,Eloro Resources increases financing to $15-million,https://www.stockwatch.com/News/Item/Z-C!ELO-3789322/C/ELO,3789322,https://www.stockwatch.com/News/Sedardoc/6132020.pdf,,0,0,no,,"2026-02-25 18:42 ET - News Release
Mr. Thomas Larsen reports
ELORO RESOURCES ANNOUNCES UPSIZE OF BOUGHT DEAL LIFE PRIVATE PLACEMENT FOR GROSS PROCEEDS OF C$15 MILLION
As a result of strong investor demand, Eloro Resources Ltd. and Red Cloud Securities Inc. have agreed to increase the size of its previously announced bought deal private placement from gross proceeds of $10,000,120 to gross proceeds of $15,000,180. Pursuant to the upsized underwritten offering, Red Cloud and Cantor Fitzgerald Canada Corp., as co-lead underwriters and joint bookrunners on behalf of a syndicate of underwriters, will purchase for resale 5,769,300 common shares of the company at a price of $2.60 per offered share.
The company will grant to the underwriters an option, exercisable up to 48 hours prior to the closing date (as defined herein), to purchase for resale up to an additional 769,300 offered shares at the offering price for additional gross proceeds of up to $2,000,180. The underwritten offering and the offered shares issuable upon exercise of the overallotment option shall be collectively referred to as the offering.
The company intends to use the net proceeds of the offering for continued exploration and development of the Iska Iska project in southern Bolivia, as well as general corporate purposes and working capital.
Subject to compliance with applicable regulatory requirements and in accordance with National Instrument 45-106, Prospectus Exemptions, up to 2,307,692 offered shares will be offered for sale to purchasers resident in all of the provinces of Canada except Quebec pursuant to the listed issuer financing exemption under Part 5A of NI 45-106, as amended by Coordinated Blanket Order 45-935, Exemptions from Certain Conditions of the Listed Issuer Financing Exemption. The offered shares sold pursuant to the listed issuer financing exemption are expected to be immediately freely tradeable in accordance with applicable canadian securities legislation if sold to purchasers resident in Canada. The offered shares will also be offered in the United States or to, or for the account or benefit of, U.S. persons, by way of private placement pursuant to the exemptions from the registration requirements provided for under the United States Securities Act of 1933, as amended, and in jurisdictions outside of Canada and the United States on a private placement or equivalent basis, in each case in accordance with all applicable laws, provided that no prospectus, registration statement or other similar document is required to be filed in such jurisdiction. The offered shares will be offered to purchasers outside of Canada pursuant to an exemption from the prospectus requirements in Canada available under OSC Rule 72-503 and, accordingly, the offered shares to be issued pursuant to the offering to purchasers outside of Canada are not expected to be subject to a four-month hold period in Canada. All offered shares not issued pursuant to the listed issuer financing exemption or under OSC Rule 72-503 will be subject to a hold period in Canada in accordance with applicable Canadian securities law, expiring four months and one day following the closing date.
An amended and restated offering document related to the offering will be made available under the company's profile on SEDAR+ and on the company's website. Prospective investors should read this amended offering document before making an investment decision.
The offering is scheduled to close on March 6, 2026, or such other date as the company and Red Cloud may agree. Completion of the offering is subject to certain conditions, including, but not limited to, the receipt of all necessary approvals, including the approval of the Toronto Stock Exchange.
About Eloro Resources Ltd.
Eloro is an exploration and mine development company with a portfolio of precious and base metal properties in Bolivia, Peru and Quebec. Eloro, through its Bolivian subsidiary, Minera Tupiza SRL, has a 99-per-cent joint venture interest and a 100-per-cent economic participation interest in the highly prospective Iska Iska property, which can be classified as a polymetallic epithermal-porphyry complex, a significant mineral deposit type in the Potosi department, in southern Bolivia. A National Instrument 43-101 technical report on Iska Iska, which was completed by Micon International Ltd., is available on Eloro's website and under its filings on SEDAR+. Iska Iska is a road-accessible, royalty-free property. Eloro also owns an 82-per-cent interest in the La Victoria gold/silver project, located in the north-central mineral belt of Peru approximately 50 kilometres south of the Lagunas Norte gold mine and the La Arena gold mine.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ELO\news_html\2026-02-25.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ELO/news_html/2026-02-25.html,,NONE,Upsized bought deal private placement announced,,,2025-03-31,2025-06-30
stockwatch,ELO,Eloro Resources Ltd.,2026-02-24,NEWS_RELEASE_AMENDED_EN,not applicable,NewsRelease,Eloro Resources arranges $10-million financing,https://www.stockwatch.com/News/Item/Z-C!ELO-3788728/C/ELO,3788728,https://www.stockwatch.com/News/Sedardoc/6132923.pdf,,0,0,no,,"2026-02-24 20:56 ET - News Release
Mr. Thomas Larsen reports
ELORO RESOURCES ANNOUNCES BOUGHT DEAL LIFE PRIVATE PLACEMENT FOR GROSS PROCEEDS OF C$10.0 MILLION
Eloro Resources Ltd. has entered into an agreement with Red Cloud Securities Inc. pursuant to which Red Cloud and Cantor Fitzgerald Canada Corp., as co-lead underwriters and joint bookrunners on behalf of a syndicate of underwriters, have agreed to purchase for resale 3,846,200 common shares of the company at a price of $2.60 per offered share on a bought deal basis in a private placement for gross proceeds of $10,000,120.
The company will grant to the underwriters an option, exercisable up to 48 hours prior to the closing date (as defined herein), to purchase for resale up to an additional 769,300 offered shares at the offering price for additional gross proceeds of up to $2,000,180. The underwritten offering and the offered shares issuable upon exercise of the overallotment option shall be collectively referred to as the offering.
The company intends to use the net proceeds of the offering for continued exploration and development of the Iska Iska project in southern Bolivia, as well as general corporate purposes and working capital.
Subject to compliance with applicable regulatory requirements and in accordance with National Instrument 45-106, Prospectus Exemptions, up to 2,307,692 offered shares will be offered for sale to purchasers resident in all of the provinces of Canada except Quebec pursuant to the listed issuer financing exemption under Part 5A of NI 45-106, as amended by Coordinated Blanket Order 45-935, Exemptions from Certain Conditions of the Listed Issuer Financing Exemption. The offered shares sold pursuant to the listed issuer financing exemption are expected to be immediately freely tradeable in accordance with applicable Canadian securities legislation if sold to purchasers resident in Canada. The offered shares will also be offered in the United States or to, or for the account or benefit of, U.S. persons, by way of private placement pursuant to the exemptions from the registration requirements provided for under the United States Securities Act of 1933, as amended, and in jurisdictions outside of Canada and the United States on a private placement or equivalent basis, in each case in accordance with all applicable laws, provided that no prospectus, registration statement or other similar document is required to be filed in such jurisdiction. The offered shares will be offered to purchasers outside of Canada pursuant to an exemption from the prospectus requirements in Canada available under OSC Rule 72-503 and, accordingly, the offered shares to be issued pursuant to the offering to purchasers outside of Canada are not expected to be subject to a four-month hold period in Canada. All offered shares not issued pursuant to the listed issuer financing exemption or under OSC Rule 72-503 will be subject to a hold period in Canada in accordance with applicable Canadian securities law, expiring four months and one day following the closing date.
There is an offering document related to the offering that can be accessed under the company's profile on SEDAR+ and on the company's website. Prospective investors should read this offering document before making an investment decision.
The offering is scheduled to close on March 6, 2026, or such other date as the company and Red Cloud may agree. Completion of the offering is subject to certain conditions, including, but not limited to, the receipt of all necessary approvals, including the approval of the Toronto Stock Exchange.
About Eloro Resources Ltd.
Eloro is an exploration and mine development company with a portfolio of precious and base metal properties in Bolivia, Peru and Quebec. Eloro, through its Bolivian subsidiary, Minera Tupiza SRL, has a 99-per-cent joint venture interest and a 100-per-cent economic participation interest in the highly prospective Iska Iska property, which can be classified as a polymetallic epithermal-porphyry complex, a significant mineral deposit type in the Potosi department, in southern Bolivia. A National Instrument 43-101 technical report on Iska Iska, which was completed by Micon International Ltd., is available on Eloro's website and under its filings on SEDAR+. Iska Iska is a road-accessible, royalty-free property. Eloro also owns an 82-per-cent interest in the La Victoria gold/silver project, located in the north-central mineral belt of Peru approximately 50 kilometres south of the Lagunas Norte gold mine and the La Arena gold mine.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ELO\news_html\2026-02-24.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ELO/news_html/2026-02-24.html,,NONE,Financing arrangement for Iska Iska project,,,2025-03-31,2025-06-30
stockwatch,ELO,Eloro Resources Ltd.,2026-02-24,NEWS_RELEASE_EN,not applicable,NewsRelease,Eloro Resources arranges $10-million financing,https://www.stockwatch.com/News/Item/Z-C!ELO-3788728/C/ELO,3788728,https://www.stockwatch.com/News/Sedardoc/6132919.pdf,,0,0,no,,"2026-02-24 20:56 ET - News Release
Mr. Thomas Larsen reports
ELORO RESOURCES ANNOUNCES BOUGHT DEAL LIFE PRIVATE PLACEMENT FOR GROSS PROCEEDS OF C$10.0 MILLION
Eloro Resources Ltd. has entered into an agreement with Red Cloud Securities Inc. pursuant to which Red Cloud and Cantor Fitzgerald Canada Corp., as co-lead underwriters and joint bookrunners on behalf of a syndicate of underwriters, have agreed to purchase for resale 3,846,200 common shares of the company at a price of $2.60 per offered share on a bought deal basis in a private placement for gross proceeds of $10,000,120.
The company will grant to the underwriters an option, exercisable up to 48 hours prior to the closing date (as defined herein), to purchase for resale up to an additional 769,300 offered shares at the offering price for additional gross proceeds of up to $2,000,180. The underwritten offering and the offered shares issuable upon exercise of the overallotment option shall be collectively referred to as the offering.
The company intends to use the net proceeds of the offering for continued exploration and development of the Iska Iska project in southern Bolivia, as well as general corporate purposes and working capital.
Subject to compliance with applicable regulatory requirements and in accordance with National Instrument 45-106, Prospectus Exemptions, up to 2,307,692 offered shares will be offered for sale to purchasers resident in all of the provinces of Canada except Quebec pursuant to the listed issuer financing exemption under Part 5A of NI 45-106, as amended by Coordinated Blanket Order 45-935, Exemptions from Certain Conditions of the Listed Issuer Financing Exemption. The offered shares sold pursuant to the listed issuer financing exemption are expected to be immediately freely tradeable in accordance with applicable Canadian securities legislation if sold to purchasers resident in Canada. The offered shares will also be offered in the United States or to, or for the account or benefit of, U.S. persons, by way of private placement pursuant to the exemptions from the registration requirements provided for under the United States Securities Act of 1933, as amended, and in jurisdictions outside of Canada and the United States on a private placement or equivalent basis, in each case in accordance with all applicable laws, provided that no prospectus, registration statement or other similar document is required to be filed in such jurisdiction. The offered shares will be offered to purchasers outside of Canada pursuant to an exemption from the prospectus requirements in Canada available under OSC Rule 72-503 and, accordingly, the offered shares to be issued pursuant to the offering to purchasers outside of Canada are not expected to be subject to a four-month hold period in Canada. All offered shares not issued pursuant to the listed issuer financing exemption or under OSC Rule 72-503 will be subject to a hold period in Canada in accordance with applicable Canadian securities law, expiring four months and one day following the closing date.
There is an offering document related to the offering that can be accessed under the company's profile on SEDAR+ and on the company's website. Prospective investors should read this offering document before making an investment decision.
The offering is scheduled to close on March 6, 2026, or such other date as the company and Red Cloud may agree. Completion of the offering is subject to certain conditions, including, but not limited to, the receipt of all necessary approvals, including the approval of the Toronto Stock Exchange.
About Eloro Resources Ltd.
Eloro is an exploration and mine development company with a portfolio of precious and base metal properties in Bolivia, Peru and Quebec. Eloro, through its Bolivian subsidiary, Minera Tupiza SRL, has a 99-per-cent joint venture interest and a 100-per-cent economic participation interest in the highly prospective Iska Iska property, which can be classified as a polymetallic epithermal-porphyry complex, a significant mineral deposit type in the Potosi department, in southern Bolivia. A National Instrument 43-101 technical report on Iska Iska, which was completed by Micon International Ltd., is available on Eloro's website and under its filings on SEDAR+. Iska Iska is a road-accessible, royalty-free property. Eloro also owns an 82-per-cent interest in the La Victoria gold/silver project, located in the north-central mineral belt of Peru approximately 50 kilometres south of the Lagunas Norte gold mine and the La Arena gold mine.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ELO\news_html\2026-02-24.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ELO/news_html/2026-02-24.html,,NONE,Financing arrangement for Iska Iska project,,,2025-03-31,2025-06-30
stockwatch,ELO,Eloro Resources Ltd.,2026-02-24,OFFERING_DOCUMENT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6131429.pdf,,0,0,no,,,,,,,,,,2025-03-31,2025-06-30
stockwatch,ELO,Eloro Resources Ltd.,2026-02-24,OFFERING_DOCUMENT_AMENDED_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6132048.pdf,,0,0,no,,,,,,,,,,2025-03-31,2025-06-30
stockwatch,ELO,Eloro Resources Ltd.,2026-02-20,NEWS_RELEASE_EN,not applicable,NewsRelease,Eloro hires Major Drilling for Iska Iska drill program,https://www.stockwatch.com/News/Item/Z-C!ELO-3787234/C/ELO,3787234,https://www.stockwatch.com/News/Sedardoc/6128696.pdf,,0,0,no,,"2026-02-20 12:27 ET - News Release
Mr. Thomas Larsen reports
ELORO RESOURCES LAUNCHES 40,000 METRE DRILL PROGRAM AT THE ISKA ISKA SILVER-TIN POLYMETALLIC PROJECT, POTOSI DEPARTMENT, BOLIVIA
Eloro Resources Ltd. has signed a contract with Major Drilling Group International Inc., the world's leading provider of specialized drilling services in the metals and mining industry, to complete an initial 40,000-metre drill program at its Iska Iska silver-tin polymetallic project in Potosi, Bolivia. As per the agreement, two drill rigs are currently being mobilized to the project, while a third is expected to be added in the coming weeks.
Dr. Osvaldo Arce, PGeo, Eloro's executive vice-president, operations, Latin America, commented, ""With Major Drilling now engaged, the company will be able to complete a sufficient amount of 50 m and 25 m infill drill hole spacings in the Santa Barbara corridor and to drill the other five mineralized zones at Iska Iska to enhance the resource footprint for our economic studies and also drill other prospective targets within the perimeter of the Iska Iska Caldera.""
Eloro's chief executive officer, Thomas Larsen, added: ""We welcome Major Drilling resuming operations in Bolivia to service our drilling requirements, with Iska Iska as their first project. Since the general elections that were held in Bolivia last fall, there are demonstrations of renewed optimism, encouraged by policy changes under way in the country, which are attractive to the mining sector.""
About Eloro Resources Ltd.
Eloro is an exploration and mine development company with a portfolio of precious and base-metal properties in Bolivia, Peru and Quebec. Eloro, through its Bolivian subsidiary, Minera Tupiza SRL, has  a 99-per-cent joint venture interest and a 100-per-cent economic participation interest in the highly prospective Iska Iska property, which can be classified as a polymetallic epithermal-porphyry complex, a significant mineral deposit type in the Potosi department, in southern Bolivia. A National Instrument 43-101 technical report on Iska Iska, which was completed by Micon International Ltd., is available on Eloro's website and under its filings on SEDAR+. Iska Iska is a road-accessible, royalty-free property. Eloro also owns an 82-per-cent interest in the La Victoria gold/silver project, located in the North-Central mineral belt of Peru about 50 kilometres south of the Lagunas Norte gold mine and the La Arena gold mine.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ELO\news_html\2026-02-20.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ELO/news_html/2026-02-20.html,,NONE,Drill program launched at Iska Iska,,,2025-03-31,2025-06-30
