source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,EMO,Emerita Resources Corp. formerly Emerita Gold Corp.,2026-03-02,NEWS_RELEASE_EN,not applicable,NewsRelease,Emerita Reports Albion Process Achieves 81% Gold and 96% Silver Recovery from Post Flotation Material Samples at IBW Project,https://www.stockwatch.com/News/Item/Z-C!EMO-3791242/C/EMO,3791242,https://www.stockwatch.com/News/Sedardoc/6137276.pdf,,0,0,no,,"2026-03-02 08:11 ET - News Release
TORONTO, March  02, 2026  (GLOBE NEWSWIRE) -- Emerita Resources Corp. (TSX-V: EMO; OTCQX: EMOTF; FSE: LLJA) (the “Company” or “Emerita”) is pleased to announce results from metallurgical tests using the Albion hydrometallurgical process and has achieved 81% recovery of gold and 96% recovery of silver at its wholly-owned Iberian Belt West Project (“IBW” or the “Project”).
These results exceed the previously reported metallurgical results (see press release dated May 27, 2025), which reported gold recoveries of 81.5% and 64.1% using the optimized CLEVR post-flotation process.
The Albion Process™ for La Romanera deposit is a post-flotation stage metallurgical process. Specifically, the samples tested were the residual material remaining after the flotation process removed the base metal concentrates. Some gold and silver reports to the copper and lead concentrates, however, more than 80% is in the post flotation material. The Albion Process™ is a commercially proven and widely implemented technology for the treatment of refractory gold concentrates, based on ultra-fine grinding and oxidative leaching. The process was developed in 1994 at Core’s laboratories and is licenced worldwide by Glencore Technology.
Albion Process Results
The Albion Process™ test work was conducted at CORE Resources’ laboratories in Australia. The Albion-based flowsheet tested consisted of three key steps:
Ultrafine grinding and atmospheric oxidation using the Albion Process™
Oxidative Neutral leaching within at mildly acidic to near‑neutral pH
Precious metals recovery via Carbon-in-Pulp (“CIP”) recovery circuit followed by elution
The Albion Process™ test results achieved:
81% gold recovery
96% silver recovery
These results demonstrate that the Albion hydrometallurgical oxidation route effectively liberates precious metals contained within refractory sulphide matrices at the IBW Project and significantly enhances silver recovery.
Comparison with Pyrometallurgical Oxidation + CLEVR Route
The alternative route previously evaluated for the IBW Project consists of:
Single-step pyrolysis and thermal oxidation (pyrometallurgical treatment)
Cooling, then acid washing
Gold leaching using CLEVR Process™ non-cyanide technology
The CLEVR Process™ test results achieved (refer to press release dated May 27, 2025 for additional details):
81.5% gold recovery
64% silver recovery
Table 1 provides a comparison of the post-flotation technologies evaluated by the Company for the IBW Project.
Table 1. Precious metals recoveries for Albion Process + CIP compared to Pyrolosis + CLEVR technologies.
Parameter
Albion + Neutral Leach + CIP
Thermal Oxidation + CLEVR
Gold Recovery
81%
81.5%
Silver Recovery
96%
50-64%
Oxidation Type
Hydrometallurgical (atmospheric)
Pyrometallurgical
Gold Leaching
CIP
CLEVR (non-cyanide)
Emerita Resources will continue to test several other technologies in 2026 to determine the most optimal flowsheet for the Project.
The metallurgical results achieved with both pyrometallurgical and hydrometallurgical routes significantly enhances the technical robustness of the IBW Project. The availability of two technically viable processing alternatives reduces metallurgical risk and increases flexibility in the selection of the final process flowsheet. The results offer potential to further optimize the flotation process and base metals recoveries and is currently being evaluated by the ongoing test work. The Company will decide on one of these options for the ongoing Prefeasibility Study (PFS), however there will be opportunity to incorporate further optimization of the process prior to a final design.
Joaquin Merino, P.Geo., President of Emerita, states “The Albion post flotation optimization process for the IBW Project is a key piece to unlocking the value of the mineralization that we continue to expand through our drill campaigns. Both technologies that we have examined demonstrate comparable gold recoveries of approximately 81%. However, the Albion route maximizes silver recovery, which in the current market may add significant value to the IBW Project. To define the optimal post flotation processing route to maximize the value of the IBW Project, Emerita is evaluating alternatives not only based on precious metals recovery, but also with respect to operational efficiency, environmental performance, scalability and long-term project economics.”
Emerita remains committed to technical excellence and aims to position the IBW Project as a reference project in the responsible and efficient development of mineral resources.
Qualified Person
Scientific and technical information in this news release has been reviewed and approved by each of Joaquin Merino, P.Geo., President of the Company and. Jorge A. Blanco, MChem., Director of Metallurgy of the Company and each a Qualified Person as defined by NI 43-101. Messrs Merino and Blanco are not considered independent of the Company.
About Emerita Resources Corp
.
Emerita is a natural resource company engaged in the acquisition, exploration, and development of mineral properties in Europe, with a primary focus on exploring in Spain. The Company’s corporate office and technical team are based in Sevilla, Spain with an administrative office in Toronto, Canada
For further information, contact:
Ian Parkinson
+1 647 910-2500 (Toronto)
info@emeritaresources.com
www.emeritaresources.com
Cautionary Note Regarding Forward-looking Information
This press release contains “forward-looking information” within the meaning of applicable Canadian securities legislation. Forward-looking information includes, without limitation, statements regarding the metallurgy of the IBW project, the viability of metallurgical recoveries, the prospectivity of the IBW project, the mineralization and the IBW project, the economic viability of the IBW project, the metallurgy of the IBW project, the Company’s ability to produce and publish an economic study for the Project, the Company’s future exploration plans and the Company’s future plans. Generally, forward-looking information can be identified by the use of forward-looking terminology such as “plans”, “expects” or “does not expect”, “is expected”, “budget”, “scheduled”, “estimates”, “forecasts”, “intends”, “anticipates” or “does not anticipate”, or “believes”, or variations of such words and phrases or state that certain actions, events or results “may”, “could”, “would”, “might” or “will be taken”, “occur” or “be achieved”. Forward- looking information is subject to known and unknown risks, uncertainties and other factors that may cause the actual results, level of activity, performance or achievements of Emerita, as the case may be, to be materially different from those expressed or implied by such forward-looking information, including but not limited to: general business, economic, competitive, geopolitical and social uncertainties; the actual results of current exploration activities; risks associated with operation in foreign jurisdictions; ability to successfully integrate the purchased properties; foreign operations risks; and other risks inherent in the mining industry. Although Emerita has attempted to identify important factors that could cause actual results to differ materially from those contained in forward-looking information, there may be other factors that cause results not to be as anticipated, estimated or intended. There can be no assurance that such information will prove to be accurate, as actual results and future events could differ materially from those anticipated in such statements. Accordingly, readers should not place undue reliance on forward-looking information. Emerita does not undertake to update any forward-looking information, except in accordance with applicable securities laws.
NEITHER TSX VENTURE EXCHANGE NOR ITS REGULATION SERVICES PROVIDER (AS THAT TERM IS DEFINED IN THE POLICIES OF THE TSX VENTURE EXCHANGE) ACCEPTS RESPONSIBILITY FOR THE ADEQUACY OR ACCURACYOF THIS RELEASE.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\EMO\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/EMO/news_html/2026-03-02.html,,NONE,Metallurgical test results for IBW Project,,,2023-12-31,2024-03-30
stockwatch,EMO,Emerita Resources Corp. formerly Emerita Gold Corp.,2026-02-26,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134484.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,EMO,Emerita Resources Corp. formerly Emerita Gold Corp.,2026-02-26,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134479.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,EMO,Emerita Resources Corp. formerly Emerita Gold Corp.,2026-02-26,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6134481.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\EMO\pdfs\MD&A\2026-02-26_EMO_MD&A_INTERIM_MDA_EN.pdf,31,1738,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/EMO/2026-02-26_EMO_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2023-12-31,2024-03-30
stockwatch,EMO,Emerita Resources Corp. formerly Emerita Gold Corp.,2026-02-26,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134483.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,EMO,Emerita Resources Corp. formerly Emerita Gold Corp.,2026-02-09,NEWS_RELEASE_EN,not applicable,NewsRelease,"Emerita Intersects 9.2m Grading 1.4% Copper, 0.4% Lead, 1.3% Zinc, 0.41 g/t Gold and 21.48 g/t Silver at El Cura",https://www.stockwatch.com/News/Item/Z-C!EMO-3782829/C/EMO,3782829,https://www.stockwatch.com/News/Sedardoc/6120440.pdf,,0,0,no,,"2026-02-09 07:00 ET - News Release
TORONTO, Feb.  09, 2026  (GLOBE NEWSWIRE) -- Emerita Resources Corp. (TSX-V: EMO; OTCQX: EMOTF; FSE: LLJA) (the “Company” or “Emerita”) reports results from ongoing drilling of El Cura deposit. El Cura is part of Emerita’s wholly owned Iberian Belt West project (“IBW” or the “Project”; Figure 1) which hosts three Volcanogenic Massive Sulfide (VMS) deposits: La Romanera, El Cura and La Infanta that are currently undergoing Prefeasibility Studies (the “PFS”) (see the Company’s press release dated December 3, 2025). Recent results from the ongoing drilling at El Cura are listed below and complete data is included in Table 1.
Drill hole EC094: 9.2m grading 1.4% copper, 0.4% lead, 1.3% zinc, 0.41 g/t
gold and 21.48 g/t silver
Drill hole EC089: 2.8m grading 0.6% copper, 0.5% lead, 1.6% zinc, 1.71 g/t
gold and 30.95 g/t silver
Drill hole EC093: 5.6m grading 1.2% copper, 0.6% lead, 1.3% zinc, 0.82 g/t gold and 28.00 g/t silver
Drill hole EC090: 3.0m grading 0.3% copper, 0.7% lead, 2.2% zinc, 0.36 g/t
gold and 24.00 g/t silver
Figure 1. IBW tenement and locations of La Romanera, El Cura and La Infanta deposits.
View Figure 1 here:
https://www.globenewswire.com/NewsRoom/AttachmentNg/3533bec4-6ecd-4313-964f-abef2228530c
Table 1 shows drill hole location and assay data; drill hole traces are shown in map view in Figure 2. Long-section and cross-section views are displayed in Figures 3 and 4. Photos of mineralized core intercepts are shown in Figure 5.
Table 1: Recent drilling results received for El Cura deposit. True width ranged from 84% to 98% of intercept width, except for EC089 (true width 64% of intercept width).
DDH
Easting
Northing
Elevation
Azimuth
Dip
Depth (m)
FROM
TO
Width (m)
Cu %
Pb %
Zn %
Au g/t
Ag g/t
EC089
649834
4171569
126
201
-68
465.9
426.95
429.75
2.8
0.6
0.5
1.6
1.71
30.95
EC090
649685
4171500
127
175
-36
251.5
231.1
234.1
3.0
0.3
0.7
2.2
0.36
24.00
EC093
649834
4171569
126
165
-50
298
278.95
284.55
5.6
1.2
0.6
1.3
0.82
28.00
EC094
650050
4171540
135
178
-38
201.0
182.4
191.6
9.2
1.4
0.4
1.3
0.41
21.48
Figure 2. Plan view map showing drill hole traces of the El Cura drilling. Hole traces in this NR colored red.
View Figure 2 here:
https://www.globenewswire.com/NewsRoom/AttachmentNg/7e80249b-7c64-4b8c-b740-8f09f1e56d9a
Figure 3. Vertical longitudinal section of El Cura deposit, oriented east-west, looking north. Holes EC089, EC090, EC093 and EC094. Deposit as presently defined is indicated in green.
View Figure 3 here:
https://www.globenewswire.com/NewsRoom/AttachmentNg/0343a671-303d-410b-b07d-28db9516e6b6
Discussion
Drilling reported here spanned approximately 420m along strike from hole EC090 to hole EC094, and approximately 460m down-dip from surface to hole EC089. Hole EC089 (2.8m grading 0.6% copper, 0.5% lead, 1.6% zinc, 1.71 g/t gold, 30.95 g/t silver) joins holes EC087 (2.8m grading 0.7% copper, 0.1% lead, 0.1% zinc, 1.31 g/t gold, 13.64 g/t silver) and EC021 (1.7m grading 0.9% copper, 2.1% lead, 4.0% zinc, 68.35 g/t silver and 2.01 g/t gold) in defining the deepest level of El Cura deposit to date.
Nearer to surface, hole EC094 (9.2m grading 1.4% copper, 0.4% lead, 1.3% zinc, 0.41 g/t gold, 21.48 g/t silver) followed up on the thick intercept of EC092 (12.1m grading 1.6% copper, 0.1% lead, 0.1% zinc, 0.85 g/t gold, 32.11 g/t silver) with a test approximately 50 m to the east. In each hole, the copper grade was consistent but the ratio of base metal to precious metal varied, with greater gold and silver values in EC092 and better zinc grade in hole EC094.
Toward the center of the deposit as presently defined, hole EC093 returned 5.6m grading 1.2% copper, 0.6% lead, 1.3% zinc, 0.82% gold and 28.00 g/t silver. This is the thickest intercept of the five holes in this vicinity, just ahead of hole EC036 (5.2m grading 2.1% copper, 1.3% lead, 2.8% zinc, 1.6 g/t gold, 65.47 g/t silver.
To the west, hole EC090 (3.0m grading 0.3% copper, 0.7% lead, 2.2% zinc, 0.36 gold, 24.00 g/t silver) completed the definition of the upper edge of the deposit in that area, the bulk of which plunges westward, below this intercept.
Assay results for 91 holes were prepared in mid-January for inclusion into and the NI 43-101 Mineral Resource Estimate (the “MRE”) that will be used in the Prefeasibility Study, which is currently underway. This represents a substantial increase in the drill hole database over that of the 2025 El Cura maiden MRE, which considered 39 holes.
Drilling continues at El Cura and also at La Infanta, with a push to convert Inferred resources to Measured and Indicated categories for inclusion in the PFS.
Figure 4. Interpretive geological cross sections. A: Section 649700E showing hole EC090. B: Section 649850E showing holes EC089 and EC093. C: Section 650100E showing hole EC094.
View Figure 4 here:
https://www.globenewswire.com/NewsRoom/AttachmentNg/80456d77-3636-4881-9724-4f2c717d3039
Figure 5. Photoplates of El Cura drillcore as described in this release: A: EC089 pyritic massive sulphide with mm-scale chalcopyrite crystals. B: EC090 polymetallic semi-massive to massive sulphide with galena, sphalerite and chalcopyrite-rich bands and disseminations. C: EC093 semi-massive sulphide with cm-scale chalcopyrite-rich bands and veinlets.
View Figure 5 here:
https://www.globenewswire.com/NewsRoom/AttachmentNg/84ddb77c-91ae-4402-babf-a7ec357b9967
Figure 5 continued. D: EC094 pyritic massive sulphide with abundant chalcopyrite as veins and crystals associated with quartz veining.
View Figure 5 here:
https://www.globenewswire.com/NewsRoom/AttachmentNg/b688794f-6e29-478d-b874-14df9983817f
Quality Assurance/Quality Control
Drilling at El Cura is HQ size and core is placed into core trays at the drill site and transported directly from the site to Emerita’s coreshack (15Km) from El Cura. Once the cores are received at Emerita's coreshack they are photographed, and geotechnical logging is performed. Geological, mineralogical and structural logging follows and mineralized zones are identified. The samples are marked every 1m or less, and respecting lithological contacts, with most of the samples 1.0m long. The zone immediately above and below the mineralized zones are also sampled. Core samples are sawed in half and half of the core is returned to the core tray for future reference. Once the core samples are cut, bagged and tagged, they are shipped to the ALS laboratory in Seville by Emerita personnel where sample preparation is done. In Seville, ALS performs the mechanical preparation of the samples and then the pulps are sent to ALS Ireland (ICP) and ALS Romania (fire assay). The analysis at ALS Lab corresponds to the ME-ICPore (19 elements) package, together with the Au-AA23 fire assay (Gold). ALS is independent of Emerita.
10% of the analyzed samples correspond to control samples (fine blanks, coarse blanks, high, medium and low-grade standards). In addition, 10% of pulps are reanalyzed at a second independent certified laboratory (AGQ Lab Sevilla). When the analysis is completed, the certificates are received from the laboratory and the QA/QC protocol identifies any deviation or anomaly in the results and the entire batch is re-assayed in such case. Once the data is approved by the QA/QC protocol assays are entered digitally directly into the database.
Qualified Person
Scientific and technical information in this news release has been reviewed and approved by Joaquin Merino, P.Geo., who is a
“Qualified Person” as defined by National Instrument 43-101 – Standards of Disclosure for Mineral Projects (“NI 43-101”)
and President of the Company. Mr. Merino is not considered independent of the Company.
About Emerita Resources Corp
.
Emerita is a natural resource company engaged in the acquisition, exploration, and development of mineral properties in Europe, with a primary focus on exploring in Spain. The Company’s corporate office and technical team are based in Sevilla, Spain with an administrative office in Toronto, Canada.
For further information, contact:
Ian Parkinson
+1 647 910-2500 (Toronto)
info@emeritaresources.com
www.emeritaresources.com
Cautionary Note Regarding Forward-looking Information
This press release contains “forward-looking information” within the meaning of applicable Canadian securities legislation. Forward-looking information includes, without limitation, statements regarding the prospectivity of the IBW project and El Cura, the mineralization and the IBW project, the economic viability of the IBW project, the results and timing of the MRE and PFS, the Company’s exploration program, the Company’s future exploration plans and the Company’s future plans. Generally, forward-looking information can be identified by the use of forward-looking terminology such as “plans”, “expects” or “does not expect”, “is expected”, “budget”, “scheduled”, “estimates”, “forecasts”, “intends”, “anticipates” or “does not anticipate”, or “believes”, or variations of such words and phrases or state that certain actions, events or results “may”, “could”, “would”, “might” or “will be taken”, “occur” or “be achieved”. Forward- looking information is subject to known and unknown risks, uncertainties and other factors that may cause the actual results, level of activity, performance or achievements of Emerita, as the case may be, to be materially different from those expressed or implied by such forward-looking information, including but not limited to: general business, economic, competitive, geopolitical and social uncertainties; the actual results of current exploration activities; risks associated with operation in foreign jurisdictions; ability to successfully integrate the purchased properties; foreign operations risks; and other risks inherent in the mining industry. Although Emerita has attempted to identify important factors that could cause actual results to differ materially from those contained in forward-looking information, there may be other factors that cause results not to be as anticipated, estimated or intended. There can be no assurance that such information will prove to be accurate, as actual results and future events could differ materially from those anticipated in such statements. Accordingly, readers should not place undue reliance on forward-looking information. Emerita does not undertake to update any forward-looking information, except in accordance with applicable securities laws.
NEITHER TSX VENTURE EXCHANGE NOR ITS REGULATION SERVICES PROVIDER (AS THAT TERM IS DEFINED INTHE POLICIES OF THE TSX VENTURE EXCHANGE) ACCEPTS RESPONSIBILITY FOR THE ADEQUACY OR ACCURACY OF THIS RELEASE
Figure 1
IBW tenement and locations of La Romanera, El Cura and La Infanta deposits.
Figure 2
Plan view map showing drill hole traces of the El Cura drilling. Hole traces in this NR colored red.
Figure 3
Vertical longitudinal section of El Cura deposit, oriented east-west, looking north. Holes EC089, EC090, EC093 and EC094. Deposit as presently defined is indicated in green.
Figure 4
Interpretive geological cross sections. A: Section 649700E showing hole EC090. B: Section 649850E showing holes EC089 and EC093. C: Section 650100E showing hole EC094.
Figure 5
Photoplates of El Cura drillcore as described in this release: A: EC089 pyritic massive sulphide with mm-scale chalcopyrite crystals. B: EC090 polymetallic semi-massive to massive sulphide with galena, sphalerite and chalcopyrite-rich bands and disseminations. C: EC093 semi-massive sulphide with cm-scale chalcopyrite-rich bands and veinlets.
Figure 5 continued
D: EC094 pyritic massive sulphide with abundant chalcopyrite as veins and crystals associated with quartz veining.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\EMO\news_html\2026-02-09.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/EMO/news_html/2026-02-09.html,,NONE,Drilling results at El Cura deposit,,,2023-12-31,2024-03-30
stockwatch,EMO,Emerita Resources Corp. formerly Emerita Gold Corp.,2026-01-30,NEWS_RELEASE_EN,not applicable,NewsRelease,Emerita shares start trading on OTCQX,https://www.stockwatch.com/News/Item/Z-C!EMO-3780115/C/EMO,3780115,https://www.stockwatch.com/News/Sedardoc/6114721.pdf,,0,0,no,,"2026-01-30 12:19 ET - News Release
Mr.  David Gower reports
EMERITA RESOURCES GRADUATES TO OTCQX MARKET
Emerita Resources Corp.'s common shares have been approved for trading on the OTCQX Market in the United States, effective Jan. 30, 2026.
Emerita previously traded on the OTCQB Venture Market and will continue to trade in the U.S. under the symbol EMOTF.
David Gower, PGeo, chief executive officer of Emerita Resources, commented,
  ""Our transition to the OTCQX Market represents an important milestone for the company, enhancing our visibility with U.S. investors and providing improved access for a broader shareholder base as we continue to advance our Iberian Belt West project through permitting and prefeasibility that will ultimately lead towards a production decision.""
The OTCQX Market is designed for established, investor-focused U.S. and international companies that meet higher financial, disclosure and corporate governance standards. Companies trading on OTCQX are required to demonstrate compliance with applicable securities laws and adhere to best-practice governance principles, helping to strengthen investor confidence and transparency.
Emerita Resources' graduation to OTCQX reflects the company's continued progress and commitment to maintaining high standards of disclosure while expanding its presence in key capital markets.
About Emerita Resources Corp.
Emerita is a natural resource company engaged in the acquisition, exploration and development of mineral properties in Europe, with a primary focus on exploring in Spain. The company's corporate office and technical team are based in Sevilla, Spain, with an administrative office in Toronto, Canada.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\EMO\news_html\2026-01-30.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/EMO/news_html/2026-01-30.html,,NONE,Emerita graduates to OTCQX market,,,2023-12-31,2024-03-30
stockwatch,EMO,Emerita Resources Corp. formerly Emerita Gold Corp.,2026-01-28,AUDITED_ANNUAL_FINANCIAL_STATEMENTS_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6112543.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,EMO,Emerita Resources Corp. formerly Emerita Gold Corp.,2026-01-28,MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6112544.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\EMO\pdfs\MD&A\2026-01-28_EMO_MD&A_MDA_EN.pdf,36,2060,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/EMO/2026-01-28_EMO_MD&A_MDA_EN.pdf,,,,,,,,,2023-12-31,2024-03-30
stockwatch,EMO,Emerita Resources Corp. formerly Emerita Gold Corp.,2026-01-28,AB_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6112545.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
