source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,EXN,Excellon Resources Inc.,2025-03-31,ANNUAL_INFORMATION_FORM_EN,gold and precious metals,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5881795.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\EXN\pdfs\AIF\2025-03-31_EXN_AIF.pdf,63,1170,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/EXN/2025-03-31_EXN_AIF.pdf,,,,,,,,,2024-12-31,2025-03-31
stockwatch,EXN,Excellon Resources Inc.,2026-03-12,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Excellon Resources closes financings for $21.82M,https://www.stockwatch.com/News/Item/Z-C!EXN-3795509/C/EXN,3795509,https://www.stockwatch.com/News/Sedardoc/6146118.pdf,,0,0,no,,"2026-03-12 21:00 ET - News Release
Mr. Shawn Howarth reports
EXCELLON ANNOUNCES CLOSING OF BOUGHT DEAL PRIVATE PLACEMENT AND CONCURRENT PRIVATE PLACEMENT FOR GROSS PROCEEDS OF APPROXIMATELY C$21.8 MILLION
Excellon Resources Inc. has closed its previously announced bought deal private placement, pursuant to which the company sold an aggregate of 28,036,000 common shares in the capital of the company at a price of 60 cents per offered share for aggregate gross proceeds to the company of $16,821,600, which includes the partial exercise of the underwriters' option.
The company also closed its previously announced concurrent brokered private placement, pursuant to which the company sold an additional 8,333,500 offered shares at the offering price to 2176423 Ontario Ltd., a corporation beneficially owned by Eric Sprott, for additional aggregate gross proceeds to the company of $5,000,100.
ATB Cormark Capital Markets and Velocity Capital Partners, as co-lead underwriters and joint bookrunners, together with Haywood Securities Inc., Independent Trading Group (ITG) Inc. and Red Cloud Securities Inc. acted as underwriters in connection with the offering pursuant to the terms of an underwriting agreement dated March 12, 2026. As consideration for their services, the company paid the underwriters a cash commission equal to 6.0 per cent of the gross proceeds of the offering, which was reduced to 3.0 per cent of the gross proceeds solely in respect of offered shares sold to certain purchasers on the president's list.
The aggregate gross proceeds from the offering were $21,821,700. The company intends to use the net proceeds from the offering for exploration and development of the company's projects in Peru, working capital and general corporate purposes, as is more fully described in the amended and restated offering document (as defined herein).
In accordance with National Instrument 45-106, Prospectus Exemptions, the offered shares were issued to purchasers resident in certain provinces of Canada pursuant to the listed issuer financing exemption (LIFE) under Part 5A of NI 45-106, as amended by Coordinated Blanket Order 45-935, Exemptions from Certain Conditions of the Listed Issuer Financing Exemption. The offered shares issued to purchasers resident in Canada pursuant to the LIFE are not subject to a four-month statutory hold period in Canada. The offered shares under the bought deal private placement were also offered in the United States by way of private placement pursuant to exemptions from the registration requirements of the United States Securities Act of 1933, as amended, and in certain other jurisdictions outside of Canada and the United States on a private placement or equivalent basis, in each case in accordance with all applicable laws. The offered shares were issued to purchasers outside of Canada pursuant to an exemption from the prospectus requirements in Canada available under OSC Rule 72-503, Distributions Outside Canada, and, accordingly, the offered shares issued under the bought deal private placement to purchasers outside of Canada are not subject to a four-month statutory hold period in Canada.
The concurrent private placement was completed on a private placement basis pursuant to an available exemption from the prospectus requirements in Canada. The offered shares issued under the concurrent private placement are subject to a four-month statutory hold period in Canada pursuant to applicable Canadian securities laws, which will expire on July 13, 2026.
The offering is subject to final acceptance of the TSX Venture Exchange.
Mr. Sprott, a related party of the company, through 2176423 Ontario, a corporation that is beneficially owned by him, subscribed for 8,333,500 offered shares under the concurrent private placement. The participation of 2176423 Ontario in the concurrent private placement constitutes a related party transaction for the purposes of Multilateral Instrument 61-101, Protection of Minority Security Holders in Special Transactions. The company is exempt from the requirements to obtain a formal valuation or minority shareholder approval in connection with the concurrent private placement in reliance on sections 5.5(b) and 5.7(1)(a), respectively, of MI 61-101, as no securities of the company are listed or quoted on the specified markets and neither the fair market value of the securities issued to 2176423 Ontario nor the fair market value of the consideration for the securities issued to 2176423 Ontario exceeds 25 per cent of the company's market capitalization as calculated in accordance with MI 61-101. The company did not file a material change report more than 21 days before the expected closing date of the concurrent private placement as the aforementioned insider participation had not been confirmed at that time and the company wished to close the concurrent private placement as expeditiously as possible.
There is an amended and restated offering document related to the bought deal private placement that can be accessed under the company's profile on SEDAR+ and on the company's website.
About Excellon Resources Inc.
Excellon's vision is to realize opportunities through the acquisition and advancement of quality precious and base metal assets, leveraging an experienced management team for the benefit of its employees, communities and shareholders. The company is focused on the potential restart of the Mallay silver mine in Peru. Excellon also holds a portfolio of exploration-stage projects, including: the Tres Cerros gold/silver exploration property in Peru; Kilgore, an advanced gold project in Idaho; and Silver City, a high-grade epithermal silver district in Saxony, Germany, providing additional growth upside. Additional details on Excellon's properties can be found on the company's website.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\EXN\news_html\2026-03-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/EXN/news_html/2026-03-12.html,,NONE,Bought deal financing completed,,,2024-12-31,2025-03-31
stockwatch,EXN,Excellon Resources Inc.,2026-03-05,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6142006.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\EXN\pdfs\MaterialChange\2026-03-05_EXN_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,5,623,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/EXN/2026-03-05_EXN_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Mallay Mine resource estimate announced,,,,,2024-12-31,2025-03-31
stockwatch,EXN,Excellon Resources Inc.,2026-03-02,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Excellon arranges $10-million bought deal offering,https://www.stockwatch.com/News/Item/Z-C!EXN-3791721/C/EXN,3791721,https://www.stockwatch.com/News/Sedardoc/6138160.pdf,,0,0,no,,"2026-03-02 18:10 ET - News Release
Mr. Shawn Howarth reports
EXCELLON ANNOUNCES BOUGHT DEAL PRIVATE PLACEMENT OF COMMON SHARES FOR GROSS PROCEEDS OF C$10 MILLION
Excellon Resources Inc. has entered into an agreement with ATB Capital Markets Corp. pursuant to which ATB Capital and Velocity Capital Partners will act as co-lead underwriters and joint bookrunners, on behalf of a syndicate of underwriters, in connection with a bought deal private placement of 16,666,700 common shares in the capital of the company at a price of 60 cents per offered share for aggregate gross proceeds to the company of $10,000,020.
The company has granted the underwriters an option, exercisable in whole or in part at any time up to 48 hours prior to the closing date (as defined herein), to purchase (or arrange for substituted purchasers to purchase) up to an additional 4,999,900 offered shares at the offering price to raise additional gross proceeds of up to $2,999,940.
The company intends to use the net proceeds from the offering for exploration and development of the company's projects in Peru, working capital, and general corporate purposes, as is more fully described in the offering document (as defined herein).
Subject to compliance with applicable regulatory requirements and in accordance with National Instrument 45-106 (Prospectus Exemptions), the offered shares will be offered for sale to purchasers resident in each of the provinces of Canada, other than Quebec, pursuant to the listed issuer financing exemption under Part 5A of NI 45-106, as amended by Coordinated Blanket Order 45-935 (Exemptions from Certain Conditions of the Listed Issuer Financing Exemption). The offered shares issued to purchasers resident in Canada pursuant to the listed issuer financing exemption will not be subject to a statutory hold period in Canada. The offered shares may also be offered in the United States or to, or for the account or benefit of, U.S. persons, by way of private placement pursuant to available exemptions from the registration requirements of the U.S. Securities Act of 1933, as amended, and in certain other jurisdictions outside of Canada and the United States on a private placement or equivalent basis, in each case in accordance with all applicable laws, provided that no prospectus, registration statement or other similar document is required to be filed in such jurisdiction and that no continuing reporting requirement or requisite regulatory or governmental approval arises in such jurisdiction. The offered shares will be offered for sale to purchasers outside of Canada pursuant to an exemption from the prospectus requirements in Canada available under Ontario Securities Commission Rule 72-503 (Distributions Outside Canada), and, accordingly, the offered shares issued to purchasers outside of Canada are not expected to be subject to a statutory hold period in Canada.
There is an offering document related to the offering that can be accessed under the company's profile on SEDAR+ and on the company's website. Prospective investors should read the offering document before making an investment decision.
The offering is expected to close on or about March 12, 2026, or on such other date as may be agreed to by the company and ATB Capital. Completion of the offering is subject to customary conditions, including, but not limited to, the receipt of all necessary regulatory approvals, including the acceptance of the TSX Venture Exchange.
About Excellon Resources Inc.
Excellon's vision is to realize opportunities through the acquisition and advancement of quality precious and base metal assets, leveraging an experienced management team for the benefit of its employees, communities and shareholders. The company is focused on the potential restart of the Mallay silver mine in Peru. Excellon also holds a portfolio of exploration-stage projects, including the Tres Cerros gold/silver exploration property in Peru; Kilgore, an advanced gold project in Idaho; and Silver City, a high-grade epithermal silver district in Saxony, Germany, providing additional growth upside.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\EXN\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/EXN/news_html/2026-03-02.html,,NONE,Bought deal private placement announced,,,2024-12-31,2025-03-31
stockwatch,EXN,Excellon Resources Inc.,2026-03-02,OFFERING_DOCUMENT_AMENDED_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6138010.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-31
stockwatch,EXN,Excellon Resources Inc.,2026-03-02,OFFERING_DOCUMENT_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6137265.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-31
stockwatch,EXN,Excellon Resources Inc.,2026-03-02,OFFERING_MEMORANDUM_29_OF_NI_45106_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6137205.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-31
stockwatch,EXN,Excellon Resources Inc.,2026-02-23,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Canadian Investment Regulatory Organization Trade Resumption - EXN,https://www.stockwatch.com/News/Item/Z-C!EXN-3787824/C/EXN,3787824,https://www.stockwatch.com/News/Sedardoc/6129836.pdf,,0,0,no,,"2026-02-23 10:02 ET - News Release
Canadian Investment Regulatory Organization Trade Resumption - EXN
Canada NewsWire
VANCOUVER, BC, Feb. 23, 2026
VANCOUVER, BC,
Feb. 23, 2026
/CNW/ - Trading resumes in:
Company: Excellon Resources Inc.
TSX-Venture Symbol: EXN
All Issues: Yes
Resumption (ET): 10:30 AM
CIRO can make a decision to impose a temporary suspension (halt) of trading in a security of a publicly-listed company. Trading halts are implemented to ensure a fair and orderly market. CIRO is the national self-regulatory organization which oversees all investment dealers and trading activity on debt and equity marketplaces in Canada.
SOURCE Canadian Investment Regulatory Organization (CIRO) – Halts/Resumptions
View original content:
http://www.newswire.ca/en/releases/archive/February2026/23/c1518.html
Contact:
For further information about CIRO's trading halt policy, please see Trading Halts & Timely Disclosure at www.ciro.ca under the Markets tab. Please note that CIRO staff cannot provide any information about a specific halt beyond what is contained in this halt notice. For general information about CIRO, contact CIRO's Complaints & Inquiries team by submitting a Secure Form located on our contact page at www.ciro.ca or dialing 1-877-442-4322 (Option 1). For company-related enquiries, please contact the company directly.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\EXN\news_html\2026-02-23.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/EXN/news_html/2026-02-23.html,,NONE,Trading resumption announcement,,,2024-12-31,2025-03-31
stockwatch,EXN,Excellon Resources Inc.,2026-02-05,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Excellon Resources restarts mining at Mallay,https://www.stockwatch.com/News/Item/Z-C!EXN-3782341/C/EXN,3782341,https://www.stockwatch.com/News/Sedardoc/6118787.pdf,,0,0,no,,"2026-02-05 18:03 ET - News Release
Mr. Shawn Howarth reports
EXCELLON RESTARTS MINING AT MALLAY AND HIGHLIGHTS EMERGING ""FOOTWALL ZONE"" UPSIDE
Excellon Resources Inc. has provided an operational update at the past-producing Mallay silver-lead-zinc mine, highlighted by the restart of mining activities and the identification of an emerging calc-silicate mineralized package on the footwall of the Isguiz vein (referred to as the footwall zone).
Highlights:
Mine restart advancing on multiple fronts: Excellon has re-established underground mining and haulage cycles across the 4090 and 4150 levels and is progressing a staged restart sequence, including initial surface stockpile buildup, in line with monthly plans.
Mine access and readiness advancing (rehabilitation  plus services): Rehabilitation and access work progressed on upper levels, including approximately 350 metres of underground advance to support access, services and drill/mine preparation.
Emerging footwall zone identified with potential to expand minable widths: Excellon has identified an altered calc-silicate mineralized package in the footwall host rocks adjacent to (and distinct from) the Isguiz vein.  This zone is characterized by a three-to-eight-metre-thick mineralized unit comprising  disseminated, stockwork and locally massive intervals of silver-lead-zinc sulphide mineralization.  The footwall zone has been intercepted in historic underground drill holes and along development headings and crosscuts within a 300-metre-vertical-by-500-metre-long area in the Mallay mine extending along strike and downplunge with the Isguiz vein.  Historical drilling of the footwall zone mineralization includes MLL17-77 (4.4 metres averaging 118.19 grams per tonne silver, 3.07 per cent lead and 3.67 per cent zinc).  The footwall zone is a priority for exploration in the current drill campaign.
Footwall zone test work completed: Initial third party metallurgical test work is complete, supporting processing through blending of the footwall zone with Isguiz and additional associated, past-producing Mallay zones such as the Maribel vein, during staged restart and continuing production.  Further test work will focus on the footwall zone as a stand-alone mill feed.
Drilling under way: An initial 10,000-metre infill and extension program is under way with one drill rig at site and two additional rigs arriving through February.  Drilling will test both Isguiz and footwall zone mineralization.
Dewatering advancing for deeper access: Dewatering of the 400 ramp has advanced approximately 28 vertical metres of a planned approximately 60 vertical metres, a key workstream to unlock deeper access and underground drill platform readiness.  Dewatering has progressed as planned and is expected to be completed in Q1 2026.
Shawn Howarth, president and chief executive officer, commented: ""We're encouraged by the progress to date at Mallay -- not only because mining and development are advancing, but also because we are learning more about the mineralized Isguiz system as we reopen the mine.  The emerging footwall zone is a good example: Wider mineralized intervals parallel to Isguiz may translate into more flexible mining and improved productivity per level, subject to ongoing drilling and validation.  Over the coming weeks, our priority is to validate our restart planning with mine performance, drilling and refurbishment of the mill, all leading to a smooth and successful restart.""
Paul Keller, chief operating officer, commented: ""Restarting underground mining at Mallay is an important first step, but it's only the beginning. We're taking a methodical, staged approach -- re-establishing repeatable cycles on the 4090 and 4150 levels and sequencing stockpiling to support commissioning and blending rather than to reflect steady-state production. The critical path at Mallay is advancing development and progressing dewatering down the 400 ramp, which unlocks additional working areas and drill platforms and expands access to the Isguiz system and the emerging footwall zone.""
Mallay operational update
Mining under way -- three mining fronts
Excellon has restarted mining along the Maricruz, Dayana and Isguiz veins in areas located within the rehabilitated 4090 and 4150 levels.  Mining to date has been through contracted, conventional cut-and-fill mining.  During the ramp-up, the company is sequencing activities methodically, with stockpiling intended to support planned blending and metallurgical validation that will ultimately lead to steady-state production when the mill is ready for commissioning.
Mine development under way
Excellon has completed approximately 350 metres of underground advance, focused on enabling access, services and preparation for future mining and drilling activities.  Ramp development has commenced from the 4090 and 4150 levels to support future mine production from these areas over the next three years.
Dewatering 400 ramp for deeper access
Dewatering of the 400 ramp is progressing with vertical advance of 28 metres of 60 metres required. Dewatering provides access to additional mineralized zones below the 4090 level and will support drill platform access for deeper Isguiz drilling, once completed.  Once complete, the company will undertake a hydrogeological study to support longer-term production planning off the 400 ramp.
Update on mineral resource estimate
The updated mineral resource estimate (MRE) is a culmination of Excellon's work to convert a historical, drill-based resource model (previously prepared under non-National Instrument 43-101 standards) into an NI 43-101-compliant estimate through comprehensive reinterpretation, 3-D geological modelling and confirmatory structural validation, while also applying current applicable metal prices.
Excellon has completed its internal geological modelling and resource estimation workstreams for Mallay and is now in the final stages of database validation and quality assurance/quality control review in advance of independent qualified person sign-off.  The company has taken additional time to locate and confirm legacy QA/QC documentation from the previous operator to ensure a robust technical foundation for the estimate.  The company intends to publish the resource estimate once final verification and technical review procedures are complete.
Infill and extension drill program under way
In the near term, the drill rigs on site will test the Isguiz and footwall zones, targeting areas of the Isguiz vein in the immediate 2026 mine plan to fully identify and accommodate grade and tonnage determinations for extraction of both targets above the 4090 level.
Drilling for further resource definition throughout the 2026-to-2028 mine plan will proceed from two rehabilitated drill bays on the 4090 level.  One rig is now drilling.  A second is expected to arrive by mid-February and a third will arrive by month-end to further define and extend the three-year mine plan.
With continuing rehabilitation of additional drifts on the 4090 level of the mine and within the planned 10,000-metre program, Excellon will direct additional exploration toward the Mallay Deep target with a vertical hole extending 700 m below the mine's lowest operating level. A borehole electromagnetic geophysical survey will be conducted from this hole to identify deep mineralization targets.
Exploration of footwall zone mineralization
In addition to the vein-hosted mineralization developed along the Isguiz vein and intersecting extensional veins that are the historic and current focus of mining at Mallay, Excellon has identified a broader footwall zone.  The footwall zone is distinct from the Isguiz vein.  This zone is identified in mine mapping of drifts and crosscuts and by historic mine drilling.  It is described as a calc-silicate alteration in sedimentary rock in contact with the footwall of the Isguiz vein, carrying silver, lead and zinc mineralization.  In underground exposures, the zone is characterized by thick mineralized intervals ranging from three to eight metres, including disseminated sulphide mineralization, stockwork veining and locally massive intervals of silver-lead-zinc sulphide.  The zone's apparent thickness is remarkable, being much thicker as a unit than the traditional mine vein domains, creating a broad envelope in which to define minable material.  The company believes this footwall zone mineralization may provide additional near-mine tonnes and mine-planning flexibility once more completely tested and will be a focus of systematic mapping, sampling and drilling as part of the current drill program.  Drilling will provide a distribution of new footwall zone mineralization for additional testing at Mallay's metallurgical laboratory.
This interpreted footwall zone has not been modelled historically, or mined, due to prevailing silver prices during the historic production period ending in 2017.  However, drill hole logs and mine geological plans indicate the footwall zone mineralization closely follows the trend and plunge of the main Isguiz vein shoots above the 4090 level. This area will be tested as a priority in February along with drilling of the main Isguiz vein (see Table 1).
Management views the footwall calc-silicate as a potential parallel source of mill feed near existing development headings, with the objective of expanding the mineralized envelope beyond the current vein-focused model.  Initial flotation test work completed by a third party confirmed acceptable silver-lead recoveries in concentrate produced.  Further test work including optimization of both silver/lead and silver/zinc concentrates will focus on further improvements once the Mallay metallurgical lab is recommissioned.
Footwall zone mineralization: next steps
Initial flotation test work completed by a third party confirmed acceptable silver recoveries in lead concentrate produced.  Planned further test work, including optimization of both silver/lead and silver/zinc concentrates, will focus on further improvements once the Mallay metallurgical lab is recommissioned.
A dedicated drill rig is being mobilized to better define the footwall zone for potential to accelerate 2026 mill feed.  Drilling is planned for 17 holes, averaging 35 to 50 m along three levels and will provide detailed information for near-term planning, including improved grade control and minable volumes.
Rehabilitation of upper levels above 4150 under way
Rehabilitation of upper mine levels above 4150 is under way, with the goal of reopening access to additional mineralized areas where expected rehabilitation requirements are minimal and where near-term mineralization can be incorporated into the mine plan.
Excellon's near-term focus is to prioritize two to three levels where access can be restored efficiently, ground conditions and services are manageable, and additional mineralized zones can be accessed and evaluated for inclusion in a staged restart plan.
Next steps
Excellon is in the early stages of restart and prioritizing mine development to access new areas and production to grow surface stockpiles, prior to formal restart of the mill:
Mine production: continue stockpiling mineralized material from the 4090-level horizon while advancing development and dewatering to access additional mineralized zones and drill platforms;
Footwall zone: infill drilling and integration of mineralized zones into mine plan to end of Q2;
Mill restart: refurbishments targeted to begin when run-of-mine surface stockpiles are sufficient to run the mill at or near capacity; further updates will be provided.
Share settlement
The company issued 475,000 common shares at a deemed price of  59 cents per common share in satisfaction of accounts payable for services previously rendered. The issuance is subject to final acceptance of the TSX Venture Exchange and is subject to a four-month hold period under applicable Canadian securities laws.
Historical drill results
Drill results referenced in this news release are historical in nature and were completed by Compania de Minas Buenaventura SAA from 2010 to 2017. A qualified person has not completed sufficient work to verify these historical drill results and Excellon is not treating the historical results as current mineral resources or mineral reserves. The historical results should not be relied upon. Reported intervals are core lengths and true widths are unknown at this time.
Qualified person
Paul Keller, PEng, Excellon's chief operating officer and a qualified person as defined by National Instrument 43-101, Standards of Disclosure for Mineral Projects, has reviewed and approved technical information contained in this news release related to mine and mill progress.
William McGuinty, PGeo, a consultant to Excellon, has reviewed original paper documentation and mine exploration data transcribed to digital format at the Mallay mine by the original mine operator, particularly drill information and data collection procedures, and has reviewed and approved the disclosure of geological information contained in this news release.
About Excellon Resources Inc.
Excellon's vision is to realize opportunities through the acquisition and advancement of quality precious and base metal assets, leveraging an experienced management team for the benefit of its employees, communities and shareholders. The company is focused on the potential restart of the Mallay silver mine in Peru. Excellon also holds a portfolio of exploration-stage projects, including Kilgore, an advanced gold project in Idaho, and Silver City, a high-grade epithermal silver district in Saxony, Germany, and the Tres Cerros gold/silver exploration property in Peru, providing additional growth upside.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\EXN\news_html\2026-02-05.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/EXN/news_html/2026-02-05.html,,NONE,Operational update on Mallay mine restart,,,2024-12-31,2025-03-31
stockwatch,EXN,Excellon Resources Inc.,2026-01-12,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Excellon acquires 1,132 ha south of Tres Cerros",https://www.stockwatch.com/News/Item/Z-C!EXN-3773226/C/EXN,3773226,https://www.stockwatch.com/News/Sedardoc/6099478.pdf,,0,0,no,,"2026-01-12 17:15 ET - News Release
Mr. Shawn Howarth reports
EXCELLON ACQUIRES SIGNIFICANT EXPLORATION PROPERTY SOUTH OF TRES CERROS
Excellon Resources Inc. has acquired two new mineral concessions, materially extending Excellon's land position south of the Tres Cerros gold-silver exploration property in Peru.
Highlights:
Major land position expansion: adds 1,132 hectares of highly prospective ground immediately south of and contiguous with the company's existing Tres Cerros claims;
Extends Tres Cerros corridor: coincident IP, geochemical and spectral anomalies identified at the southern margin of the original concessions, together with interpreted controlling geological features, appear to continue into the newly acquired concessions forming a 10-kilometre-north-south-by-five-kilometre E-W (east-west) corridor of prospective terrain. The acquired area also hosts a large intrusive body interpreted to be related to the Tres Cerros mineralizing event.
Terra Resources reinterpretation identifies drill-ready targets: Terra Resources Pty. Ltd. has completed a technical reinterpretation of the historical geophysical and geological data sets and generated a ranked set of priority drill targets to support Excellon's first phase of drilling.
Permitting update: Excellon has initiated the drill permit process for an initial approximately 5,000-metre drill program.
Shawn Howarth, president and chief executive officer, commented: ""This acquisition extends our prospective trend by approximately five kilometres to the south, giving us the scale to pursue this system as an emerging district. With Terra's ranked drill targets in hand and permitting now in progress, we're focused on executing a disciplined, first-pass 5,000-metre program and letting the results drive the next phase.""
New concessions: Tres Cerros 32 and Tres Cerros 33
Excellon's Peruvian subsidiary, Minera CRC SAC,  acquired the following concessions:
Tres Cerros 32 -- 632 hectares;
Tres Cerros 33 -- 500 hectares.
Exploration by Excellon and predecessor Buenaventura identified a strong, 2.5-kilometre-long, north-south-trending zone of coincident IP, geochemical and satellite spectral anomalies which extend to the southern margin of the company's original tenements. The geophysical anomaly trends are open to the north and south beyond the limits of the historical survey coverage. Mapped controlling structures and spectral anomalies are interpreted to continue into the newly acquired concessions. The acquired area also hosts a large intrusive body which is interpreted to be related to the Tres Cerros mineralizing event.
Terra Resources technical reinterpretation and targeting
To accelerate drill targeting, Excellon engaged Terra to review and reinterpret historical data sets, including ground magnetics and pole-pole resistivity and induced polarization (IP). Terra's work program included quality assurance/quality control of data sets, reprocessing and enhancement, 2-D inversion modelling and 3-D inversion of resistivity and chargeability, and integrated interpretation to define and rank targets suitable for first-pass drilling.
In its geophysical review presentation, Terra reports that the reprocessed and inverted data sets support multiple chargeability targets along the main north-south structural corridor and additional targets associated with interpreted volcanic and caldera-margin features. Excellon will use these ranked targets to form the basis of the company's first phase of drill testing at Tres Cerros, subject to permitting and field readiness.
Next steps
Exploration drilling permitting has been initiated. Further updates will be provided as this process advances.
Fieldwork is expected to commence in Q2 2026.
An initial approximately 5,000-metre drill program is planned on completion of permitting.
Qualified person
Steven L. Park, MSc, CPG, an independent consulting geologist and a qualified person within the meaning of National Instrument 43-101 -- Standards of Disclosure for Mineral Projects, has reviewed and approved the scientific and technical information related to the Tres Cerros exploration property contained in this news release.
Overview of Tres Cerros
The Tres Cerros gold and silver exploration property is a 3,310-hectare land package located adjacent to Excellon's Mallay silver mine in the prolific Miocene metallogenic belt of central Peru, and hosts an approximately 2.5 km by 0.5 km corridor of high-sulphidation gold-silver mineralization with coincident induced polarization (IP) and resistivity anomalies, representing a compelling bulk-tonnage exploration target. Under the terms announced with Excellon's October, 2024, acquisition of Mallay and Tres Cerros, Excellon is party to a back-in rights agreement providing for the sale of up to 49 per cent of Tres Cerros at an exercise price of 1.5 times Excellon's qualifying expenditures incurred. If the back-in right is exercised, the parties would thereafter finance future exploration and development on a pro rata basis in accordance with respective ownership interests.
About Excellon Resources Inc.
Excellon's vision is to realize opportunities through the acquisition and advancement of quality precious and base metal assets, leveraging an experienced management team for the benefit of its employees, communities and shareholders. The company is focused on the potential restart of the Mallay silver mine in Peru. Excellon also holds a portfolio of exploration-stage projects, including Kilgore, an advanced gold project in Idaho, and Silver City, a high-grade epithermal silver district in Saxony, Germany, and the Tres Cerros gold-silver exploration property in Peru, providing additional growth upside.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\EXN\news_html\2026-01-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/EXN/news_html/2026-01-12.html,,NONE,Acquisition of exploration property south of Tres Cerros,,,2024-12-31,2025-03-31
