source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,FDY,Faraday Copper Corp.,2026-03-12,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6146673.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FDY\pdfs\AIF\2026-03-12_FDY_AIF.pdf,74,1487,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FDY/2026-03-12_FDY_AIF.pdf,,,,,,,,,2025-12-31,2026-03-12
stockwatch,FDY,Faraday Copper Corp.,2026-03-12,NEWS_RELEASE_EN,not applicable,NewsRelease,Faraday Copper investor Nemesia acquires 8.61 M shares,https://www.stockwatch.com/News/Item/Z-C!FDY-3795540/C/FDY,3795540,https://www.stockwatch.com/News/Sedardoc/6146827.pdf,,0,0,no,,"2026-03-12 22:57 ET - News Release
Mr.  Aksel Azrac of  Nemesia reports
NEMESIA SARL ACQUIRES SHARES OF FARADAY COPPER CORP.
Nemesia SARL, a company controlled by trusts settled by the late Adolf H. Lundin, of 42, Blvd. Grande Duchesse Charlotte, L-1330,  Luxembourg, has acquired an aggregate of 8,611,700 common shares of Faraday Copper Corp. at a price of $4.20 per common share for a total of $36,169,140. The shares were acquired in an offering of a non-brokered private placement basis on March 11, 2026, pursuant to exemptions from prospectus requirements under applicable securities legislation. This purchase of shares, when combined with other shares acquired by Nemesia since the last early warning report filed by Nemesia, represents an increase of more than 2 per cent of the issued capital of Faraday.
Nemesia held 38,075,000 common shares, or approximately 15.06 per cent of the issued and outstanding common shares of Faraday,  prior to the acquisition of the 8,611,700 common shares in the private placement, which now results in increased holdings to a total of 46,686,700 common shares, or approximately 16.87 per cent of the issued and outstanding share capital of Faraday postclosing. Considering the 1,125,000 share purchase warrants held by Nemesia, the current holdings represent a total of 16.80 per cent on a partially diluted basis.
Nemesia acquired the common shares of Faraday Copper for investment purposes and may, from time to time, make future investments in or dispose of common shares of the company depending upon the business and prospects of Faraday and future market conditions.
A copy of the early warning report to be filed pursuant to National Instrument 62-103 may be obtained from Barry Baker at 1-604-603-1575.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FDY\news_html\2026-03-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FDY/news_html/2026-03-12.html,,NONE,Nemesia acquires shares of Faraday Copper,,,2025-12-31,2026-03-12
stockwatch,FDY,Faraday Copper Corp.,2026-03-12,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6146684.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-12
stockwatch,FDY,Faraday Copper Corp.,2026-03-12,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6146685.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-12
stockwatch,FDY,Faraday Copper Corp.,2026-03-12,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6146673.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FDY\pdfs\AIF\2026-03-12_FDY_AIF_ANNUAL_INFORMATION_FORM_EN.pdf,74,1487,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FDY/2026-03-12_FDY_AIF_ANNUAL_INFORMATION_FORM_EN.pdf,,,,,,,,,2025-12-31,2026-03-12
stockwatch,FDY,Faraday Copper Corp.,2026-03-12,AB_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6146661.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-12
stockwatch,FDY,Faraday Copper Corp.,2026-03-12,ON_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6146662.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-12
stockwatch,FDY,Faraday Copper Corp.,2026-03-12,AUDITED_ANNUAL_FINANCIAL_STATEMENTS_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6146641.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-12
stockwatch,FDY,Faraday Copper Corp.,2026-03-12,MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6146652.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FDY\pdfs\MD&A\2026-03-12_FDY_MD&A_MDA_EN.pdf,15,441,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FDY/2026-03-12_FDY_MD&A_MDA_EN.pdf,,,,,,,,,2025-12-31,2026-03-12
stockwatch,FDY,Faraday Copper Corp.,2026-03-11,NEWS_RELEASE_EN,not applicable,NewsRelease,Faraday closes $100-million private placement,https://www.stockwatch.com/News/Item/Z-C!FDY-3795013/C/FDY,3795013,https://www.stockwatch.com/News/Sedardoc/6144980.pdf,,0,0,no,,"2026-03-11 21:00 ET - News Release
Mr. Graham Richardson reports
FARADAY COPPER ANNOUNCES CLOSING OF C$100 MILLION OFFERING WITH PARTICIPATION BY A LUNDIN FAMILY TRUST AND BHP
Faraday Copper Corp. has closed its previously announced non-brokered private placement financing for aggregate gross proceeds of $100,002,000 from strategic and other investors, including a Lundin family trust and a wholly owned subsidiary of BHP Group Ltd.
Graham Richardson, chief financial officer, commented: ""I would like to thank all our shareholders for their continued support, particularly the Lundin family. Additionally, I am delighted to welcome BHP as a strategic shareholder to Faraday. The funds from this private placement will enable us to rapidly advance our study of the potential for development of the combined Copper Creek and San Manuel projects as we seek to bring additional U.S. copper supply on-line and provide responsible economic development to Pinal county.""
Pursuant to the offering, Faraday issued an aggregate of 23.81 million common shares of the company at a price of $4.20 per share for gross proceeds of $100,002,000. The company intends to use the net proceeds from the offering for the continuing advancement of copper projects in Pinal county, Arizona, including transaction expenses in connection with the proposed acquisition and integration of the San Manuel property from BHP (see news release dated Feb. 20, 2026). No finders' fees or commissions are payable by Faraday in connection with the offering.
The common shares issued under the offering are subject to a hold period of four months and one day from the date hereof under Canadian securities laws. The offering remains subject to final approval by the Toronto Stock Exchange.
Certain insiders of the company participated in the offering, each of which constitutes a related-party transaction pursuant to Multilateral Instrument 61-101 (Protection of Minority Shareholders in Special Transactions). A material change report was not filed more than 21 days in advance of the closing as the launch of the offering occurred within a short period of time prior to the closing of the offering, and the company wished to close the offering on an expedited basis for sound business reasons. Further information regarding the offering, including additional details with respect to the related-party transactions will be provided in a material change report to be filed by the company on SEDAR+ in accordance with Canadian securities laws.
About Faraday Copper Corp.
Faraday Copper is an exploration company focused on advancing its flagship copper project in Arizona, United States. The Copper Creek project is one of the largest undeveloped copper projects in North America with significant district-scale exploration potential. Faraday is well financed to deliver on its key milestones and benefits from a management team and board of directors with senior mining company experience and expertise. Faraday trades on the TSX under the symbol FDY.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FDY\news_html\2026-03-11.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FDY/news_html/2026-03-11.html,,NONE,Closed $100 million private placement financing,,,2025-12-31,2026-03-12
