source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,FPC,Falco Resources Ltd. formerly Falco Pacific Resource Group Inc.,2026-02-19,MATERIAL_CONTRACTS_CREDIT_AGREEMENTS,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6127927.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,FPC,Falco Resources Ltd. formerly Falco Pacific Resource Group Inc.,2026-02-19,MATERIAL_CONTRACTS_CREDIT_AGREEMENTS,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6127928.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,FPC,Falco Resources Ltd. formerly Falco Pacific Resource Group Inc.,2026-02-18,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6126991.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,FPC,Falco Resources Ltd. formerly Falco Pacific Resource Group Inc.,2026-02-18,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6126992.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,FPC,Falco Resources Ltd. formerly Falco Pacific Resource Group Inc.,2026-02-18,INTERIM_MDA_EN,gold and precious metals,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6126982.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FPC\pdfs\MD&A\2026-02-18_FPC_MD&A_INTERIM_MDA_EN.pdf,34,847,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FPC/2026-02-18_FPC_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2023-12-31,2024-03-30
stockwatch,FPC,Falco Resources Ltd. formerly Falco Pacific Resource Group Inc.,2026-02-18,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6126976.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,FPC,Falco Resources Ltd. formerly Falco Pacific Resource Group Inc.,2026-02-02,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Falco, OR Royalties amend Horne 5 silver stream",https://www.stockwatch.com/News/Item/Z-C!FPC-3780806/C/FPC,3780806,https://www.stockwatch.com/News/Sedardoc/6116364.pdf,,0,0,no,,"2026-02-02 18:17 ET - News Release
Mr. 
  Luc Lessard reports
FALCO ANNOUNCES EXTENSION OF CERTAIN DEADLINES UNDER THE SILVER STREAM TRANSACTION
Falco Resources Ltd. and OR Royalties Inc. have entered into an amendment to the silver purchase agreement dated Feb. 27, 2019, relating to Falco's Horne 5 project. The amendment postpones certain deadlines granted to Falco to achieve milestones set as conditions precedent to OR financing the remaining instalments of the stream deposit and certain other deadlines. A copy of the amendment has been filed under Falco's profile on SEDAR+.
About Falco Resources Ltd.
Falco Resources is a Canadian mining company advancing the Horne 5 project in Quebec's historic Noranda mining camp. This project is one of the most advanced undeveloped polymetallic assets in Canada, supported by established infrastructure, robust economics, and a proven technical and executive team.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FPC\news_html\2026-02-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FPC/news_html/2026-02-02.html,,NONE,Amendment to silver stream agreement,,,2023-12-31,2024-03-30
stockwatch,FPC,Falco Resources Ltd. formerly Falco Pacific Resource Group Inc.,2026-02-02,OTHER_MATERIAL_CONTRACTS_SHMC_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6116341.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,FPC,Falco Resources Ltd. formerly Falco Pacific Resource Group Inc.,2026-01-29,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Falco Resources talks up community collaboration,https://www.stockwatch.com/News/Item/Z-C!FPC-3779769/C/FPC,3779769,https://www.stockwatch.com/News/Sedardoc/6112791.pdf,,0,0,no,,"2026-01-29 18:14 ET - News Release
Ms. Helene Cartier reports
FALCO HORNE 5: MARKED BY STRENGTHENED COLLABORATION WITH THE COMMUNITY
Falco Resources Ltd.'s advisory committee achieved positive outcomes in 2025 for Falco's flagship Horne 5 project located in Rouyn-Noranda, Que. The past year was marked by strengthened collaboration with the community to ensure harmonious co-existence.
Established in 2019 and renewed in January, 2025, to include citizens representatives from the neighbourhoods bordering the project, the advisory committee plays a central role in supporting the Horne 5 project. It serves as a key forum for dialogue, enabling stakeholders to contribute to the project's continuous improvement while integrating the socioeconomic and environmental realities specific to the Rouyn-Noranda context.
Throughout 2025, the committee -- composed of 26 representatives and seven observers from eight different sectors, including civil society and the socioeconomic, environmental, institutional and scientific spheres -- convened multiple times to address priority issues. These included seismicity and vibrations, air quality, water protection, social and economic benefits, as well as communication and community engagement frameworks.
This work led to the establishment of a subcommittee tasked with developing the integrity program -- residences and infrastructure (IPRI). Built through a collaborative approach, this program aims to ensure the protection of residences and infrastructure, while providing a framework for the management of complaints and claims. A preliminary version of the program, endorsed by committee members, will be submitted to Quebec's Ministry of the Environment, the Fight Against Climate Change, Wildlife and Parks.
The committee established a reference framework for the management of community interactions and laid the groundwork for a future good neighbour guide. These tools are intended to structure community engagement and support long-term harmonious coexistence.
""The year 2025 was marked by sustained collaboration with the advisory committee, whose work underscored the importance of structured and ongoing dialogue with the community. Falco sincerely thanks committee members for their active participation in meetings, the quality of their input and their willingness to collaborate. Their commitment is key to strengthening dialogue and advancing the project,"" said Helene Cartier, vice-president, environment, sustainable development and community relations, at Falco.
Outlook for 2026
In 2026, Falco remains committed to working alongside the committee to maintain and deepen dialogue with the community. Training, employment and housing will remain at the forefront of upcoming discussions.
Committee members will further refine the participatory process, with a focus on improving communication practices and public consultation. This contribution will bolster the transparency of Falco's approach and further foster trust in the project.
Moreover, the joint city of Rouyn-Noranda and Falco working group will continue its efforts to ensure the project's harmonious integration and deliver tangible, lasting social benefits for the community.
Falco will also support the technical committee of experts in developing an action plan aimed at ensuring the long-term safety and sustainability of the activities of the Abitibi-Temiscamingue Integrated Health and Social Services Centre (CISSSAT) -- a plan Falco is fully committed to implementing.
About
  Falco
 Resources Ltd.
Falco Resources is a Canadian mining company advancing the Horne 5 project in Quebec's historic Noranda mining camp. This project is one of the most advanced undeveloped polymetallic assets in Canada, supported by established infrastructure, robust economics, and a proven technical and executive team.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FPC\news_html\2026-01-29.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FPC/news_html/2026-01-29.html,,NONE,Community collaboration and engagement updates,,,2023-12-31,2024-03-30
stockwatch,FPC,Falco Resources Ltd. formerly Falco Pacific Resource Group Inc.,2026-01-21,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Falco Resources to complete updated FS for Horne 5,https://www.stockwatch.com/News/Item/Z-C!FPC-3776395/C/FPC,3776395,https://www.stockwatch.com/News/Sedardoc/6105355.pdf,,0,0,no,,"2026-01-21 16:26 ET - News Release
Mr. Luc Lessard reports
FALCO SETS THE STAGE FOR A PIVOTAL 2026 AS THE HORNE 5 PROJECT ADVANCES TOWARD GOVERNMENT DECREE
Falco Resources Ltd. has provided shareholders with an outlook for 2026 as the corporation advances its flagship Horne 5 project located in Rouyn-Noranda, Que., through the final stages of project environmental acceptability and toward the receipt of the Quebec ministerial decree.
""The Horne 5 project is one of the most advanced undeveloped polymetallic projects in Canada, and our focus in 2026 is execution,"" said Luc Lessard, president and chief executive officer of Falco. ""With permitting advancing and a feasibility study update under way, we are working to position the project for its next stage while ensuring the market fully understands its scale, quality and value.""
The Horne 5 project is a large, gold-led underground polymetallic deposit located in Quebec's historic Noranda mining camp. In addition to strong community support, the project benefits from advanced project acceptability and permitting progression, existing regional infrastructure, and a development plan outlining a long-life, low-cost operation supported by meaningful critical mineral (copper and zinc) contributions. The environmental impact assessment has been deemed admissible, public hearings have been completed and the project continues to progress toward the Quebec ministerial decree.
As part of its 2026 plan, Falco is updating its 2021 feasibility study to reflect current metal prices, updated cost assumptions and refined development planning. This updated study is expected to support strategic engagement and future financing discussions as the project moves closer to execution readiness.
""Our fundamentals are strong, and 2026 is about aligning execution with clear, consistent communication,"" continued Mr. Lessard. ""We believe this approach will help close the valuation gap and position Falco as a leading, construction-ready polymetallic development story in Canada.""
2026 priorities include:
Advancing the Horne 5 project toward receipt of the Quebec ministerial decree;
Completing the feasibility study update;
Continuing disciplined technical and permitting work;
Expanding institutional and analyst engagement;
Advancing community consultation initiatives;
Maintaining transparent communication with shareholders.
Qualified person
Luc Lessard, PEng, president and chief executive officer, is the qualified person for this release as defined by National Instrument 43-101, and has reviewed and verified the technical information contained in this news release.
Stock option grant
In parallel, Falco has engaged Achievers Unlimited Inc. to provide certain management services to Falco, including corporate development, marketing and strategic advisory services. As part of this engagement, the corporation's board of directors approved the grant of incentive stock options to Achievers to purchase up to an aggregate of 400,000 common shares of the corporation. The options are subject to a 12-month vesting period and have a five-year term. The options are exercisable at an exercise price of 49.5 cents per common share being the closing price of the common shares on the TSX Venture Exchange on Jan. 20, 2026.
About
  Falco Resources Ltd.
Falco Resources is a Canadian mining company advancing the Horne 5 project in Quebec's historic Noranda mining camp. This project is one of the most advanced undeveloped polymetallic assets in Canada, supported by established infrastructure, robust economics, and a proven technical and executive team.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FPC\news_html\2026-01-21.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FPC/news_html/2026-01-21.html,,NONE,Update on Horne 5 project and feasibility study,,,2023-12-31,2024-03-30
