source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,FUU,F3 Uranium Corp.,2026-02-26,INTERIM_MDA_EN,metals and minerals - mining,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6134216.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FUU\pdfs\MD&A\2026-02-26_FUU_MD&A_INTERIM_MDA_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FUU/2026-02-26_FUU_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,FUU,F3 Uranium Corp.,2026-02-26,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134220.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,FUU,F3 Uranium Corp.,2026-02-26,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134224.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,FUU,F3 Uranium Corp.,2026-02-26,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134202.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,FUU,F3 Uranium Corp.,2026-02-03,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,"F3 Uranium starts 3,000 m drill program at Broach Lake",https://www.stockwatch.com/News/Item/Z-C!FUU-3781111/C/FUU,3781111,https://www.stockwatch.com/News/Sedardoc/6117172.pdf,,0,0,no,,"2026-02-03 11:29 ET - News Release
Mr. Dev Randhawa reports
F3 - STARTS 3,000 METRE WINTER DRILL PROGRAM AT TETRA ZONE
F3 Uranium Corp. has commenced the winter drill program at its 100-per-cent-owned Broach Lake property, on the recently discovered high-grade Tetra zone (see news release dated July 7, 2025), located just within the southwestern edge of the Athabasca basin 12 kilometres northwest of Paladin's Triple R and 16 km west-northwest of NexGen Energy's Arrow high-grade uranium deposits.
The 3,000-metre diamond drill program is designed to further test the extent of uranium mineralization at Tetra zone, currently highlighted by key intercepts including PLN25-205, which returned 1.0 metre of 2.50 per cent U3O8 (triuranium octoxide); within a broader 22.5-metre interval averaging 0.26 per cent U3O8;, and PLN25-219A, which intersected 29.5 metres of total mineralization, including 27.5 metres continuous with 2.30 metres exceeding 10,000 counts per second (see news release dated Nov. 10, 2025). The recent fall program successfully extended the interpreted mineralized plunge length from 60 metres to 135 metres. The two westernmost holes from that program are interpreted to have overshot the target area; the winter program will begin with down-dip and down-plunge stepouts in this direction before shifting to test the up-plunge extension, where approximately 300 metres of undrilled prospective shear zone remains toward the Athabasca unconformity. This unconformity area shows highly prospective geology and pathfinder element geochemistry in intercepts to date.
Sam Hartmann, vice-president of exploration, commented: ""We are very excited to resume drilling at Tetra zone with an ambitious winter program ahead. Mineralization remains open both down plunge to the west at depth and up plunge to the east toward the Athabasca unconformity, with roughly 300 metres of prospective untested shear in the up-plunge direction. We also await all outstanding assays from the fall program, including from hole PLN25-219A, which delivered our strongest radioactivity to date with 2.30 metres greater than 10,000 cps within 27.5 metres of continuous mineralization (see NR Nov. 10, 2025).""
The natural gamma radiation detected in the drill core, as detailed in this news release, was measured in counts per second (cps) using a handheld Radiation Solutions RS-125 spectrometer which has been calibrated by Radiation Solutions Inc. The company designates readings exceeding 300 cps on the handheld spectrometer (occasionally referred to as a scintillometer in industry parlance; this colloquial usage stems from historical naming conventions and the shared functionality of detecting gamma radiation between a spectrometer and a scintillometer) as anomalous, readings above 10,000 cps as highly radioactive and readings surpassing 65,535 cps as off scale. However, readers are cautioned that spectrometer or scintillometer measurements often do not directly or consistently correlate with the uranium grades of the rock samples and should be regarded solely as a preliminary indicator of the presence of radioactive materials.
The company considers uranium mineralization with assay results of greater than 1.0 weight  per cent U3O8 as high grade and results greater than 20.0 weight  per cent U3O8 as ultrahigh grade.
All depth measurements reported are down-hole and true thicknesses are yet to be determined.
About the Patterson Lake North project
The company's 42,961-hectare 100-per-cent-owned Patterson Lake North project (PLN) is located just within the southwestern edge of the Athabasca basin in proximity to Paladin's Triple R and NexGen Energy's Arrow high-grade uranium deposits, an area poised to become the next major area of development for new uranium operations in northern Saskatchewan. The PLN project consists of the 4,074-hectare Patterson Lake North property hosting the JR zone uranium discovery approximately 23 kilometres northwest of Paladin's Triple R deposit, the 19,864-hectare Minto property and the 19,022-hectare Broach property hosting the Tetra zone, F3's newest discovery 13 km south of the JR zone. All three properties comprising the PLN project are accessed by provincial Highway 955.
Qualified person
The technical information in this news release has been prepared in accordance with the Canadian regulatory requirements set out in National Instrument 43-101 and approved on behalf of the company by Raymond Ashley, PGeo, president and chief operating officer of F3 Uranium, a qualified person. Mr. Ashley has reviewed and approved the data disclosed.
This news release also refers to neighbouring properties in which F3 Uranium has no interest, and the qualified person has been unable to verify the information from those properties. Mineralization on those neighbouring properties is not necessarily indicative of mineralization on the PLN project.
For additional information on the PLN project, including the current mineral resource estimate for F3 Uranium's JR zone uranium deposit, please refer to the report titled ""NI 43-101 Technical Report, Patterson Lake North Project, Northern Saskatchewan, Canada"" dated Jan. 20, 2026, available at SEDAR+.
About F3 Uranium Corp.
F3 is a uranium exploration company, focusing on the high-grade JR zone uranium deposit on the Patterson Lake North property, and the new Tetra zone uranium discovery 13 km to the south on the Broach property, both part of the Patterson Lake North (PLN) project in the Western Athabasca basin. F3 currently has a total of three properties in the Athabasca basin: Patterson Lake North, Minto and Broach. The western side of the Athabasca basin, Saskatchewan, is home to some of the world's largest high-grade uranium deposits including Paladin's Triple R project and NexGen's Arrow project.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FUU\news_html\2026-02-03.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FUU/news_html/2026-02-03.html,,NONE,"Commenced 3,000 m drill program at Broach Lake",,,2024-01-31,2024-04-02
stockwatch,FUU,F3 Uranium Corp.,2026-01-28,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,"F3 Uranium to issue 815,217 shares for debt",https://www.stockwatch.com/News/Item/Z-C!FUU-3779104/C/FUU,3779104,https://www.stockwatch.com/News/Sedardoc/6111667.pdf,,0,0,no,,"2026-01-28 19:50 ET - News Release
Mr. Dev Randhawa reports
F3 ISSUES SHARES FOR INTEREST DEBT SETTLEMENT
F3 Uranium Corp., pursuant its financing agreement with Denison Mines Corp. from October, 2023, has elected to settle a portion of the interest accrued to date in common shares.
The payment to Denison will consist of a cash payment of $225,000 and a total of 815,217 common shares of the corporation at a deemed price of 13.8 cents per share
Terms of the debenture as previously announced
The debenture carries a coupon of 9 per cent, payable quarterly, has a maturity date of Oct. 18, 2028, and is convertible at Denison's option into common shares of the company at a conversion price of 56 cents per share. F3, at its sole discretion, may pay up to one-third of the interest in common shares of F3 issued at a price per common share equal to the volume-weighted average trading price of F3's common shares on the TSX Venture Exchange for the 20 trading days ending on the day prior to the date on which such payment of interest is due.  Full details of the debenture are noted in the news releases of Oct. 6, 2023, and Oct. 18, 2023.
All securities issued pursuant to the debt settlement are subject to the approval of the TSX Venture Exchange and, when issued, a statutory hold period in Canada expiring four months and one day from the date of issuance.
The share-for-debt transaction was approved by the company's board of directors pursuant to the terms of the debenture and did not require a formal valuation nor minority shareholder approval pursuant to Multilateral Instrument 61-101.
About F3 Uranium Corp.
F3 Uranium is a uranium exploration company, focusing on the recently discovered high-grade JR zone on its Patterson Lake North (PLN) project in the western Athabasca basin. F3 Uranium currently has three properties in the Athabasca basin: Patterson Lake North, Minto and Broach. The western side of the Athabasca basin, Saskatchewan, is home to some of the world's largest high-grade uranium deposits, including Paladin's Triple R and Nexgen's Arrow.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FUU\news_html\2026-01-28.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FUU/news_html/2026-01-28.html,,NONE,Share issuance for debt settlement,,,2024-01-31,2024-04-02
stockwatch,FUU,F3 Uranium Corp.,2026-01-20,CONSENT_OF_QUALIFIED_PERSON_NI_43101_EN,metals and minerals - mining,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6104715.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,FUU,F3 Uranium Corp.,2026-01-20,CERTIFICATE_OF_QUALIFIED_PERSON_NI_43101_EN,metals and minerals - mining,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6104697.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,FUU,F3 Uranium Corp.,2026-01-20,TECHNICAL_REPORT_NI_43101_EN,metals and minerals - mining,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6104614.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FUU\pdfs\NI43-101\2026-01-20_FUU_NI43-101_TECHNICAL_REPORT_NI_43101_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FUU/2026-01-20_FUU_NI43-101_TECHNICAL_REPORT_NI_43101_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,FUU,F3 Uranium Corp.,2026-01-20,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,F3 Uranium files NI 43-101 tech report on PLN property,https://www.stockwatch.com/News/Item/Z-C!FUU-3775818/C/FUU,3775818,https://www.stockwatch.com/News/Sedardoc/6104615.pdf,,0,0,no,,"2026-01-20 11:20 ET - News Release
Mr. Dev Randhawa reports
F3 FILES NI 43-101 TECHNICAL REPORT FOR PREVIOUSLY ANNOUNCED INITIAL INDICATED MINERAL RESOURCE
F3 Uranium Corp. has filed on SEDAR+ an independent technical report prepared in accordance with Canadian National Instrument 43-101 -- Standards of Disclosure for Mineral Projects supporting the initial indicated mineral resource estimate for its JR zone uranium deposit on its 100-per-cent-owned PLN property in Northern Saskatchewan (see news release dated Dec. 22, 2025).
The JR zone uranium deposit is located approximately 25 kilometres northwest of Paladin's Triple R deposit and NexGen's Arrow deposit in the southwest Athabasca basin and is accessible via Provincial Highway 955. The mineral resources have been classified in accordance with the Canadian Institute of Mining Definition Standards (2014, adopted 2019), as incorporated by reference in NI 43-101, which are consistent with definitions in S-K 1300. The report incorporates the results of drilling at the project completed between 2022 and 2025. There are no material differences in the report from the results disclosed in the company's news release dated Dec. 22, 2025.
The report, dated Jan. 20, 2025, and with an effective date of Oct. 15, 2025, is titled, ""NI 43-101 Technical Report, Patterson lake North Project, Northern Saskatchewan, Canada."" The report was prepared for F3 by SLR International Corp. and can be found under the company's issuer profile at SEDAR+.
About the Patterson Lake North project
The company's 44,613-hectare 100-per-cent-owned Patterson Lake North project (PLN) is located just within the southwestern edge of the Athabasca basin in proximity to Paladin's Triple R and NexGen Energy's Arrow high-grade uranium deposits, an area poised to become the next major area of development for new uranium operations in Northern Saskatchewan. The PLN project consists of the 4,074-hectare Patterson Lake North property hosting the JR zone uranium deposit approximately 23 km northwest of Paladin's Triple R deposit, the 20,675-hectare Minto property and the 19,022-hectare Broach property hosting the Tetra zone, F3's newest discovery 13 km south of the JR zone deposit. All three properties comprising the PLN project are accessed by Provincial Highway 955.
Qualified person
The report is authored by Mark Mathisen, CPG, an employee of SLR International Corp. and independent of F3. Mr. Mathisen is a qualified person in accordance with NI 43-101 and S-K 1300.
The scientific and technical information in this news release other than the resource estimate has been prepared in accordance with the Canadian regulatory requirements set out in National Instrument 43-101 and approved on behalf of the company by Raymond Ashley, PGeo, president and chief operating officer of F3 Uranium, a qualified person. Mr. Ashley has reviewed and approved the scientific and technical information disclosed in this news release and verified the data disclosed.
This news release may refer to neighboring properties in which F3 Uranium has no interest, and the qualified person has been unable to verify the information from those properties. Mineralization on those neighbouring properties is not necessarily indicative of mineralization on the PLN project.
About F3 Uranium Corp.
F3 is a uranium exploration company, focusing on the high-grade JR zone deposit and new Tetra zone discovery 13 km to the south in the PW area on its Patterson Lake North (PLN) project in the Western Athabasca basin. F3 currently has three properties in the Athabasca basin: Patterson Lake North, Minto and Broach. The western side of the Athabasca basin, Saskatchewan, is home to some of the world's largest high-grade uranium deposits including Paladin's Triple R project and NexGen's Arrow project.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FUU\news_html\2026-01-20.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FUU/news_html/2026-01-20.html,,CHANGED,Filed NI 43-101 report for initial indicated resource at JR zone,PLN,,2024-01-31,2024-04-02
