source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,GGO,Galleon Gold Corp.,2025-03-27,ANNUAL_INFORMATION_FORM_EN,gold and precious metals,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5874002.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GGO\pdfs\AIF\2025-03-27_GGO_AIF.pdf,74,5698,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GGO/2025-03-27_GGO_AIF.pdf,,,,,,,,,2024-12-31,2025-03-27
stockwatch,GGO,Galleon Gold Corp.,2026-03-06,NOTICE_OF_THE_MEETING_AND_RECORD_DATE_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6142146.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-27
stockwatch,GGO,Galleon Gold Corp.,2026-03-02,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Galleon Gold gets water rights at West Cache in Ontario,https://www.stockwatch.com/News/Item/Z-C!GGO-3791676/C/GGO,3791676,https://www.stockwatch.com/News/Sedardoc/6137238.pdf,,0,0,no,,"2026-03-02 17:35 ET - News Release
Mr. David Russell reports
GALLEON GOLD RECEIVES KEY WATER PERMIT AND INITIATES BOX CUT AT ITS WEST CACHE GOLD PROJECT IN TIMMINS, ONTARIO
Galleon Gold Corp. has reached a significant milestone at its 100-per-cent-owned West Cache gold project in Timmins, Ont., with the receipt of the Category 3 permit to take water (PTTW). This key approval allows the company to commence primary box cut excavation and marks the initial step toward underground development for the company's planned bulk sample program.
""Securing the Category 3 PTTW is a major achievement for Galleon Gold,"" said David Russell, president and chief executive officer. ""With this approval secured, we are advancing the primary excavation of the box cut, the gateway to underground access. Our bulk sample is central to our strategy, providing the opportunity to validate grade continuity, assess mining conditions and confirm critical economic assumptions. Successful execution of this program will materially de-risk the West Cache project and position Galleon Gold for its next phase of growth.""
The Category 3 PTTW was issued by the Ontario Ministry of the Environment, Conservation and Parks (MECP) and includes comprehensive monitoring, reporting, mitigation and adaptive management conditions designed to ensure protection of surface water and groundwater resources. The company is also pleased to report it has received its MECP compliance approval for air and noise.
Box cut marks physical start of underground development
Excavation of the box cut will establish the portal location for ramp access at West Cache. With the required approvals secured, work is advancing in accordance with approved engineering, environmental and regulatory plans. Upon completion, the portal and the ramp will provide access for the company's planned 86,500-tonne bulk sample program and underground exploration.
Surface construction remains on schedule. Work completed to date includes:
Site clearing and grubbing;
Installation of erosion and sediment control systems;
Upgrades to site access roads and laydown areas;
Earthworks in preparation for portal development;
Hydro pole and line installation, approximately 60 per cent complete;
Tier 1 location in the Timmins gold camp.
West Cache is located approximately seven kilometres northeast of Pan American Silver's Timmins West mine and 14 km southwest of the historic Hollinger mine within the prolific Timmins gold camp.
The project covers approximately 11,600 hectares along the Destor-Porcupine fault zone in the Abitibi greenstone belt, one of the most productive gold belts globally. The current mineral resource estimate lies within a favourable litho-structural corridor extending over 5 km of strike, with mineralization open in all directions and at depth. The mining lease area hosts the current mineral resource estimate near the centre, with additional exploration targets to the north and south.
Technical content and qualified person
The technical content of this news release has been reviewed and approved by Leah Page, PGeo, West Cache project manager and a qualified person as defined in National Instrument 43-101 -- Standards of Disclosure for Mineral Projects.
Galleon Gold at the Prospectors and Developers Association of Canada
Galleon Gold invites investors and shareholders to visit booth No. 2911 at the Investor Exchange in the South Building at the Metro Toronto Convention Center from March 1 to March 4, 2026.
About Galleon Gold Corp.
Galleon Gold is advancing the West Cache gold project with a disciplined, de-risking strategy centred on resource growth and an upcoming 86,500-tonne bulk sample program, positioning the company to unlock long-term shareholder value.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GGO\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GGO/news_html/2026-03-02.html,,NONE,Water rights received for West Cache project,,,2024-12-31,2025-03-27
stockwatch,GGO,Galleon Gold Corp.,2026-02-18,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Galleon Gold to begin West Cache drilling Feb. 23,https://www.stockwatch.com/News/Item/Z-C!GGO-3786407/C/GGO,3786407,https://www.stockwatch.com/News/Sedardoc/6126531.pdf,,0,0,no,,"2026-02-18 18:21 ET - News Release
Mr. R. David Russell reports
GALLEON GOLD ANNOUNCES START DATE FOR EXPLORATION DRILL PROGRAM AT WEST CACHE PROJECT
Phase 1 of Galleon Gold Corp.'s 2026 exploration diamond drill program at its wholly owned West Cache gold project in Timmins, Ont., is scheduled to commence on Feb. 23, 2026.
NPLH Drilling of Timmins, Ont., has been contracted to carry out the 18,000-metre program, which is expected to continue through the winter and spring seasons. Drill results will be released as assays are received, compiled and validated.
""This drill program represents an important step in our disciplined approach to unlocking additional value at West Cache,"" said David Russell, chief executive officer of Galleon Gold. ""With strong geological continuity demonstrated to date and multiple high-priority targets remaining untested, we believe this drill program has the potential to meaningfully enhance the scale and quality of the project.""
The drill program is designed to advance the company's understanding of the geological and structural controls of the West Cache deposit by targeting extensions of known high-grade zones or trends both within and adjacent to the current resource envelope. The program aims to expand and/or upgrade existing mineral resources and test high-confidence exploration targets identified through previous drilling, geological and structural modelling, and geochemical and geophysical interpretation.
Recent drilling programs at West Cache have targeted areas near the southwestern contact of the Bristol porphyry with Porcupine assemblage metasediments where gold- and sulphide-bearing conduits have concentrated mineralization near the margin of the two units. Fragmental textures and interbedding, along with increased deformation within mineralized zones, suggest that: (1) the two main rock types were deposited contemporaneously; and (2) secondary mineral controls may have preferentially deposited mineralization in these areas due to competency contrasts between the two units.
Technical content and qualified person
The technical content of this news release has been reviewed and approved by Leah Page, PGeo, project manager of West Cache  and a qualified person  as defined in National Instrument 43-101, Standards of Disclosure for Mineral Projects.
About the West Cache gold project
The West Cache gold project is an advanced-stage gold exploration project covering approximately 11,600 hectares located 13 kilometres west of Timmins, Ont., on Provincial Highway 101.  It is situated in the Western Porcupine gold camp along the Destor-Porcupine fault zone within the Abitibi greenstone belt, approximately seven kilometres  northeast of Pan American Silver's Timmins West mine. The mining lease area hosts the current mineral resource estimate near the centre, with additional exploration targets to the north and south. The mineral resource estimate is contained within the Porcupine sedimentary basin, a favourable litho-structural corridor with over five kilometres of strike-length on the property. Mineralization is open in all directions and at depth.
About Galleon Gold Corp.
Galleon Gold is advancing the West Cache gold project with a disciplined, derisking strategy centred on resource growth and a coming 86,500-tonne bulk sample program, positioning the company to unlock long-term shareholder value.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GGO\news_html\2026-02-18.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GGO/news_html/2026-02-18.html,,NONE,Exploration drill program at West Cache announced,,,2024-12-31,2025-03-27
stockwatch,GGO,Galleon Gold Corp.,2026-01-27,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Galleon Gold begins trading on OTCQX,https://www.stockwatch.com/News/Item/Z-C!GGO-3778359/C/GGO,3778359,https://www.stockwatch.com/News/Sedardoc/6109632.pdf,,0,0,no,,"2026-01-27 17:04 ET - News Release
Mr. David Russell reports
GALLEON GOLD BEGINS TRADING ON THE OTCQX UNDER SYMBOL ""GGOXF""
Galleon Gold Corp. has qualified to trade on the OTCQX Best Market, graduating from OTCID Basic Market.
Galleon Gold begins trading today on OTCQX under the symbol GGOXF.
David Russell, president and chief executive officer of Galleon Gold, commented, ""We are pleased to transition from the OTCID Basic Market to the OTCQX Market, a move that will increase the company's visibility, improve trading liquidity and expand our shareholder base.""
About Galleon Gold Corp.
Galleon Gold is an advanced exploration and development company focused on the West Cache gold project in Timmins, Ont.  The project is located seven kilometres northeast of Pan American Silver's Timmins West mine and 14 km southwest of Discovery Silver's Hollinger mine. The company is advancing the project with a disciplined, derisking strategy centred on resource growth and an upcoming 86,500-tonne bulk sample program.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GGO\news_html\2026-01-27.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GGO/news_html/2026-01-27.html,,NONE,Galleon Gold begins trading on OTCQX,,,2024-12-31,2025-03-27
stockwatch,GGO,Galleon Gold Corp.,2026-01-13,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Galleon begins surface site development at West Cache,https://www.stockwatch.com/News/Item/Z-C!GGO-3773715/C/GGO,3773715,https://www.stockwatch.com/News/Sedardoc/6100442.pdf,,0,0,no,,"2026-01-13 18:00 ET - News Release
Mr. R. David Russell reports
GALLEON GOLD MOVES WEST CACHE INTO EXECUTION PHASE WITH SURFACE DEVELOPMENT UNDERWAY
Galleon Gold Corp. has initiated surface site development activities at its wholly owned West Cache gold project in Timmins, Ont., marking a critical step in the project's transition from permitting to execution. The surface development program directly supports the planned extraction of an approved 86,500-tonne bulk sample and represents a key milestone for the company.
Surface development program
Following a competitive request for proposal process, the company awarded the initial phase of construction to Aki-Caron, a joint venture between Caron Equipment Inc. and Mattagami First Nation. Contractor selection prioritized safety performance, environmental stewardship, local and first nations participation, cost discipline, scheduling, and execution capability. Caron is a well-established mine site contractor with more than 40 years of experience supporting mining and development projects throughout the Timmins region and Northern Ontario.
Initial surface work includes construction of the mine area pad, permanent and temporary access and haul roads, overburden boxcut excavation, organics and overburden stockpiles, and the start of the water management infrastructure. The box cut and portal access are critical path items required to initiate underground development and extract the approved bulk sample. Certain permanent water management elements, including settling and polishing ponds, are planned for a subsequent development phase in the spring.
Utility infrastructure progress
Meaningful progress has also been achieved on the project utilities. Clearing of the corridor for the 27.6-kilovolt distribution line has been completed. Timmins-based MCSS Enterprises has been retained for all high-voltage installation work. Utility poles have been delivered to site, with helicopter-assisted placement completed. The high-voltage line installation is approximately 60 per cent complete.
Derisked development
The underground test mining and bulk sampling program is designed to generate critical inputs for future feasibility studies, including mining methods, geotechnical conditions and metallurgical performance. Combined with recently secured financing and strategic partnerships, this work advances West Cache toward potential development with materially reduced technical and execution risk.
Technical content and qualified person
The technical content of this news release has been reviewed and approved by West Cache gold project manager Leah Page, PGeo, a qualified person as defined in National Instrument 43-101 (Standards of Disclosure for Mineral Projects).
About Galleon Gold Corp.
Galleon Gold is advancing the West Cache gold project with a disciplined, derisking strategy centred on resource growth and a coming 86,500-tonne bulk sample program, positioning the company to unlock long-term shareholder value.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GGO\news_html\2026-01-13.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GGO/news_html/2026-01-13.html,,NONE,Surface site development at West Cache initiated,,,2024-12-31,2025-03-27
stockwatch,GGO,Galleon Gold Corp.,2026-01-07,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6097871.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GGO\pdfs\MaterialChange\2026-01-07_GGO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,8,1698,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GGO/2026-01-07_GGO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,$46 million credit facility secured,,,,,2024-12-31,2025-03-27
stockwatch,GGO,Galleon Gold Corp.,2026-01-07,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6097842.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-27
stockwatch,GGO,Galleon Gold Corp.,2026-01-07,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Galleon Gold reviews 2025, looks ahead to 2026",https://www.stockwatch.com/News/Item/Z-C!GGO-3772079/C/GGO,3772079,https://www.stockwatch.com/News/Sedardoc/6097443.pdf,,0,0,no,,"2026-01-07 17:31 ET - News Release
Mr. David Russell reports
GALLEON GOLD'S 2025 YEAR IN REVIEW AND EXECUTION ROADMAP FOR 2026
Galleon Gold Corp. has provided a summary of its significant achievements in 2025 highlighted by arranging a comprehensive financing strategy, securing key regulatory approvals and initiating critical early stage development activities at its West Cache gold project in Timmins, Ont. These milestones were aimed at derisking the project and establishing solid groundwork for future feasibility studies, moving the company toward its ultimate goal of building the next mine in the prolific Timmins gold camp.
2025 achievements
Fully financed bulk sample program:
In 2025, Galleon Gold raised $91.5-million in capital, providing full funding for the planned bulk sample program and positioning the company to advance the West Cache project through critical derisking and feasibility level work.  The financing package included $15.5-million in convertible debentures, $30-million in equity financings and a $46-million senior secured debt facility.
Regulatory approval for bulk sample:
In April, 2025, the Ontario Ministry of Energy and Mines accepted the company's closure plan for filing, marking a key milestone toward the extraction of an 86,500-tonne bulk sample under an advanced exploration program. The bulk sample is expected to generate critical data to support future feasibility studies.
Strategic investment from Pan American:
As part of the 2025 financings, Pan American Silver Corp. invested $8-million through an unsecured convertible debt financing, $11.25-million through equity and also provided a senior secured debt facility of up to $46-million. In parallel, Galleon Gold signed a memorandum of understanding (MOU) with Lake Shore Gold Corp., a subsidiary of Pan American, for the toll processing of the mineralized material from the planned bulk sample.
Enhanced project economics:
The company drew $11-million from the debt facility and completed the repurchase of a 3-per-cent net smelter return royalty on West Cache from a wholly owned subsidiary of Newmont Corp. With the royalty fully extinguished, the West Cache principal resource area is 100-per-cent unencumbered by net smelter return royalties, enhancing long-term economic potential.
Early development activities initiated:
With funding secured and regulatory approvals in place, the company commenced tree harvesting, road building, initial hydro line installation work and surface planning, in preparation for awarding surface construction and underground contracts in 2026.
2026 objectives
Advance surface infrastructure development:
Commence and complete surface infrastructure construction, including hydro and power supply, access roads, administration complex, box cut, and water management systems.
Initiate underground development:
Begin underground development, including completing majority of decline and ramping development required to reach the targeted mineralized material outlined in the closure plan for an 86,500-tonne bulk sample.
Execute targeted exploration program:
Initiate an exploration drill program with twofold strategy:
Infill drilling to further define the existing resource and potentially convert and expand gold ounces;
Exploration drilling to target and test high-priority unexplored areas outside the current resource area, identified through geophysics surveys and soil sampling programs, with the objective of identifying new mineralized zones.
""With Pan American as a strategic investor and several new long-term institutional investors who supported our financing efforts, we enter 2026 fully funded to execute on strategy and derisk the development of our West Cache project,"" said David Russell, president and chief executive officer of Galleon Gold. ""We are in the early stages of fleshing out the full value of the project, with less than 10 per cent of the project drill tested, we believe there are additional ounces of gold to add to the resource.""
About Galleon Gold Corp.
Galleon Gold is advancing the West Cache gold project with a disciplined, derisking strategy centered on resource growth and an upcoming 86,500-tonne bulk sample program, positioning the company to unlock long-term shareholder value.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GGO\news_html\2026-01-07.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GGO/news_html/2026-01-07.html,,NONE,2025 year in review and 2026 roadmap,,,2024-12-31,2025-03-27
stockwatch,GGO,Galleon Gold Corp.,2025-12-31,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Galleon Gold completes repurchase of West Cache NSR,https://www.stockwatch.com/News/Item/Z-C!GGO-3770384/C/GGO,3770384,https://www.stockwatch.com/News/Sedardoc/6095350.pdf,,0,0,no,,"2025-12-31 12:54 ET - News Release
Mr. David Russell reports
GALLEON GOLD COMPLETES REPURCHASE OF ROYALTY ON THE WEST CACHE PROJECT
Galleon Gold Corp. has successfully completed the repurchase of a 3-per-cent net smelter return royalty on the company's West Cache gold project from a wholly owned subsidiary of Newmont Corp. (previously announced on Oct. 16, 2025).
Pursuant to the agreement, Galleon Gold has exercised its existing right to repurchase 1 per cent of the royalty for $1-million and, concurrently, paid $10-million to acquire the remaining 2-per-cent royalty. Upon closing of the transaction, the royalty has been fully extinguished, resulting in West Cache's principal resource being 100-per-cent unencumbered by net smelter return royalties. All amounts are in Canadian dollars.
CEO comment
David Russell, president and chief executive officer of Galleon Gold, commented: ""We are very pleased to have successfully completed this transaction with Newmont. As West Cache advances toward development, the elimination of the royalty significantly strengthens West Cache's long-term economics. Completing this repurchase of the NSR at a predevelopment stage positions the company to create maximum value for Galleon Gold's shareholders as the project continues to grow.""
About the royalty
The royalty originated from an option agreement dated July 12, 1999, exercised on or about Aug. 17, 2005, under which Placer Dome (CLA) Ltd. was granted a net smelter return royalty covering mineral claims that now form part of the West Cache property package. Through a series of historical transactions, the royalty was transferred to successor entities, with Newmont, through a wholly owned subsidiary, being the holder of the royalty immediately prior to closing. Galleon Gold, through its wholly owned subsidiary Explor Resources Inc., was the payor of the royalty prior to its repurchase and extinguishment.
About Galleon Gold Corp.
Galleon Gold is advancing the West Cache gold project with a disciplined, derisking strategy centered on resource growth and an upcoming 86,500-tonne bulk sample program, positioning the company to unlock long-term shareholder value.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GGO\news_html\2025-12-31.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GGO/news_html/2025-12-31.html,,NONE,Completion of NSR royalty repurchase,,,2024-12-31,2025-03-27
