source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,GOLD,GoldMining Inc.,2026-02-27,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6136223.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GOLD\pdfs\AIF\2026-02-27_GOLD_AIF.pdf,100,3255,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GOLD/2026-02-27_GOLD_AIF.pdf,,,,,,,,,2025-11-30,2026-02-27
stockwatch,GOLD,GoldMining Inc.,2026-03-05,NEWS_RELEASE_EN,not applicable,NewsRelease,"Goldmining appoints Gotz as VP, project development",https://www.stockwatch.com/News/Item/Z-C!GOLD-3793016/C/GOLD,3793016,https://www.stockwatch.com/News/Sedardoc/6141042.pdf,,0,0,no,,"2026-03-05 11:26 ET - News Release
Mr. Alastair Still reports
GOLDMINING APPOINTS IMOLA GOTZ AS VICE PRESIDENT, PROJECT DEVELOPMENT
Goldmining Inc. has appointed Imola Gotz as vice-president, project development.
Ms. Gotz is a veteran mining engineer with over 30 years of international experience in both underground and open-pit mining environments including in world-renowned Northern Ontario gold mining camps of Hemlo and Timmins. Prior to joining the company, Ms. Gotz held progressive leadership roles at Goldcorp, Newmont, Eldorado Gold, Sandstorm Gold Royalties, Horizon Copper and, most recently, Royal Gold, where she developed life of mine plans, strategic business plans and comparative economic evaluations of mining projects. In her role, Ms. Gotz will be responsible for leading advancement and development of engineering, procurement, construction management and project controls throughout Goldmining's portfolio of resource-stage assets in the Americas.
Ms. Gotz is a professional engineer licensed in B.C., and a fellow of the Association of Engineers Canada. In addition to being an active member of the Canadian Institute of Mining & Metallurgy (CIMM), she is also a qualified person as defined by Canadian National Instrument 43-101. Ms. Gotz earned a bachelor of education in mathematics and general science from Lakehead University, a master of science in mine engineering from the Technical University of Petrosani, and a financial agility diploma from Queens University.
As a skilled educator, Ms. Gotz has established partnerships with Canadian Mine Engineering Schools and has guest lectured at Queens University and Laurentian University. She has authored, co-authored and presented works at the CIMM Conference, the U.S. Mine Ventilation Symposium and the World Mining Congress on various topics including women's leadership in the mining industry.
Alastair Still, president and chief executive officer of Goldmining, commented: ""We are pleased to welcome Imola to the Goldmining team. Adding a technical leader of Imola's caliber is a pivotal step for the company as we transition our core assets toward development. With our financial strength, combined with recent additions to our team including Imola's expertise and experience, we look forward to unlocking the value of the company's assets.""
Ms. Gotz commented: ""I am joining the company at an inflection point for its portfolio. I look forward to applying my experience and working closely with the team to define clear, strategic pathways to advance these projects through their next phases of development.""
About Goldmining Inc.
Goldmining is a public mineral exploration company focused on acquiring and developing gold assets in the Americas. Through its disciplined acquisition strategy, Goldmining now controls a diversified portfolio of resource-stage gold and gold-copper projects in Canada, the United States, Brazil, Colombia and Peru.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GOLD\news_html\2026-03-05.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GOLD/news_html/2026-03-05.html,,NONE,"Appointment of Imola Gotz as VP, project development",,,2025-11-30,2026-02-27
stockwatch,GOLD,GoldMining Inc.,2026-03-02,NEWS_RELEASE_EN,not applicable,NewsRelease,Goldmining subsidiary releases Whistler PEA,https://www.stockwatch.com/News/Item/Z-C!GOLD-3791529/C/GOLD,3791529,https://www.stockwatch.com/News/Sedardoc/6137168.pdf,,0,0,no,,"2026-03-02 16:09 ET - News Release
Mr. Alastair Still reports
GOLDMINING CONGRATULATES U.S. GOLDMINING ON THE SUCCESSFUL COMPLETION OF THE INITIAL PEA AT ITS WHISTLER GOLD-COPPER PROJECT, ALASKA
Goldmining Inc. has  congratulated its majority-owned subsidiary, U.S. Goldmining Inc., on its announcement today of a positive initial economic assessment for its 100-per-cent-owned Whistler gold-copper project, located 105 miles northwest of Anchorage, Alaska.
Further details are available in U.S. Goldmining's news release of today's date, which includes further information regarding the PEA and is available on the  U.S. Goldmining  website.
Alastair Still, chief executive officer of Goldmining, commented: ""Our vision and strategy for the Whistler project began three years ago with the successful IPO [initial public offering] of U.S. Goldmining. Today's announcement of an initial PEA helps validate our belief in the potential of this asset. Goldmining shareholders indirectly hold more than a 74-per-cent interest in U.S. Goldmining. We are excited to see U.S. Goldmining continue to advance exploration activities across the district-scale property and continue to progress the project.""
About Goldmining Inc.
Goldmining is a public mineral exploration company focused on acquiring and developing gold assets in the Americas. Through its disciplined acquisition strategy, Goldmining now controls a diversified portfolio of resource-stage gold and gold-copper projects in Canada, the United States, Brazil, Colombia and Peru.
Technical information
The PEA is preliminary in nature and is intended to provide an initial assessment of the project's economic potential and development options of the project. Among other things, the PEA, including its mine schedule, cost estimates and economic assessment, includes numerous assumptions and there can be no certainty that this economic assessment may be realized.
The disclosure herein, including relating to mineral resource estimates, has been prepared in accordance with the requirements of Canadian securities laws, as set forth in National Instrument 43-101.
Qualified person
Tim Smith, PGeo, vice-president, exploration, of the company, has supervised the preparation of this news release and has reviewed the additional scientific and technical information contained herein. Mr. Smith is a qualified person as defined under NI 43-101.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GOLD\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GOLD/news_html/2026-03-02.html,,NONE,Whistler PEA announcement and project update,,,2025-11-30,2026-02-27
stockwatch,GOLD,GoldMining Inc.,2026-02-27,NEWS_RELEASE_EN,not applicable,NewsRelease,"GoldMining Announces Filing of Financial Statements, MD&A, Annual Information Form and Annual Report on Form 40-F",https://www.stockwatch.com/News/Item/Z-C!GOLD-3790934/C/GOLD,3790934,https://www.stockwatch.com/News/Sedardoc/6136926.pdf,,0,0,no,,"2026-02-27 20:39 ET - News Release
GoldMining Announces Filing of Financial Statements, MD&A, Annual Information Form and Annual Report on Form 40-F
Canada NewsWire
VANCOUVER, BC, Feb. 27, 2026
VANCOUVER, BC
,
Feb. 27, 2026
/CNW/ -
GoldMining Inc.
(TSX: GOLD) (NYSE American: GLDG) (""GoldMining"" or the ""Company"") announces the filing of its annual financial statements, management's discussion and analysis (""MD&A""), annual information form (together, the ""Annual Filings"") and its annual report on Form 40-F (the ""Form 40-F"") for the year ended November 30, 2025.
The Annual Filings, which include information regarding the Company's financial position, operations and projects for the fiscal year, are available under the Company's profile at
www.sedarplus.ca
, on EDGAR at
www.sec.gov/EDGAR
and on the Company's website at
www.goldmining.com
. The Form 40-F is available under the Company's profile on EDGAR.
About GoldMining Inc.
GoldMining Inc. is a public mineral exploration company focused on acquiring and developing gold assets in the Americas. Through its disciplined acquisition strategy, GoldMining now controls a diversified portfolio of resource-stage gold and gold-copper projects in Canada, the U.S.A., Brazil, Colombia, and Peru.
View original content to download multimedia:
https://www.prnewswire.com/news-releases/goldmining-announces-filing-of-financial-statements-mda-annual-information-form-and-annual-report-on-form-40-f-302700098.html
SOURCE GoldMining Inc.
View original content to download multimedia:
http://www.newswire.ca/en/releases/archive/February2026/27/c3956.html
Contact:
For additional information, please contact: Martin Dumont, VP, Corporate Development & Investor Relations, Telephone: (855) 630-1001, Email: info@goldmining.com
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GOLD\news_html\2026-02-27.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GOLD/news_html/2026-02-27.html,,NONE,Filing of annual financial statements and reports,,,2025-11-30,2026-02-27
stockwatch,GOLD,GoldMining Inc.,2026-02-27,ON_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6136234.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-27
stockwatch,GOLD,GoldMining Inc.,2026-02-27,AB_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6136233.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-27
stockwatch,GOLD,GoldMining Inc.,2026-02-27,MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6136217.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GOLD\pdfs\MD&A\2026-02-27_GOLD_MD&A_MDA_EN.pdf,27,828,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GOLD/2026-02-27_GOLD_MD&A_MDA_EN.pdf,,,,,,,,,2025-11-30,2026-02-27
stockwatch,GOLD,GoldMining Inc.,2026-02-27,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6136220.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-27
stockwatch,GOLD,GoldMining Inc.,2026-02-27,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6136221.pdf,,0,0,no,,,,,,,,,,2025-11-30,2026-02-27
stockwatch,GOLD,GoldMining Inc.,2026-02-27,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6136223.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GOLD\pdfs\AIF\2026-02-27_GOLD_AIF_ANNUAL_INFORMATION_FORM_EN.pdf,100,3255,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GOLD/2026-02-27_GOLD_AIF_ANNUAL_INFORMATION_FORM_EN.pdf,,,,,,,,,2025-11-30,2026-02-27
