source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,GQC,GoldQuest Mining Corp.,2026-03-05,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6141268.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GQC\pdfs\MaterialChange\2026-03-05_GQC_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,1,4,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GQC/2026-03-05_GQC_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Board member appointments and resignations,,,,,2023-12-31,2024-03-30
stockwatch,GQC,GoldQuest Mining Corp.,2026-02-26,NEWS_RELEASE_EN,not applicable,NewsRelease,GoldQuest Welcomes New Directors Coille Van Alphen and Jose Michelen,https://www.stockwatch.com/News/Item/Z-C!GQC-3789929/C/GQC,3789929,https://www.stockwatch.com/News/Sedardoc/6134282.pdf,,0,0,no,,"2026-02-26 17:01 ET - News Release
Vancouver, British Columbia--(Newsfile Corp. - February 26, 2026) -
GoldQuest Mining Corp. (TSXV: GQC)
(OTCQX: GDQMF)
(""
GoldQuest
"" or the ""
Company
"") is pleased to announce the appointments of Coille Van Alphen and Jose Michelen to the Company's board of directors (the ""
Board
""), effective immediately, to fill the vacancies created by  the  resignations of Bill Fisher and Julio Espaillat  from the Board.
Mr. Fisher and Mr. Espaillat have served on the Board for 16 years and 15 years, respectively. The Company would like to thank them both for their valuable contributions and service to GoldQuest over the past years and wishes them continued success in their future endeavors.
Luis Santana, Director and Chief Executive Officer of GoldQuest, commented:
""We are very pleased to welcome Coille and Jose to the Board of GoldQuest at this important stage in the advancement of the Romero Project. Their combined experience in capital markets, corporate governance, finance and strategic development will further strengthen our Board as we continue to advance the Romero Project through permitting and towards development. At the same time, I would like to sincerely thank Bill and Julio for their commitment and contributions to the Company.""
Coille Van Alphen
Ms. Van Alphen is a Metals & Mining Portfolio Manager at Equinox Partners, a US-based global value investment firm recognized for its long-term investment horizon and focus on good corporate governance.  In this role, she manages a concentrated portfolio of precious metals miners and oversees investments in base metals companies.
Previously, Ms. Van Alphen was Senior Analyst of a precious metals mutual fund at Toqueville Asset Management (now Sprott Funds), where she was responsible for evaluating and monitoring global mining equity investments. Earlier in her career, she worked at CPP Investment Board in global capital markets and external portfolio management.
Ms. Van Alphen holds an MBA, graduating with distinction, from the Ivey School of Business at Western University and is a CFA charterholder.
Jose Michelen
Mr. Michelen has profound corporate and investment experience in the Dominican Republic and South America and has a track record of implementing and executing strategic corporate development goals within various enterprises. He has been active in financial markets since 1996, initially working in New York before co-founding a financial transactional platform in the Dominican Republic in 2002.
Since 2004, Mr. Michelen has focused on actively managing and overseeing investments across various industries in the Dominican Republic and Central America. He is a founding partner and board member of several Dominican financial institutions, including Centro Financiero Crecer, AG Investments and Alpha Valores, and has served on the board of directors of the Bolsa de Valores de la República Dominicana. He currently serves on the Board of Cevaldom.
Mr. Michelen holds an MBA from the Massachusetts Institute of Technology and a Bachelor of Science degree from New York University.
About GoldQuest
GoldQuest Mining Corp. is a Canadian exploration and development company with strong participation from Dominican investors, focused on advancing its gold and copper assets in the Dominican Republic. The Company has a Board of Directors and management team with prior experience developing and operating a mine in the country.
Additional information can be viewed at the Company's website
www.goldquestcorp.com
.
On Behalf of the Board of Directors of GoldQuest Mining Corp.,
""Luis Santana""
Director & CEO
Neither the TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this news release.
Forward‐looking statements
:
Statements contained in this news release that are not historical facts are forward‐looking information that involves known and unknown risks and uncertainties. Forward‐looking statements in this news release include, but are not limited to, the merits of the Company's mineral properties. In certain cases, forward‐looking statements can be identified by the use of words such as ""plans"", ""expects"" or ""does not expect"", ""is expected"", ""potential"", ""likelihood"", ""appears"", ""budget"", ""scheduled"", ""estimates"", ""aims"", ""forecasts"", ""at least"", ""intends"", ""anticipates"" or ""does not anticipate"", or ""believes"", or variations of such words and phrases or state that certain actions, events or results ""may"", ""could"", ""would"", ""should"", ""might"" or ""will be taken"", ""occur"" or ""be achieved"".
Forward‐looking statements involve known and unknown risks, uncertainties and other factors which may cause the actual results, performance or achievements of the Company to be materially different from any future results, performance or achievements expressed or implied by the forward‐looking statements. Such risks and other factors include, among others, risks related to uncertainties inherent in drill results and the estimation of mineral resources; commodity prices; changes in general economic conditions; market sentiment; currency exchange rates; the Company's ability to continue as a going concern; the Company's ability to raise funds through equity financings; risks inherent in mineral exploration; risks related to operations in foreign countries; future prices of metals; failure of equipment or processes to operate as anticipated; accidents, labor disputes and other risks of the mining industry; delays in obtaining governmental approvals; government regulation of mining operations; environmental risks; title disputes or claims; limitations on insurance coverage and the timing and possible outcome of litigation. Although the Company has attempted to identify important factors that could affect the Company and may cause actual actions, events or results to differ materially from those described in forward‐looking statements, there may be other factors that cause actions, events or results not to be as anticipated, estimated or intended. There can be no assurance that forward‐looking statements will prove to be accurate, as actual results and future events could differ materially from those anticipated in such statements. Accordingly, do not place undue reliance on forward‐looking statements. All statements are made as of the date of this news release and the Company is under no obligation to update or alter any forward‐looking statements except as required under applicable securities laws. Forward‐looking statements are based on assumptions that the Company believes to be reasonable, including expectations regarding mineral exploration and development costs; expected trends in mineral prices and currency exchange rates; the accuracy of the Company's current mineral resource estimates; that the Company's activities will be in accordance with the Company's public statements and stated goals; that there will be no material adverse change affecting the Company or its properties; that all required approvals will be obtained and that there will be no significant disruptions affecting the Company or its properties.
For further information, please contact:
Luis Santana, Chief Executive Officer
1 (809) 224-0629
lsantana@goldquestcorp.com
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/285499
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GQC\news_html\2026-02-26.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GQC/news_html/2026-02-26.html,,NONE,New directors appointed to the board,,,2023-12-31,2024-03-30
stockwatch,GQC,GoldQuest Mining Corp.,2026-02-18,NEWS_RELEASE_EN,not applicable,NewsRelease,"GoldQuest Named to the 2026 TSX Venture 50 Vancouver, British Columbia--(Newsfile Corp. - February 18, 2026) - GoldQuest Mining Corp. (TSXV:",,,https://www.stockwatch.com/News/Sedardoc/6126540.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GQC\pdfs\NewsRelease\2026-02-18_GQC_NewsRelease_fallback.pdf,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GQC/2026-02-18_GQC_NewsRelease_fallback.pdf,"GoldQuest Named to the 2026 TSX Venture 50
Vancouver, British Columbia--(Newsfile Corp. - February 18, 2026) - GoldQuest Mining Corp. (TSXV:
GQC) (OTCQX: GDQMF) (""GoldQuest"" or the ""Company"") is pleased to announce that it has been
recognized as a 2026 Top 50 Company by the TSX Venture Exchange.
The TSX Venture 50 is an annual ranking of the top-performing companies on TSX Venture Exchange
over the last year. Companies are ranked based on three equally-weighted criteria of one-year share
price appreciation, market capitalization growth, and Canadian consolidated trading value.
During 2025, GoldQuest's share price increased by 538% and its market capitalization grew by 669%.
The 2026 TSX Venture 50 highlights the top 50 performers among more than 1,500 TSX Venture
Exchange issuers.
Luis Santana, CEO of GoldQuest Mining Corp., commented: ""We are honoured to be recognized
as a 2026 TSX Venture 50 company. This milestone reflects the strength of the GoldQuest team, our
continued progress in advancing the Romero Project, and the strong support of our stakeholders,
including our Dominican shareholders. We remain focused on responsibly unlocking Romero's value for
the benefit of all stakeholders.""
Andrew Creech, President, TSX Venture Exchange commented: ""The 2026 TSX Venture 50
reflects a clear inflection point for early-stage finance, with a return of liquidity and capital that reinforces
Canada's position as a world-leading centre for resource discovery, strategic innovation, and scale. This
years ranking underscores the vital role TSXV plays in channeling capital to the mining sector and
serving as the primary growth pipeline for the next generation of global mineral supply."" More details can
be found at: http://tsx.com/venture50.
About GoldQuest
GoldQuest Mining Corp. is a Canadian exploration and development company with strong participation
from Dominican investors, focused on advancing its gold and copper assets in the Dominican Republic.
The Company has a Board of Directors and management team with prior experience developing and
operating a mine in the country.
Additional information can be viewed at the Company's website www.goldquestcorp.com.
On Behalf of the Board of Directors of GoldQuest Mining Corp.,
""Luis Santana""
Director & CEO
Neither the TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the
policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this news
release.
Forward-looking statements:
Statements contained in this news release that are not historical facts are forward-looking information
that involves known and unknown risks and uncertainties. Forward-looking statements in this news
release include, but are not limited to, statements with respect to the merits of the Company's mineral
properties, the Company's plans for its mineral properties, and the Company's focus on unlocking
Romero's value for the benefit of all stakeholders. In certain cases, forward-looking statements can be
identified by the use of words such as ""plans"", ""expects"" or ""does not expect"", ""is expected"", ""potential"",
""likelihood"", ""appears"", ""budget"", ""scheduled"", ""estimates"", ""aims"", ""forecasts"", ""at least"", ""intends"",

""anticipates"" or ""does not anticipate"", or ""believes"", or variations of such words and phrases or state that
certain actions, events or results ""may"", ""could"", ""would"", ""should"", ""might"" or ""will be taken"", ""occur"" or
""be achieved"".
Forward-looking statements involve known and unknown risks, uncertainties and other factors which may
cause the actual results, performance or achievements of the Company to be materially different from
any future results, performance or achievements expressed or implied by the forward-looking
statements. Such risks and other factors include, among others, risks related to uncertainties inherent in
drill results and the estimation of mineral resources; commodity prices; changes in general economic
conditions; market sentiment; currency exchange rates; the Company's ability to continue as a going
concern; the Company's ability to raise funds through equity financings; risks inherent in mineral
exploration; risks related to operations in foreign countries; future prices of metals; failure of equipment
or processes to operate as anticipated; accidents, labor disputes and other risks of the mining industry;
delays in obtaining governmental approvals; government regulation of mining operations; environmental
risks; title disputes or claims; limitations on insurance coverage and the timing and possible outcome of
litigation. Although the Company has attempted to identify important factors that could affect the
Company and may cause actual actions, events or results to differ materially from those described in
forward-looking statements, there may be other factors that cause actions, events or results not to be as
anticipated, estimated or intended. There can be no assurance that forward-looking statements will
prove to be accurate, as actual results and future events could differ materially from those anticipated in
such statements. Accordingly, do not place undue reliance on forward-looking statements. All statements
are made as of the date of this news release and the Company is under no obligation to update or alter
any forward-looking statements except as required under applicable securities laws. Forward-looking
statements are based on assumptions that the Company believes to be reasonable, including
expectations regarding mineral exploration and development costs; expected trends in mineral prices
and currency exchange rates; the accuracy of the Company's current mineral resource estimates; that
the Company's activities will be in accordance with the Company's public statements and stated goals;
that there will be no material adverse change affecting the Company or its properties; that all required
approvals will be obtained and that there will be no significant disruptions affecting the Company or its
properties.
For further information, please contact:
Luis Santana, Chief Executive Officer 
1 (809) 224-0629
lsantana@goldquestcorp.com
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/283916
",,,,NONE,GoldQuest named to 2026 TSX Venture 50,,,2023-12-31,2024-03-30
stockwatch,GQC,GoldQuest Mining Corp.,2026-02-03,NEWS_RELEASE_EN,not applicable,NewsRelease,Goldquest completes drill program at Romero,https://www.stockwatch.com/News/Item/Z-C!GQC-3781197/C/GQC,3781197,https://www.stockwatch.com/News/Sedardoc/6117162.pdf,,0,0,no,,"2026-02-03 16:42 ET - News Release
Mr. Luis Santana reports
GOLDQUEST PROVIDES UPDATE ON DRILLING AND EXPLORATION ACTIVITIES AT ROMERO GOLD-COPPER PROJECT, DOMINICAN REPUBLIC
Goldquest Mining Corp. has provided an update on its continuing 2025 to 2026 drilling and metallurgical testwork program at the 100-per-cent-owned Romero gold-copper project in the Dominican Republic.
The company has successfully completed the metallurgical drill program: five metallurgical drill holes totalling 1,906 metres; approximately 1,600 m of representative core selected from all holes for advanced locked-cycle and variability testwork at ALS Kamloops, with first results expected in March, 2026, and the final report by late April/early May, 2026.
Geotechnical and hydrogeological drilling advancing on schedule: eight dedicated geotech holes (approximately 2,700 m), of which three were completed and three are continuing, and 10 hydrogeological holes (six completed, three in progress) all to be finished by February, 2026, to support feasibility study engineering design.
Drilling started in early January at the Cachimbo discovery target, with the first hole currently at 450 metres, with a planned target depth of 500 metres. This program aims to delineate a mineral resource and test additional targets along the Romero-Cachimbo corridor.
Geophysics program under way: A new ground geophysics program has commenced to further refine exploration targets. The program consists of gradient array induced polarization (IP) surveys and pole-dipole induced polarization (PD-IP) surveys.
Since beginning the program in September, 2025, the company has completed five metallurgical drill holes totalling 1,906 metres and three dedicated geotechnical holes totalling 1,270 metres. These data will support the continued development of the underground mining design.
In parallel, three additional drill rigs continue with a geotechnical and hydrogeological drilling program at the planned plant, waste dump, tailings facility areas and critical infrastructure. This campaign has been updated to eight dedicated geotechnical holes (approximately 2,700 metres in total) and ten hydrogeological holes (six completed and three continuing) and is on schedule for completion by February, 2026. Data from these holes will support detailed engineering design for the feasibility study.
Luis Santana, chief executive officer of Goldquest Mining, commented: ""We are advancing efficiently on all fronts. With metallurgical samples now at the lab and the drill bit turning at Cachimbo, we remain on schedule to deliver our feasibility study milestones while simultaneously exploring the district's potential.""
At Cachimbo, drilling of hole TIR-26-57 began in early January and has now reached 450 metres, with a target depth of 500 metres. The program seeks to define a mineral resource and test new targets along the Romero-Cachimbo corridor.
Core samples from TIR-26-57 contain sections with disseminated pyrite, chalcopyrite, barite and sphalerite in veinlets, similar to mineralization encountered in previous holes at this target. Cutting and sampling are currently in progress, with assay results anticipated by early March.
Additionally, a geophysics program is currently in progress. commenced on Jan. 27, a new ground geophysics plan aims to further delineate exploration targets and support drill planning along the aforementioned corridor. The scope of this program includes gradient array induced polarization (IP) surveys, which will be supplemented with pole-dipole induced polarization (PD-IP) surveys in zones where anomalies are identified. The plan consists of:
A first stage of gradient array induced polarization (IP) to complete the cover in the brownfield targets around the Romero deposit;
A second stage targeting the Cachimbo trend, with the objective of improving the upcoming drill program at the greenfield targets Canada La Vaca and Los Ganchos.
Qualified person
The scientific and technical information in this press release has been reviewed and approved by Leandro Sastre, PGeo, vice-president of exploration of Goldquest and a qualified person for the technical information in this press release under National Instrument 43-101 -- Standards of Disclosure for Mineral Properties.
About Goldquest Mining Corp.
Goldquest Mining is a Canadian exploration and development company with strong participation from Dominican investors, focused on advancing its gold and copper assets in the Dominican Republic. The company has a board of directors and management team with prior experience developing and operating a mine in the country.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GQC\news_html\2026-02-03.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GQC/news_html/2026-02-03.html,,NONE,Update on drilling and exploration activities,,,2023-12-31,2024-03-30
stockwatch,GQC,GoldQuest Mining Corp.,2026-01-16,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6103267.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,GQC,GoldQuest Mining Corp.,2026-01-15,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6102253.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GQC\pdfs\MaterialChange\2026-01-15_GQC_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,11,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GQC/2026-01-15_GQC_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Private placement tranche closings,,,,,2023-12-31,2024-03-30
stockwatch,GQC,GoldQuest Mining Corp.,2026-01-13,NEWS_RELEASE_EN,not applicable,NewsRelease,"GoldQuest Closes Third and Final Tranche of Private Placement for Gross Proceeds of Approximately C$3.3 Million Vancouver, British Columbia--(Newsfile Corp. - January 13, 2026) - GoldQuest Mining Corp",,,https://www.stockwatch.com/News/Sedardoc/6100664.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GQC\pdfs\NewsRelease\2026-01-13_GQC_NewsRelease_fallback.pdf,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GQC/2026-01-13_GQC_NewsRelease_fallback.pdf,"GoldQuest Closes Third and Final Tranche of
Private Placement for Gross Proceeds of
Approximately C$3.3 Million
Vancouver, British Columbia--(Newsfile Corp. - January 13, 2026) - GoldQuest Mining Corp. (TSXV:
GQC) (OTCQX: GDQMF) (""GoldQuest"" or the ""Company"") is pleased to announce the closing of the
third and final tranche (the ""Third Tranche"") of its previously announced non-brokered private
placement (the ""Private Placement"") of units of the Company (the ""Units""), originally announced on
December 16, 2025. The first tranche of the Private Placement (the ""First Tranche"") closed on
December 23, 2025 and the second tranche of the Private Placement (the ""Second Tranche"") closed
on January 9, 2026.
Under the Third Tranche, the Company issued 2,744,542 Units at a price of C$1.21 per Unit, for total
gross proceeds of approximately C$3.3 million.
Each Unit is comprised of one common share of the Company (a ""Common Share"") and one-half of
one Common Share purchase warrant (each whole warrant, a ""Warrant""). Each Warrant will be
exercisable to purchase one Common Share at an exercise price of C$1.80 per Common Share for a
period of 24 months from the applicable closing date of the Private Placement.
Combined with the First Tranche and Second Tranche, the Company has issued a total of 34,710,743
Units under the Private Placement, for gross proceeds of approximately C$42 million.
In connection with the Third Tranche, the Company paid cash finder's fees of C$100,000.45 to Paradigm
Capital Inc. and C$66,044.34 to Milenio Partners, S.A., each an arm's length party.
All Common Shares and Warrants issued pursuant to the Private Placement are subject to a four-month
statutory hold period under applicable Canadian securities laws.
The Company expects to use the proceeds of the Private Placement for early development activities at
the Romero project, expansion of greenfield exploration drilling, and general corporate purposes.
About GoldQuest Mining Corp.
GoldQuest Mining Corp. is a Canadian exploration and development company with strong participation
from Dominican investors, focused on advancing its gold and copper assets in the Dominican Republic.
The Company has a Board of Directors and management team with prior experience developing and
operating a mine in the country.
Forward-looking statements:
Statements contained in this news release that are not historical facts are forward-looking information
that involves known and unknown risks and uncertainties. Forward-looking statements in this news
release include, but are not limited to, the use of proceeds raised under the Private Placement, the
Company's plans with respect to the Romero project and focus on advancing its assets in the Dominican
Republic. In certain cases, forward-looking statements can be identified by the use of words such as
""plans"", ""looks forward"", ""has proven"", ""expects"" or ""does not expect"", ""is expected"", ""potential"",
""likelihood"", ""appears"", ""budget"", ""scheduled"", ""estimates"", ""forecasts"", ""at least"", ""intends"",
""anticipates"" or ""does not anticipate"", or ""believes"", or variations of such words and phrases or state that
certain actions, events or results ""may"", ""could"", ""would"", ""should"", ""might"" or ""will be taken"", ""occur"" or
""be achieved"".
Forward-looking statements involve known and unknown risks, uncertainties and other factors which may

cause the actual results, performance or achievements of the Company to be materially different from
any future results, performance or achievements expressed or implied by the forward-looking
statements. Such risks and other factors include, among others, risks related to the implementation,
application and interpretation of the recent changes to the Dominican Republic's environmental
regulations; risks related to the ability of the Company to advance and complete a Feasibility study,
Environmental and Social Impact Assessment and other studies on the Romero project; economic and
political conditions globally and in the Dominican Republic; uncertainties inherent in drill results and the
estimation of mineral resources; commodity prices; changes in general economic conditions; market
sentiment; currency exchange rates; the Company's ability to continue as a going concern; the
Company's ability to raise funds through equity financings; risks inherent in mineral exploration; risks
related to operations in foreign countries; future prices of metals; failure of equipment or processes to
operate as anticipated; accidents, labor disputes and other risks of the mining industry; delays in
obtaining governmental approvals; government regulation of mining operations; environmental risks; title
disputes or claims; limitations on insurance coverage and the timing and possible outcome of litigation.
Although the Company has attempted to identify important factors that could affect the Company and
may cause actual actions, events or results to differ materially from those described in forward-looking
statements, there may be other factors that cause actions, events or results not to be as anticipated,
estimated or intended. There can be no assurance that forward-looking statements will prove to be
accurate, as actual results and future events could differ materially from those anticipated in such
statements. Accordingly, do not place undue reliance on forward-looking statements. All statements are
made as of the date of this news release and the Company is under no obligation to update or alter any
forward-looking statements except as required under applicable securities laws. Forward-looking
statements are based on assumptions that the Company believes to be reasonable, including
expectations regarding mineral exploration and development costs; expected trends in mineral prices
and currency exchange rates; the accuracy of the Company's current mineral resource estimates; that
the Company's activities will be in accordance with the Company's public statements and stated goals;
that there will be no material adverse change affecting the Company or its properties; that all required
approvals will be obtained and that there will be no significant disruptions affecting the Company or its
properties.
For further information, please contact:
Luis Santana, Chief Executive Officer
1 (809) 224-0629
lsantana@goldquestcorp.com
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/280225
",,,,NONE,Private placement financing completed,,,2023-12-31,2024-03-30
stockwatch,GQC,GoldQuest Mining Corp.,2026-01-09,NEWS_RELEASE_EN,not applicable,NewsRelease,Goldquest closes $8.7M second tranche of placement,https://www.stockwatch.com/News/Item/Z-C!GQC-3772872/C/GQC,3772872,https://www.stockwatch.com/News/Sedardoc/6099061.pdf,,0,0,no,,"2026-01-09 18:45 ET - News Release
Mr. Luis Santana reports
GolDQUEST CLOSES SECOND TRANCHE OF PRIVATE PLACEMENT FOR GROSS PROCEEDS OF APPROXIMATELY C$8.7 MILLION
Goldquest Mining Corp. has closed the second tranche of its previously announced non-brokered private placement of units of the company, originally announced on Dec. 16, 2025. The first tranche of the private placement closed on Dec. 23, 2025.
Under the second tranche, the company issued 7,172,813 units at a price of $1.21 per unit, for total gross proceeds of approximately $8.7-million.
Each unit comprises one common share of the company and one-half of one common share purchase warrant. Each warrant will be exercisable to purchase one common share at an exercise price of $1.80 per common share for a period of 24 months from the applicable closing date of the private placement.
Combined with the first tranche, the company has issued a total of 31,966,201 units under the private placement, for gross proceeds of approximately $40-million.
In connection with the second tranche, the company paid a cash finder's fee of $305,579.45 to Paradigm Capital Inc., an arm's-length party.
All common shares and warrants issued pursuant to the private placement are subject to a four-month statutory hold period under applicable Canadian securities laws.
The company expects to close the third and final tranche of the private placement of up to $3,320,896 early next week.
The company expects to use the proceeds of the private placement for early development activities at the Romero project, expansion of greenfield exploration drilling and general corporate purposes.
Insider participation and MI 61-101 disclosure
Insiders of the company acquired an aggregate of 150,000 units ($181,500) under the second tranche. Such insider participation constitutes a related party transaction as defined under the TSV Venture Exchange Policy 5.9 and Multilateral Instrument 61-101 -- Protection of Minority security Holders in Special Transactions (MI 61-101).
The company is relying on exemptions from the formal valuation and minority shareholder approval requirements of MI 61-101, as neither the fair market value of the securities to be acquired by insiders, nor the consideration paid by them, exceeds 25 per cent of the company's market capitalization.
About Goldquest Mining Corp.
Goldquest Mining is a Canadian exploration and development company with strong participation from Dominican investors, focused on advancing its gold and copper assets in the Dominican Republic. The company has a board of directors and management team with prior experience developing and operating a mine in the country.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GQC\news_html\2026-01-09.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GQC/news_html/2026-01-09.html,,NONE,Closed second tranche of private placement,,,2023-12-31,2024-03-30
stockwatch,GQC,GoldQuest Mining Corp.,2026-01-02,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6095984.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,GQC,GoldQuest Mining Corp.,2025-12-23,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6091742.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\GQC\pdfs\MaterialChange\2025-12-23_GQC_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,11,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/GQC/2025-12-23_GQC_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Private placement upsized to $42 million,,,,,2023-12-31,2024-03-30
