source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,HI,Highland Copper Company Inc.,2025-11-06,ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6050261.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\HI\pdfs\AIF\2025-11-06_HI_AIF.pdf,92,1217,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/HI/2025-11-06_HI_AIF.pdf,,,,,,,,,2025-06-30,2025-11-06
stockwatch,HI,Highland Copper Company Inc.,2026-03-10,MATERIAL_CHANGE_REPORT_EN,metals and minerals - mining,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6144621.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\HI\pdfs\MaterialChange\2026-03-10_HI_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,113,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/HI/2026-03-10_HI_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,White Pine North Project sale,,,,,2025-06-30,2025-11-06
stockwatch,HI,Highland Copper Company Inc.,2026-03-02,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Highland Copper closes sale of 34% of White Pine,https://www.stockwatch.com/News/Item/Z-C!HI-3791743/C/HI,3791743,https://www.stockwatch.com/News/Sedardoc/6137209.pdf,,0,0,no,,"2026-03-02 18:28 ET - News Release
Mr. Barry O'Shea reports
HIGHLAND COPPER CLOSES SALE OF 34% INTEREST IN WHITE PINE FOR US$30 MILLION
Further to the press releases dated Nov. 25, 2025, and Jan. 13, 2026,  Highland Copper Company Inc. has completed the sale of the company's 34-per-cent interest in the White Pine North project to its joint venture partner, Kinterra Copper USA LLC, for aggregate consideration of $30.1-million (U.S.), pursuant to a definitive membership interest purchase agreement dated Jan. 12, 2026.
The total consideration consisted of $18.3-million (U.S.) in cash, net of the outstanding principal and accrued interest on the loan made by Kinterra to the company's wholly owned subsidiary, Upper Peninsula Copper Holdings Inc., which was a total of $11.8-million (U.S.) at closing.
Proceeds from the sale of White Pine will be used to finance planned Copperwood project activities, eliminate the existing debt to Kinterra, pay for the costs of the transaction and finance general working capital.
""In divesting our non-controlling stake in White Pine, we are pleased to demonstrate a clear focus on our 100-per-cent-owned, fully permitted Copperwood project,"" said Barry O'Shea, chief executive officer of Highland Copper. ""The divestment serves to eliminate debt and capitalize Copperwood to a construction decision. With the proceeds, we look forward to progressing detailed engineering, construction readiness and project financing through 2026.""
Concurrently with the transaction, the company entered into an amendment to the silver royalty option with OR Royalties Inc. on the Copperwood project that is generally consistent with the silver royalty option already in place. Pursuant to the silver royalty option, OR Royalties has the option to increase its net smelter return royalty on silver produced from the Copperwood project from 11.5 per cent to 100 per cent by paying the company $3.0-million (U.S.) on Dec. 31, 2027, subject to certain conditions and the right of OR Royalties to extend the time for the payment by one year.
Moelis & Company LLC acted as exclusive financial adviser to the company in connection with the transaction and received a fee compliant with the TSX Venture Exchange policies. McMillan LLP acted as legal adviser to the company.
Refiling of financial statements
On Feb. 26, 2026, the company refiled its interim financial statements for the three and six months ended Dec. 31, 2025, to correct the comparative financial information in the statement of changes in equity to include the balance as at Dec. 31, 2024.
About Highland Copper Company Inc.
Highland Copper is a Canadian company focused on exploring and developing copper projects in the Upper Peninsula of Michigan, United States. The company also owns surface rights securing access to the Copperwood deposit and providing space for infrastructure at Copperwood as required. The company has 738,188,122 common shares issued and outstanding. Its common shares are listed on the TSX Venture Exchange under the symbol HI and trade on the OTCQB Venture Market under symbol HDRSF.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\HI\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/HI/news_html/2026-03-02.html,,CHANGED,Sold 34% interest in White Pine for $30.1M,White Pine,,2025-06-30,2025-11-06
stockwatch,HI,Highland Copper Company Inc.,2026-02-19,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6128545.pdf,,0,0,no,,,,,,,,,,2025-06-30,2025-11-06
stockwatch,HI,Highland Copper Company Inc.,2026-02-19,INTERIM_MDA_EN,metals and minerals - mining,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6128546.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\HI\pdfs\MD&A\2026-02-19_HI_MD&A_INTERIM_MDA_EN.pdf,15,661,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/HI/2026-02-19_HI_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2025-06-30,2025-11-06
stockwatch,HI,Highland Copper Company Inc.,2026-02-19,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6128547.pdf,,0,0,no,,,,,,,,,,2025-06-30,2025-11-06
stockwatch,HI,Highland Copper Company Inc.,2026-02-19,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6128548.pdf,,0,0,no,,,,,,,,,,2025-06-30,2025-11-06
stockwatch,HI,Highland Copper Company Inc.,2026-02-19,52109F2R_CERTIFICATION_OF_REFILED_INTERIM_FILINGS_CEO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6133170.pdf,,0,0,no,,,,,,,,,,2025-06-30,2025-11-06
stockwatch,HI,Highland Copper Company Inc.,2026-02-19,52109F2R_CERTIFICATION_OF_REFILED_INTERIM_FILINGS_CFO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6133171.pdf,,0,0,no,,,,,,,,,,2025-06-30,2025-11-06
stockwatch,HI,Highland Copper Company Inc.,2026-02-19,INTERIM_FINANCIAL_STATEMENTSREPORT_AMENDED_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6133157.pdf,,0,0,no,,,,,,,,,,2025-06-30,2025-11-06
