source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,HSLV,Highlander Silver Corp.,2025-03-14,ANNUAL_INFORMATION_FORM_EN,gold and precious metals,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5859297.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\HSLV\pdfs\AIF\2025-03-14_HSLV_AIF.pdf,34,1041,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/HSLV/2025-03-14_HSLV_AIF.pdf,,,,,,,,,2024-12-31,2025-03-14
stockwatch,HSLV,Highlander Silver Corp.,2026-03-06,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6142506.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\HSLV\pdfs\MaterialChange\2026-03-06_HSLV_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,328,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/HSLV/2026-03-06_HSLV_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Highlander Bear Creek arrangement completed,,,,,2024-12-31,2025-03-14
stockwatch,HSLV,Highlander Silver Corp.,2026-03-06,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Highlander Silver to begin trading on NYSE American,https://www.stockwatch.com/News/Item/Z-C!HSLV-3793509/C/HSLV,3793509,https://www.stockwatch.com/News/Sedardoc/6142061.pdf,,0,0,no,,"2026-03-06 15:25 ET - News Release
Mr. Daniel Earle reports
HIGHLANDER SILVER TO COMMENCE TRADING ON NYSE AMERICAN UNDER SYMBOL ""HSLV""
Highlander Silver Corp. has received approval to list its common shares on the NYSE American exchange, with trading expected to commence on Wednesday, March 11, 2026, under the symbol HSLV. The company will remain listed on the Toronto Stock Exchange under the same symbol.
About
  Highlander
  Silver Corp.
Highlander Silver is a silver growth company advancing a portfolio of assets in Peru, which includes the bonanza-grade San Luis gold-silver project, which ranks among the 10 highest-grade projects globally in both gold and silver categories, and the Corani silver project. The company also operates the Mercedes gold-silver mine in Mexico. Highlander Silver's major shareholders include the Augusta Group, the Lundin family and Eric Sprott.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\HSLV\news_html\2026-03-06.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/HSLV/news_html/2026-03-06.html,,NONE,Highlander Silver to commence trading on NYSE American,,,2024-12-31,2025-03-14
stockwatch,HSLV,Highlander Silver Corp.,2026-03-03,EARLY_WARNING_REPORT,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6139818.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-14
stockwatch,HSLV,Highlander Silver Corp.,2026-02-26,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Highlander Silver and Bear Creek Mining Complete Business Combination,https://www.stockwatch.com/News/Item/Z-C!HSLV-3789836/C/HSLV,3789836,https://www.stockwatch.com/News/Sedardoc/6134077.pdf,,0,0,no,,"2026-02-26 16:00 ET - News Release
All
monetary
amounts
are
expressed
in
Canadian
dollars,
unless
otherwise
indicated.
TORONTO, Feb.  26, 2026  (GLOBE NEWSWIRE) -- Highlander Silver Corp. (TSX: HSLV) (“
Highlander Silver”)
and Bear Creek Mining Corporation (TSXV: BCM) (OTCQX: BCEKF) (BVL: BCM) (“
Bear Creek
”) are pleased to announce the successful completion of the previously announced plan of arrangement under Division 5 of Part 9 of the
Business Corporations Act
(British Columbia) (the “
Arrangement
”) and the concurrent closing of the debt settlement agreements (the “
Debt Settlement Agreements
”) between Highlander Silver and each of Royal Gold, Inc., through its wholly-owned subsidiary, International Royalty Corporation, (“
Royal Gold
”) and Equinox Gold Corp. (“
Equinox
”).
Pursuant to the Arrangement, Highlander Silver acquired all of the issued and outstanding common shares of Bear Creek (the “
Bear Creek Shares”)
in exchange for 0.1175 common shares in the capital of Highlander Silver (the “
Highlander Shares”)
for each Bear Creek Share held immediately prior to the effective time of the Arrangement (the “
Consideration
”).
In connection with the closing of the Debt Settlement Agreements, Highlander Silver paid cash consideration in the amounts of US$6.2 million to Royal Gold and US$1.6 million to Equinox. Concurrently with the closing of the Arrangement and the Debt Settlement Agreements, Highlander Silver repaid the advance and outstanding interest owed to Wheaton Precious Metals International Ltd. (“
Wheaton
”) pursuant to the support agreement dated November 22, 2022, as amended, between Bear Creek and Wheaton.
As a result of the completion of the Arrangement, the Bear Creek Shares are expected to be delisted from the TSX Venture Exchange on or about March 2, 2026 (the “
Delisting
”). Bear Creek has notified OTC Markets Group and the Bolsa Valores de Lima (“BVL”) of its intent to voluntarily withdraw its securities from the OTCQX trading platform and the BVL exchange. In connection with the Delisting, Bear Creek will also submit an application to the applicable securities regulators to cease to be a reporting issuer and to terminate its public reporting obligations in Canada. Further details regarding the Arrangement are set out in Bear Creek’s management information circular dated January 16, 2026, 2026, (the “
Circular
”) a copy of which is available under Bear Creek’s issuer profile on SEDAR+ at
www.sedarplus.ca
.
Bear Creek Shareholders are reminded to review the Circular in respect of the procedure for receiving the Consideration for their Bear Creek Shares. Registered shareholders (Bear Creek Shares held in physical form or a direct registration system (""DRS"") advice) must complete, sign and return the letter of transmittal, along with their share certificate(s) or DRS advice(s), to Endeavor Trust Corporation, the depositary for the Arrangement. Non-registered shareholders (Bear Creek Shares held with a broker, bank or other intermediary) should contact their intermediaries for instructions and assistance in receiving the Consideration for such Bear Creek Shares. The letter of transmittal is available at https://bearcreekmining.com/investors/shareholder-meetings/ or under Bear Creek’s profile on SEDAR+ (www.sedarplus.ca).
Early Warning Disclosure – Highlander
Pursuant to the requirements of National Instrument 62-104 –
Take-Over Bids and Issuer Bids
and National Instrument 62-103 –
The Early Warning System and Related Take-Over Bid and Insider Reporting Issues
, Highlander Silver will file an early warning report (the “
Early Warning Report
”) in accordance with applicable securities laws, a copy of which will be made available on Highlander Silver’s issuer profile on SEDAR+ at
www.sedarplus.ca
. Further information and a copy of the Early Warning Report may also be obtained by contacting Highlander Silver at the contact information below. The head office of Highlander Silver is located at 100 King Street West, Suite 2500, Toronto, Ontario M5X 1A9.
Immediately prior to closing of the Arrangement, Highlander Silver held 50,000,000 Bear Creek Shares, representing approximately 13.95% of the outstanding Bear Creek Shares immediately prior to closing of the Arrangement. Pursuant to the Arrangement, Highlander Silver acquired an aggregate of 308,302,938 Bear Creek Shares, thereby increasing its holdings of Bear Creek Shares to 100%. Upon completion of the Arrangement, Bear Creek became a wholly-owned subsidiary of Highlander Silver. In exchange for the Bear Creek Shares, Highlander Silver issued 0.1175 Highlander Shares to holders of Bear Creek Shares for each Bear Creek Share held, for aggregate consideration of 36,225,457 Highlander Shares.
Highlander Silver acquired the Bear Creek Shares pursuant to the Arrangement and intends for Bear Creek to cease to be a reporting issuer in all jurisdictions of Canada and remain a wholly-owned subsidiary of Highlander Silver.
Early Warning Disclosure – Royal Gold
Immediately prior to the completion of the Arrangement, Royal Gold beneficially owned, directly or indirectly, or exercised control or direction over 58,381,399 Bear Creek Shares, representing approximately 16.29% of the issued and outstanding Bear Creek Shares (on a non-diluted basis). As a result of completion of the Arrangement, Bear Creek became a wholly-owned subsidiary of Highlander, and pursuant thereto, Royal Gold exchanged its Bear Creek Shares for such number of Highlander Shares as is equal to approximately 3.37% of the issued and outstanding Highlander Shares (on a non-diluted basis).
Royal Gold will be filing an early warning report (the “
Royal Gold Early Warning Report
”) in accordance with applicable securities laws, a copy of which will be made available on the issuer profiles of both Royal Gold and Bear Creek, respectively, on SEDAR+ at
www.sedarplus.ca
. Further information and a copy of the Royal Gold Early Warning Report may also be obtained by contacting Highlander Silver at the contact information below. The head office of Highlander Silver is located at 100 King Street West, Suite 2500, Toronto, Ontario M5X 1A9.
About Highlander Silver
Highlander Silver is primarily focused on advancing the bonanza grade San Luis gold-silver project that is located adjacent to the past-producing Pierina mine in Central Peru. San Luis hosts Indicated Mineral Resources of 356 koz Au at 24.4 g/t Au and 8.4 Moz Ag at 579 g/t Ag and ranks among the 10 highest grade projects globally in both gold and silver categories.
1
Highlander Silver’s significant shareholders include the Augusta Group, which boasts an exceptional track record of value creation totaling over $4.5 billion in exit transactions, and strategic shareholders, the Lundin family and Eric Sprott.
Information contact
Highlander Silver
Arun Lamba, Vice President Corporate Development
Email: alamba@highlandersilver.com
Scientific and Technical Information
Scientific and technical information in the news release relating to the San Luis Project are taken from the technical report entitled, “Technical Report on the San Luis Property” dated January 15, 2025, prepared by independent “qualified person” (as defined in National Instrument 43-101 Standards of Disclosure for Mineral Projects), Martin Mount, MSc MCSM FGS CGeol FIMMM Ceng, and available on Highlander Silver’s SEDAR+ profile at www.sedarplus.ca.
_______________
1
S&P Global rankings including the San Luis gold-silver project.
Forward-looking statements
This news release contains “forward-looking information” within the meaning of applicable Canadian securities legislation. All statements, other than statements of historical fact, are forward-looking statements and are based on expectations, estimates and projections as at the date of this news release. Any statement that involves discussions with respect to predictions, expectations, beliefs, plans, projections, objectives, assumptions, future events or performance (often but not always using phrases such as “expects”, or “does not expect”, “is expected”, “anticipates” or “does not anticipate”, “plans”, “budget”, “scheduled”, “forecasts”, “estimates”, “believes” or “intends” or variations of such words and phrases or stating that certain actions, events or results “may” or “could”, “would”, “might” or “will” be taken to occur or be achieved) are not statements of historical fact and may be forward-looking statements.
In this news release, forward-looking statements relate to, among other things, statements regarding: the completion of the Delisting and the timing thereof; the submission of the cease to be a reporting issuer application by Bear Creek; the filing of the Early Warning Report and the Royal Gold Early Warning Report; the intention for Bear Creek to remain a wholly-owned subsidiary of Highlander Silver; and the exploration potential of the Mercedes mine. These forward-looking statements are no guarantees of future results and involve risks and uncertainties that may cause actual results to differ materially from the potential results discussed in the forward-looking statements.
In respect of the forward-looking statements, Highlander Silver and Bear Creek have relied on certain assumptions that they believe are reasonable at this time, including, but not limited to, assumptions concerning Highlander Silver, Bear Creek and the Arrangement, including the anticipated benefits therefrom. Events or circumstances may cause actual results to differ materially from those predicted as a result of numerous known and unknown risks, uncertainties, and other factors.
Risks and uncertainties that may cause such differences include but are not limited to: the possibility that the Bear Creek Shares will not be delisted from the TSX Venture Exchange, the OTCQX or the BVL exchange within the timing currently contemplated or at all; that Bear Creek’s application for an order to cease to be a reporting issuer (or equivalent) in each of the provinces and territories of Canada may not be accepted or may be delayed; and such other risk factors identified under the “Risk Factors” section in the Circular, a copy of which is available under Bear Creek’s issuer profile on SEDAR+ at www.sedarplus.ca. These factors are not intended to represent a complete list of the factors that could affect Highlander Silver and Bear Creek. However, such risk factors should be considered carefully. There can be no assurances that such estimates and assumptions will prove to be correct. Accordingly, readers should not place undue reliance on the forward-looking statements and information contained in this news release concerning these times. Each of Highlander Silver and Bear Creek is under no obligation (and expressly disclaims any such obligation) to update or alter any statements containing forward-looking information or the factors or assumptions underlying them, whether as a result of new information, future events or otherwise, except as required by applicable securities laws. All of the forward-looking information in this release is qualified by the cautionary statements herein.
Neither the TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this news release.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\HSLV\news_html\2026-02-26.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/HSLV/news_html/2026-02-26.html,,NONE,Business combination announcement between Highlander and Bear Creek,,,2024-12-31,2025-03-14
stockwatch,HSLV,Highlander Silver Corp.,2026-02-04,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6118529.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-14
stockwatch,HSLV,Highlander Silver Corp.,2026-02-03,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6117422.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\HSLV\pdfs\MaterialChange\2026-02-03_HSLV_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,136,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/HSLV/2026-02-03_HSLV_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Eric Sprott private placement investment,,,,,2024-12-31,2025-03-14
stockwatch,HSLV,Highlander Silver Corp.,2026-01-30,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Highlander Silver closes $40-million (U.S.) financing,https://www.stockwatch.com/News/Item/Z-C!HSLV-3780262/C/HSLV,3780262,https://www.stockwatch.com/News/Sedardoc/6115291.pdf,,0,0,no,,"2026-01-30 17:37 ET - News Release
Mr. Arun Lamba reports
HIGHLANDER SILVER CLOSES US$40 MILLION STRATEGIC INVESTMENT BY ERIC SPROTT
Highlander Silver Corp. has closed its previously announced non-brokered private placement with Eric Sprott. Pursuant to the private placement, the company issued an aggregate of 8,060,226 common shares in the capital of the company at a price of $6.80 (Canadian) per offered share for aggregate gross proceeds of $40-million (U.S.).
The company intends on using the net proceeds from the offering to finance the advancement of the company's mineral projects and for working capital and general corporate purposes.
About Highlander Silver Corp.
Highlander Silver is primarily focused on advancing the bonanza-grade San Luis gold-silver project that is located adjacent to the past-producing Pierina mine in central Peru. San Luis hosts indicated mineral resources of 356,000 ounces (oz) gold (Au) at 24.4 grams per tonne (g/t) Au and 8.4 million oz Ag at 579 g/t silver (Ag), and ranks among the 10 highest-grade projects globally in both gold and silver categories (1).  Highlander Silver's significant shareholders include the Augusta Group, which boasts an exceptional record of value creation totalling over $4.7-billion in exit transactions, and strategic shareholders, the Lundin family and Eric Sprott.
(1) S&P Global rankings including the San Luis gold-silver project.
Scientific and technical information
Scientific and technical information in the news release  relating to the San Luis project are taken from the technical report entitled, ""Technical Report on the San Luis Property,"" dated Jan. 15, 2025, prepared by independent qualified person (as defined in National Instrument 43-101, Standards of Disclosure for Mineral Projects) Martin Mount, MSc, MCSM, FGS, CGeol, FIMMM, Ceng, and available on Highlander Silver's SEDAR+ profile.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\HSLV\news_html\2026-01-30.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/HSLV/news_html/2026-01-30.html,,NONE,Closed financing for mineral project advancement,,,2024-12-31,2025-03-14
stockwatch,HSLV,Highlander Silver Corp.,2026-01-27,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Highlander to receive $40M(U.S.) investment from Sprott,https://www.stockwatch.com/News/Item/Z-C!HSLV-3778264/C/HSLV,3778264,https://www.stockwatch.com/News/Sedardoc/6109559.pdf,,0,0,no,,"2026-01-27 12:40 ET - News Release
Mr. Daniel Earle reports
HIGHLANDER SILVER ANNOUNCES US$40 MILLION STRATEGIC INVESTMENT BY ERIC SPROTT TO ACCELERATE GROWTH
Eric Sprott, an arm's-length strategic investor, has agreed to purchase an aggregate of 8,060,226 common shares in the capital of
 Highlander Silver Corp. at a price of $6.80 per offered share for aggregate gross proceeds of $40-million (U.S.) to the company on a non-brokered private placement basis.
Daniel Earle, president and chief executive officer of Highlander Silver, commented:
""The additional capital will allow us to accelerate growth plans within our portfolio, which includes the bonanza-grade San Luis gold-silver project, one of the highest M&I resource grade projects in either the gold or silver sectors, and one of the largest permitted primary silver deposits in the world in the Corani silver project after the closing of the previously announced combination with Bear Creek Mining (see press release dated Dec. 19, 2025). With this investment, we would expect to have $100-million (U.S.) in cash at closing.""
The company intends on using the net proceeds from the offering to finance the advancement of the company's mineral projects, and for working capital and general corporate purposes. The offering is expected to close on or around Jan. 30, 2026, and is subject to certain customary closing conditions including, but not limited to, the receipt of all necessary regulatory and other approvals, including the acceptance of the Toronto Stock Exchange. The offered shares to be issued pursuant to the offering will be subject to a statutory four-month hold period under applicable securities laws in Canada.
In connection with the offering, the company may pay a finder's fee to eligible arm's-length finders, as permitted by applicable securities laws and the rules of the exchange.
About Highlander Silver
 Corp.
Highlander Silver is primarily focused on advancing the bonanza-grade San Luis gold-silver project that is located adjacent to the past-producing Pierina mine in central Peru. San Luis hosts indicated mineral resources of 356,000 ounces gold at 24.4 g/t Au and 8.4 Moz (million ounces) Ag (silver) at 579 g/t Ag, and ranks among the 10 highest-grade projects globally in both gold and silver categories. Highlander Silver's significant shareholders include the Augusta Group, which boasts an exceptional record of value creation totalling over $4.5-billion in exit transactions, and strategic shareholders, the Lundin family and Mr. Sprott.
Scientific and technical information
Scientific and technical information in the news release  relating to the San Luis project are taken from the technical report entitled, ""Technical Report on the San Luis Property"" dated Jan. 15, 2025, prepared by independent qualified person (as defined in National Instrument 43-101 -- Standards of Disclosure for Mineral Projects), Martin Mount, MSc, MCSM, FGS, CGeol, FIMMM, Ceng, and available on Highlander Silver's SEDAR+ profile.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\HSLV\news_html\2026-01-27.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/HSLV/news_html/2026-01-27.html,,NONE,Strategic investment announcement for growth plans,,,2024-12-31,2025-03-14
stockwatch,HSLV,Highlander Silver Corp.,2026-01-14,OTHER_MATERIAL_CONTRACTS_SHMC_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6101783.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-14
