source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,ITH,International Tower Hill Mines Ltd.,2026-03-11,ANNUAL_REPORT_ON_FORM_10K_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6145414.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ITH\pdfs\AIF\2026-03-11_ITH_AIF.pdf,74,897,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ITH/2026-03-11_ITH_AIF.pdf,,,,,,,,,2025-12-31,2026-03-11
stockwatch,ITH,International Tower Hill Mines Ltd.,2026-03-13,NOTICE_OF_THE_MEETING_AND_RECORD_DATE_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6147040.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-11
stockwatch,ITH,International Tower Hill Mines Ltd.,2026-03-11,ON_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6145428.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-11
stockwatch,ITH,International Tower Hill Mines Ltd.,2026-03-11,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6145418.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-11
stockwatch,ITH,International Tower Hill Mines Ltd.,2026-03-11,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6145419.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-11
stockwatch,ITH,International Tower Hill Mines Ltd.,2026-03-11,AB_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6145427.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-11
stockwatch,ITH,International Tower Hill Mines Ltd.,2026-03-11,MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6145407.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ITH\pdfs\MD&A\2026-03-11_ITH_MD&A_MDA_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ITH/2026-03-11_ITH_MD&A_MDA_EN.pdf,,,,,,,,,2025-12-31,2026-03-11
stockwatch,ITH,International Tower Hill Mines Ltd.,2026-03-11,ANNUAL_REPORT_ON_FORM_10K_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6145414.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-11
stockwatch,ITH,International Tower Hill Mines Ltd.,2026-03-11,NEWS_RELEASE_EN,not applicable,NewsRelease,International Tower Hill Mines Files 2025 Year End Financial Results,https://www.stockwatch.com/News/Item/Z-C!ITH-3794800/C/ITH,3794800,https://www.stockwatch.com/News/Sedardoc/6145385.pdf,,0,0,no,,"2026-03-11 16:35 ET - News Release
International Tower Hill Mines Files 2025 Year End Financial Results
PR Newswire
VANCOUVER, BC, March 11, 2026
VANCOUVER, BC
,
March 11, 2026
/PRNewswire/ - International Tower Hill Mines Ltd. (the ""Company"") - (TSX: ITH) (NYSE American: THM) today announced that it has filed its audited Year-End Financial Statements and associated Management Discussion and Analysis on Form 10-K for the year ended December 31, 2025.
Shareholders can obtain copies of the Company's audited Year-End Financial Statements and associated Management Discussion and Analysis and Form 10-K on SEDAR+ at:
www.sedarplus.ca
, EDGAR at
www.sec.gov
and on the Company's website at:
www.ithmines.com
. The Company will also provide hard copies of these documents, free of charge, to shareholders who request a copy directly from the Company.
About International Tower Hill Mines Ltd.
International Tower Hill Mines Ltd. has a 100% interest in its Livengood Gold Project located along the paved Elliott Highway, 70 miles north of Fairbanks, Alaska.
On behalf of
International Tower Hill Mines Ltd.
(signed) Karl L. Hanneman
Chief Executive Officer
This news release is not, and is not to be construed in any way as, an offer to buy or sell securities in the United States.
View original content:
https://www.prnewswire.com/news-releases/international-tower-hill-mines-files-2025-year-end-financial-results-302710560.html
SOURCE International Tower Hill Mines Ltd.
Contact:
Contact Information: Richard Solie, Jr., Manager - Investor Relations, E-mail: rsolie@ithmines.com, Direct line: 907-328-2825, Toll-Free: 1-855-428-2825
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ITH\news_html\2026-03-11.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ITH/news_html/2026-03-11.html,,NONE,2025 Year End Financial Results,,,2025-12-31,2026-03-11
stockwatch,ITH,International Tower Hill Mines Ltd.,2026-03-11,AUDITED_ANNUAL_FINANCIAL_STATEMENTS_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6145389.pdf,,0,0,no,,,,,,,,,,2025-12-31,2026-03-11
