source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,LA,Los Andes Copper Ltd.,2025-01-28,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5826829.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LA\pdfs\AIF\2025-01-28_LA_AIF.pdf,50,1344,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LA/2025-01-28_LA_AIF.pdf,,,,,,,,,2024-09-30,2025-01-28
stockwatch,LA,Los Andes Copper Ltd.,2026-03-02,NEWS_RELEASE_EN,not applicable,NewsRelease,Los Andes Copper Announces Election to Issue Common Shares in Satisfaction of US$14 Million Convertible Debenture Interest Payment Obligations,https://www.stockwatch.com/News/Item/Z-C!LA-3791783/C/LA,3791783,https://www.stockwatch.com/News/Sedardoc/6138765.pdf,,0,0,no,,"2026-03-02 19:01 ET - News Release
Vancouver, British Columbia--(Newsfile Corp. - March 2, 2026) - Los Andes Copper Ltd. (TSXV: LA) (OTCQX: LSANF) (""Los Andes"" or the ""Company"") announces that in accordance with the terms of the US$5,000,000, US$4,000,000 and US$5,000,000 eight per cent convertible debentures issued to Queen's Road Capital Investment Ltd. (""Queen's Road Capital"") on June 2, 2021, April 4, 2022 and September 2, 2022 (the ""Convertible Debentures""), the Company has elected to issue 8,493 common shares in the capital of the Company (""Common Shares"") at a deemed price of US$12.36 (C$16.82) to Queen's Road Capital as payment for US$104,973 (C$142,852) in interest owing on the Convertible Debentures.
Under the terms of the Convertible Debentures, interest is payable quarterly, five per cent in cash and three per cent in shares, at the greater of: (i) the 20-day volume weighted average price prior to the interest payment date; or (ii) the Discounted Market Price (as such term is defined in the policies of the TSX Venture Exchange (the ""TSX-V"")).
The issuance of the Common Shares as payment for interest owing on the Convertible Debentures is subject to the terms and conditions of the Convertible Debentures as well as the receipt of all requisite approvals, including, without limitation, the approval of the TSX-V.
About Queen's Road Capital Investment Ltd.
Queen's Road Capital Investment Ltd. is a leading financier to the global resource sector. The company is a resource focused investment company, making investments in privately held and publicly traded resource companies.
It is intended that the company will acquire and hold securities for both long-term capital appreciation and short-term gains, with a focus on convertible debt securities and resource projects in advanced development or production located in safe jurisdictions.
Queen's Road Capital Investment Ltd. is listed on the TSX under the ticker: QRC.
About Los Andes Copper Ltd.
Los Andes Copper Ltd. is an exploration and development company with an 100% interest in the Vizcachitas Project in Chile. The Company is focused on progressing the Project, which is located along Chile's most prolific copper belt, into production. Vizcachitas is one of the largest copper deposits in the Americas not controlled by the majors and the Company believes it will be Chile's next major copper mine.
The Project is a copper-molybdenum porphyry deposit, located 150 kilometers north of Santiago, in an area of very good infrastructure. An independent technical report for the PFS, prepared in accordance with NI 43-101, is available on the Company's SEDAR profile.
Los Andes Copper Ltd. is listed on the TSX-V under the ticker: LA.
Qualified Persons
Antony Amberg CGeol FGS, the Company's Chief Geologist, is the qualified person who has reviewed and approved the scientific and technical information contained in this news release.
For more information please contact:
Antony Amberg, Interim CEO
Antony.Amberg@losandescopper.com
Tel: +56 2 2954-0450
Elizabeth Johnson, Investor Relations
Elizabeth.johnson@losandescopper.com
E-Mail:
info@losandescopper.com
or visit our website at:
www
.
losandescopper
.
com
Follow us on twitter
@LosAndesCopper
Follow us on LinkedIn
Los Andes Copper Ltd
Certain of the information and statements contained herein that are not historical facts, constitute ""forward-looking information"" within the meaning of the Securities Act (British Columbia), Securities Act (Ontario) and the Securities Act (Alberta) (""Forward-Looking Information"").  Forward-Looking Information is often, but not always, identified by the use of words such as ""seek"", ""anticipate"", ""believe"", ""plan"", ""estimate"", ""expect"" and ""intend""; statements that an event or result is ""due"" on or ""may"", ""will"", ""should"", ""could"", or might"" occur or be achieved; and, other similar expressions.  More specifically, Forward-Looking Information involves known and unknown risks, uncertainties and other factors which may cause the actual results, performance or achievements of the Company, or industry results, to be materially different from any future results, performance or achievements expressed or implied by such Forward-Looking Information. Such Forward-Looking Information includes, without limitation, the timing of and ability to obtain TSX-V and other regulatory approvals and the prospects, details related to and timing of the Vizcachitas Project. Such Forward-Looking Information is based upon the Company's assumptions regarding global and Chilean economic, political and market conditions and the price of metals and energy and the Company's production.  Among the factors that have a direct bearing on the Company's future results of operations and financial conditions are changes in project parameters as plans continue to be refined, a change in government policies, competition, currency fluctuations and restrictions and technological changes, among other things.  Should one or more of any of the aforementioned risks and uncertainties materialize, or should underlying assumptions prove incorrect, actual results may vary materially from any conclusions, forecasts or projections described in the Forward-Looking Information.  Accordingly, readers are advised not to place undue reliance on Forward-Looking Information.  Except as required under applicable securities legislation, the Company undertakes no obligation to publicly update or revise Forward-Looking Information, whether as a result of new information, future events or otherwise.
Neither TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this release.
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/286046
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LA\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LA/news_html/2026-03-02.html,,NONE,Convertible debenture interest payment announcement,,,2024-09-30,2025-01-28
stockwatch,LA,Los Andes Copper Ltd.,2026-03-02,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6138215.pdf,,0,0,no,,,,,,,,,,2024-09-30,2025-01-28
stockwatch,LA,Los Andes Copper Ltd.,2026-03-02,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6138222.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LA\pdfs\MD&A\2026-03-02_LA_MD&A_INTERIM_MDA_EN.pdf,26,800,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LA/2026-03-02_LA_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-09-30,2025-01-28
stockwatch,LA,Los Andes Copper Ltd.,2026-03-02,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6138230.pdf,,0,0,no,,,,,,,,,,2024-09-30,2025-01-28
stockwatch,LA,Los Andes Copper Ltd.,2026-03-02,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6138231.pdf,,0,0,no,,,,,,,,,,2024-09-30,2025-01-28
stockwatch,LA,Los Andes Copper Ltd.,2026-01-28,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6112204.pdf,,0,0,no,,,,,,,,,,2024-09-30,2025-01-28
stockwatch,LA,Los Andes Copper Ltd.,2026-01-28,AB_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6112208.pdf,,0,0,no,,,,,,,,,,2024-09-30,2025-01-28
stockwatch,LA,Los Andes Copper Ltd.,2026-01-28,ON_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6112209.pdf,,0,0,no,,,,,,,,,,2024-09-30,2025-01-28
stockwatch,LA,Los Andes Copper Ltd.,2026-01-28,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6112203.pdf,,0,0,no,,,,,,,,,,2024-09-30,2025-01-28
stockwatch,LA,Los Andes Copper Ltd.,2026-01-28,AUDITED_ANNUAL_FINANCIAL_STATEMENTS_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6112192.pdf,,0,0,no,,,,,,,,,,2024-09-30,2025-01-28
stockwatch,LA,Los Andes Copper Ltd.,2026-01-28,MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6112200.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LA\pdfs\MD&A\2026-01-28_LA_MD&A_MDA_EN.pdf,26,730,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LA/2026-01-28_LA_MD&A_MDA_EN.pdf,,,,,,,,,2024-09-30,2025-01-28
