source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,LAM,Laramide Resources Ltd.,2025-03-30,REVISED_ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5964703.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LAM\pdfs\AIF\2025-03-30_LAM_AIF.pdf,79,2252,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LAM/2025-03-30_LAM_AIF.pdf,,,,,,,,,2024-12-31,2025-03-30
stockwatch,LAM,Laramide Resources Ltd.,2026-02-26,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Laramide hires Lycopodium for Westmoreland PEA,https://www.stockwatch.com/News/Item/Z-C!LAM-3790036/C/LAM,3790036,https://www.stockwatch.com/News/Sedardoc/6133291.pdf,,0,0,no,,"2026-02-26 18:04 ET - News Release
Mr. Marc Henderson reports
LARAMIDE TO UPDATE WESTMORELAND ECONOMIC STUDY
Laramide Resources Ltd. has engaged Lycopodium Ltd.  to update the preliminary economic assessment (PEA) for its Westmoreland uranium project in Queensland, Australia.
Highlights:
Lycopodium engaged to update Westmoreland PEA;
Westmoreland economic study update to be completed in first half of 2026;
This study to reflect materially higher long-term uranium pricing and expanded resource base.
Lycopodium, a Brisbane-based engineering firm, wrote the company's 2016 PEA for Westmoreland. That study, which demonstrated robust project economics at a uranium price of $65 (U.S.) per pound U3O8 (triuranium octoxide), is now considered outdated pursuant to securities exchange guidance. The updated economic study is targeted for completion in the first half of 2026.
Since 2016, uranium market fundamentals have strengthened materially, with long-term consensus pricing well above levels used in the prior study. Over the same period, Laramide has meaningfully expanded the Westmoreland mineral resource, which now comprises 48.1 million pounds U3O8 in the indicated category at an average grade of 770 parts per million and 17.7 million pounds U3O8 in the inferred category at an average grade of 680 parts per million. The company has also secured a mining development licence (MDL), representing a significantly advanced stage of tenure and project title within Queensland.
The updated PEA will reflect current uranium pricing assumptions, revised capital and operating cost inputs, and the expanded resource base. The study is expected to evaluate potential production rates of approximately four million to five million pounds U3O8 per annum.
Advancement of Westmoreland toward development will ultimately depend on policy clarity in Queensland. The company remains prepared to move expeditiously and responsibly when regulatory conditions align.
Marc Henderson, president and chief executive officer, commented: ""Westmoreland's economics were robust at $65 (U.S.) per pound in 2016, when uranium was in a prolonged bear market. Today's uranium market presents a fundamentally different pricing environment as nuclear energy growth prospects re-emerge globally. Updating the study allows us to reframe the project's economic profile based on current market conditions and a materially expanded resource base.
""It is also worth noting that the broader district, including our very large adjoining tenement position in the Northern Territory, remains underexplored. Our 2026 exploration program -- to be carried out in the latter half of the year -- will be designed to focus on this district potential in order to showcase that Westmoreland remains one of a few large-scale, late-stage, low-technical-risk uranium development projects available to fill a growing future supply gap.""
Rhys Davies, vice-president, exploration, added: ""The resource growth potential around Westmoreland is significant. Beyond the known deposits, multiple satellite prospects exhibit geological characteristics consistent with Westmoreland-style mineralization. The addition of hyperspectral data has materially expanded our target pipeline. We believe the district remains materially underexplored.""
This news release has been reviewed and approved on behalf of the Laramide board by the chief executive officer of the company.
About Laramide Resources Ltd.
Laramide is focused on exploring and developing high-quality uranium assets in Tier 1 uranium jurisdictions. The company's portfolio comprises predominantly advanced uranium projects in districts with historical production or superior geological prospectivity. The assets have been carefully chosen for their size and production potential, and the two large development projects are considered to be late-stage, low-technical-risk projects.
Qualified/competent person
The information in this announcement relating to exploration results is based on information compiled or reviewed by Rhys Davies, a contractor to the company. Mr. Davies is a member of the Australasian Institute of Geoscientists and has sufficient experience which is relevant to the style of mineralization and type of deposit under consideration and to the activity which he is undertaking to qualify as a competent person as defined in the JORC 2012 edition of the Australasian Code for Reporting of Exploration Results, Mineral Resources and Ore Reserves  and is a qualified person as defined by National Instrument 43-101, Standards of Disclosure for Mineral Projects. Mr. Davies consents to the inclusion in this announcement of the matters based on his information in the form and context in which it appears.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LAM\news_html\2026-02-26.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LAM/news_html/2026-02-26.html,,CHANGED,"Updated resource at Westmoreland: 48.1M lbs U3O8 indicated, 17.7M lbs U3O8 inferred",Westmoreland,,2024-12-31,2025-03-30
stockwatch,LAM,Laramide Resources Ltd.,2026-01-20,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Laramide cancels option to acquire Chu-Sarysu,https://www.stockwatch.com/News/Item/Z-C!LAM-3775980/C/LAM,3775980,https://www.stockwatch.com/News/Sedardoc/6104581.pdf,,0,0,no,,"2026-01-20 17:34 ET - News Release
Mr. Marc Henderson reports
LARAMIDE TO ABANDON KAZAKHSTAN GREENFIELD URANIUM EFFORT DUE TO NEWLY ENACTED GOVERNMENT POLICY CHANGES
Laramide Resources Ltd. has elected to terminate its option agreement for the Chu-Sarysu basin uranium project.
The option agreement, signed in September, 2024, with Aral Resources, provided Laramide with optionality on 22 subsoil use licences in one of the globe's foremost greenfield exploration opportunities for uranium discovery. The Chu-Sarysu basin hosts promising, relatively underexplored geology for discovering large, low-cost roll front uranium deposits amenable to in situ recovery but also has widely acknowledged potential for the discovery of sediment-hosted copper deposits, as well as other critical minerals.
During 2025, Laramide financed and conducted historical data review, ground reconnaissance and ground geophysics, identifying potential uranium mineralization drill targets. Laramide submitted the required exploration work plans to the Ministry of Industry and Construction and sought the required remaining permits needed to proceed with drilling activities. Delays in receiving the necessary drilling permits mean that no drilling was able to be conducted in fourth quarter 2025 as planned.  The final permits necessary to proceed with the initial 15,000-metre, multirig program were received on Dec. 24, 2025.
On Dec. 26, 2025, the President of Kazakhstan signed into law legislative changes to the Subsoil Use Code, which had been previously approved by the Senate in November, 2025, and provided for, amongst other changes, a materially increased level of minimum ownership of any newly discovered uranium resources by the national company Kazatomprom.
As a result of these sweeping changes to prospective subsoil use agreements, which also followed an approximate doubling of cash holding costs for annual property taxes earlier in 2025, Laramide believes an economic case for foreign direct investment in uranium exploration no longer exists in Kazakhstan.
Accordingly, Laramide has terminated the option agreement with immediate effect and has ceased financing any further exploration activities.
The company remains fully focused on developing its two large development-stage uranium assets, Churchrock-Crownpoint in New Mexico, United States, and Westmoreland in Queensland, Australia.
Marc Henderson, Laramide's president and chief executive officer, commented as follows:
""Motivated by an effort to address, and ideally reverse, the obvious and severe decline in the resource base of Kazatomprom, their national uranium company, it appears Kazakhstan may have scored a spectacular own goal with their recent de facto nationalization of future uranium exploration in country.  Political risk, country risk and in the worst case nationalisation risk are all known unknowns in the resource business, but generally don't impact new entrant players (such as Laramide) until obvious value gets created.
""However, in what may be a world's first, Kazakhstan appears to have moved pre-emptively to ensure national ownership and control of any new uranium discoveries before they are actually even made. If Kazatomprom had a unique and singular track record of exploration success, perhaps this new strategy might make sense, but their own history suggests otherwise and  was confirmed by their November, 2025, investor presentation.
""If Kazatomprom were a bit player in the U business and not the largest current uranium producer globally --  not to mention one of the most systemically important companies in the nuclear power business generally --  their November, 2025, exercise in radical transparency might be seen as an insignificant  misstep in corporate communications and not what it should be viewed as, which is a gigantic wake-up call for the nuclear utility industry.
""At Laramide, we are disappointed at developments in Kazakhstan because our shareholders will now not get the benefit of what we think would have been a potentially high-impact exploration opportunity in a very promising geological province. Of course, the counterbalancing factor to this from an industry standpoint is that this opportunity is now essentially closed for every other commercially oriented company as well.
""Kazatomprom faces a huge resource renewal challenge but so does the entire industry, which is really the read-through from this unfortunate geopolitical development. Greenfield exploration in the uranium sector appears to be woefully underinvested in our view and is also focused in far too few places. As a result, U prices may need to go higher -- perhaps much higher in our view -- to incentivize and catalyze the reserve replacement activity that is clearly required to resolve the large and growing supply deficit.
""We plan to do our part to meet this supply-side challenge.""
About Laramide Resources Ltd.
Laramide is focused on exploring and developing high-quality uranium assets in Tier 1 uranium jurisdictions. The company's portfolio comprises predominantly advanced uranium projects in districts with historical production or superior geological prospectivity. The assets have been carefully chosen for their size and production potential, and the two large development projects are considered to be late-stage, low-technical risk projects.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LAM\news_html\2026-01-20.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LAM/news_html/2026-01-20.html,,NONE,Termination of option for Chu-Sarysu project,,,2024-12-31,2025-03-30
stockwatch,LAM,Laramide Resources Ltd.,2025-11-11,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6053382.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-30
stockwatch,LAM,Laramide Resources Ltd.,2025-11-11,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6053383.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-30
stockwatch,LAM,Laramide Resources Ltd.,2025-11-11,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6053375.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-30
stockwatch,LAM,Laramide Resources Ltd.,2025-11-11,INTERIM_MDA_EN,metals and minerals - mining,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6053381.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LAM\pdfs\MD&A\2025-11-11_LAM_MD&A_INTERIM_MDA_EN.pdf,27,1631,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LAM/2025-11-11_LAM_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-12-31,2025-03-30
stockwatch,LAM,Laramide Resources Ltd.,2025-09-25,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Laramide Resources shareholders approve AGM resolutions,https://www.stockwatch.com/News/Item/Z-C!LAM-3735188/C/LAM,3735188,https://www.stockwatch.com/News/Sedardoc/6022060.pdf,,0,0,no,,"2025-09-25 21:14 ET - News Release
Mr. Marc Henderson reports
LARAMIDE RESOURCES ANNOUNCES RESULTS OF ANNUAL MEETING OF SHAREHOLDERS
Laramide Resources Ltd. has released the results of its annual and special meeting of shareholders, held on Thursday, Sept. 25, 2025, in Toronto.
A total of 103,243,928 common shares of the company were represented, and all matters presented for approval at the meeting have been duly authorized and approved. Shareholders voted in favour of all matters brought before the meeting, as follows:
Election of all management nominees to the board of directors of the company;
Appointment of RSM Canada LLP as the auditor of the company for the ensuing year and authorization of the directors to fix its remuneration;
Continuation of the shareholder rights plan of the company.
The five nominees proposed by management were elected by shareholders, with the detailed results for the election of directors of the management proxy votes received, including those at the meeting, as shown in the attached table.
The formal report on voting results with respect to all matters voted upon at the meeting is filed on SEDAR+.
About Laramide Resources Ltd.
Laramide is focused on exploring and developing high-quality uranium assets in Tier 1 uranium jurisdictions. The company's portfolio comprises predominantly advanced uranium projects in districts with historical production or superior geological prospectivity. The assets have been carefully chosen for their size and production potential, and the two large development projects are considered to be late-stage, low-technical risk projects.  As well, Laramide has expanded its pipeline with strategic exploration in Kazakhstan, where the company is exploring over 5,500 square kilometres of the prolific Chu-Sarysu basin for world-class roll-front deposits that are amenable to in situ recovery.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LAM\news_html\2025-09-25.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LAM/news_html/2025-09-25.html,,NONE,Results of annual meeting of shareholders,,,2024-12-31,2025-03-30
stockwatch,LAM,Laramide Resources Ltd.,2025-09-15,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,"Laramide plans to drill 15,000 m at Chu-Sarysu",https://www.stockwatch.com/News/Item/Z-C!LAM-3731559/C/LAM,3731559,https://www.stockwatch.com/News/Sedardoc/6015004.pdf,,0,0,no,,"2025-09-15 18:01 ET - News Release
Mr. Marc Henderson reports
LARAMIDE RESOURCES PREPARES FOR EXPLORATION DRILLING IN KAZAKHSTAN'S CHU-SARYSU BASIN
Laramide Resources Ltd. has plans to conduct approximately 15,000 metres of drilling across multiple targets within its Chu-Sarysu project in Kazakhstan.
Over the past 12 months, Laramide has compiled a large data set from Kazakhstan's state National Geological Services with assistance from local geological contractors. The plethora of historical data comprises historical mapping, drilling, geophysics (including seismic, electromagnetic, magnetic and gravity) and geochemistry. Review and assessment of these data have confirmed Laramide's view that the project represents a target-rich environment, which is prospective for uranium, copper and rare earth elements.
During 2025, Laramide submitted the required exploration work plans to the Ministry of Industry and Construction, and is finalizing the required remaining permits needed to proceed with drilling activities.
Laramide has selected two local drilling contractors to conduct drilling, utilizing multiple rigs to achieve a minimum of 15,000 m of drilling through a combination of rotary mud and diamond core drilling. Target depths range from 50 metres at shallowest to between 400 and 550 m at deepest.
This phase 1 round of drilling will commence in fourth quarter with the aim to provide proof of concept that roll-front-hosted uranium mineralization is extensive within the basin and not constrained to the existing known large-scale operations, and also to test for other metals including copper and rare earths.
For reference, the Chu-Sarysu project is located in the Suzak district of the South Kazakhstani oblast, Republic of Kazakhstan. In 2024, Kazakhstan accounted for almost 40 per cent of global triuranium octoxide production. Among the country's five main uranium-producing basins, the Chu-Sarysu and Syr Darya basins located in the south of the country contribute more than 75 per cent of national output. These basins host major deposits and operational in situ recovery mines including Inkai (Cameco joint venture) and Moinkum-Tortkuduk (Katco JV).
Additionally, the Chu-Sarysu basin is notable for its significant copper potential, exemplified by the massive Dzhezkazgan sediment-hosted copper deposit located in the northern region. This potential is further reinforced by the continuing exploration efforts across large tenement packages in the basin by major companies such as Rio Tinto, Fortescue, First Quantum and Ivanhoe.
Marc Henderson, Laramide's president and chief executive officer, commented:
""The Chu-Sarysu basin project represents one of the great greenfield exploration opportunities globally.
""We have found the Kazakhstan's government to be supportive of mineral exploration with policies that encourage foreign investment and streamline permitting. This creates a favourable environment for advancing new discoveries that can ultimately contribute to the growing global demand for nuclear fuel.
""This inaugural exploration program for Laramide in Kazakhstan is targeting high-grade, large-scale uranium deposits, amenable to cost-efficient and environmentally responsible in situ recovery mining and within a district that already hosts infrastructure and producing operations, which provides clear cost advantages.
""While uranium remains our primary focus, the project's copper and rare earths prospectivity adds an interesting dimension, offering additional upside potential and the possibility of attracting interest in future joint venture partnerships.
""With drilling set to begin in Q4, we are looking forward to delivering results that will demonstrate the significant potential of this world-class basin.""
Option agreement
The Chu-Sarysu project is part of a three-year option agreement, with an option to extend for an additional year, to acquire shares of Aral Resources Ltd., a Kazakhstani company registered with the Astana International Financial Center. Aral owns 22 mineral licences covering nearly 5,500 square kilometres of the Chu-Sarysu sedimentary basin of Kazakhstan.
Under the terms of the option agreement, Laramide has the right to acquire all outstanding shares of Aral at any time during the option period, thereby obtaining full ownership of the Chu-Sarysu project.
Throughout the option period, Laramide is serving as the exclusive operator, assuming responsibility for all operational and exploration expenses.  Each licence has an initial term of up to six years, with the option for a one-time renewal for an additional five years.
Qualified/competent person
The information in this announcement relating to exploration results is based on information compiled or reviewed by Rhys Davies, a contractor to the company. Mr. Davies is a member of the Australasian Institute of Geoscientists and has sufficient experience which is relevant to the style of mineralization and type of deposit under consideration and to the activity which he is undertaking to qualify as a competent person as defined in the Joint Ore Reserves Committee 2012 edition of the Australasian Code for Reporting of Exploration Results, Mineral Resources and Ore Reserves, and is a qualified person as defined by National Instrument 43-101 (Standards of Disclosure for Mineral Projects). Mr. Davies consents to the inclusion in this announcement of the matters based on his information in the form and context in which it appears.
About Laramide Resources Ltd.
Laramide is focused on exploring and developing high-quality uranium assets in Tier 1 uranium jurisdictions. The company's portfolio comprises predominantly advanced uranium projects in districts with historical production or superior geological prospectivity. The assets have been carefully chosen for their size and production potential, and the two large development projects are considered to be late-stage, low-technical-risk projects.  As well, Laramide has expanded its pipeline with strategic exploration in Kazakhstan, where the company is exploring over 5,500 square kilometres of the prolific Chu-Sarysu basin for world-class roll-front deposits, which are amenable to in situ recovery.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LAM\news_html\2025-09-15.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LAM/news_html/2025-09-15.html,,NONE,Exploration drilling plans for Chu-Sarysu project,,,2024-12-31,2025-03-30
stockwatch,LAM,Laramide Resources Ltd.,2025-08-29,NOTICE_OF_MEETING_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6007083.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-30
