source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,LBNK,LithiumBank Resources Corp.,2026-03-11,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6145886.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LBNK,LithiumBank Resources Corp.,2026-03-10,NEWS_RELEASE_EN,not applicable,NewsRelease,LithiumBank completes well licence transfer of 1-12,https://www.stockwatch.com/News/Item/Z-C!LBNK-3794536/C/LBNK,3794536,https://www.stockwatch.com/News/Sedardoc/6144004.pdf,,0,0,no,,"2026-03-10 20:01 ET - News Release
Mr. Rob Shewchuk reports
LITHIUMBANK RECEIVES LICENSE AND 100% OWNERSHIP OF SECOND WELL AT BOARDWALK LITHIUM PROJECT
Further to the news release dated Nov. 20, 2025, LithiumBank Resources Corp. has completed the well licence transfer of the suspended, past-producing well 104/01-12-069-22W5/00 (1-12) and has 100-per-cent ownership. The 1-12 well is located in close proximity to the company's 10-6 well (acquisition announced May 16, 2024) at the 100-per-cent-owned Boardwalk project, located in northwestern Alberta, Canada. The company anticipates re-entering and drilling the 1-12 well deeper through the entire Leduc formation.
The 1-12 well acquisition, and data received from the coming drill and completion program, will support the work that goes into the development agreement the company signed with a leading energy service and technology supplier (news release dated Dec. 22, 2025). The DA envisions the company and LESTS collaborating in developing the Boardwalk asset using licensed modular direct lithium extraction technology, and includes commissioning a feasibility study, front-end engineering design, engineering procurement and construction activities.
Acquiring the 1-12 well and subsequent re-entry are important steps toward unlocking $3.9-million in funding from the Province of Alberta through the Emissions Reduction Act. In partnership with the province and LESTS, LithiumBank is focused on commencing near-term production from Boardwalk by employing the LESTS's well-to-product lithium brine processing solutions, which include direct lithium extraction modules. The DA with LESTS was signed Dec. 22, 2025, which includes binding DLE licensing terms and targets project execution for 2027. This modular approach allows Boardwalk to scale up at 5,000 tonnes per annum of lithium carbonate increments thus derisking the project by reducing upfront capital while also utilizing existing oil and gas infrastructure.
The company believes this well, following exploration work, can likely support near-term lithium brine production as it is in an area that has abundant historic production data and surface/subsurface infrastructure (wells, well pads, pipelines, roads, water and power).
As previously announced (July 17, 2025), to qualify for reimbursement of expenses from the ERA, LithiumBank must complete the following milestones:
Complete an additional exploration drill hole through the Leduc formation reservoir at Boardwalk to support an advanced reservoir model and geological model and collect additional brine; this exploration test well is situated so it can be converted into a brine production well in the future;
Conduct long-cycle DLE testing and optimization, focusing on concentration and impurity removal testing, and conversion to lithium carbonate; and
Complete a feasibility study at Boardwalk that assesses a low-capital-expenditure modular approach to lithium production.
The company anticipates that this well acquisition will initiate the first milestone, allowing the company to test the reservoir productivity, collect additional brine for DLE testwork and optimize plant assumptions (milestone 2). Results from milestones 1 and 2 are expected to support a National Instrument 43-101 feasibility study to be completed by the end of 2026, the third milestone. The ERA program will refund the company 50 per cent of eligible expenditures for each of the three milestones as they are completed, up to a total of $3.9-million.
Over the past five years, the company has consolidated all the strategic brine-hosted mineral licences at Boardwalk and Park Place covering the Leduc formation. The NI 43-101 resource estimates at Boardwalk and Park Place are both reported as the highest-grade resource estimates in Alberta and together make LithiumBank the largest known holder of lithium brine resources in North America. The two projects are completely unrestricted by overlapping pore space for carbon sequestration applications/permits, allowing for a clearer path toward permitting of the first production of lithium from brines in Alberta.
Qualified person
The information that forms the basis for the scientific and technical information disclosed in this news release was prepared and approved by Kevin Piepgrass, PGeo, who is a qualified person for the purposes of National Instrument 43-101. Mr. Piepgrass consents and approves of the inclusion of the data in the form and context in which they appears.
About LithiumBank Resources Corp.
LithiumBank is a publicly traded lithium company that is focused on developing its two flagship projects, Boardwalk and Park Place, in Western Canada. These projects host some of the largest lithium brine resources in North America. The company holds 1,240,140 acres of brownfield brine-hosted mineral licences across three districts in Alberta and Saskatchewan. The company has pilot tested multiple mature direct lithium extraction technologies and has signed a development agreement for the Boardwalk project. This agreement includes binding DLE licensing terms with a leading energy service and technology supplier to provide a cost-effective and commercially viable end-to-end solution. The company is working toward establishing commercial lithium production using a modular scale-up approach.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LBNK\news_html\2026-03-10.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LBNK/news_html/2026-03-10.html,,NONE,Well licence transfer at Boardwalk project,,,2024-01-31,2024-04-02
stockwatch,LBNK,LithiumBank Resources Corp.,2026-03-04,NEWS_RELEASE_EN,not applicable,NewsRelease,LithiumBank closes $2.25-million private placement,https://www.stockwatch.com/News/Item/Z-C!LBNK-3792616/C/LBNK,3792616,https://www.stockwatch.com/News/Sedardoc/6139987.pdf,,0,0,no,,"2026-03-04 16:22 ET - News Release
Mr. Rob Shewchuk reports
LITHIUMBANK CLOSES $2.25 MILLION PRIVATE PLACEMENT
LithiumBank Resources Corp. has closed a non-brokered private placement for gross proceeds of $2,250,462 through the issuance of 3,750,770 common shares of the company at an issue price of 60 cents per share.
The company intends to use the net proceeds of the private placement primarily for working capital and for general corporate purposes.
The shares issued pursuant to the private placement are subject to a four-month hold period from the closing date of the private placement under applicable Canadian securities laws, in addition to such other restrictions as may apply under applicable securities laws of jurisdictions outside Canada.
Multilateral Instrument 61-101
In connection with the private placement, Christopher Murray, a director of the company, participated in the private placement by purchasing 140,000 shares for $84,000 (representing approximately 3.7 per cent of the proceeds from the private placement), bringing his aggregate shareholdings in the company to 2,652,000 (representing approximately 3.9 per cent of the issued and outstanding shares postclosing). The insider subscription constituted a related party transaction within the meaning of Multilateral Instrument 61-101 -- Protection of Minority Security Holders in Special Transactions. Notwithstanding the foregoing, the directors of the company have determined that the interested party's participation in the private placement will be exempt from the formal valuation and minority shareholder approval requirements of MI 61-101 in reliance on the exemptions set forth in sections 5.5(a) and 5.7(1)(a) of MI 61-101. A material change report was not filed more than 21 days prior to closing of the private placement because the details of the private placement and the insider subscription therein had not been confirmed at that time.
About LithiumBank Resources Corp.
LithiumBank Resources is a publicly traded lithium company that is focused on developing its two flagship projects, Boardwalk and Park Place, in Western Canada. These projects host some of the largest lithium brine resources in North America. The company holds 1,240,140 acres of brownfield brine hosted mineral licenses across three districts in Alberta and Saskatchewan. The company has pilot tested multiple mature direct lithium extraction (DLE) technologies and has signed a development agreement for the Boardwalk project. This agreement includes binding DLE licensing terms with a leading energy services and technology supplier to provide a cost-effective and commercially viable end-to-end solution. The company is now working toward establishing commercial lithium production using a modular scale-up approach.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LBNK\news_html\2026-03-04.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LBNK/news_html/2026-03-04.html,,NONE,Closed $2.25 million private placement,,,2024-01-31,2024-04-02
stockwatch,LBNK,LithiumBank Resources Corp.,2026-02-26,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134748.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LBNK,LithiumBank Resources Corp.,2026-02-26,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6134749.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LBNK\pdfs\MD&A\2026-02-26_LBNK_MD&A_INTERIM_MDA_EN.pdf,31,934,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LBNK/2026-02-26_LBNK_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LBNK,LithiumBank Resources Corp.,2026-02-26,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134750.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LBNK,LithiumBank Resources Corp.,2026-02-26,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134751.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LBNK,LithiumBank Resources Corp.,2026-01-16,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6103491.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LBNK,LithiumBank Resources Corp.,2026-01-16,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6103492.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LBNK,LithiumBank Resources Corp.,2026-01-16,AB_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6103493.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
