source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,LI,American Lithium Corp.,2026-02-03,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6117315.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LI\pdfs\MaterialChange\2026-02-03_LI_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,135,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LI/2026-02-03_LI_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,CEO appointment and stock options cancellation,,,,,2024-01-31,2024-04-02
stockwatch,LI,American Lithium Corp.,2026-02-03,NEWS_RELEASE_EN,not applicable,NewsRelease,American Lithium appoints Tsakumis as CEO,https://www.stockwatch.com/News/Item/Z-C!LI-3781174/C/LI,3781174,https://www.stockwatch.com/News/Sedardoc/6117155.pdf,,0,0,no,,"2026-02-03 16:08 ET - News Release
Mr. Andrew Bowering reports
AMERICAN LITHIUM ANNOUNCES CEO APPOINTMENT
American Lithium Corp. has appointed Alex Tsakumis as chief executive officer (CEO) effective Jan. 29, 2026. Mr. Tsakumis was the interim CEO of the company since Sept. 1, 2024, and a member of the board of directors since 2021.
Mr. Tsakumis is a public markets specialist with over 30 years of experience in the mineral resource industry, with a background in corporate governance, communications, finance, and mergers and acquisitions. He has held senior roles at Prime Mining Corp., Alio Gold/Timmins Gold and Orko Silver, and maintains strong relationships within the investment banking and institutional investment community.
During his tenure as interim chief executive officer, the company achieved several key milestones including completing an oversubscribed financing, enacting stronger corporate governance, streamlining operating and corporate costs, optimizing processing flow sheets in Peru, securing additional private water rights in Nevada, and seeing the final resolution of its disputed Peruvian assets.
Andrew Bowering, executive chairman, commented, ""Since assuming the interim CEO role, Alex has demonstrated leadership and delivered meaningful progress while guiding the company through a period of transition.""
Additionally, effective Jan. 27, 2026, the company's board have approved the cancellation of an aggregate of 1,835,800 stock options granted under the company's omnibus incentive plan, previously announced on Feb. 16, 2022, and Feb. 2, 2023. The cancelled options were granted to certain officers and directors of the company at an exercise price of $3.63 and $4.85 per common share (expiry date of Feb. 16, 2027, and Feb. 2, 2028, respectively).
About American Lithium
  Corp.
American Lithium is developing two of the world's largest, advanced-stage lithium projects, along with the largest undeveloped uranium project in Latin America. They include the TLC claystone lithium project in Nevada and the Falchani hard-rock lithium project in southern Peru, which also hosts a globally significant cesium resource, as well as the Macusani uranium located in the same region. All three projects have completed robust preliminary economic assessments, exhibit significant expansion potential and enjoy strong community support.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LI\news_html\2026-02-03.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LI/news_html/2026-02-03.html,,NONE,CEO appointment announcement,,,2024-01-31,2024-04-02
stockwatch,LI,American Lithium Corp.,2026-01-28,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6111929.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LI,American Lithium Corp.,2026-01-28,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6111930.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LI,American Lithium Corp.,2026-01-28,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6111925.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LI,American Lithium Corp.,2026-01-28,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6111927.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LI\pdfs\MD&A\2026-01-28_LI_MD&A_INTERIM_MDA_EN.pdf,40,2378,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LI/2026-01-28_LI_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LI,American Lithium Corp.,2025-12-16,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6086322.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LI\pdfs\MaterialChange\2025-12-16_LI_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,111,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LI/2025-12-16_LI_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Macusani Uranium Project spin-out,,,,,2024-01-31,2024-04-02
stockwatch,LI,American Lithium Corp.,2025-12-16,NEWS_RELEASE_EN,not applicable,NewsRelease,American Lithium to spin out Macusani project,https://www.stockwatch.com/News/Item/Z-C!LI-3766190/C/LI,3766190,https://www.stockwatch.com/News/Sedardoc/6085803.pdf,,0,0,no,,"2025-12-16 16:19 ET - News Release
Mr. Alex Tsakumis reports
AMERICAN LITHIUM CORP. ANNOUNCES INTENTION TO ADVANCE SPIN-OUT OF MACUSANI URANIUM
Following the final resolution of all legal matters relating to the Macusani uranium project in Peru, as announced on Dec. 3, 2025,  American Lithium Corp. is initiating the process to spin out Macusani into an independent public company for the benefit of all shareholders.
With the company's Peruvian mining concessions completely under the company's control, all appeals exhausted and increasing support in the resource sector, American Lithium is positioned to proceed with the Macusani spinout. Continued strength in uranium pricing, increasing utility contracting and growing global emphasis on long-term nuclear fuel security make this an opportune moment to unlock the full value of this large stand-alone uranium asset.
""Recognized as one of the largest undeveloped uranium deposits in the world, Macusani is a prospective company maker,"" stated Alex Tsakumis, interim chief executive officer. ""By transitioning the project into a stand-alone uranium company, we believe this will provide our shareholders with exceptional leverage to the emerging uranium bull market.""
In parallel with progressing the spinout, American Lithium is advancing technical work at Macusani, including a new updated mineral resource estimate and a preliminary economic assessment. Deloitte Mining Technical Advisory and DRA Global Ltd. have been commissioned to complete these updates, which are well under way with data secured, core analysis finished and site visits complete. The revised MRE and PEA are moving toward completion, with results expected in first quarter 2026.
Readers are cautioned that the spinout remains in the planning stages, and is subject to completion of tax, corporate and securities structuring work, and the ultimate execution of definitive documentation. The exact structure, terms and conditions of the spinout will be announced in due course. Completion of the spinout will be subject to conditions, which may include shareholder and regulatory approvals, and there is no assurance that the spinout will be completed.
About the Macusani uranium project
Macusani hosts the largest undeveloped uranium project in Latin America. The project has been advanced through extensive exploration, engineering and economic studies, and benefits from strong community relationships, and has a fully confirmed concession footprint following the official legal resolutions announced in December, 2025.
About American Lithium Corp.
American Lithium is developing two of the world's largest, advanced-stage lithium projects, along with the largest undeveloped uranium project in Latin America. They include the TLC claystone lithium project in Nevada, and the Falchani hardrock lithium project in southern Peru, which also hosts a globally significant cesium resource, as well as the Macusani uranium project located in the same region. All three projects have completed robust preliminary economic assessments, exhibit significant expansion potential and enjoy strong community support.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LI\news_html\2025-12-16.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LI/news_html/2025-12-16.html,,NONE,Spin-out of Macusani project announced,,,2024-01-31,2024-04-02
stockwatch,LI,American Lithium Corp.,2025-12-08,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6080565.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LI\pdfs\MaterialChange\2025-12-08_LI_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,142,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LI/2025-12-08_LI_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Legal security for mining concessions,,,,,2024-01-31,2024-04-02
stockwatch,LI,American Lithium Corp.,2025-12-03,NEWS_RELEASE_EN,not applicable,NewsRelease,"Peruvian Supreme Court Mandates Full Company Ownership of Disputed Claims VANCOUVER, BRITISH COLUMBIA, December 03, 2025  American Lithium Corp. (American Lithium or",,,https://www.stockwatch.com/News/Sedardoc/6077870.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LI\pdfs\NewsRelease\2025-12-03_LI_NewsRelease_fallback.pdf,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LI/2025-12-03_LI_NewsRelease_fallback.pdf," 
 
Peruvian Supreme Court Mandates Full Company Ownership of Disputed Claims 
VANCOUVER, BRITISH COLUMBIA, December 03, 2025  American Lithium Corp. (American Lithium or 
the Company) (TSX-V:LI | OTCQX:AMLIF | Frankfurt:5LA1) reports that its Peruvian subsidiary, Macusani 
Yellowcake S.A.C., has been notified of Resolution No. 24 issued by the Sixth Permanent Court of Lima, 
which definitively consolidates the legal security of the 32 mining concessions subject to the judicial 
process. 
The Court has ordered the enforcement of the final judgment, after the higher court declared inadmissible 
the cassation appeals filed by the co-defendants, INGEMMET and the Ministry of Energy and Mines. The 
final ruling restores the validity and ownership of the 32 mining concessions in favour of Macusani 
Yellowcake S.A.C. This constitutes a key milestone for the Falchani and Macusani projects. 
The Court requires INGEMMET to issue, within a maximum period of 30 days, a new administrative 
resolution fully reflecting the judgment, under penalty of fines in case of non-compliance, and to correctly 
register the concessions in SUNARP. Likewise, the Court orders INGEMMET to identify the responsible 
official (full name/address/office) charged with complying with the mandate. Failure to do so will result 
in the highest institutional authority being deemed responsible under functional liability. 
The process is now in the judgment-enforcement stage, with all possible appeals exhausted. This grants 
the project a framework of full legal stability, essential for the development and continuity of present and 
future investments related to the project. 
Alex Tsakumis, Interim CEO of American Lithium, commented: This Supreme Court Order provides the 
final legal clarity we have been seeking. The Court has not only reaffirmed Macusanis position, but has 
also ordered immediate administrative compliance, giving us a clear runway to advance two of the most 
strategically important critical-minerals projects in the Americas. 
This ruling is a major de-risking event for American Lithium, securing the Companys concession rights at 
the highest judicial level in Peru and eliminating remaining sources of potential delay. With full restoration 
of the titles now mandated, the Company can move forward with Falchani, its large-scale lithium and 
cesium critical-minerals project, and with Macusani, one of the worlds largest undeveloped uranium de-
posits, with enhanced legal security. With this confirmation, the Company is positioned to continue tech-
nical work, permitting processes, and strategic development across all its critical minerals assets. 
 
About American Lithium 
 
American Lithium is developing two of the worlds largest, advanced-stage lithium projects, along with 
the largest undeveloped uranium project in Latin America. They include the TLC claystone lithium project 
in Nevada and the Falchani hard-rock lithium project in southern Peru, which also hosts a globally 
significant cesium resource, as well as the Macusani uranium located in the same region. All three projects 
have completed robust preliminary economic assessments, exhibit significant expansion potential and 
enjoy strong community support. 
For more information, please contact the Company at info@americanlithiumcorp.com or visit our website 
at www.americanlithiumcorp.com. 

 
Follow us on Facebook, Twitter and LinkedIn. 
On behalf of the Board of Directors of American Lithium Corp. 
Alex Tsakumis 
Interim CEO 
Tel: 604 428 6128 
Neither the TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the 
policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this press 
release. 
Cautionary Statement Regarding Forward Looking Information 
This news release contains certain forward-looking information and forward-looking statements 
(collectively forward-looking statements) within the meaning of applicable securities legislation. All 
statements, other than statements of historical fact, are forward-looking statements. Forward-looking 
statements in this news release include, but are not limited to, statements regarding the business plans, 
expectations and objectives of American Lithium. Forward-looking statements are frequently identified by 
such words as ""may"", ""will"", ""plan"", ""expect"", ""anticipate"", ""estimate"", ""intend"", indicate, scheduled, 
target, goal, potential, subject, efforts, option and similar words, or the negative connotations 
thereof, referring to future events and results. Forward-looking statements are based on the current 
opinions and expectations of management and are not, and cannot be, a guarantee of future results or 
events. Although American Lithium believes that the current opinions and expectations reflected in such 
forward-looking statements are reasonable based on information available at the time, undue reliance 
should not be placed on forward-looking statements since American Lithium can provide no assurance that 
such opinions and expectations will prove to be correct. All forward-looking statements are inherently 
uncertain and subject to a variety of assumptions, risks and uncertainties, including risks, uncertainties 
and assumptions related to: American Lithiums ability to achieve its stated goals;, which could have a 
material adverse impact on many aspects of American Lithiums businesses including but not limited to: 
the ability to access mineral properties for indeterminate amounts of time, the health of the employees or 
consultants resulting in delays or diminished capacity, social or political instability in Peru which in turn 
could impact American Lithiums ability to maintain the continuity of its business operating requirements, 
may result in the reduced availability or failures of various local administration and critical infrastructure, 
reduced demand for the American Lithiums potential products, availability of materials, global travel 
restrictions, and the availability of insurance and the associated costs; the ongoing ability to work 
cooperatively with stakeholders, including but not limited to local communities and all levels of 
government; the potential for delays in exploration or development activities; the interpretation of drill 
results, the geology, grade and continuity of mineral deposits; the possibility that any future exploration, 
development or mining results will not be consistent with our expectations; risks that permits will not be 
obtained as planned or delays in obtaining permits; mining and development risks, including risks related 
to accidents, equipment breakdowns, labour disputes (including work stoppages, strikes and loss of 
personnel) or other unanticipated difficulties with or interruptions in exploration and development; risks 
related to commodity price and foreign exchange rate fluctuations; risks related to foreign operations; the 
cyclical nature of the industry in which American Lithium operates; risks related to failure to obtain 
adequate financing on a timely basis and on acceptable terms or delays in obtaining governmental 

 
approvals; risks related to environmental regulation and liability; political and regulatory risks associated 
with mining and exploration; risks related to the uncertain global economic environment and the effects 
upon the global market generally, any of which could continue to negatively affect global financial 
markets, including the trading price of American Lithiums shares and could negatively affect American 
Lithiums ability to raise capital and may also result in additional and unknown risks or liabilities to 
American Lithium. Other risks and uncertainties related to prospects, properties and business strategy of 
American Lithium are identified in the Risk Factors section of American Lithiums Managements 
Discussion and Analysis filed on October 30, 2025, and in recent securities filings available at 
www.sedarplus.ca. Actual events or results may differ materially from those projected in the forward-
looking statements. American Lithium undertakes no obligation to update forward-looking statements 
except as required by applicable securities laws. Investors should not place undue reliance on forward-
looking statements. 
 
",,,,NONE,Peruvian Supreme Court ruling on mining concessions,,,2024-01-31,2024-04-02
