source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,LIO,Lion One Metals Limited,2025-10-28,ANNUAL_INFORMATION_FORM_EN,gold and precious metals,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6042159.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIO\pdfs\AIF\2025-10-28_LIO_AIF.pdf,54,945,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIO/2025-10-28_LIO_AIF.pdf,,,,,,,,,2025-07-31,2025-10-28
stockwatch,LIO,Lion One Metals Limited,2026-03-12,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Lion One Acknowledges Receipt of Shareholder Requisition and Reiterates Constructive Dialogue and Engagement with All Shareholders,,,https://www.stockwatch.com/News/Sedardoc/6146916.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIO\pdfs\NewsRelease\2026-03-12_LIO_NewsRelease_fallback.pdf,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIO/2026-03-12_LIO_NewsRelease_fallback.pdf,"Lion One Acknowledges Receipt of
Shareholder Requisition and Reiterates
Constructive Dialogue and Engagement with
All Shareholders
Lion One is committed to transparency and keeping its Shareholders informed
No need for Shareholders to take action
North Vancouver, British Columbia--(Newsfile Corp. - March 12, 2026) - Lion One Metals Limited
(TSXV: LIO) (OTCQX: LOMLF) (""Lion One"" or the ""Company"") acknowledges receipt of a
shareholder meeting requisition notice pursuant to section 167 of the Business Corporations Act (British
Columbia) dated March 9, 2026 from Concept Capital Management Ltd. (the ""Requisitioning
Shareholder""). The Company is reviewing the requisition with the assistance of its professional advisors
and will respond appropriately in due course. In the meantime, there is no need for shareholders to take
any action.
The Requisitioning Shareholder's requisition proposes to remove two directors and to set the number of
directors at between nine to eleven directors and to elect six of the Requisitioning Shareholder's
nominees.
The board and management of Lion One will continue to prioritize good governance and the best
interests of the Company, and Lion One continues to welcome the perspectives of its shareholders.
Approval of the strategic transaction with Arete Capital Advisors announced on December 30, 2025,
which includes a $15 million equity investment, Management Services Agreement, and Investor Rights
Agreement, remains subject to the continued review of the TSX Venture Exchange.
on behalf of the Board of Directors,
Walter Berukoff, Chairman and President
Contact Information 
Lion One Metals Limited
Email: info@liononemetals.com
Phone: 1-855-805-1250 (toll free North America)
Website: www.liononemetals.com
Neither the TSX-V nor its Regulation Service Provider accepts responsibility or the adequacy or
accuracy of this release
This press release may contain statements that may be deemed to be ""forward-looking statements""
within the meaning of applicable Canadian securities legislation. All statements, other than
statements of historical fact, included herein are forward-looking information. Generally, forward-
looking information may be identified by the use of forward-looking terminology such as ""plans"",
""expects"" or ""does not expect"", ""proposed"", ""is expected"", ""budget"", ""scheduled"", ""estimates"",
""forecasts"", ""intends"", ""anticipates"" or ""does not anticipate"", or ""believes"", or variations of such words
and phrases, or by the use of words or phrases which state that certain actions, events or results may,
could, would, or might occur or be achieved. This forward-looking information reflects Lion One Metals
Limited's current beliefs and is based on information currently available to Lion One Metals Limited
and on assumptions Lion One Metals Limited believes are reasonable. These assumptions include,
but are not limited to, the actual results of exploration projects being equivalent to or better than
estimated results in technical reports, assessment reports, and other geological reports or prior

exploration results. Forward-looking information is subject to known and unknown risks, uncertainties
and other factors that may cause the actual results, level of activity, performance, or achievements of
Lion One Metals Limited or its subsidiaries to be materially different from those expressed or implied
by such forward-looking information. Such risks and other factors may include, but are not limited to:
the stage development of Lion One Metals Limited, general business, economic, competitive,
political and social uncertainties; the actual results of current research and development or
operational activities; competition; uncertainty as to patent applications and intellectual property
rights; product liability and lack of insurance; delay or failure to receive board or regulatory approvals;
changes in legislation, including environmental legislation, affecting mining, timing and availability of
external financing on acceptable terms; not realizing on the potential benefits of technology;
conclusions of economic evaluations; and lack of qualified, skilled labor or loss of key individuals.
Although Lion One Metals Limited has attempted to identify important factors that could cause actual
results to differ materially from those contained in forward-looking information, there may be other
factors that cause results not to be as anticipated, estimated, or intended. Accordingly, readers should
not place undue reliance on forward-looking information. Lion One Metals Limited does not undertake
to update any forward-looking information, except in accordance with applicable securities laws.
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/288367
",,,,NONE,Shareholder requisition acknowledged and discussed,,,2025-07-31,2025-10-28
stockwatch,LIO,Lion One Metals Limited,2026-02-27,INTERIM_MDA_EN,gold and precious metals,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6136939.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIO\pdfs\MD&A\2026-02-27_LIO_MD&A_INTERIM_MDA_EN.pdf,28,1083,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIO/2026-02-27_LIO_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2025-07-31,2025-10-28
stockwatch,LIO,Lion One Metals Limited,2026-02-27,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6136937.pdf,,0,0,no,,,,,,,,,,2025-07-31,2025-10-28
stockwatch,LIO,Lion One Metals Limited,2026-02-27,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6136940.pdf,,0,0,no,,,,,,,,,,2025-07-31,2025-10-28
stockwatch,LIO,Lion One Metals Limited,2026-02-27,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6136941.pdf,,0,0,no,,,,,,,,,,2025-07-31,2025-10-28
stockwatch,LIO,Lion One Metals Limited,2026-02-26,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6133856.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIO\pdfs\MaterialChange\2026-02-26_LIO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,155,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIO/2026-02-26_LIO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,CEO appointment and credit facility issues,,,,,2025-07-31,2025-10-28
stockwatch,LIO,Lion One Metals Limited,2026-02-25,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Lion One Metals appoints Olsen as CEO, director",https://www.stockwatch.com/News/Item/Z-C!LIO-3789276/C/LIO,3789276,https://www.stockwatch.com/News/Sedardoc/6131956.pdf,,0,0,no,,"2026-02-25 18:00 ET - News Release
Mr. Walter Berukoff reports
LION ONE ANNOUNCES CEO APPOINTMENT, ARETE TRANSACTION UPDATE, AND CREDIT FACILITY UPDATE
Lion One Metals Ltd. has appointed Campbell Olsen as chief executive officer and director.
Mr. Olsen has had a long career in investment and operational management in the mining industry. He has deep experience in international private equity practice and process having spent several years as an investment manager with Nomura Jafco and then general manager (Australasia) with Advent International, a Boston-based multibillion-dollar international private equity company.
Mr. Olsen has managed resource investment in Australia, Europe and Latin America across the precious metals exploration and mining sectors across all aspects of operations.  He is deeply experienced in high-grade underground gold mining.  He is a director of North Stawell Minerals, and advisory board member of the Association of Mining and Exploration Companies (AMEC) Victoria and the Australian Gold Conference group. Mr. Olsen holds a bachelor of engineering and a master in business administration from Melbourne Business School.
Walter Berukoff, chairman of Lion One's board of directors and president of the company, commented, ""On behalf of the board and management team, we welcome Campbell Olsen to the company and look forward to unlocking shareholder value.""
Board and management
The company's board of directors now comprises Mr. Berukoff (chairman), Richard Meli, Todd Romaine, David Anderson and Mr. Olsen. The officers of the company are Mr. Olsen (CEO), Mr. Berukofff (president), Tony Young (chief financial officer) and Hamish Greig (vice-president and corporate secretary).
Mr. Olsen will serve as Arete Capital's nominee to the board of the company pursuant to the investor rights agreement that is expected to be entered into on completion of the transaction announced on Dec. 30, 2025.
Arete transaction update
The proposed investment transaction with Arete Capital announced on Dec. 30, 2025, remains under review by the TSX Venture Exchange.  Completion of the transaction, including the entering into of the management services agreement and investor rights agreement to be entered into upon the closing of Arete Capital's proposed $15-million equity investment in the company, remains subject to the review and approval of the TSX Venture Exchange.  Mr. Olsen is the only anticipated change to the senior management of the company. Mr. Olsen has been appointed as CEO ahead of the completion of the transaction in order for the company to have a CEO in office as required by TSX-V rules.
Credit facility update
The company also announces that it has received a notice from Nebari Collateral Agent LLC, on behalf of the lenders under the company's senior secured loan facility, stating that an event of default has occurred and is continuing under the facility effective as of Jan. 31, 2026.
Nebari's notice states that the defaults arise from non-financial covenants and from what Nebari asserts to be a ""material adverse effect"" under the facility, in each case as set out in the facility and related documents. The notice further states that, as a consequence, the margin component of the interest rate payable under the facility has increased in accordance with the terms of the facility, effective Feb. 20, 2026, and will remain at the default rate until the events of default have been remedied or otherwise resolved to Nebari's satisfaction.
Lion One is in active discussions with Nebari with a view to stabilizing its financing arrangements and addressing the issues raised in the notice.
Other updates
The company also announces it has terminated a service agreement with Couloir Capital in respect of market research.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIO\news_html\2026-02-25.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIO/news_html/2026-02-25.html,,NONE,CEO appointment and transaction updates,,,2025-07-31,2025-10-28
stockwatch,LIO,Lion One Metals Limited,2026-01-21,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6105660.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIO\pdfs\MaterialChange\2026-01-21_LIO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,339,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIO/2026-01-21_LIO_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,David Anderson appointed to board,,,,,2025-07-31,2025-10-28
stockwatch,LIO,Lion One Metals Limited,2026-01-21,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Lion One appoints Anderson as director,https://www.stockwatch.com/News/Item/Z-C!LIO-3776545/C/LIO,3776545,https://www.stockwatch.com/News/Sedardoc/6105445.pdf,,0,0,no,,"2026-01-21 19:26 ET - News Release
Mr. Walter Berukoff reports
LION ONE ANNOUNCES APPOINTMENT OF DAVID ANDERSON TO THE BOARD OF DIRECTORS
Lion One Metals Ltd. has appointed David Anderson to the company's board of directors. Mr. Anderson is an accomplished and successful investment banking professional with over 30 years of capital market experience. During his executive career, Mr. Anderson has managed numerous high-profile mergers, acquisitions and restructuring initiatives, and has acted as lead adviser for over 50 companies in going-public transactions.
Mr. Anderson was one of the founders and former vice-chairman of Dundee Securities Ltd. in Toronto, where he was head of investment banking for 18 years from 1998 to 2016. At Dundee, Mr. Anderson was instrumental in creating one of the largest and most successful independent investment dealers in Canada, managing a team of 40 investment bankers nationwide.
Lion One chairman Walter Berukoff commented: ""David brings a strong track record in capital markets, with demonstrated expertise in supporting companies through growth initiatives and strengthening their investor bases. His strategic insight, energy and leadership will be valuable assets to the Lion One team, and we look forward to the positive impact of his involvement.""
From 2017 to 2020, Mr. Anderson was vice-chairman of investment banking at Echelon Partners in Toronto, focused on capital raising and merger-and-acquisition services in the resource, real estate, health care, technology, industrial and cannabis sectors.
From 2020 to 2023, Mr. Anderson was head of capital markets for Industrial Alliance, where his oversight included investment banking, syndication, institutional sales and trading, fixed-income activities, and a team focused on financing initiatives and corporate relationships in the mining, energy, real estate, health care and industrial sectors. Mr. Anderson continues to be active as a corporate adviser on several strategic growth and financing initiatives.
Mr. Anderson started his career as an analyst with the National Energy Board of Canada in 1976 focused on the MacKenzie Valley pipeline hearings, before joining the economics department of Amoco Corp. in 1978. After working in Amoco's Calgary office, he transferred to its Chicago and later Houston offices, where he managed global M&A initiatives for the Amoco Production Company before returning to Toronto in 1987 to join Canadian investment dealer Midland Doherty as vice-president, investment banking. In 1989, Mr. Anderson became managing director of HSBC's Canadian investment dealer subsidiary BBN James Capel for six years, before joining investment dealer Loewen, Ondaatje, McCutcheon Ltd. as partner and managing director from 1995 to 1998.
Mr. Anderson graduated from the University of Manitoba where he obtained a bachelor of arts, economics, in 1974 and a master of business administration in 1977.
About Lion One Metals Ltd.
Lion One is an emerging Canadian gold producer headquartered in North Vancouver, B.C., with new operations established in late 2023 at its 100-per-cent-owned Tuvatu alkaline gold project in Fiji. The Tuvatu project comprises the high-grade Tuvatu alkaline gold deposit, the underground gold mine, the pilot plant and assay lab. Lion One also has an extensive exploration licence covering the entire Navilawa caldera with multiple mineralized zones and highly prospective exploration targets.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LIO\news_html\2026-01-21.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LIO/news_html/2026-01-21.html,,NONE,Appointment of David Anderson to board,,,2025-07-31,2025-10-28
