source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,LITH,Lithium Chile Inc.,2026-02-18,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Lithium Chile receives $5M (U.S.) deposit for Arizaro,https://www.stockwatch.com/News/Item/Z-C!LITH-3786412/C/LITH,3786412,https://www.stockwatch.com/News/Sedardoc/6126532.pdf,,0,0,no,,"2026-02-18 18:27 ET - News Release
Mr. Steven Cochrane reports
LITHIUM CHILE RECEIVES US $5 MILLION DEPOSIT TOWARD SALE OF SALAR DE ARIZARO PROJECT, ARGENTINA
Lithium Chile Inc. has received a $5-million (U.S.) deposit from China Union Holdings Ltd. in connection with the previously announced sale of its Arizaro project through the disposition of the company's Argentine subsidiary, Argentum Lithium SA.
The deposit has been received in satisfaction of one of the closing conditions under the transaction and is being held in trust, subject to the terms of the definitive share purchase agreement, until the remaining closing conditions are satisfied. Upon satisfaction of such conditions, the deposit will be released in accordance with the transaction terms.
Steve Cochrane, president of Lithium Chile, commented: 
  ""The receipt of this deposit reflects China Union Holdings' clear commitment to completing the transaction. Work across regulatory, technical and closing matters continues to progress as planned, with both parties moving efficiently toward satisfying the remaining conditions. We are encouraged by the pace of progress and remain focused on moving efficiently toward completing the transaction by midyear, subject to customary approvals.""
The company is currently advancing procedural steps required to complete the transaction, including the preparation and distribution of an information circular to shareholders in connection with the required shareholder meeting. As stipulated in the definitive agreement, closing is scheduled for June, 2026. The transaction remains subject to customary closing conditions, including regulatory approvals under applicable foreign investment and securities laws.
Chilean developments
Lithium Chile also notes the coming installation of the new government in Chile on March 1, 2026. The company is encouraged by indications that the new administration intends to prioritize regulatory efficiency, investment certainty and responsible resource development. Having obtained a special lithium operating contract for its Coipasa project in 2025, Lithium Chile has demonstrated its ability to advance projects within Chile's regulatory framework. Anticipated policy reforms and streamlined permitting processes are expected to further support the timely advancement and development of the company's Chilean lithium portfolio. The company continues to engage constructively with relevant authorities and will monitor developments closely as these reforms are implemented.
About Lithium Chile Inc.
Lithium Chile is an exploration company with a portfolio of 11 properties spanning 106,136 hectares in Chile and 29,245 hectares on the Salar de Arizaro in Argentina. The company has advanced its Arizaro project with the completion of a National Instrument 43-101-compliant resource report, preliminary economic assessment and prefeasibility study, which are all accessible on SEDAR+ under Lithium Chile's profile.
Lithium Chile's common shares are listed on the TSX Venture Exchange under the symbol LITH and on the OTCQB under the symbol LTMCF.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LITH\news_html\2026-02-18.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LITH/news_html/2026-02-18.html,,CHANGED,Sold Salar de Arizaro project; received $5M deposit,Salar de Arizaro,,2024-01-31,2024-04-02
stockwatch,LITH,Lithium Chile Inc.,2026-01-19,NOTICE_OF_THE_MEETING_AND_RECORD_DATE_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6103788.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LITH,Lithium Chile Inc.,2026-01-15,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Lithium Chile to hold AGSM May 15,https://www.stockwatch.com/News/Item/Z-C!LITH-3774747/C/LITH,3774747,https://www.stockwatch.com/News/Sedardoc/6102043.pdf,,0,0,no,,"2026-01-15 18:55 ET - News Release
Mr. Steven Cochrane reports
LITHIUM CHILE PROVIDES CLARIFICATION ON THE TIMING OF THE SPECIAL MEETING TO APPROVE ARIZARO TRANSACTION
Lithium Chile Inc. has clarified the timing of its annual general and special shareholder meeting, referenced in its press release dated Jan. 14, 2026.
The company confirms that May 15, 2026, is the intended date for Lithium Chile's annual general meeting and special meeting to address routine matters which is also intended to provide details pertaining to the substantial issuer bid referred to in the Jan. 14, 2026, press release.
However, Lithium Chile wishes to clarify that immediately upon receipt of required regulatory approvals, a special meeting of Lithium Chile's shareholders will be called to seek approval for the transaction involving the sale of the Arizaro asset.
All required regulatory filings have been submitted by Lithium Chile in Canada and by China Union Holdings in China. Both parties are advancing the closing process diligently toward closing the $175-million (U.S.) (approximately $248-million) transaction. Lithium Chile will continue to provide regular updates to shareholders as the process progresses.
In addition, Lithium Chile is pleased to announce that it has received repayment in full of the $1-million (U.S.) principal loan previously advanced to San Lorenzo Gold. This repayment has been added to the company's cash balance, which now exceeds $5-million (U.S.), further strengthening Lithium Chile's financial position as it advances toward closing the transaction.
About Lithium Chile Inc.
Lithium Chile is an exploration company with a portfolio of 11 properties spanning 106,136 hectares in Chile and 29,245 hectares on the Salar de Arizaro in Argentina. The company has successfully advanced its Arizaro project with the completion of National Instrument 43-101-compliant resource report, preliminary economic assessment and prefeasibility study, which are all accessible on SEDAR+ under Lithium Chile's profile.
Lithium Chile's common shares are listed on the TSX Venture Exchange under the symbol LITH and on the OTCQB under the symbol LTMCF.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LITH\news_html\2026-01-15.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LITH/news_html/2026-01-15.html,,CHANGED,Sold Arizaro asset for $175M,Arizaro,,2024-01-31,2024-04-02
stockwatch,LITH,Lithium Chile Inc.,2026-01-14,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Lithium Chile to seek shareholder OK for Arizaro sale,https://www.stockwatch.com/News/Item/Z-C!LITH-3774185/C/LITH,3774185,https://www.stockwatch.com/News/Sedardoc/6101176.pdf,,0,0,no,,"2026-01-14 18:16 ET - News Release
Mr. Steven Cochrane reports
LITHIUM CHILE PROVIDES UPDATE ON THE TRANSACTION FOR THE SALE OF ARIZARO PROJECT
Lithium Chile Inc. has provided an update, with reference to its prior news release dated Dec. 22, 2025, regarding the progress made by the company following the execution of the definitive share purchase agreement, for the sale of its Arizaro project through the disposition of its Argentinian subsidiary, Argentum Lithium S.A., for $175-million (U.S.). The company is continuing to advance the transaction toward closing via the steps described below.
Details of the transaction
Readers may obtain further details regarding the transaction via the company's Dec. 22, 2025,
  news release, ""Lithium Chile Executes the Formal Agreement for the Sale of its Argentine, Arizaro Project.""
Transaction progress
Receipt of buyer deposit:
The escrow agreement related to the $5-million (U.S.) deposit from China Union Holdings Ltd. (CUH), as defined in the definitive agreement, has been finalized within the stipulated 20-day period, demonstrating continued advancement in accordance with the transaction timeline.
The deposit will be held in escrow for the benefit of the seller as security for the purchaser's payment obligations under the definitive agreement.
AGM (annual general meeting) and special shareholders meeting:
The company intends to call an annual general and special shareholder meeting for May 15, 2026, where, among other routine matters, shareholder approval for the transaction will be sought.
An information circular describing the transaction in detail, including the company's board of directors' recommendation in respect of the transaction and an independent fairness opinion, will be made available to shareholders within the time frame required under applicable securities laws and TSX Venture Exchange policies, such that shareholders can make an informed decision on the transaction.
Potential substantial issuer bid:
The company is evaluating the merits of the distribution of a portion of the net proceeds from the transaction to its shareholders through a substantial issuer bid (SIB).
An SIB is a mechanism that, subject applicable securities laws and TSX Venture Exchange policies, would allow shareholders to tender their common shares for redemption by the company at a specified price.
Concluding an SIB would result in a meaningful reduction in the company's issued and outstanding common shares as the common shares repurchased under the SIB would be cancelled.
If an SIB can be completed, the company would retain a residual cash balance sufficient to advance the development of its Chilean mineral interest portfolio.
Assuming the company determines that the SIB is the best course of action, the preliminary details of the proposed SIB will be summarized and the final terms and details of the SIB will be fully described in a separate SIB bid circular postclosing of the transaction.
Readers are advised that the final terms, including the redemption price per common share, would be determined based on the final net proceeds received from the transaction, after giving effect to closing costs, and the funds necessary to advance the development of the company's Chilean mineral interest portfolio, and remain subject to applicable securities laws and TSX Venture Exchange policies.
Next steps
The company continues to work diligently to satisfy all remaining closing conditions. In parallel, CUH, a company listed on the Shenzhen Stock Exchange, is advancing its regulatory approval process. CUH and Lithium Chile are aligned with the objective of closing the transaction on an expeditious basis and, in that regard, are actively engaged in securing as all necessary approvals.
Lithium Chile will provide further updates as milestones are achieved.
Arizaro operations
Lithium Chile's project team continues to maintain the Arizaro asset throughout the transaction process. All operational, environmental and community-related obligations are being furthered in accordance with applicable regulations and established best practices.
Market awareness
The company announces that it will undertake measured, compliant market communications to ensure shareholders and the broader investment community are provided with clear, accurate and timely information. Management and the board of directors believe that che Company's common shares have recently traded at levels that do not reflect the company's underlying value and represent a discount to its net asset value, and these efforts are intended to improve market awareness and understanding of the company's asset base and strategy.
In support of this initiative, the company has entered into a services agreement dated Oct. 15, 2025, with Departures Capital Inc., to provide digital marketing and investor awareness services. Under the agreement, Departures Capital will deliver strategic content creation, video production and targeted digital distribution across financial media and on-line platforms for a total cost of $100,000 (Canadian) over a 12-month term. Departures Capital is an arm's-length service provider, and, to the company's knowledge, neither the firm nor its principal holds any securities of the company.
About Lithium Chile Inc.
Lithium Chile is an exploration company with a portfolio of 11 properties spanning 106,136 hectares in Chile and 29,245 hectares on the salar de Arizaro in Argentina. The company has successfully advanced its Arizaro project with the completion of National Instrument 43-101-compliant resource report, preliminary economic assessment and prefeasibility study, which are all accessible on SEDAR+ under Lithium Chile's profile.
Lithium Chile's common shares are listed on the TSX-V under the symbol LITH and on the OTCQB under the symbol LTMCF.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LITH\news_html\2026-01-14.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LITH/news_html/2026-01-14.html,,CHANGED,Sold Arizaro project for $175M,Arizaro,,2024-01-31,2024-04-02
stockwatch,LITH,Lithium Chile Inc.,2025-12-29,MATERIAL_DOCUMENTS,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6094423.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LITH,Lithium Chile Inc.,2025-12-29,MATERIAL_CHANGE_REPORT_EN,metals and minerals - mining,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6094291.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LITH\pdfs\MaterialChange\2025-12-29_LITH_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,6,547,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LITH/2025-12-29_LITH_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Argentum Lithium sale agreement,,,,,2024-01-31,2024-04-02
stockwatch,LITH,Lithium Chile Inc.,2025-12-22,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Canadian Investment Regulatory Organization Trade Resumption - LITH,https://www.stockwatch.com/News/Item/Z-C!LITH-3768220/C/LITH,3768220,https://www.stockwatch.com/News/Sedardoc/6090075.pdf,,0,0,no,,"2025-12-22 08:58 ET - News Release
Canadian Investment Regulatory Organization Trade Resumption - LITH
Canada NewsWire
VANCOUVER, BC, Dec. 22, 2025
VANCOUVER, BC
,
Dec. 22, 2025
/CNW/ - Trading resumes in:
Company:
Lithium Chile Inc.
TSX-Venture Symbol:
LITH
All Issues:
Oui
Resumption (ET):
09:30 AM
CIRO can make a decision to impose a temporary suspension (halt) of trading in a security of a publicly-listed company. Trading halts are implemented to ensure a fair and orderly market. CIRO is the national self-regulatory organization which oversees all investment dealers and trading activity on debt and equity marketplaces in
Canada
.
SOURCE  Canadian Investment Regulatory Organization (CIRO) – Halts/Resumptions
Contact:
For further information about CIRO's trading halt policy, please see Trading Halts & Timely Disclosure at www.ciro.ca under the Markets tab. Please note that CIRO staff cannot provide any information about a specific halt beyond what is contained in this halt notice. For general information about CIRO, contact CIRO's Complaints & Inquiries team by submitting a Secure Form located on our contact page at www.ciro.ca or dialing 1-877-442-4322 (Option 1). For company-related enquiries, please contact the company directly.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LITH\news_html\2025-12-22.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LITH/news_html/2025-12-22.html,,NONE,Trading resumption announcement,,,2024-01-31,2024-04-02
stockwatch,LITH,Lithium Chile Inc.,2025-11-28,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6073567.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LITH,Lithium Chile Inc.,2025-11-28,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6073569.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,LITH,Lithium Chile Inc.,2025-11-28,INTERIM_MDA_EN,metals and minerals - mining,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6073564.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\LITH\pdfs\MD&A\2025-11-28_LITH_MD&A_INTERIM_MDA_EN.pdf,13,346,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/LITH/2025-11-28_LITH_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
