source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,MGA,Mega Uranium Ltd.,2025-12-19,ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6088975.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\MGA\pdfs\AIF\2025-12-19_MGA_AIF.pdf,34,190,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/MGA/2025-12-19_MGA_AIF.pdf,,,,,,,,,2025-09-30,2025-12-19
stockwatch,MGA,Mega Uranium Ltd.,2026-02-17,CERTIFICATE_RE_DISSEMINATION_TO_SHAREHOLDERS,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6126615.pdf,,0,0,no,,,,,,,,,,2025-09-30,2025-12-19
stockwatch,MGA,Mega Uranium Ltd.,2026-02-17,NOTICE_OF_MEETING_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6125391.pdf,,0,0,no,,,,,,,,,,2025-09-30,2025-12-19
stockwatch,MGA,Mega Uranium Ltd.,2026-02-17,MANAGEMENT_INFORMATION_CIRCULAR_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6125392.pdf,,0,0,no,,,,,,,,,,2025-09-30,2025-12-19
stockwatch,MGA,Mega Uranium Ltd.,2026-02-17,FORM_OF_PROXY_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6125393.pdf,,0,0,no,,,,,,,,,,2025-09-30,2025-12-19
stockwatch,MGA,Mega Uranium Ltd.,2026-02-06,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6120149.pdf,,0,0,no,,,,,,,,,,2025-09-30,2025-12-19
stockwatch,MGA,Mega Uranium Ltd.,2026-02-06,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6120150.pdf,,0,0,no,,,,,,,,,,2025-09-30,2025-12-19
stockwatch,MGA,Mega Uranium Ltd.,2026-02-06,INTERIM_MDA_EN,metals and minerals - mining,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6120145.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\MGA\pdfs\MD&A\2026-02-06_MGA_MD&A_INTERIM_MDA_EN.pdf,20,347,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/MGA/2026-02-06_MGA_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2025-09-30,2025-12-19
stockwatch,MGA,Mega Uranium Ltd.,2026-02-06,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6120142.pdf,,0,0,no,,,,,,,,,,2025-09-30,2025-12-19
stockwatch,MGA,Mega Uranium Ltd.,2026-01-12,NOTICE_OF_THE_MEETING_AND_RECORD_DATE_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6099555.pdf,,0,0,no,,,,,,,,,,2025-09-30,2025-12-19
stockwatch,MGA,Mega Uranium Ltd.,2025-12-19,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6088984.pdf,,0,0,no,,,,,,,,,,2025-09-30,2025-12-19
stockwatch,MGA,Mega Uranium Ltd.,2025-12-19,52109F1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6088985.pdf,,0,0,no,,,,,,,,,,2025-09-30,2025-12-19
stockwatch,MGA,Mega Uranium Ltd.,2025-12-19,ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/6088975.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\MGA\pdfs\AIF\2025-12-19_MGA_AIF_ANNUAL_INFORMATION_FORM_EN.pdf,34,190,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/MGA/2025-12-19_MGA_AIF_ANNUAL_INFORMATION_FORM_EN.pdf,,,,,,,,,2025-09-30,2025-12-19
