source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,NCX,NorthIsle Copper and Gold Inc.,2025-04-30,ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5907512.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NCX\pdfs\AIF\2025-04-30_NCX_AIF.pdf,64,611,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NCX/2025-04-30_NCX_AIF.pdf,,,,,,,,,2024-12-31,2025-04-30
stockwatch,NCX,NorthIsle Copper and Gold Inc.,2026-03-11,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6145221.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-04-30
stockwatch,NCX,NorthIsle Copper and Gold Inc.,2026-03-11,MATERIAL_CHANGE_REPORT_EN,metals and minerals - mining,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6145197.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NCX\pdfs\MaterialChange\2026-03-11_NCX_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,15,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NCX/2026-03-11_NCX_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Equity financing completed with Wheaton,,,,,2024-12-31,2025-04-30
stockwatch,NCX,NorthIsle Copper and Gold Inc.,2026-03-06,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,NorthIsle Copper closes $115-million financing,https://www.stockwatch.com/News/Item/Z-C!NCX-3793590/C/NCX,3793590,https://www.stockwatch.com/News/Sedardoc/6142129.pdf,,0,0,no,,"2026-03-06 17:44 ET - News Release
Mr. Sam Lee reports
NORTHISLE ANNOUNCES CLOSING OF $115 MILLION FINANCING
NorthIsle Copper and Gold Inc. has closed the previously announced best efforts offering and non-brokered private placement with Wheaton Precious Metals Corp. for aggregate gross proceeds of $115,003,300.
Sam Lee, president and chief executive officer, commented: ""We are pleased to welcome many new institutional investors to our share registry and are thankful for the ongoing support of our existing shareholders, including Wheaton. The financing and our inclusion in the B.C. Critical Minerals Office, combined with our growing engagement with first nations and North Island communities, highlights the opportunity for NorthIsle to rapidly advance the development of our North Island project.""
Details of the offerings
The brokered offering consisted of: (i) 35,016,700 common shares of the company offered by way of the prospectus supplement (as defined below) at a price of $3.05 per common share for gross proceeds of $106,800,935; and (ii) 1.05 million common shares offered at the issue price on a private placement basis for gross proceeds of $3,202,500. The non-brokered offering consisted of 1,639,300 common shares offered at the issue price on a private placement basis for gross proceeds of $4,999,865. The aggregate number of common shares issued pursuant to the offerings was 37,706,000 for gross proceeds of $115,003,300. The net proceeds of the offerings will be used by the company for advancement of the company's projects and for general corporate and working capital purposes.
The brokered offering was conducted by a syndicate of agents led by Paradigm Capital Inc. as lead agent and sole bookrunner on behalf of a syndicate of agents, including Agentis Capital Markets (First Nations Financial Markets LP), Beacon Securities Ltd., Ventum Financial Corp., Raymond James Ltd., BMO Nesbitt Burns Inc., TD Securities Inc. and CIBC World Markets Inc. The agents received a cash commission of 5 per cent of gross proceeds of the brokered public offering, with the exception of gross proceeds of $1,351,455 from subscribers on a president's list provided by the company, to which a 2-per-cent commission was applied, plus 2 per cent of the gross proceeds of the brokered private placement. No compensation was paid to the agents in connection with the non-brokered offering.
The common shares offered pursuant to the brokered public offering were offered in all the provinces and territories of Canada, other than Quebec, on a best efforts basis by way of the prospectus supplement dated March 2, 2026, to the company's short form base shelf prospectus dated Feb. 25, 2026.
The common shares offered pursuant to the non-brokered offering and the brokered private placement were offered on a private placement basis pursuant to applicable exemptions from the prospectus requirements of Canadian securities laws under National Instrument 45-106, Prospectus Exemptions. Certain common shares were also issued in the United States on a private placement basis pursuant to available exemptions.
Certain directors and officers of the company purchased an aggregate of 109,800 common shares pursuant to the brokered public offering. Participation by the insiders in the offerings was considered a related party transaction pursuant to Multilateral Instrument 61-101, Protection of Minority Security Holders in Special Transactions. The company was exempt from the requirements to obtain a formal valuation or minority shareholder approval in connection with the insider participation pursuant to sections 5.5(a) and 5.7(1)(a) of MI 61-101 as neither the fair market value of any securities issued to, nor the consideration paid by, the insiders exceeded 25 per cent of the company's market capitalization. The company did not file a material change report relating to the insider participation more than 21 days before the expected closing date of the offerings as the details of the insider participation was not settled at such time.
The common shares sold pursuant to the non-brokered offering and the brokered private placement are subject to a statutory hold period of four months plus one day from the date of issuance.
About NorthIsle Copper and Gold Inc.
NorthIsle is a Vancouver-based company, the vision of which is to become Canada's leading sustainable mineral resource company for the future. Northisle, through its 100-per-cent-owned subsidiary, North Island Mining Corp., owns the North Island project, which is one of the most promising copper and gold porphyry projects in Canada. The North Island project is located near Port Hardy, B.C., on a more than 34,000-hectare block of mineral titles 100 per cent owned by NorthIsle on a belt stretching 50 kilometres northwest from the now closed Island copper mine operated by BHP Billiton. Since 2021, the company has discovered two significant deposits, expanded resources, demonstrated the economic potential of the project and is now focused on the development of this compelling project while exploring within this highly prospective land package.
NorthIsle respectfully acknowledges that our North Island project is located within the territories of Quatsino First Nation, Kwakiutl First Nation and Tlatlasikwala First Nation. The company is committed to collaborating with first nations to build authentic, mutually beneficial relationships.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NCX\news_html\2026-03-06.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NCX/news_html/2026-03-06.html,,NONE,Closed $115 million financing for project advancement,,,2024-12-31,2025-04-30
stockwatch,NCX,NorthIsle Copper and Gold Inc.,2026-03-04,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,NorthIsle Copper arranges $4.99M placement with Wheaton,https://www.stockwatch.com/News/Item/Z-C!NCX-3792709/C/NCX,3792709,https://www.stockwatch.com/News/Sedardoc/6140056.pdf,,0,0,no,,"2026-03-04 17:29 ET - News Release
Mr. Nicholas Van Dyk reports
NORTHISLE ANNOUNCES TOTAL FINANCING OF $115 MILLION INCLUDING WHEATON PRECIOUS METALS PLACEMENT OF $5 MILLION AND UPDATE ON PUBLIC OFFERING
Concurrent to NorthIsle Copper and Gold Inc.'s best efforts offering announced on Feb. 26, 2026, the company will conduct a non-brokered private placement of 1,639,300 common shares of the company at a price of $3.05 per common share to raise $4,999,865 from Wheaton Precious Metals Corp.
In addition, the company is pleased to announce that, in connection with the brokered offering, Paradigm Capital Inc. as lead agent and sole bookrunner on behalf of a syndicate of agents has provided notice of exercise of the option granted to the agents to sell 2,229,700 additional common shares at the issue price for additional aggregate gross proceeds of $6,800,585. The brokered offering will comprise (i) up to 35,016,700 common shares (including the exercise of the agents' option) offered by way of the prospectus supplement (as defined below) for gross proceeds of up to $106,800,935; and (ii) up to 1.05 million common shares offered on a private placement basis for gross proceeds of up to $3,202,500.
In all other respects, the terms of the brokered offering, including the issue price, remains the same as previously disclosed in the company's news release dated Feb. 26, 2025. The aggregate number of common shares that may be issued pursuant to the offerings is up to 37,706,000 for gross proceeds of up to $115,003,300.
The net proceeds of the offerings will be used by the company for advancement of the company's projects and for general corporate and working capital purposes.
Closing is expected to occur on or about March 6, 2026, or such other date as the company and the agents may agree (the closing date). The offerings will be subject to the receipt of all necessary regulatory approvals, including the approval of the TSX Venture Exchange and other customary closing conditions.
The common shares offered pursuant to the brokered public offering will be offered in all the provinces and territories of Canada, other than Quebec, on a best efforts basis by way of the prospectus supplement dated March 2, 2026, to the company's short form base shelf prospectus dated Feb. 25, 2026. Access to the prospectus supplement, the corresponding base shelf prospectus and any amendment to the documents is provided in accordance with securities legislation relating to procedures for providing access to a shelf prospectus supplement, a base shelf prospectus and any amendment to the documents. The base shelf prospectus and the prospectus supplement are accessible through SEDAR+.
An electronic or paper copy of the shelf prospectus supplement, the corresponding base shelf prospectus and any amendment to the documents may be obtained, without charge, from Paradigm Capital Inc. by e-mail at ecm@paradigmcap.com by providing the contact with an e-mail address or address, as applicable.
The common shares offered pursuant to the non-brokered offering and the brokered private placement will be offered on a private placement basis pursuant to applicable exemptions from the prospectus requirements of Canadian securities laws under National Instrument 45-106 -- Prospectus Exemptions. The common shares offered pursuant to the brokered offering may also be sold outside of Canada and in the United States on a private placement basis pursuant to available exemptions in accordance with all applicable laws and provided that no prospectus or registration statement filing or comparable obligation arises.
No fees or compensation will be paid to the agents in connection with the non-brokered offering. The common shares sold pursuant to the non-brokered offering and the brokered private placement will be subject to a statutory hold period of four months plus one day from the date of issuance.
About NorthIsle
 
Copper and Gold Inc.
NorthIsle Copper and Gold is a Vancouver-based company whose vision is to become Canada's leading sustainable mineral resource company for the future. Northisle, through its 100-per-cent-owned subsidiary North Island Mining Corp., owns the North Island project, which is one of the most promising copper and gold porphyry projects in Canada. The North Island project is located near Port Hardy, B.C., on a more than 34,000-hectare block of mineral titles 100 per cent owned by NorthIsle on a belt stretching 50 kilometres northwest from the now closed Island copper mine operated by BHP Billiton. Since 2021, the company has discovered two significant deposits, expanded resources, demonstrated the economic potential of the project and is now focused on the development of this compelling project while exploring within this highly prospective land package.
NorthIsle respectfully acknowledges that its North Island project is located within the territories of Quatsino First Nation, Kwakiutl First Nation and Tlatlasikwala First Nation. The company is committed to collaborating with first nations to build authentic, mutually beneficial relationships.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NCX\news_html\2026-03-04.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NCX/news_html/2026-03-04.html,,NONE,Financing arrangement with Wheaton Precious Metals,,,2024-12-31,2025-04-30
stockwatch,NCX,NorthIsle Copper and Gold Inc.,2026-02-26,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Canadian Investment Regulatory Organization Trading Halt - NCX,https://www.stockwatch.com/News/Item/Z-C!NCX-3789849/C/NCX,3789849,https://www.stockwatch.com/News/Sedardoc/6134097.pdf,,0,0,no,,"2026-02-26 16:09 ET - News Release
Canadian Investment Regulatory Organization Trading Halt - NCX
Canada NewsWire
VANCOUVER, BC, Feb. 26, 2026
VANCOUVER, BC,
Feb. 26, 2026
/CNW/ - The following issues have been halted by CIRO
Company:
NorthIsle Copper and Gold Inc.
TSX-Venture Symbol:
NCX
All Issues:
Yes
Reason:
Pending News
Halt Time (ET):
3:59 PM
CIRO can make a decision to impose a temporary suspension (halt) of trading in a security of a publicly-listed company. Trading halts are implemented to ensure a fair and orderly market. CIRO is the national self-regulatory organization which oversees all investment dealers and trading activity on debt and equity marketplaces in Canada.
SOURCE Canadian Investment Regulatory Organization (CIRO) – Halts/Resumptions
View original content:
http://www.newswire.ca/en/releases/archive/February2026/26/c5649.html
Contact:
For further information about CIRO's trading halt policy, please see Trading Halts & Timely Disclosure at www.ciro.ca under the Markets tab. Please note that CIRO staff cannot provide any information about a specific halt beyond what is contained in this halt notice. For general information about CIRO, contact CIRO's Complaints & Inquiries team by submitting a Secure Form located on our contact page at www.ciro.ca or dialing 1-877-442-4322 (Option 1). For company-related enquiries, please contact the company directly.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NCX\news_html\2026-02-26.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NCX/news_html/2026-02-26.html,,NONE,Trading halt notice for NorthIsle Copper and Gold,,,2024-12-31,2025-04-30
stockwatch,NCX,NorthIsle Copper and Gold Inc.,2026-02-23,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,NorthIsle to work with B.C. Critical Minerals Office,https://www.stockwatch.com/News/Item/Z-C!NCX-3787891/C/NCX,3787891,https://www.stockwatch.com/News/Sedardoc/6129673.pdf,,0,0,no,,"2026-02-23 15:25 ET - News Release
Mr. Nicholas Van Dyk reports
NORTHISLE INCLUDED IN BC'S CRITICAL MINERALS OFFICE
The Ministry of Mining and Critical Minerals of the Province of British Columbia has selected NorthIsle Copper and Gold Inc. to work with the Critical Minerals Office as the company prepares the North Island project for environmental assessment and future permitting processes. The Critical Minerals Office works with selected advanced project proponents to accelerate their permitting processes by helping co-ordinate first nations and community engagement, identify regulatory requirements early, align permitting pathways, and support readiness for future environmental assessment and regulatory processes.
Sam Lee, president and chief executive officer, commented: ""We welcome inclusion in the Critical Minerals Office and recognize this as an important catalyst for accelerating our North Island project. Co-ordination with this office, alongside our ongoing work to build consensus through meaningful first nations and stakeholder engagement, provides a pathway to efficient and expeditious project development. With continued government support and improved co-ordination, we can more effectively unlock the potential of our North Island project to deliver enduring value.""
Jagrup Brar, Minister of Mining and Critical Minerals, stated: ""NorthIsle has a great team and great leadership, the financial strength to support the project, and local support from the community. The government is serious to move forward this project and we want to send a strong message to the investment community because this project is going to move forward.""
North Island project press conference and celebration event
A joint press conference regarding the Critical Mineral Office announcement was held at the North Island project site office on Feb. 20, 2026, which is located within the territory of Kwakiutl First Nation as well as the town of Port Hardy. NorthIsle  is grateful to the hereditary leadership of Kwakiutl First Nation for welcoming the company and the other guests for this event.
NorthIsle  was honoured to host Mr. Brar, Minister of Mining and Critical Minerals of the Province of British Columbia, hereditary and elected leadership, elders and youth of Quatsino First Nation, Kwakiutl First Nation and Tlatlasikwala First Nation, the mayor and councillors of Port Hardy, and members of the local community at the company's site office for this special occasion. In total, approximately 70 people attended the event, underscoring the broad-based interest in the company's North Island project.
Update on first nations agreements
NorthIsle is pleased to announce that it now has agreements in place with all three first nations whose territories overlap the North Island project. NorthIsle confirms that its wholly owned subsidiary, North Island Mining Corp. (NIMC), has entered into agreements with Quatsino First Nation, Kwakiutl First Nation and Tlatlasikwala First Nation, establishing formal frameworks to support continued engagement, informed discussions, nation-specific processes, information sharing and exploration-related activities within each nation's respective territory. These agreements reflect several years of dialogue and relationship building and are intended to support a clear and respectful process for continuing work as well as future discussion and decision making associated with the North Island project. Collectively, the agreements now cover 100 per cent of the mineral tenure comprising the project.
About NorthIsle Copper and Gold Inc.
NorthIsle is a Vancouver-based company whose vision is to become Canada's leading sustainable mineral resource company for the future. NorthIsle, through its 100-per-cent-owned subsidiary, North Island Mining, owns the North Island project, which is one of the most promising copper and gold porphyry projects in Canada. The North Island project is located near Port Hardy, B.C., on a greater-than-34,000-hectare block of mineral titles 100 per cent owned by NorthIsle on a belt stretching 50 kilometres northwest from the now-closed Island copper mine operated by BHP Billiton. Since 2021, the company has discovered two significant deposits, expanded resources and demonstrated the economic potential of the project and is now focused on the development of this compelling project while exploring within this highly prospective land package.
NorthIsle respectfully acknowledges that the company's North Island project is located within the territories of Quatsino First Nation, Kwakiutl First Nation and Tlatlasikwala First Nation. NorthIsle is committed to collaborating with first nations to build authentic, mutually beneficial relationships.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NCX\news_html\2026-02-23.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NCX/news_html/2026-02-23.html,,NONE,Collaboration with B.C. Critical Minerals Office,,,2024-12-31,2025-04-30
stockwatch,NCX,NorthIsle Copper and Gold Inc.,2026-02-11,ON_FORMF1,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6122328.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-04-30
stockwatch,NCX,NorthIsle Copper and Gold Inc.,2026-02-10,UNDERWRITING_OR_AGENCY_AGREEMENTS_OR_AMENDMENT_THERETO,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6139154.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-04-30
stockwatch,NCX,NorthIsle Copper and Gold Inc.,2026-02-10,AUDITORS_CONSENT_LETTER,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6139142.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-04-30
