source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,NFG,New Found Gold Corp.,2025-03-21,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5864770.pdf,,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NFG/2025-03-21_NFG_AIF.pdf,,,,,,,,,2024-12-31,2025-03-21
stockwatch,NFG,New Found Gold Corp.,2026-03-05,NEWS_RELEASE_EN,not applicable,NewsRelease,New Found Gold arranges $75M (U.S.) loan facility,https://www.stockwatch.com/News/Item/Z-C!NFG-3793026/C/NFG,3793026,https://www.stockwatch.com/News/Sedardoc/6141096.pdf,,0,0,no,,"2026-03-05 12:02 ET - News Release
Mr. Keith Boyle reports
NEW FOUND GOLD ANNOUNCES US$75 MILLION TERM SHEET TO ADVANCE QUEENSWAY DEVELOPMENT
New Found Gold Corp. has entered into a non-binding term sheet for an up to $75-million (U.S.) loan facility.
The proceeds from the loan facility will be used as financing for the development of the company's 100-per-cent-owned Queensway gold project in Newfoundland and Labrador, Canada, including the procurement of long lead items, early construction activities, upgrading and expanding the company's 100-per-cent owned Pine Cove mill to accommodate Queensway phase 1 off-site milling and general working capital purposes. The loan facility, alongside cash flow from the Hammerdown gold project, is an important component of the company's overall finance strategy.
""We are pleased to enter into the term sheet for this debt financing, which will support phase 1 of our flagship Queensway gold project and enable us to remain on track with the development timeline outlined in our 2025 PEA,"" commented Keith Boyle, chief executive officer of New Found Gold. ""Once the loan facility is in place, we will be well capitalized as we advance towards a formal construction decision later this year, taking us closer to production at Queensway, which showcases a solid low-cost production profile via a phased mine plan, near-term cash flow generation and significant upside through exploration, as we aim for first production in late 2027.""
Pursuant to the non-binding term sheet, the loan facility will be documented by way of a senior secured debenture and advanced in two tranches: $50-million (U.S.) to be financed at closing (tranche 1) and, subject to the satisfaction of certain conditions and if required by the company, an additional $25-million (U.S.) to be financed no later than 15 months after closing (tranche 2) at no additional standby fee. Both tranches will be subject to customary arrangement fees. The loan facility will bear interest at a fixed annual rate of 9.25 per cent payable quarterly in arrears and will have a term of 24 months, and will be subject to a quarterly administration fee based on a fixed annual fee of 0.50 per cent.  The company will have the option to extend the term by an additional six months.  The funds to be advanced reflect principal amounts subject to an original issue discount, which will increase if the term is extended.
In connection with the loan facility and subject to the approval of the TSX Venture Exchange, the company will issue to Nebari Natural Resources Credit Fund II LP (the lender) at closing non-transferable warrants for the purchase of common shares in the company. The warrants issued in connection with tranche 1 will have an aggregate value of $3.75-million (U.S.), and the warrants issued in connection with tranche 2 will have an aggregate value of $1,875,000 (U.S.). Each warrant will be exercisable for one common share of the company at an exercise price equal to a 25-per-cent premium to the lower of the volume-weighted average price of the common shares of the company on the TSX Venture Exchange for the 20 trading days prior to (a) the date hereof, and (b) the date the warrants are issued, provided that the exercise price will not be below the market price as determined by the TSX-V. The warrants will be exercisable for a period of 24 months following closing. If the company extends the term of the loan by an additional six months, the expiration date of the warrants will also be extended by six months if permitted by the TSX-V.
All direct and indirect subsidiaries of the company will guarantee the loan facility.  The company and such guarantors will secure the loan facility with first-lien security interests over all of their present and after-acquired real and personal property.
The provision of the loan facility remains subject to customary conditions precedent, such as the negotiation, execution, delivery and registration of definitive financing documents, completion of due diligence to the lender's satisfaction, receipt of all necessary corporate and regulatory approvals (including approval of the TSX-V), and approval by the lender's investment committee. The term sheet includes a mutual break fee in the event of a termination by either party prior to closing.
Cutfield Freeman & Co. Ltd. (CF&Co), an independent global mining finance advisory firm, is acting as financial advisers to the company in relation to the loan facility and its overall project finance strategy (see the New Found Gold press release dated Nov. 28, 2025).
The company appreciates the interest from other finance providers who were willing to support New Found Gold and were eager to be part of the company's growth.
About New Found Gold Corp.
New Found Gold is an emerging Canadian gold producer with assets in Newfoundland and Labrador, Canada. The company holds a 100-per-cent interest in Queensway and Hammerdown, which includes the Hammerdown deposit and fully permitted milling and tailings facilities. The company is currently focused on advancing its flagship Queensway to production and bringing the Hammerdown deposit into commercial gold production.
In July, 2025, the company completed a PEA (preliminary economic assessment) at Queensway (see New Found Gold press release dated July 21, 2025). Recent drilling continues to yield new discoveries along strike and down dip of known gold zones, pointing to the district-scale potential that covers a 110-plus-kilometre strike extent along two prospective fault zones at Queensway.
Through 2025 New Found Gold built a new board of directors and management team and has a solid shareholder base which includes cornerstone investor Eric Sprott. The company is focused on growth and value creation.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NFG\news_html\2026-03-05.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NFG/news_html/2026-03-05.html,,NONE,Loan facility arranged for Queensway development,,,2024-12-31,2025-03-21
stockwatch,NFG,New Found Gold Corp.,2026-03-01,NEWS_RELEASE_EN,not applicable,NewsRelease,New Found Gold Grade Control Drilling Continues to Deliver At-Surface High Grade Gold over Broad Widths at Queensway:,https://www.stockwatch.com/News/Item/Z-C!NFG-3791017/C/NFG,3791017,https://www.stockwatch.com/News/Sedardoc/6137119.pdf,,0,0,no,,"2026-03-01 09:01 ET - News Release
Vancouver, British Columbia--(Newsfile Corp. - March 1, 2026) - New Found Gold Corp. (TSXV: NFG) (NYSE American: NFGC) (""
New Found Gold
"" or the ""
Company
"") is pleased to announce the final results of the Company's 2025 grade control drill program on its 100%-owned Queensway Gold Project (""
Queensway
"" or the ""
Project
"") in Newfoundland and Labrador, Canada, including results from the Keats zone (""
Keats
"") and Iceberg zone (""
Iceberg
"") excavations in the AFZ Core (""
AFZC
""), completed as part of the Company's 2025 drill program.
Iceberg excavation highlights include:
71.8 g/t Au over 31.95 m from 37.80 m (NFGC-25-GC-069)
[1]
76.6 g/t Au over 16.00 m from 51.45 m (NFGC-25-GC-055)
44.4 g/t Au over 21.55 m from 13.40 m (NFGC-25-GC-072)
35.4 g/t Au over 21.20 m from 34.95 m (NFGC-25-GC-061)
31.6 g/t Au over 18.65 m from 3.60 m (NFGC-25-GC-106)
40.6 g/t Au over 12.70 m from 40.35 m (NFGC-25-GC-118)
41.1 g/t Au over 11.40 m from 40.40 m (NFGC-25-GC-079)
55.4 g/t Au over 8.30 m from 21.75 m (NFGC-25-GC-107)
43.2 g/t Au over 19.85 m from 16.80 m (NFGC-25-GC-082)
Keats excavation highlights include:
51.3 g/t Au over 3.40 m from 54.60 m (NFGC-25-GC-115)
11.8 g/t Au over 9.95 m from 13.20 m (NFGC-25-GC-065)
9.73 g/t Au over 11.30 m from 9.75 m (NFGC-25-GC-063)
15.9 g/t Au over 5.85 m from 4.90 m (NFGC-25-GC-115)
40.3 g/t Au over 2.25 m from 23.95 m (NFGC-25-GC-068)
16.9 g/t Au over 3.90 m from 1.00 m (NFGC-25-GC-071)
Melissa Render, President of New Found Gold stated:
""These final results from our highly successful 2025 grade control drill program at the Keats and Iceberg excavations continue to deliver consistently high gold grades over broad widths, returning some of the best intercepts we have drilled to date at Queensway. We continue to systematically de-risk Queensway, as demonstrated by the continuity of high-grade gold mineralization in these at-surface zones targeted for early open pit mining in our 2025 PEA Phase 1 mine plan.""
Work Summary
The results presented in this release include the final 907 m of drilling in 32 diamond drill holes (""
DDH
"") from the Keats excavation (""
KEGCDP
"") and the entirety of the 2,390 m of drilling in 40 DDH from the Iceberg excavation (""
IEGCDP
"") 2025 grade control drill program (Figures 1 to 4). The KEGCDP and IEGCDP were designed to improve confidence in the distribution of high-grade, near- to at-surface gold mineralization and support mine planning as outlined in the 2025 Preliminary Economic Assessment (""
PEA
"") Phase 1 open pits (see the New Found Gold press release dated
July 21 2025
). Drill highlights, along with detailed results for these 72 DDH, are provided in Tables 1 to 3 below.
The full KEGCDP comprises 2,773 m in 84 DDH; for the previously reported KEGCDP results see the New Found Gold press releases dated
December 1, 2025
and
February 2, 2026
and highlights below. The full IEGCDP comprises 2,390 m of drilling in 40 DDH and all results are reported in this press release.
The KEGCDP tested a volume that is approximately 65 m long by 30 m deep by 40 m wide and the IEGCDP a volume that is approximately 60 m long by 35 m deep by 40 m wide with a drill spacing of 5 m by 5 m and includes the near- to at-surface high-grade portions of Keats and Iceberg that were exposed as part of the Company's excavation programs (see the New Found Gold press releases dated
September 23, 2024
,
December 2, 2024
,
September 25, 2025
,
December 1, 2025
and
February 2, 2026
).
Results released to date correlate well with the initial mineral resource estimate (""
MRE
"") block model and indicate strong continuity of -high grade mineralized shoots at both Keats and Iceberg, providing improved definition of their geometry, with most intervals occurring at or within a few meters of surface. The detailed geostatistical data from this phase of work will further validate the resource models, specifically by increasing confidence in grade-capping and influence-limiting parameters applied to high-grade intersections in advance of a MRE update and subsequent mine planning.
The Keats and Iceberg zones are hosted within the Keats-Baseline Fault Zone (""
KBFZ
""), a high-grade gold-bearing structure that has been defined over a current strike length of 1.9 kilometres (""
km
""). This corridor consists of a broad mineralized fault zone with limited deep drill testing to date. Drilling completed in 2024 confirms that the system extends to vertical depths of up to 1.1 km (see the New Found Gold press releases dated
July 11, 2024
,
October 31, 2024
, and
April 29, 2025
).
Figure 1:
Plan view map of the AFZC with location of Keats and Iceberg excavation grade control drill programs.
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/7337/285803_de2d97bbf46729b2_001full.jpg
Iceberg excavation grade control drill program (this press release):
71.8 g/t Au over 31.95 m from 37.80 m (NFGC-25-GC-069)
76.6 g/t Au over 16.00 m from 51.45 m (NFGC-25-GC-055)
44.4 g/t Au over 21.55 m from 13.40 m (NFGC-25-GC-072)
35.4 g/t Au over 21.20 m from 34.95 m (NFGC-25-GC-061)
31.6 g/t Au over 18.65 m from 3.60 m (NFGC-25-GC-106)
40.6 g/t Au over 12.70 m from 40.35 m (NFGC-25-GC-118)
