source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,PPX,PPX Mining Corp.,2026-03-12,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,PPX Mining's Igor project permitting process continues,https://www.stockwatch.com/News/Item/Z-C!PPX-3795505/C/PPX,3795505,https://www.stockwatch.com/News/Sedardoc/6146112.pdf,,0,0,no,,"2026-03-12 20:54 ET - News Release
Mr. Ernest Mast reports
PPX ADVANCES PERMITTING PROCESS FOR ELECTRICAL TRANSMISSION LINE TO THE IGOR PROCESSING PLANT
PPX Mining Corp. has continued to make progress in the permitting process required to connect the Igor project processing plant to the public medium-voltage electrical grid.
To date, the company has achieved two key milestones: the approval of the detailed electrical engineering for the transmission line and the issuance of the certificate of non-existence of archeological remains, confirming that the project area is free of archeological remains.
The principal supporting documents include:
Official letter issued by the Ministry of Culture on March 3, 2026, confirming the non-existence of archeological remains -- surface No. 105-2026-DDC-LIB/MC for the electrical transmission line project, based on the detailed engineering presented in technical report No. GR/P -- SU-IT-006-2026 prepared by Hidrandina;
Technical approval issued by Distriluz (Hidrandina) under official letter No. HDNA-GR-0100-2026, granting technical conformity for the 13.8-kilovolt medium-voltage utilization system (designed for 22.9 kilovolts) with a maximum demand of 1.5 megawatts for the Igor project; the approval was granted on Jan. 23, 2026, based on technical report No. GR/P -- SU-IT-006-2026.
The planned electrical transmission line will extend approximately 6.3 kilometres, connecting the Igor project to an authorized connection point in the district of Huaranchal, province of Otuzco, department of La Libertad.
Construction of the transmission line will commence following the reinforcement of the existing electrical distribution network to Huaranchal. This reinforcement project will be executed by the Peruvian government through the Distriluz Group, specifically Hidrandina SA, under the project titled: ""Improvement of Medium Voltage Feeders (AMTS) 13.2 kV CHA001 and CHA002 in the Districts of Charat, Usquil and Huaranchal, Province of Otuzco -- Department of La Libertad.""
The initial phase of this project, consisting of the servitude clearance process, is currently under way. The government project will upgrade approximately 50.93 kilometres of medium-voltage lines and represents an investment of approximately 12.25 million Peruvian soles.
Access to grid power is expected to significantly improve the economics of the Igor processing plant by reducing operating costs associated with diesel-generated electricity and improving the overall energy efficiency of the operation. Transitioning to grid power is also expected to reduce the project's environmental footprint through lower fuel consumption and associated emissions.
Ernest Mast, president and chief executive officer of PPX Mining, commented: ""Connecting the Igor plant to the public electrical grid will optimize our operating costs and lower the project's reliance on diesel fuel. While the initial commissioning of the plant will utilize diesel power, our objective is to complete the remaining milestones required to construct our dedicated transmission line from the nearest grid connection point.""
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\PPX\news_html\2026-03-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/PPX/news_html/2026-03-12.html,,NONE,Progress on permitting for electrical transmission line,,,2023-12-31,2024-03-30
stockwatch,PPX,PPX Mining Corp.,2026-03-05,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,PPX Hosts Medical Outreach Campaign for Local Communities,https://www.stockwatch.com/News/Item/Z-C!PPX-3793049/C/PPX,3793049,https://www.stockwatch.com/News/Sedardoc/6141416.pdf,,0,0,no,,"2026-03-05 14:00 ET - News Release
TORONTO, ON /
ACCESS Newswire
/ March 5, 2026 /
PPX Mining Corp. (TSX.V:PPX)(BVL:PPX)
(the ""Company"" or ""PPX"") is pleased to announce that it continues to actively support the health and well-being of the communities surrounding its Igor Project in northern Peru, consistent with the Company's long-standing good-neighbor policy and commitment to responsible community engagement.
Following its December 2025 donation of medical equipment, furniture, and essential supplies to the Huaranchal Health Center, PPX, through its Peruvian subsidiaries, recently organized and successfully carried out a two-day medical outreach campaign on February 21 and 22, 2026 for residents of the district of Huaranchal and nearby communities, including Igor, Tres Piedras and surrounding villages, located in the province of Otuzco, La Libertad region.
The initiative was very well received by the local population and represents another step in strengthening the relationship between the Company and the communities that host its operations.
Highlights of the medical campaign included:
A medical team of seven specialist physicians and one nurse traveled from Trujillo to provide professional healthcare services to local residents.
The transport and installation of specialized medical equipment for the Huaranchal Health Center, including ultrasound units, dental and laboratory equipment used to test for diabetes and cholesterol levels.
Donation of medications and medical supplies to the Huaranchal Health Center to support ongoing local healthcare services.
Medical services related to pediatrics, gynecology, ophthalmology, general medicine, internal medicine, laboratory diagnostics, and pharmacy.
Approximately 2,000 residents, including children and adults, received medical consultations and treatment during the two-day campaign.
Working in coordination with the staff of the Huaranchal District Health Center, the visiting medical team ensured proper attention for elderly residents, pregnant women, and children, helping address healthcare needs in communities that often have limited access to specialized medical services.
PPX intends to continue organizing similar medical campaigns in the future, in coordination with government health authorities and local community leaders, as part of the Company's ongoing commitment to supporting the well-being of neighboring communities and fostering sustainable, responsible development in the region.
PPX is pleased to share several photographs from the medical campaign illustrating the services provided during the two-day event. Images reflect the collaborative effort between the visiting medical team, local health authorities and PPX personnel to deliver comprehensive healthcare services to the Huaranchal community:
Ernest Mast, President and CEO of PPX Mining Corp., commented: ""Supporting the health and well-being of the communities around the Igor is a fundamental part of how we operate. We are proud to work alongside local health authorities to bring specialized medical services to Huaranchal and nearby communities. Initiatives like this medical campaign reflect our long-term commitment to being a responsible partner in the region and to contributing positively to the quality of life of the families who live near our operations"".
On behalf of the Board of Directors
Ernest Mast
President and Chief Executive Officer
82 Richmond Street East
Toronto, Ontario M5C 1P1
Canada
416-361-0737
Neither TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this release.
Cautionary Statement:
This press release contains forward-looking information and forward-looking statements (collectively, ""
forward-looking statements
"") as such terms are defined by applicable securities laws, including, but not limited to statements regarding test results, future plans or management estimates. Forward-looking statements are statements that relate to future events. In this context, forward-looking statements often address expected future business and financial performance and often contain words such as ""anticipate,"" ""believe,"" ""plan,"" ""estimate,"" ""expect,"" and ""intend,"", statements that an action or event ""may,"" ""might,"" ""could,"" ""should,"" or ""will"" be taken or occur, or other similar expressions. Forward-looking statements are subject to a number of known and unknown risks and uncertainties, many of which involve factors or circumstances that are beyond the Company's control, and the Company's actual results could differ materially from those stated or implied in forward-looking statements due to many various factors. Such uncertainties and risks include, among others, delays in obtaining or inability to obtain required regulatory approvals in connection with this transaction. Although the Company believes that the expectations reflected in the forward-looking statements are reasonable, the Company cannot guarantee that the events and circumstances reflected in the forward-looking statements will be achieved or occur. The timing of events and circumstances and actual results could differ materially from those projected in the forward-looking statements. Accordingly, one should not place undue reliance on forward- looking statements. All forward-looking statements contained in this press release are made as of today's date, and the Company undertakes no obligation to update or publicly revise any forward-looking statements, whether as a result of new information, future events or otherwise, unless required by law.
SOURCE:
PPX Mining Corp.
View the original
press release
on ACCESS Newswire
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\PPX\news_html\2026-03-05.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/PPX/news_html/2026-03-05.html,,NONE,Medical outreach campaign for local communities,,,2023-12-31,2024-03-30
stockwatch,PPX,PPX Mining Corp.,2026-02-27,NOTICE_OF_MEETING_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6136766.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,PPX,PPX Mining Corp.,2026-02-27,MANAGEMENT_INFORMATION_CIRCULAR_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6136767.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,PPX,PPX Mining Corp.,2026-02-27,FORM_OF_PROXY_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6136768.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,PPX,PPX Mining Corp.,2026-02-27,OTHER,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6136769.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,PPX,PPX Mining Corp.,2026-02-27,OTHER,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6136770.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,PPX,PPX Mining Corp.,2026-02-27,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6135469.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,PPX,PPX Mining Corp.,2026-02-27,INTERIM_MDA_EN,gold and precious metals,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6135470.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\PPX\pdfs\MD&A\2026-02-27_PPX_MD&A_INTERIM_MDA_EN.pdf,27,858,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/PPX/2026-02-27_PPX_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2023-12-31,2024-03-30
stockwatch,PPX,PPX Mining Corp.,2026-02-27,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6135471.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
