source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,PWM,POWER METALS CORP.,2026-01-14,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Power Metals resumes Case Lake field programs,https://www.stockwatch.com/News/Item/Z-C!PWM-3774193/C/PWM,3774193,https://www.stockwatch.com/News/Sedardoc/6101168.pdf,,0,0,no,,"2026-01-14 18:31 ET - News Release
Mr. Johnathan More reports
UPDATE ON CASE LAKE AS FIELD PROGRAMS RESUME
Power Metals Corp. has provided an update on activities under way at the company's Case Lake project in Ontario, Canada.
Major highlights
Groundwater well drilling completed and surface hydrology analysis continuing at West Joe dike;
Environmental geochemistry sampling program completed;
Biological field studies program completed;
Continuing engagement with the Ontario Ministry to fast track permitting.
Hydrology and environmental programs
Power Metals has remobilized field teams to complete environmental drilling of hydrogeological flow wells and groundwater monitoring wells at West Joe. The program, which commenced in late November, is expected be completed in coming weeks with a total of 11 groundwater wells drilled at West Joe. Well monitoring is expected to be operational by the end of the month with the company's environmental team Blue Heron Environmental.
The company has also recommenced its monthly surface hydrology analysis program across six locations and two flow monitoring locations for 2026. This program started in late 2024 with all monitoring and data collection conducted in conjunction with traditional landowners.
Environmental geochemistry analysis was conducted on a total of 69 rock samples for acid mine drainage and trace metals from waste rock within and surrounding the West Joe pit shell. Samples have been dispatched to the laboratory for analysis and results will start returning in February, 2026.
The company's biological analysis program on local flora and fauna species across the entire Case Lake project area has concluded with the final report received from environmental consultants in late 2025. Currently no major flora or fauna risks have been identified, which opens the path to implementing environmental mitigation plans that continue to fast-track permitting for the project.
Permitting pathway
Permitting required for various other aspects of the project continue to be at the forefront for the company and are progressing through interface with both government and industry bodies. The company has continued discussions for advancing it is One Process One Permit (1P1P) application with the Ontario Ministry in parallel to baseline studies and permit applications.
Mining operations at Case Lake remain on track to commence this year with the company's downstream partner Albermarle (New York Stock Exchange: ALB) prepared commence commercial production of cesium oxide in 2026.
This mining, processing and production sequence will represent the first new generation of cesium operations to support an integrated North American supply chain.
Haydn Daxter, chief executive officer and director of Power Metals, commented:
""Power Metals has a big year ahead and we are working our way through required studies, data collection and analyses to keep mining, processing, and commercial cesium oxide production on track in 2026.
""This includes ongoing engagement with government, industry bodies and working closely with our traditional landowner partners to identify required permitting areas.
""We're highly supportive of the Ontario government's provincial One Process One Permit framework to help streamline and accelerate permitting that will ultimately allow development and operations at Case Lake.""
Johnathan More, chairman of Power Metals, commented:
""Securing an offtake agreement with Albermarle in late 2025 and now completing a range of hydrology and environmental studies gives us great momentum entering 2026.
""We look forward to creating a new integrated North American cesium supply chain as we work with our partners to get the low-capital, high-value Case Lake project into development and production, as well as ramping up further targeted exploration work early this year.""
Case Lake property
The Case Lake property is located 80 km east of Cochrane in Northeastern Ontario, near the Ontario-Quebec border. It comprises 586 cell claims across Steele, Case, Scapa, Pliny, Abbotsford and Challies townships within the Larder Lake mining division. The property is 10 kilometres by 9.5 kilometres in size with 14 granitic domes.
The Case Lake pegmatite swarm consists of six spodumene dikes known as the North, Main, South, East and Northeast dikes on the Henry Dome, and the West Joe dike on a new dome, collectively forming mineralization trend that extends for approximately 10 km.
Power Metals has completed several exploration campaigns leading to the discovery and expansion of new and historic spodumene-bearing LCT pegmatites at Case Lake. The company has drilled a total of 23,976 metres of core between 2017 and 2024 at the property. The Case Lake property is owned 100 per cent by Power Metals. A National Instrument 43-101 technical report has been prepared on Case Lake property and filed on July 18, 2017.
Decelles property
The Decelles property contains 247 claims, covering 14,229 hectares of LCT prospective ground near the mining centres of Val d'Or and Rouyn-Noranda, approximately 600 km from Montreal.
Power Metals acquired the Decelles and Mazerac properties from Winsome Resources in 2023 in a deal that increased Winsome equity stake in the company (refer to press release announced on Aug. 24, 2023). The geology of Decelles property is part of the Archean Pontiac subprovince where S-type LCT prospective, pegmatite-bearing, granitic Decelles batholith intrudes into metasedimentary units of the Pontiac Group.
Spodumene- and beryl-bearing pegmatites have been reported historically within the Pontiac subprovince in association with S-type garnet-muscovite granite. The Decelles property is adjacent to Vision Lithium's Cadillac property where discovery of high-grade lithium pegmatites was reported in 2022.
Mazerac property
The Mazerac property is located approximately 30 km east of Power Metals' Decelles property near well-established mining camps in the Abitibi region of Canada and is accessible by network of mining-grade forestry roads. The Mazerac property contains 115 claims that cover 6,653 hectares of LCT prospective ground near the mining centre of Val d'Or and Rouyn-Noranda. The regional geology of Mazerac is similar to Decelles where S-type LCT prospective, pegmatite-bearing, granites of Decelles batholith intrude into metasedimentary units of the Pontiac Group. Spodumene- and beryl-bearing pegmatites have been reported historically within the Pontiac subprovince in association with S-type garnet-muscovite granite.
Pollucite and cesium
Pollucite is a rare mineral that hosts high-grade cesium and is associated with highly fractionated, rare element pegmatites. The main source of cesium known globally is pollucite. Currently there is no operational mining of high-grade cesium from pollucite occurring globally.
Scientific and technical disclosure
The scientific and technical disclosure included in this news release has been reviewed and approved by Amanuel Bein, MSc, PGeo, vice-president of exploration for Power Metals, a qualified person under National Instrument 43-101 -- Standards of Disclosure of Mineral Projects (NI 43-101) and a member in good standing with Association of Professional Geoscientists of Ontario (3524).
About Power Metals Corp.
Power Metals is a Canadian exploration company focused on developing high-quality critical mineral projects. Its flagship Case Lake property in Ontario -- 100 per cent owned by Power Metals -- is a high-grade cesium, lithium and tantalum asset.
Beyond Case Lake, the company's portfolio includes the Decelles and Mazerac properties near Val d'Or, Que. Together, these assets cover 947 claims spanning more than 330 square kilometres of lithium-cesium-tantalum (LCT) prospective ground. As global demand for critical minerals continues to grow global, and particularly in North America, Power Metals is strategically advancing its projects to support the continent's growing supply needs.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\PWM\news_html\2026-01-14.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/PWM/news_html/2026-01-14.html,,NONE,Update on Case Lake field programs,,,2024-01-31,2024-04-02
stockwatch,PWM,POWER METALS CORP.,2025-12-16,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Power Metals' Case Lake moves toward production,https://www.stockwatch.com/News/Item/Z-C!PWM-3766347/C/PWM,3766347,https://www.stockwatch.com/News/Sedardoc/6085928.pdf,,0,0,no,,"2025-12-16 19:34 ET - News Release
Mr. Haydn Daxter reports
A NEW STRATEGIC CHAPTER BEGINS AS ALBEMARLE PARTNERSHIP CLEARS THE PATH TO CASE LAKE PRODUCTION
Power Metals Corp. has provided a company update for the Case Lake project in Ontario, Canada.
Power Metals is entering a pivotal new phase as the Case Lake cesium project advances toward production. The momentum is being driven by strong technical progress, strengthened partnerships and a landmark agreement with one of the world's leading critical mineral companies.
The recent prepayment and offtake agreement with Albemarle has reshaped the trajectory of the project, providing both validation and a clear pathway toward development.
This partnership brings global chemical expertise directly into the fold while securing a non-dilutive source of financing that supports the next stage of work on site.
With up to $5-million in financing available through staged payments tied to permitting milestones, the project has enhanced financial certainty as it moves toward construction.
Equally important is what this agreement signals for North America. Case Lake is emerging at a time when global cesium supply is rapidly diminishing, and market participants are seeking reliable, transparent and politically aligned sources of critical minerals.
Albemarle's involvement underscores Case Lake's potential to anchor a rebuilt North American cesium ecosystem -- one that can serve high-value technologies without reliance on overseas refining.
On the ground, the company continues to make strong progress across technical, permitting and community partnership milestones. Recent laboratory testwork has reaffirmed the project's ability to produce a clean, high-grade cesium concentrate through a simple, dry and chemical-free process.
This flow sheet not only reduces development complexity but also avoids tailings, providing a meaningful environmental advantage and helping to streamline the permitting pathway.
At the same time, geological work continues to strengthen the scale potential of the deposit.
Positive, comprehensive first nations engagement
A core pillar of the project's advancement has been continuing collaboration with the traditional landowners of Apitipi Anicinapek Nation.
These relationships are crucial in shaping a development plan that is both technically robust and aligned with AAN's expectations. PWM is working closely with contractors from the AAN community across drilling, environmental monitoring and field support, ensuring economic opportunities flow back into the region as the project matures.
This combination of technical validation, community partnership and commercial endorsement is generating meaningful momentum. This has been strengthened with the company conducting continuing meetings and site visits with the members of AAN and the Ontario ministry over the recent months.
AAN and PWM have recently completed the signing of a participation agreement and are currently negotiating an impacts benefits agreement with the nation to finalize a clear path forward as Case Lake moves into production.
Production targeted for late 2026
With permitting advancing, baseline studies under way, and outreach to government and industry progressing strongly, Case Lake is on track to become one of the first new cesium operations to enter production in decades and one of the only projects with the grade, simplicity and location to support an integrated North American supply chain.
As global markets seek diversification away from historical monopolies, Case Lake is increasingly viewed as a strategically important asset with the potential to deliver long-term value, new industry capability and greater security of supply.
The year ahead will be transformative, and PWM looks forward to updating stakeholders as Case Lake moves into its next phase of development with the key milestones under way or completed:
Closure plan;
PA and IBA;
Mining claims;
Timber harvesting;
Permitting and approvals;
Offtake partner.
High-quality cesium grades
Case Lake is one of the highest-grade cesium systems discovered globally, with pollucite lenses returning grades up to 26 per cent and remaining open at depth.
With 17 new targets identified across the property and early indicators of additional mineralized lenses, the company is confident in the long-term growth potential beyond the initial resource.
Exploration has been scheduled to recommence in 2026 across Case Lake on several new targets to add additional value to the company as we remain focused on production milestones, with permitting and approvals.
About Power Metals Corp.
Power Metals is a Canadian exploration company focused on developing high-quality critical mineral projects. Its flagship Case Lake property in Ontario -- 100 per cent owned by Power Metals -- is a high-grade cesium, lithium and tantalum asset.
Beyond Case Lake, the company's portfolio includes the Decelles and Mazerac properties near Val d'Or, Que. Together, these assets cover 947 claims spanning more than 330 square kilometres of lithium-cesium-tantalum prospective ground. As global demand for critical minerals continues to grow globally, and particularly in North America, Power Metals is strategically advancing its projects to support the continent's growing supply needs.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\PWM\news_html\2025-12-16.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/PWM/news_html/2025-12-16.html,,NONE,Update on Case Lake project progress,,,2024-01-31,2024-04-02
stockwatch,PWM,POWER METALS CORP.,2025-12-12,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Power Metals signs $5M cesium offtake deal w/ Albemarle,https://www.stockwatch.com/News/Item/Z-C!PWM-3765187/C/PWM,3765187,https://www.stockwatch.com/News/Sedardoc/6083745.pdf,,0,0,no,,"2025-12-12 16:27 ET - News Release
Mr. Johnathan More reports
POWER METALS REACHES CESIUM CONCENTRATE OFFTAKE AGREEMENT WITH ALBEMARLE
Albemarle Corp. has agreed to a 
    $5-million
    prepayment arrangement for cesium oxide concentrate from 
    Power Metals Corp.'s Case Lake project in Ontario, Canada.
Major highlights
Power Metals secures significant commercial milestones with Albemarle Corp., 
    one of the world's leading critical minerals companies, which has acquired the current offtake agreement from Winsome Resources (Australian Securities Exchange: WR1) for the Case Lake project;
Deal sees Albemarle purchase Winsome Resources offtake rights in Power Metals Corp's Case Lake project;
Case Lake hosts near-surface, high-grade cesium with Albemarle securing the rights to all project offtake;
Under the offtake agreement, Albemarle has agreed to prepay for up to $5-million of cesium oxide concentrate from the Case Lake project;
Agreement delivers clear benefits to existing Power Metals shareholders by providing access to project funding through a fully non-dilutive transaction structure;
Case Lake is currently advancing toward its production target for 2026.
The milestone involves Albemarle also acquiring current offtake rights held by Winsome Resources (ASX: WR1), marking a significant endorsement from one of the world's leading critical-minerals companies.
It also underscores the growing importance of Case Lake as a strategic asset and the role it is poised to play in securing North America's cesium supply chain.
Pursuant to a purchase agreement between Winsome and Albemarle, Winsome is assigning its Case Lake offtake rights to Albemarle. Winsome will retain its 15.8-per-cent shareholding of Power Metals and looks forward to continued collaboration with both PWM and Albemarle as the project advances.
The offtake rights were previously held by Hong Kong-based Sinomine Resources Ltd. in 2020, before being rescinded through intervention by the government of Canada in 2022, at which point Winsome Resources acquired the rights.
The agreement highlights a clear shift in the global critical minerals landscape, with an increased focus on securing the North American supply chains.
The prepayment commitment is conditional on Power Metals securing necessary approvals and permits to commence mining at Case Lake, and provides financing in stages as key development milestones are achieved:
$2-million
     promptly following execution of the prepayment commitment;
$3-million
     upon delivery of Environmental Compliance Approval (ECA) for the Case Lake project in 2026.
The transaction strengthens Power Metals position as a key player in the global cesium market, with the project now backed by one of the sector's most influential producers.
Power Metals chief executive officer and director Haydn Daxter commented:
""We are incredibly pleased with Albemarle's participation as we continue to strengthen our footprint in Canada for critical minerals. Albemarle's expertise in producing high-value cesium chemicals secures the downstream component of our strategy while bolstering the emergence of an integrated cesium market.""
Power Metals chairman and director Johnathan More commented:
""This agreement is a significant step for Power Metals and a strong outcome for our shareholders. The prepayment structure provides access to funding without dilution, allowing us to advance Case Lake while preserving the value of the company. With the project's extremely low capital requirements, under $8-million required, this support positions us well to move toward production and unlock the full potential of our cesium opportunity.""
Case Lake property
The Case Lake property is located 80 kilometres east of Cochrane in Northeastern Ontario, near the Ontario-Quebec border. It comprises 586 cell claims across Steele, Case, Scapa, Pliny, Abbotsford and Challies townships within the Larder Lake mining division. The property is 10 kilometres by 9.5 km in size with 14 granitic domes.
The Case Lake pegmatite swarm consists of six spodumene dikes known as the North, Main, South, East and Northeast dikes on the Henry Dome, and the West Joe dike on a new dome, collectively forming mineralization trend that extends for approximately 10 km.
Power Metals has completed several exploration campaigns leading to the discovery and expansion of new and historic spodumene-bearing LCT pegmatites at Case Lake. The company has drilled a total of 23,976 metres of core between 2017 and 2024 at the property. The Case Lake property is owned 100 per cent by Power Metals. A National Instrument 43-101 technical report has been prepared on Case Lake property and filed on July 18, 2017.
Decelles property
The Decelles property contains 247 claims, covering 14,229 hectares of LCT prospective ground near the mining centres of Val d'Or and Rouyn-Noranda, approximately 600 km from Montreal.
Power Metals acquired the Decelles and Mazerac properties from Winsome Resources in 2023 in a deal that increased Winsome equity stake in the company (refer to press release announced on 
    Aug. 24, 2023). The geology of Decelles property is part of the Archean Pontiac subprovince where S-type LCT prospective, pegmatite-bearing, granitic Decelles batholith intrudes into metasedimentary units of the Pontiac Group.
Spodumene- and beryl-bearing pegmatites have been reported historically within the Pontiac subprovince in association with S-type garnet-muscovite granite. The Decelles property is adjacent to Vision Lithium's Cadillac property where discovery of high-grade lithium pegmatites was reported in 2022.
Mazerac property
The Mazerac property is located approximately 30 km east of Power Metals Decelles property near well-established mining camps in the Abitibi region of Canada and is accessible by network of mining-grade forestry roads.
The Mazerac property contains 115 claims that cover 6,653 hectares of LCT prospective ground near the mining centre of Val d'Or and Rouyn-Noranda. The regional geology of Mazerac is similar to Decelles where S-type LCT prospective, pegmatite-bearing, granites of Decelles batholith intrude into metasedimentary units of the Pontiac Group. Spodumene- and beryl-bearing pegmatites have been reported historically within the Pontiac subprovince in association with S-type garnet-muscovite granite.
Pollucite and cesium
Pollucite is a rare mineral that hosts high-grade cesium and is associated with highly fractionated, rare element pegmatites. The main source of cesium known globally is pollucite. Currently there is no operational mining of high-grade cesium from pollucite occurring globally.
About 
    Power Metals Corp.
Power Metals is a Canadian exploration company focused on developing high-quality critical mineral projects. Its flagship Case Lake property in Ontario -- 100 per cent owned by Power Metals -- is a high-grade cesium, lithium and tantalum asset.
Beyond Case Lake, the company's portfolio includes the Decelles and Mazerac properties near Val D'Or, Que. Together, these assets cover 947 claims spanning more than 330 square kilometres of lithium-cesium-tantalum (LCT) prospective ground. As global demand for critical minerals continues to grow global, and particularly in North America, Power Metals is strategically advancing its projects to support the continent's growing supply needs.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\PWM\news_html\2025-12-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/PWM/news_html/2025-12-12.html,,NONE,Cesium offtake agreement with Albemarle,,,2024-01-31,2024-04-02
stockwatch,PWM,POWER METALS CORP.,2025-10-30,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6044462.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,PWM,POWER METALS CORP.,2025-10-30,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6044463.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,PWM,POWER METALS CORP.,2025-10-30,INTERIM_MDA_EN,gold and precious metals,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6044446.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\PWM\pdfs\MD&A\2025-10-30_PWM_MD&A_INTERIM_MDA_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/PWM/2025-10-30_PWM_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,PWM,POWER METALS CORP.,2025-10-30,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6044436.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,PWM,POWER METALS CORP.,2025-10-22,TECHNICAL_REPORT_NI_43101_EN,gold and precious metals,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6037982.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\PWM\pdfs\NI43-101\2025-10-22_PWM_NI43-101_TECHNICAL_REPORT_NI_43101_EN.pdf,141,6697,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/PWM/2025-10-22_PWM_NI43-101_TECHNICAL_REPORT_NI_43101_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,PWM,POWER METALS CORP.,2025-10-22,CONSENT_OF_QUALIFIED_PERSON_NI_43101_EN,gold and precious metals,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6037983.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,PWM,POWER METALS CORP.,2025-10-17,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6035441.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
