source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,REG,REGULUS RESOURCES INC.,2026-02-26,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134018.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,REG,REGULUS RESOURCES INC.,2026-02-26,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134024.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,REG,REGULUS RESOURCES INC.,2026-02-26,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6134021.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\REG\pdfs\MD&A\2026-02-26_REG_MD&A_INTERIM_MDA_EN.pdf,14,498,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/REG/2026-02-26_REG_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2023-12-31,2024-03-30
stockwatch,REG,REGULUS RESOURCES INC.,2026-02-26,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6134023.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,REG,REGULUS RESOURCES INC.,2026-01-28,MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6111948.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\REG\pdfs\MD&A\2026-01-28_REG_MD&A_MDA_EN.pdf,15,478,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/REG/2026-01-28_REG_MD&A_MDA_EN.pdf,,,,,,,,,2023-12-31,2024-03-30
stockwatch,REG,REGULUS RESOURCES INC.,2026-01-28,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6111950.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,REG,REGULUS RESOURCES INC.,2026-01-28,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6111951.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,REG,REGULUS RESOURCES INC.,2026-01-28,AB_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6111939.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,REG,REGULUS RESOURCES INC.,2026-01-28,ON_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6111940.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,REG,REGULUS RESOURCES INC.,2026-01-28,AUDITED_ANNUAL_FINANCIAL_STATEMENTS_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6111921.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,REG,REGULUS RESOURCES INC.,2025-08-29,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6007320.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
