source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,ROCK,Rockridge Resources Ltd.,2025-01-28,NOTICE,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/5826026.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,ROCK,Rockridge Resources Ltd.,2025-01-24,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/5823472.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ROCK\pdfs\MaterialChange\2025-01-24_ROCK_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,6,176,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ROCK/2025-01-24_ROCK_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Three-way merger completed,,,,,2023-12-31,2024-03-30
stockwatch,ROCK,Rockridge Resources Ltd.,2025-01-24,NEWS_RELEASE_EN,not applicable,NewsRelease,"Eros, MAS Gold, Rockridge complete three-way merger",https://www.stockwatch.com/News/Item/Z-C!ROCK-3644766/C/ROCK,3644766,https://www.stockwatch.com/News/Sedardoc/5823083.pdf,,0,0,no,,"2025-01-24 10:09 ET - News Release
See News Release (C-ERC) Eros Resources Corp
Mr. Jonathan Wiesblatt of Eros reports
EROS RESOURCES, MAS GOLD AND ROCKRIDGE RESOURCES COMPLETE PREVIOUSLY ANNOUNCED THREE-WAY MERGER TRANSACTION
Further to their news release dated Oct. 1, 2024, Eros Resources Corp.,  MAS Gold Corp.  and Rockridge Resources Ltd.   have completed their three-way merger transaction pursuant to the business combination agreement dated Sept. 30, 2024, whereby Eros acquired all of the issued and outstanding shares of both Rockridge and MAS Gold that it did not already own by way of two plans of arrangement under the Business Corporations Act (British Columbia). The transaction results in Rockridge and MAS Gold becoming wholly owned subsidiaries of Eros. The completion of the transaction marks a new era for the companies, combining the high-grade gold and copper assets of Rockridge and MAS Gold in Saskatchewan and Eros's portfolio of equities. The transaction obtained requisite approval by the shareholders of each of the companies on Jan. 6, 2025, and the arrangements were approved by the Supreme Court of British Columbia on Jan. 9, 2025.
Under the terms of the arrangements, former shareholders of Rockridge are now entitled to receive 0.375 common share of Eros for each Rockridge common share  held and former shareholders of MAS Gold are now entitled to receive 0.25  Eros share for each MAS Gold common share held immediately prior to the effective time of the arrangements. Existing Eros shareholders own approximately 42.37 per cent of the combined company, former MAS Gold shareholders own approximately 37.33 per cent of the combined company, and former Rockridge shareholders own approximately 20.30 per cent.
In order to receive the consideration, registered shareholders of Rockridge shares and MAS Gold shares will be required to deposit their share certificate(s) or direct registration system advices representing such Rockridge shares or MAS Gold shares, as applicable, together with the duly completed letter of transmittal, with Computershare Investor Services Inc., the depositary under the arrangements. Shareholders whose Rockridge shares and MAS Gold shares are registered in the name of a broker, dealer, bank, trust company or other nominee should contact their nominee regarding the receipt of the consideration.
Rockridge and MAS Gold options and warrants
Holders of Rockridge options  and MAS Gold options  have received replacement options under the arrangements, exercisable for Eros shares at the applicable exchange ratio. All other terms and conditions of the replacement options, including the term of expiry, vesting, conditions to and manner of exercising, are the same as the Rockridge options or MAS options, as applicable, for which they were exchanged and the documents evidencing Rockridge options or MAS options, as applicable, will be deemed to evidence the replacement options issued in exchange therefor. No certificates evidencing the replacement options will be issued.
Warrants to purchase Rockridge shares and MAS Gold shares, other than those that have been exercised prior to the effective time of the arrangements, will continue to remain outstanding as warrants of Rockridge or MAS Gold, as applicable, which, upon exercise, will entitle the holder thereof to receive, the consideration in lieu of a Rockridge share or MAS Gold share, as applicable, for each Rockridge warrant or MAS warrant, as applicable, so exercised.
Leadership and governance
Upon closing of the transaction, the board of directors of Eros was reconstituted to five directors, with the appointment of Jordan Trimble, Jonathan Wiesblatt, Joseph Gallucci, Ross McElroy and Tim Termuende. Management of Eros is led by Mr. Trimble as president, Mr. Wiesblatt as chief executive officer and Chantelle Collins as chief financial officer.
Delisting of Rockridge shares and MAS Gold shares
The Rockridge shares and MAS Gold shares are expected to be delisted from the TSX Venture Exchange as of the closing of the market on Jan. 27, 2025.
Early warning system matters regarding Rockridge and MAS Gold
Pursuant to National Instrument 62-103, The Early Warning System and Related Take-Over Bid and Insider Reporting Issues, and in connection with the filing of early warning reports regarding the acquisitions by Eros of: (i) all the common shares of Rockridge, a corporation incorporated under the laws of British Columbia, with its securities trading until completion of the transaction on the TSX-V under the symbol ROCK and having a head office located at Suite 1030, 505 Burrard St., Vancouver, B.C., Canada; and (ii) all the common shares of MAS Gold (other than MAS shares already owned by Eros), a corporation incorporated under the laws of British Columbia, with its securities trading until completion of the transaction on the TSX-V under the symbol MAS and having a head office located at Suite 107, 3239 Faithfull Ave., Saskatoon, Sask., S7K 8H4, Canada, Eros advises as follows.
On Jan. 24, 2025, Eros, of Suite 420, 789 West Pender St., Vancouver, B.C., V6H 1H2, Canada, acquired: (i) 125,006,617 Rockridge shares in connection with the implementation of a plan of arrangement of Rockridge under the Business Corporations Act (British Columbia), in consideration of the issuance of: (i) an aggregate of 46,877,482 Eros shares (having a market value of $2,343,874.10 based on the closing price of the Eros shares on the TSX-V of five cents on Jan. 23, 2025), being 0.375 Eros share for each Rockridge share so acquired; and (ii) 349,677,036 MAS Gold shares in connection with the implementation of a plan of arrangement of MAS Gold under the Business Corporations Act (British Columbia), in consideration of the issuance of: (i) an aggregate of 87,419,206 Eros shares (having a market value of $4,370,960.30 based on the closing price of the Eros shares on the TSX-V of five cents on Jan. 23, 2025), being 0.25 Eros share for each MAS Gold share so acquired.
Immediately prior to the transaction, Eros held, directly or indirectly, or exercised control or direction over,  nil Rockridge shares and 39,228,572 MAS Gold shares, representing approximately 10.21 per cent of the outstanding MAS Gold shares on a non-diluted basis. After giving effect to the transaction, Eros acquired control and ownership over an aggregate of 125,006,617 Rockridge shares, representing 100 per cent of Rockridge's issued and outstanding common shares and 349,677,036 MAS Gold shares not already owned by Eros, representing 100 per cent of MAS Gold's issued and outstanding common shares.
Copies of the early warning reports disclosing the transaction in respect of Rockridge and MAS Gold will be filed in accordance with applicable Canadian securities laws and will be available under Rockridge's and MAS Gold's, as applicable, SEDAR+ profiles  and can be obtained from Eros at Suite 420, 789 West Pender St., Vancouver, B.C., V6H 1H2.
Shares for debt settlement
In connection with the transaction and pursuant to a debt conversion agreement dated Sept. 30, 2024, entered into between Eros and Ronald Netolitzky, a former director of Eros and former interim chief executive officer of MAS Gold, Eros has issued an aggregate of 2,352,000 preferred shares  at a deemed price of $1 per share to Mr. Netolitzky as settlement for an aggregate of $2,352,000 owing to Mr. Netolitzky pursuant to a promissory note issued by Eros.
Additional information
Full details of the transaction, the arrangements and certain other matters are set out in the joint management information circular of Eros, Rockridge and MAS Gold dated Nov. 26, 2024, and can be found under each of the companies' respective profiles on SEDAR+.
About Eros Resources Corp.
Eros Resources   is a Canadian public mineral exploration company listed on the TSX-V focused on the acquisition, exploration and development of mineral resources properties in Canada and advancing its copper and gold exploration projects in Saskatchewan, including four properties in the prospective La Ronge gold belt totalling 35,175.6 hectares (86,920.8 acres); the 100-per-cent-owned Knife Lake project; and the Raney gold project, which is a high-grade gold exploration project located in the same greenstone belt that hosts the world-class Timmins and Kirkland Lake lode gold mining camps.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ROCK\news_html\2025-01-24.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ROCK/news_html/2025-01-24.html,,NONE,Three-way merger transaction completed,,,2023-12-31,2024-03-30
stockwatch,ROCK,Rockridge Resources Ltd.,2025-01-10,NEWS_RELEASE_EN,not applicable,NewsRelease,Rockridge receives final court OK for takeover by Eros,https://www.stockwatch.com/News/Item/Z-C!ROCK-3640559/C/ROCK,3640559,https://www.stockwatch.com/News/Sedardoc/5815961.pdf,,0,0,no,,"2025-01-10 17:31 ET - News Release
Mr. Jonathan Wiesblatt reports
ROCKRIDGE RESOURCES RECEIVE FINAL ORDERS APPROVING PROPOSED PLANS OF ARRANGEMENT WITH EROS RESOURCES AND MAS GOLD
Rockridge Resources Ltd. has obtained final orders of the Supreme Court of British Columbia approving the previously announced proposed statutory plans of arrangement under Section 288 of the Business Corporations Act (British Columbia), pursuant to which Eros Resources Corp. will acquire all of the issued and outstanding common shares of MAS Gold Corp. and Rockridge that it does not already own in exchange for common shares of Eros, as more particularly described in the joint management information circular of Eros, MAS Gold and Rockridge, dated Nov. 26, 2024, and in accordance with the terms of the business combination agreement between Eros, MAS Gold and Rockridge, dated Sept. 30, 2024, all pursuant to the previously announced three-way merger transaction. Copies of the joint management information circular and the business combination agreement are available under each of the companies' profiles on SEDAR+.
It is currently anticipated that the arrangements will be completed this month, subject to the satisfaction or waiver of customary closing conditions. It is anticipated that the common shares of Rockridge will be delisted from the TSX Venture Exchange following completion of the transaction and the resulting issuer will start trading thereafter.
About Rockridge Resources Ltd.
Rockridge Resources is a public mineral exploration company focused on the acquisition, exploration and development of mineral resource properties in Canada, specifically copper and gold. The company's 100-per-cent-owned Knife Lake project is located in Saskatchewan, which is ranked as a top mining jurisdiction in the world by the Fraser Institute. The project hosts the Knife Lake deposit, which is a VMS (volcanic massive sulphide), near-surface Cu-Co-Au-Ag-Zn (copper-cobalt-gold-silver-zinc) deposit open along strike and at depth. There is strong discovery potential in and around the deposit area, as well as at regional targets on the large property package.
The company's gold asset is its 100-per-cent-owned Raney gold project, which is a high-grade gold exploration project located in the same greenstone belt that hosts the world-class Timmins and Kirkland Lake lode gold mining camps. Recently reported drill hole RN 20-06 intersected 28.0 grams per tonne (g/t) gold over 6.0 metres at a shallow vertical level of 95 metres, which is the best result from the project thus far. Rockridge's goal is to maximize shareholder value through new mineral discoveries, committed long-term partnerships and the advancement of exploration projects in geopolitically favourable jurisdictions.
Additional information about Rockridge Resources and its project portfolio can be found on the company's website.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ROCK\news_html\2025-01-10.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ROCK/news_html/2025-01-10.html,,NONE,Final court approval for Eros takeover,,,2023-12-31,2024-03-30
stockwatch,ROCK,Rockridge Resources Ltd.,2025-01-07,NEWS_RELEASE_EN,not applicable,NewsRelease,Rockridge shareholders approve all matters at AGSM,https://www.stockwatch.com/News/Item/Z-C!ROCK-3639456/C/ROCK,3639456,https://www.stockwatch.com/News/Sedardoc/5813931.pdf,,0,0,no,,"2025-01-07 17:04 ET - News Release
Mr. Jonathan Weisblatt reports
ROCKRIDGE ANNOUNCES RESULTS FROM ITS ANNUAL GENERAL AND SPECIAL MEETINGS OF SHAREHOLDERS TO APPROVE BUSINESS COMBINATION WITH EROS RESOURCES AND MAS GOLD
Rockridge Resources Ltd. has released the voting results from its annual general and special meeting of shareholders held on Jan. 6, 2025.
Shareholders voted in favour of all matters of business before the meeting. Each of those matters is set out in detail in the management information circular published in connection with the meeting, which is available on the company's website.
A total of 51,050,981 common shares, representing approximately 41 per cent of the company's outstanding common shares, were voted in person and by proxy at the meeting. Shareholders voted in favour of the previously announced three-way merger transaction, pursuant to which, Eros will acquire (i) all of the issued and outstanding shares of Rockridge by way of plan of arrangement under the Business Corporations Act (British Columbia) and (ii) all of the issued and outstanding shares of MAS Gold that it does not already own by way of plan of arrangement under the Business Corporations Act (British Columbia).
At the meeting, each of Jonathan Wiesblatt, Jordan Trimble, Joseph Gallucci, Tim Termuende and Ross McElroy were elected to the board of directors of the resulting company for the ensuing year. Rockridge's shareholders also approved the appointment of Davidson and Company LLP as the auditor of the company for the ensuing year and authorized the board to determine the auditor's remuneration.
Rockridge's chief executive officer, Jon Wiesblatt, commented: ""This is a monumental day for Rockridge and for its shareholders. The pending transaction between Eros, MAS Gold and Rockridge will create a pure-play, well-financed gold and copper company with operations focused in the La Ronge gold belt in Saskatchewan. Post the completion of the transaction the company will have six exciting exploration projects with several gold and copper deposits. This collection of highly prospective projects will help to drive value for shareholders going forward. The newly created board of directors has many decades of expertise operating and exploring for gold and copper in Saskatchewan and is well suited to creating value for shareholders. We are looking forward to working with the new board and all stakeholders to build the next great exploration company in Western Canada.""
Rockridge's president, Jordan Trimble, commented: ""We are thrilled to have shareholder approval for this transformational transaction for Rockridge. Upon final completion of the merger, the company will be well positioned to take advantage of strengthening gold and copper markets with highly prospective assets in Saskatchewan host to resources and robust exploration upside potential. We look forward to a busy year ahead with exploration being planned at several of the gold projects.""
Pursuant to the transaction, shareholders of Rockridge will receive 0.375 common share of Eros for each Rockridge common share held and shareholders of MAS Gold will receive 0.25 Eros share for each MAS Gold common share held. Upon closing of the transaction, existing Eros shareholders will own approximately 42.37 per cent of the combined company, existing MAS Gold shareholders will own approximately 37.33 per cent of the combined company and existing Rockridge shareholders will own approximately 20.30 per cent (based on the current issued and outstanding shares of each of the companies).
Rockridge has also been informed by Eros and MAS Gold that all requisite shareholder approvals required by each of them for the completion of the transaction, as described in detail in the information circular, were obtained today at meetings of the shareholders of Eros and MAS Gold, respectively. The companies will apply for final orders approving the transaction from the Supreme Court of British Columbia on Jan. 9, 2025. Closing of the transaction remains subject to certain customary closing conditions including court approval. Assuming the satisfaction of these closing conditions, the transaction is expected to close by mid-January, 2025.
Additional information
Full details of the transaction are set out in the business combination agreement, which is filed on the company's profile on SEDAR+.
About Rockridge Resources Ltd.
Rockridge Resources is a public mineral exploration company focused on the acquisition, exploration and development of mineral resource properties in Canada, specifically copper and gold. Rockridge's 100-per-cent-owned Knife Lake project is located in Saskatchewan, which is ranked as a top mining jurisdiction in the world by the Fraser Institute. The project hosts the Knife Lake deposit, which is a VMS (volcanic massive sulphide), near-surface Cu-Co-Au-Ag-Zn (copper-cobalt-gold-silver-zinc) deposit open along strike and at depth. There is strong discovery potential in and around the deposit area, as well as at regional targets on the large property package. Rockridge's gold asset is its 100-per-cent-owned Raney gold project, which is a high-grade gold exploration project located in the same greenstone belt that hosts the world-class Timmins and Kirkland Lake lode gold mining camps. Additional information about Rockridge and its project portfolio can be found on the company's website.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ROCK\news_html\2025-01-07.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ROCK/news_html/2025-01-07.html,,NONE,Shareholder approval for business combination,,,2023-12-31,2024-03-30
stockwatch,ROCK,Rockridge Resources Ltd.,2024-12-30,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/5811039.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,ROCK,Rockridge Resources Ltd.,2024-12-30,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/5811048.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,ROCK,Rockridge Resources Ltd.,2024-12-30,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/5811053.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ROCK\pdfs\MD&A\2024-12-30_ROCK_MD&A_INTERIM_MDA_EN.pdf,19,310,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ROCK/2024-12-30_ROCK_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2023-12-31,2024-03-30
stockwatch,ROCK,Rockridge Resources Ltd.,2024-12-30,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/5811054.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,ROCK,Rockridge Resources Ltd.,2024-12-02,Form of proxy - English,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/5795172.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
