source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,SKE,Skeena Resources Limited,2025-03-31,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5881152.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SKE\pdfs\AIF\2025-03-31_SKE_AIF.pdf,83,1232,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SKE/2025-03-31_SKE_AIF.pdf,,,,,,,,,2024-12-31,2025-03-31
stockwatch,SKE,Skeena Resources Limited,2026-02-17,NEWS_RELEASE_EN,not applicable,NewsRelease,Skeena releases Eskay Creek construction update video,https://www.stockwatch.com/News/Item/Z-C!SKE-3785687/C/SKE,3785687,https://www.stockwatch.com/News/Sedardoc/6125219.pdf,,0,0,no,,"2026-02-17 16:29 ET - News Release
Mr. Randy Reichert reports
SKEENA GOLD & SILVER RELEASES CONSTRUCTION VIDEO UPDATE FOR ESKAY CREEK
Skeena Resources Ltd. has shared a construction video update for its 100-per-cent-owned Eskay Creek gold-silver project. This six-minute video features members of Skeena's leadership team, including executive chairman Walter Coles, president and chief executive officer Randy Reichert, vice-president of operations Kyle Foster, and VP of project engineering and construction Andrew Osterloh.
The video provides investors with a first-hand look at construction progress at site and the disciplined efforts of the management team to deliver the project safely, efficiently and on schedule.
The video is available on the company website and social media channels.
About Skeena Resources Ltd.
Skeena is a leading precious metal development company focused on advancing the fully permitted Eskay Creek gold-silver project, located in British Columbia's Golden Triangle, Canada. The company is progressing Eskay Creek toward initial production and cash flow in the second quarter of 2027. Once in operation, Eskay Creek is expected to be one of the world's highest-grade and lowest-cost open-pit precious metal mines, with significant silver byproduct production that exceeds the output of many primary silver mines. Skeena is committed to responsible and sustainable mining while maximizing the value of its mineral resources to generate long-term shareholder returns.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SKE\news_html\2026-02-17.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SKE/news_html/2026-02-17.html,,NONE,Construction update video for Eskay Creek,,,2024-12-31,2025-03-31
stockwatch,SKE,Skeena Resources Limited,2026-02-03,NEWS_RELEASE_EN,not applicable,NewsRelease,Skeena receives environmental permit for Eskay Creek,https://www.stockwatch.com/News/Item/Z-C!SKE-3781159/C/SKE,3781159,https://www.stockwatch.com/News/Sedardoc/6117160.pdf,,0,0,no,,"2026-02-03 14:48 ET - News Release
Mr. Walter Coles        reports
SKEENA GOLD & SILVER COMPLETES PERMITTING PROCESS FOR ESKAY CREEK
Skeena Resources Ltd. has received  the Environmental Management Act (EMA) permit from the British Columbia Ministry of Environment and Parks for its 100-per-cent-owned Eskay Creek gold-silver project. Receipt of the EMA permit completes the permitting process for Eskay Creek and represents the final regulatory approval required to advance the project into commercial development, with mining operations targeted to restart in the second quarter of 2027. The permit was jointly approved with the Tahltan central government and was submitted as part of a joint application together with the British Columbia Mines Act Permit  that was received by the company on Jan. 27, 2026.
Jagrup Brar, Minister of Mining and Critical Minerals, stated: 
  
  ""I congratulate Skeena on reaching this important milestone with the receipt of the final permit to commence full-scale construction at Eskay Creek. This achievement represents a significant step forward in responsible resource development that supports jobs, strengthens local economies and aligns with our shared commitment to environmental stewardship. We look forward to the positive contributions this project will bring to British Columbia's mining sector and to the communities it supports.""
Randy Reichert, chief executive officer of Skeena, commented: 
  
  ""Receiving the final permits is a pivotal milestone for our team and a testament to years of rigorous planning, collaboration and commitment to responsible development. We are deeply grateful to our employees, the Tahltan Nation and the regulatory authorities for their ongoing support throughout this process. With this approval in hand, we are well positioned to advance toward construction and long-term value creation for all stakeholders.""
About Skeena Resources Ltd.
Skeena is a leading precious metals developer that is focused on advancing the Eskay Creek gold-silver project -- a past-producing mine located in the renowned Golden Triangle in British Columbia, Canada. Eskay Creek will be one of the highest-grade and lowest-cost open-pit precious metals mines in the world, with substantial silver byproduct production that surpasses many primary silver mines. Skeena is committed to sustainable mining practices and maximizing the potential of its mineral resources. In partnership with the Tahltan Nation, Skeena strives to foster positive relationships with indigenous communities while delivering long-term value and sustainable growth for its stakeholders.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SKE\news_html\2026-02-03.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SKE/news_html/2026-02-03.html,,NONE,Environmental permit received for Eskay Creek,,,2024-12-31,2025-03-31
stockwatch,SKE,Skeena Resources Limited,2026-01-28,NEWS_RELEASE_EN,not applicable,NewsRelease,Skeena receives B.C. Mines Act permit for Eskay Creek,https://www.stockwatch.com/News/Item/Z-C!SKE-3778772/C/SKE,3778772,https://www.stockwatch.com/News/Sedardoc/6110790.pdf,,0,0,no,,"2026-01-28 11:18 ET - News Release
Mr. Randy Reichert reports
SKEENA GOLD & SILVER SECURES THE BC MINES ACT PERMIT FOLLOWING THE RECEIPT OF THE ENVIRONMENTAL ASSESSMENT CERTIFICATE FOR ESKAY CREEK
Skeena Resources Ltd. has received its British Columbia (B.C.) Mines Act Permit (MA) for the company's 100-per-cent-owned Eskay Creek gold-silver project located in northwestern B.C., Canada. The receipt of the MA builds upon B.C.'s first Section 7 Declaration Act agreement, entered into jointly with the Tahltan Central government.
The B.C. Major Mines Act permit forms part of a joint permitting application under the British Columbia Mines Act and Environmental Management Act. The application under the Environmental Management Act (EMA) is currently under review, and, upon issuance, these permits will constitute the final key regulatory approvals required for the commercial development and operation of Eskay Creek. The company anticipates receipt of the final EMA permit in February of this year, enabling initial production at Eskay Creek in the second quarter of 2027.
About Skeena
  Resources Ltd.
Skeena is a leading precious metals developer that is focused on advancing the Eskay Creek gold-silver project -- a past-producing mine located in the renowned Golden Triangle in British Columbia, Canada. Eskay Creek will be one of the highest-grade and lowest-cost open-pit precious metals mines in the world, with substantial silver byproduct production that surpasses many primary silver mines. Skeena is committed to sustainable mining practices and maximizing the potential of its mineral resources. In partnership with the Tahltan Nation, Skeena strives to foster positive relationships with indigenous communities while delivering long-term value and sustainable growth for its stakeholders.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SKE\news_html\2026-01-28.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SKE/news_html/2026-01-28.html,,NONE,B.C. Mines Act permit received for Eskay Creek,,,2024-12-31,2025-03-31
stockwatch,SKE,Skeena Resources Limited,2026-01-27,NEWS_RELEASE_EN,not applicable,NewsRelease,Skeena obtains EA approvals for Eskay Creek,https://www.stockwatch.com/News/Item/Z-C!SKE-3778250/C/SKE,3778250,https://www.stockwatch.com/News/Sedardoc/6109550.pdf,,0,0,no,,"2026-01-27 11:27 ET - News Release
Mr. Randy Reichert reports
SKEENA GOLD & SILVER SECURES ENVIRONMENTAL ASSESSMENT CERTIFICATE AND FEDERAL IMPACT ASSESSMENT APproVAL FOR ESKAY CREEK
Skeena Resources Ltd. has received its environmental assessment certificate (EAC) for the company's 100-per-cent-owned Eskay Creek gold-silver project located in northwestern British Columbia, Canada. The results of the environmental assessment have been reviewed by Canada's Minister of Environment and Climate Change and approved under the Federal Impact Assessment Act.
The EAC was issued by the B.C. Minister of Mining & Critical Minerals and the B.C. Minister of Environment & Parks and jointly approved by the Tahltan central government. Receipt of the EAC represents a major milestone for the project and concludes a rigorous environmental assessment process initiated in August, 2024. The process included more than 60 engagement sessions within local communities and over 500 meetings with the Tahltan central government. Skeena also engaged with both local and non-local indigenous groups as part of its consultation efforts. This included engagement with the Nisga'a Lisims government, Gitanyow Hereditary Chiefs, the Tsetsaut Skii km Lax Ha Nation, the Southeast Alaska Indigenous Transboundary Commission and other constituent Alaska tribes. More than 4,000 written comments from community members were received and individually addressed throughout the environmental assessment process. The Tahltan Nation's consent to the project is embedded within the EAC, marking a historic first in Canada through a landmark Section 7 agreement signed in 2022 between the government of British Columbia and the Tahltan central government.
Nalaine Morin, senior vice-president of environment and social affairs of Skeena, commented:
""This achievement is especially meaningful to me as a member of the Tahltan Nation. Receiving our EA certificate as the first company in Canadian history through the Section 7 agreement, demonstrates what is possible when indigenous rights and responsible resource development are advanced together. This milestone reflects years of trust building, hard work and a shared commitment to doing things differently. At Skeena, we are proud of what has been accomplished and remain firmly committed to reconciliation as an ongoing, living practice that guides how we operate today and into the future.""
Randy Reichert, chief executive officer of Skeena, commented: 
  
  ""This is a defining moment in our company's history. I would like to thank the government of British Columbia for its support of the project and for prioritizing our application approval. I would also like to thank the Tahltan Nation for their partnership and collaboration over the last 10 years. The issuance of the EAC reflects this collaboration and reinforces Eskay Creek's position as setting the standard for responsible, world-class development in British Columbia. I further extend my appreciation to the Skeena regulatory engagement team for their tireless efforts in advancing a rigorous environmental assessment. The team set new benchmarks for meeting timelines while skillfully navigating new challenges associated with the Section 7 agreement.""
Honourable Jagrup Brar, Minister of Mining and Critical Minerals, stated: ""I would like to extend my thanks to Skeena Gold and Silver for its collaborative approach and its commitment to working respectfully with the Tahltan Nation and government partners throughout the process. This kind of collaboration is critical to advance important projects like Eskay Creek, which will benefit the entire province while protecting the environment and continuing on our path to reconciliation.""
About Skeena
  Resources Ltd.
Skeena is a leading precious metals developer that is focused on advancing the Eskay Creek gold-silver project -- a past-producing mine located in the renowned Golden Triangle in British Columbia, Canada. Eskay Creek will be one of the highest-grade and lowest-cost open-pit precious metals mines in the world, with substantial silver byproduct production that surpasses many primary silver mines. Skeena is committed to sustainable mining practices and maximizing the potential of its mineral resources. In partnership with the Tahltan Nation, Skeena strives to foster positive relationships with indigenous communities while delivering long-term value and sustainable growth for its stakeholders.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SKE\news_html\2026-01-27.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SKE/news_html/2026-01-27.html,,NONE,Environmental assessment approval for Eskay Creek,,,2024-12-31,2025-03-31
stockwatch,SKE,Skeena Resources Limited,2025-12-15,NEWS_RELEASE_EN,not applicable,NewsRelease,Skeena cheers Tahltan Nation support of Eskay IBA,https://www.stockwatch.com/News/Item/Z-C!SKE-3765682/C/SKE,3765682,https://www.stockwatch.com/News/Sedardoc/6084678.pdf,,0,0,no,,"2025-12-15 16:41 ET - News Release
Mr. Walter Coles  reports
SKEENA GOLD & SILVER ANNOUNCES SUCCESSFUL TAHLTAN NATION VOTE SUPPORTING THE ESKAY CREEK IMPACT BENEFIT AGREEMENT
The Tahltan Nation has voted in support of the impact benefit agreement (IBA) in relation to the development and future operation of Skeena Resources Ltd.'s 100-per-cent-owned Eskay Creek gold-silver project.
In a referendum vote among its membership, the Tahltan Nation voted in favour of the proposed impact benefits agreement in relation to the Eskay Creek project. A decision from the Tahltan Central government board of directors regarding consent to the Eskay Creek project will be under consideration in January, 2026.
The IBA establishes a framework that ensures shared benefits, including:
Employment and business opportunities for Tahltan members and companies;
Training and education initiatives to build long-term capacity;
Financing for a facility to benefit Tahltan elders;
Meaningful financial participation in the Eskay Creek project.
Walter Coles, executive chairman of Skeena, commented: 
  
  ""We extend our sincere appreciation to the leadership of the Tahltan central government, Tahltan Band and Iskut Band for trusting Skeena to advance Eskay Creek. The ratification of this IBA reflects the hard work we have achieved together. This innovative agreement sets new industry standards for first nation involvement in environmental protection and sharing of benefits from the project.""
Justin Himmelright, senior vice-president of external affairs, commented: 
  
  ""We see the IBA as the foundation for a long-term, meaningful partnership between Eskay Creek and the Tahltan Nation. Over the years, the Tahltan Nation has played a key role in shaping the direction of the project. They have shared their environmental, cultural and economic priorities and we have worked together to ensure those values are reflected in the project.""
About Skeena Resources Ltd.
Skeena is a leading precious metals developer that is focused on advancing the Eskay Creek gold-silver project -- a past-producing mine located in the renowned Golden Triangle in British Columbia, Canada. Eskay Creek will be one of the highest-grade and lowest-cost open-pit precious metals mines in the world, with substantial silver byproduct production that surpasses many primary silver mines. Skeena is committed to sustainable mining practices and maximizing the potential of its mineral resources. In partnership with the Tahltan Nation, Skeena strives to foster positive relationships with indigenous communities while delivering long-term value and sustainable growth for its stakeholders.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SKE\news_html\2025-12-15.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SKE/news_html/2025-12-15.html,,NONE,Support for impact benefit agreement with Tahltan Nation,,,2024-12-31,2025-03-31
stockwatch,SKE,Skeena Resources Limited,2025-11-13,NEWS_RELEASE_EN,not applicable,NewsRelease,Skeena Gold & Silver Reports Q3 2025 Financial Results,https://www.stockwatch.com/News/Item/Z-C!SKE-3753404/C/SKE,3753404,https://www.stockwatch.com/News/Sedardoc/6056202.pdf,,0,0,no,,"2025-11-13 17:20 ET - News Release
VANCOUVER, British Columbia, Nov.  13, 2025  (GLOBE NEWSWIRE) -- Skeena Resources Limited (TSX: SKE, NYSE: SKE) (“Skeena Gold & Silver”, “Skeena” or the “Company”) reports interim financial results for the quarter ended September 30, 2025. The interim financial statements and management’s discussion and analysis (“MD&A”) are available on Skeena’s
website
and have been posted under the Company’s profile on SEDAR+ at
www.sedarplus.ca
and EDGAR at
www.sec.gov
.
Skeena would like to acknowledge the planned departure of Paul Geddes, Senior Vice President Exploration and Resource Development. The Company extends its gratitude to Mr. Geddes for his contributions throughout his eight year tenure. His technical expertise and leadership were instrumental in recognizing the exceptional potential of the Eskay Creek Project and advancing Skeena’s exploration and resource development initiatives. Mr. Geddes has been an integral member of the Skeena team, serving as a mentor to many and playing a pivotal role in the Company’s growth and success. Skeena wishes him continued success in his future endeavors at TDG Gold Corp (TSXV:TDG).
About Skeena
Skeena is a leading precious metals developer that is focused on advancing the Eskay Creek Gold-Silver Project – a past producing mine located in the renowned Golden Triangle in British Columbia, Canada. Eskay Creek will be one of the highest-grade and lowest cost open-pit precious metals mines in the world, with substantial silver by-product production that surpasses many primary silver mines. Skeena is committed to sustainable mining practices and maximizing the potential of its mineral resources. In partnership with the Tahltan Nation, Skeena strives to foster positive relationships with Indigenous communities while delivering long-term value and sustainable growth for its stakeholders.
On behalf of the Board of Directors of Skeena Gold & Silver,
Walter Coles
Randy Reichert
Executive Chairman
President & CEO
For further information, please contact:
Galina Meleger
Vice President Investor Relations
E:
info@skeenagold.com
T: 604-684-8725
W:
www.skeenagoldsilver.com
X
/
Facebook
/
LinkedIn
/
Instagram
Skeena’s Corporate Head office is located at Suite #2600 – 1133 Melville Street, Vancouver BC V6E 4E5
Qualified Persons
In accordance with National Instrument 43-101 Standards of Disclosure for Mineral Projects, Adrian Newton, P.Geo., Vice President, Exploration, is the Qualified Person for the Company and has prepared, validated, and approved the technical and scientific statements and information contained or incorporated by reference in the news release. The Company strictly adheres to CIM Best Practices Guidelines in conducting, documenting, and reporting the exploration activities on its projects.
Cautionary note regarding forward-looking statements
Certain information contained or incorporated by reference in this news release, including any information as to our strategy, projects, plans or future financial or operating performance, constitute “forward-looking information” and “forward-looking statements” within the meaning of applicable Canadian and United States securities legislation (collectively, “forward-looking statements”). All statements other than statements of historical fact are forward-looking statements. The use of words such as “anticipate”, “believe”, “propose”, “contemplate”, “generate”, “target”, “progress”, “invest”, “continue”, “develop”, “on track”, “ongoing”, “project”, “plan”, “consider”, “estimate”, “expects”, “expect”, “potential” “may”, “might”, “will”, “could”, “should” or “would” and similar expressions identify forward-looking statements. In particular, this news release contains and incorporates by reference forward-looking statements including, but not limited to those regarding: the progress of development at Eskay, including the construction budget, schedule and required funding in respect thereof; the timing for and the Company’s progress towards commencement of commercial production; production guidance in respect of costs or quantities; projected capital, operating and exploration expenditures; the Company’s capital structure; the Company’s ability to change its planned capital structure including the buy back of the gold stream in the future; amounts drawn and the timing of and completion of conditions precedent in respect of the Senior Secured Loan, gold stream agreement, additional equity investment and the cost over-run facility, the availability of the Senior Secured Loan as a source of future liquidity; ongoing relationships with its stakeholders, including Indigenous communities; statements regarding the anticipated timing of receipt of the Environmental Assessment certificate; and the results of the Definitive Feasibility Study, processing capacity of the mine, anticipated by-products of the mine; anticipated mine life, probable reserves, estimated project capital and operating costs, sustaining costs, results of test work and studies, planned environmental assessments, the future price of metals, metal concentrate, and future exploration and development. Such forward-looking statements are based on material factors and/or assumptions which include, but are not limited to, the estimation of mineral resources and reserves, the realization of resource and reserve estimates, metal prices, taxation, the estimation, timing and amount of future exploration and development, capital and operating costs, the availability of financing, the receipt of regulatory approvals, environmental risks, title disputes and the assumptions set forth herein and in the Company’s MD&A for the year ended December 31, 2024, its most recently filed interim MD&A, and the Company’s Annual Information Form (“AIF”) dated March 31, 2025. Such forward-looking statements represent the Company’s management expectations, estimates and projections regarding future events or circumstances on the date the statements are made, and are necessarily based on several estimates and assumptions that, while considered reasonable by the Company as of the date hereof, are not guarantees of future performance. Actual events and results may differ materially from those described herein, and are subject to significant operational, business, economic, and regulatory risks and uncertainties. The risks and uncertainties that may affect the forward-looking statements in this news release include, among others: the inherent risks involved in exploration and development of mineral properties, including permitting and other government approvals; changes in economic conditions, including changes in the price of gold and other key variables; changes in mine plans and other factors, including accidents, equipment breakdown, bad weather and other project execution delays, many of which are beyond the control of the Company; environmental risks and unanticipated reclamation expenses; and other risk factors identified in the Company’s MD&A for the year ended December 31, 2024, its most recently filed interim MD&A, the Company’s AIF dated March 31, 2025, the Company’s short form base shelf prospectus dated March 19, 2025, and in the Company’s other periodic filings with securities and regulatory authorities in Canada and the United States that are available on SEDAR+ at
www.sedarplus.ca
or on EDGAR at
www.sec.gov
.
Readers should not place undue reliance on such forward-looking statements. Any forward-looking statement speaks only as of the date on which it is made and the Company does not undertake any obligations to update and/or revise any forward-looking statements except as required by applicable securities laws.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SKE\news_html\2025-11-13.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SKE/news_html/2025-11-13.html,,NONE,Q3 2025 financial results announced,,,2024-12-31,2025-03-31
stockwatch,SKE,Skeena Resources Limited,2025-11-13,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6056184.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-31
stockwatch,SKE,Skeena Resources Limited,2025-11-13,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6056185.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-31
stockwatch,SKE,Skeena Resources Limited,2025-11-13,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6056175.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-31
