source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,SLI,Standard Lithium Ltd.,2025-03-24,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5866190.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SLI\pdfs\AIF\2025-03-24_SLI_AIF.pdf,58,4036,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SLI/2025-03-24_SLI_AIF.pdf,,,,,,,,,2024-12-31,2025-03-24
stockwatch,SLI,Standard Lithium Ltd.,2026-03-09,NEWS_RELEASE_EN,not applicable,NewsRelease,Standard Lithium JV signs SWA offtake with Trafigura,https://www.stockwatch.com/News/Item/Z-C!SLI-3793898/C/SLI,3793898,https://www.stockwatch.com/News/Sedardoc/6143009.pdf,,0,0,no,,"2026-03-09 13:26 ET - News Release
Mr. David Park reports
SMACKOVER LITHIUM SIGNS FIRST BINDING CUSTOMER OFFTAKE AGREEMENT FOR THE SOUTH WEST ARKANSAS PROJECT
Smackover Lithium, a joint venture (JV) between Standard Lithium Ltd.  and Equinor, through subsidiaries of Equinor ASA, has signed its first commercial offtake agreement for the South West Arkansas project with Trafigura Trading LLC. Trafigura is a market leader in the global commodities industry, with an established presence across battery metals markets, including lithium. 
 
  All figures are in U.S. dollars unless otherwise stated.
Under the terms of this binding take-or-pay offtake agreement, the JV will supply Trafigura with 8,000 metric tonnes per year of battery-quality lithium carbonate over a 10-year period, beginning at the start of commercial production. Pricing terms of the agreement are subject to confidentiality but are structured to support the anticipated financing for the project.
David Park, chief executive officer of Standard Lithium, stated: ""The execution of this offtake agreement was the culmination of months of collaboration and negotiation and is a major milestone in moving the SWA project towards FID [final investment decision] and construction. We are excited about the opportunity to collaborate with a strong industry leader like Trafigura and look forward to providing them with high-quality lithium carbonate to serve growing domestic and global markets in the coming years.""
Gonzalo De Olazaval, head of metals and minerals at Trafigura, commented: ""We are pleased to have signed this offtake agreement with Smackover Lithium, further strengthening our North American critical minerals footprint. The SWA project is expected to provide a reliable source of battery-grade lithium carbonate produced in the United States, enhancing domestic supply chains. We look forward to collaborating with Smackover Lithium on this strategic project and delivering this material to customers across North America and globally.""
The JV is seeking to finalize customer offtake agreements for roughly 80 per cent of the 22,500 tonnes of annual nameplate lithium carbonate capacity for the initial phase of the SWA project. This first agreement represents over 40 per cent of the targeted offtake commitments. The JV is in advanced commercial negotiations with multiple additional parties with the aim to complete this process as soon as practical.
The offtake process is being run in conjunction with the SWA project financing process and is critical to supporting the contemplated debt size, duration and structure. The JV plans to announce additional customer offtake agreements as they are finalized, in preparation for a final investment decision (FID) for the SWA project and the close of project financing. The JV provided a financing update on Dec. 9, 2025,  highlighting indications of interest for over $1-billion in debt.
Standard Lithium intends to provide an update on customer offtakes and FID plans for the project with its coming fourth quarter 2025 earnings release and conference call, with details to be made available on the company website and through future press releases.
About Smackover Lithium
Smackover Lithium is a branded identity of jointly held projects between Standard Lithium and Equinor, through subsidiaries of Equinor ASA. Formed in May, 2024, Smackover Lithium is developing multiple direct lithium extraction (DLE) projects in southwestern Arkansas and east Texas. Standard Lithium owns a 55-per-cent interest and Equinor holds the remaining 45-per-cent interest in the JV projects, with Standard Lithium maintaining operatorship.
About Standard Lithium Ltd.
Standard Lithium is a leading near-commercial lithium development company focused on the sustainable development of a portfolio of large, high-grade lithium-brine properties in the United States. The company prioritizes projects characterized by high-grade resources, robust infrastructure, skilled labour and streamlined permitting. Standard Lithium aims to achieve sustainable, commercial-scale lithium production through the application of a scalable and fully integrated DLE and purification process. The company's flagship projects are in the Smackover formation, a world-class lithium brine asset, focused in Arkansas and Texas. In partnership with global energy leader Equinor, Standard Lithium is advancing the SWA project, a greenfield project located in southern Arkansas, and actively advancing a promising lithium brine resource position in east Texas, the Franklin project.
Standard Lithium trades on both the TSX Venture Exchange and the NYSE American exchange under the symbol SLI.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SLI\news_html\2026-03-09.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SLI/news_html/2026-03-09.html,,NONE,First binding customer offtake agreement signed,,,2024-12-31,2025-03-24
stockwatch,SLI,Standard Lithium Ltd.,2026-01-09,NEWS_RELEASE_EN,not applicable,NewsRelease,Standard Lithium raises $8.53M (U.S.) from ATM in Q4,https://www.stockwatch.com/News/Item/Z-C!SLI-3772899/C/SLI,3772899,https://www.stockwatch.com/News/Sedardoc/6099364.pdf,,0,0,no,,"2026-01-09 19:43 ET - News Release
Mr. Daniel Rosen reports
STANDARD LITHIUM PROVIDES QUARTERLY ATM SALES UPDATE
Standard Lithium Ltd. today provided a quarterly update with respect to the company's previously announced at-the-market (ATM) equity program launched on Aug. 8, 2025. The ATM program allows the company to issue and sell, from time to time, up to $50-million (U.S.) (or the Canadian-dollar equivalent) of its common shares from treasury to the public, at the company's discretion, pursuant to a sales agreement between the company, Canaccord Genuity and Evercore ISI.
During the quarterly period ended Dec. 31, 2025, the company issued a total of 1,880,935 common shares on the NYSE American LLC at an average price of $4.54 (U.S.) under the ATM program, providing gross proceeds of $8,535,962 (U.S.). A commission of $213,399 (U.S.) was paid to the agents in relation to these distributions.
About Standard Lithium Ltd.
Standard Lithium is a leading near-commercial lithium development company focused on the sustainable development of a portfolio of large, high-grade lithium brine properties in the United States. The company prioritizes projects characterized by high-grade resources, robust infrastructure, skilled labour and streamlined permitting. Standard Lithium aims to achieve sustainable, commercial-scale lithium production via the application of a scalable and fully integrated direct lithium extraction and purification process. The company's flagship projects are in the Smackover formation, a world-class lithium brine asset, focused in Arkansas and Texas. In partnership with global energy leader Equinor, Standard Lithium is advancing the South West Arkansas project, a greenfield project located in southern Arkansas, and actively advancing a promising lithium brine resource position in East Texas, including the highest known lithium brine grade project in North America, the Franklin project.
Standard Lithium trades on both the TSX Venture Exchange and the NYSE American under the symbol SLI.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SLI\news_html\2026-01-09.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SLI/news_html/2026-01-09.html,,NONE,Quarterly ATM sales update,,,2024-12-31,2025-03-24
stockwatch,SLI,Standard Lithium Ltd.,2025-12-09,NEWS_RELEASE_EN,not applicable,NewsRelease,Standard Lithium JV receives >$1B (U.S.) interest,https://www.stockwatch.com/News/Item/Z-C!SLI-3763948/C/SLI,3763948,https://www.stockwatch.com/News/Sedardoc/6080952.pdf,,0,0,no,,"2025-12-09 17:55 ET - News Release
Mr. David Park reports
SMACKOVER LITHIUM RECEIVES INDICATIONS OF INTEREST FOR OVER $1 BILLION IN PROJECT FINANCE FOR THE SWA PROJECT
Smackover Lithium Ltd., a joint venture (JV) between Standard Lithium Ltd. and Equinor, is providing an update with respect to the project financing being pursued for the South West Arkansas project (SWA project). Smackover Lithium has received expressions of interest from three major export credit agencies (ECAs), including among them Export-Import Bank of the United States (EXIM) and Export Finance Norway (Eksfin), for over $1-billion in senior secured project debt (the ECA financing) to fund the construction of phase 1 of the SWA project.   All figures are in United States dollars unless otherwise stated.
Smackover Lithium is currently seeking a senior secured, limited recourse debt financing package of up to $1.1-billion in total. The project debt is expected to comprise i) the ECA financing package, which includes direct lending and the provision of ECA loan guarantees to a group of commercial banks (the covered tranche) that together account for a substantial portion of the total debt, and ii) an uncovered tranche of senior secured project debt from the commercial banks.
Earlier this year, Smackover Lithium conducted a market sounding of global commercial banks that are active in the project financing debt market and received multiple expressions of interest for both the covered tranche under the ECA financing and the uncovered tranche. The responses included indicative terms that were consistent with the expectations of the JV and validated certain assumptions regarding the cost, term, structure and conditions that are customary for project debt facilities of this nature.   The combined commercial bank interest, together with the ECA financing, exceed the targeted project debt.
The project debt will be used to finance total estimated capital expenditures of $1.45-billion for the SWA project based on the results of the JV's front-end engineering design (FEED) and definitive feasibility study, as well as financing costs. Any cost overrun facilities and reserve accounts, typical for project financings of this nature, remain subject to negotiation with the lenders.
David Park, chief executive officer of Standard Lithium, stated: ""We have seen a very strong level of interest and engagement from export credit agencies and commercial lenders that are keen to partner with us in the development of the first lithium project in the Smackover. Expressions of interest have been at competitive indicative terms and exceed our targeted debt amount for the SWA project. This strong response demonstrates the availability of capital and underscores the project's strategic importance, competitiveness and technological derisking. We are well positioned to be a regional champion, delivering a low-cost and sustainable source of lithium production in the United States.""
""Securing an attractive and comprehensive project financing package is a critical component of moving the SWA project into construction,"" said Allison Kennedy Thurmond, vice-president for United States lithium, at Equinor. ""We continue to make meaningful progress on this important workstream and are pushing to reach a final investment decision as soon as practical.""
None of the expressions of interest received to date from the ECAs or the commercial banks are commitments to finance the SWA project and remain subject to customary due diligence that is in progress, credit and other approvals, the satisfactory negotiation of definitive documentation, and other conditions precedent to financial close and drawdown.
Further updates on these efforts, including the dual-track customer offtake process that is critical to supporting this financing structure, will be provided as progress continues.
Project financing overview
The $1.45-billion in total capital expenditures for the SWA project was highlighted in the DFS news release dated Sept. 3, 2025. The SWA project was awarded a $225-million grant from the U.S. Department of Energy's Office of Manufacturing and Energy Supply Chains in January of 2025. Remaining capex is expected to be financed by project debt of up to $1.1-billion and pro rata equity contributions from Standard Lithium and Equinor.
Department of Energy acknowledgment and disclaimer
This material is based upon work supported by the U.S. Department of Energy's Office of Manufacturing Energy and Supply Chains under award No. DE-MS-0000099. The views expressed herein do not necessarily represent the views of the U.S. Department of Energy or the United States government.
About Smackover Lithium
 Ltd.
Smackover Lithium is a joint venture between Standard Lithium and Equinor. Formed in May, 2024, Smackover Lithium is developing multiple direct lithium extraction (DLE) projects in southwest Arkansas and East Texas (the JV projects). Standard Lithium owns a 55-per-cent interest and Equinor holds the remaining 45-per-cent interest in the JV projects, with Standard Lithium maintaining operatorship.
About Standard Lithium Ltd.
Standard Lithium is a leading near-commercial lithium development company focused on the sustainable development of a portfolio of large, high-grade lithium-brine properties in the United States. The company prioritizes projects characterized by high-grade resources, robust infrastructure, skilled labour and streamlined permitting. Standard Lithium aims to achieve sustainable, commercial-scale lithium production via the application of a scalable and fully integrated DLE and purification process. The company's flagship projects are in the Smackover formation, a world-class lithium brine asset, focused in Arkansas and Texas. In partnership with global energy leader Equinor, Standard Lithium is advancing the SWA project, a greenfield project located in southern Arkansas, and actively advancing a promising lithium brine resource position in East Texas, including the highest known lithium brine grade project in North America, the Franklin project.
Standard Lithium trades on both the TSX Venture Exchange and the NYSE American under the symbol SLI.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SLI\news_html\2025-12-09.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SLI/news_html/2025-12-09.html,,NONE,Project financing update for SWA project,,,2024-12-31,2025-03-24
stockwatch,SLI,Standard Lithium Ltd.,2025-11-18,NEWS_RELEASE_EN,not applicable,NewsRelease,Standard Lithium to Participate in Multiple Upcoming Investor Conferences,https://www.stockwatch.com/News/Item/Z-C!SLI-3754956/C/SLI,3754956,https://www.stockwatch.com/News/Sedardoc/6059192.pdf,,0,0,no,,"2025-11-18 08:30 ET - News Release
VANCOUVER, British Columbia, Nov.  18, 2025  (GLOBE NEWSWIRE) --
Standard Lithium Ltd.
(“Standard Lithium” or the “Company”) (TSXV: SLI) (NYSE.A: SLI), a leading near-commercial lithium company, will have senior leadership participating in multiple upcoming investor conferences.
The Company will be participating in the virtual Deutsche Bank Lithium and Battery Supply Chain Conference on Thursday, November 20, 2025, and the virtual Bank of America Critical Materials Conference on Monday, November 24, 2025.
Additionally, David Park, Chief Executive Officer and Director of Standard Lithium, will speak at Citi’s Basic Materials Conference in New York City, with a panel discussion being conducted on Wednesday, December 3, 2025, at 10:50 a.m. ET. Live access, along with a replay, will be available on the Standard Lithium Investor Relations website and via the following link:
https://kvgo.com/2025-basic-materials-conference/standard-lithium-december
.
The Company will be hosting one-on-one meetings during the conferences. Interested investors should contact their firm representatives or Standard Lithium Investor Relations at
investors@standardlithium.com
.
About Standard Lithium Ltd.
Standard Lithium is a leading near-commercial lithium development company focused on the sustainable development of a portfolio of large, high-grade lithium-brine properties in the United States. The Company prioritizes projects characterized by high-grade resources, robust infrastructure, skilled labor, and streamlined permitting. Standard Lithium aims to achieve sustainable, commercial-scale lithium production via the application of a scalable and fully integrated Direct Lithium Extraction and purification process. The Company’s flagship projects are located in the Smackover Formation, a world-class lithium brine asset, focused in Arkansas and Texas. In partnership with global energy leader Equinor, Standard Lithium is advancing the SWA Project, a greenfield project located in southern Arkansas, and actively advancing a promising lithium brine resource position in East Texas.
Standard Lithium trades on both the TSX Venture Exchange (“TSXV”) and the NYSE American under the symbol “SLI”. Please visit the Company’s website at
www.standardlithium.com
.
Investor Inquiries
Daniel Rosen
+1 604 409 8154
investors@standardlithium.com
Media Inquiries
media@standardlithium.com
X: @standardlithium
LinkedIn:
https://www.linkedin.com/company/standard-lithium/
Neither the TSXV nor its Regulation Services Provider (as that term is defined in policies of the TSXV) accepts responsibility for the adequacy or accuracy of this release.
This news release may contain certain “Forward-Looking Statements” within the meaning of the United States Private Securities Litigation Reform Act of 1995 and applicable Canadian securities laws. When used in this news release, the words “anticipate”, “believe”, “estimate”, “expect”, “target”, “plan”, “forecast”, “may”, “could”, “should”, “schedule”, “predict”, “budget”, “project”, “potential” and other similar words or expressions identify forward-looking statements or information. These forward-looking statements or information may relate to the cost and timing of any development of the SWA Project, mining recoveries, processing method and rates, production rates, capital and operating cost estimates, the projected life of mine and other expected attributes of the SWA Project, the IRR, regulatory or government requirements or approvals the use of non-GAAP measures in financial performance assessments, changes in exploration costs and government regulation in Canada and the United States, continued exploration of the Franklin Project, future expansion phases and other factors or information. Such statements represent the Company’s current views with respect to future events and are necessarily based upon a number of assumptions and estimates that, while considered reasonable by the Company, are inherently subject to significant business, economic, competitive, political and social risks, contingencies and uncertainties. Many factors, both known and unknown, could cause results, performance or achievements to be materially different from the results, performance or achievements that are or may be expressed or implied by such forward-looking statements. The Company does not intend, and does not assume any obligation, to update these forward-looking statements or information to reflect changes in assumptions or changes in circumstances or any other events affecting such statements and information other than as required by applicable laws, rules and regulations.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SLI\news_html\2025-11-18.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SLI/news_html/2025-11-18.html,,NONE,Participation in upcoming investor conferences,,,2024-12-31,2025-03-24
stockwatch,SLI,Standard Lithium Ltd.,2025-11-10,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6051765.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SLI\pdfs\MD&A\2025-11-10_SLI_MD&A_INTERIM_MDA_EN.pdf,20,375,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SLI/2025-11-10_SLI_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-12-31,2025-03-24
stockwatch,SLI,Standard Lithium Ltd.,2025-11-10,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6051767.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-24
stockwatch,SLI,Standard Lithium Ltd.,2025-11-10,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6051768.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-24
stockwatch,SLI,Standard Lithium Ltd.,2025-11-10,NEWS_RELEASE_EN,not applicable,NewsRelease,Standard Lithium has cash of $32.1M (U.S.) at Sept. 30,https://www.stockwatch.com/News/Item/Z-C!SLI-3751541/C/SLI,3751541,https://www.stockwatch.com/News/Sedardoc/6051770.pdf,,0,0,no,,"2025-11-10 17:46 ET - News Release
Mr. David Park reports
STANDARD LITHIUM REPORTS THIRD QUARTER 2025 RESULTS
Standard Lithium Ltd. has released its financial and operating results for the three- and nine-month periods ended Sept. 30, 2025.
Released positive definitive feasibility study (DFS) for the South West Arkansas project (SWA project) which continues progressing toward a final investment decision (FID);
Announced maiden inferred resource for the company's first project in East Texas (Franklin project) containing the highest reported lithium-in-brine grades in North America;
Completed upsized $130-million follow-on offering on the back of strong institutional investor demand and an oversubscribed order book, following quarter close.
""We had a busy and productive third quarter as we successfully executed on multiple key milestones that we had set out to achieve,"" said David Park, chief executive officer and director of Standard Lithium. ""We released a definitive feasibility study for the SWA project, highlighting the attractiveness and cost-competitiveness of our first commercial project. We also released a maiden inferred resource for our first project in East Texas, the Franklin project. With some of the highest reported lithium-in-brine grades in North America, it provides a strong foundation for future scalable production in the Smackover as we expand our portfolio of high-quality lithium assets.
""Following quarter close, we took a further derisking step by completing a capital raise, supported by strong investor demand, that will put us in a position to reach FID at SWA, as well as progress our Franklin and other projects in East Texas.
""Looking ahead, we expect to provide multiple updates in the coming months as we seek to conclude our ongoing project financing and customer offtake processes, finalize selection of our key SWA project vendors and approve FID before beginning construction at SWA in 2026.""
Highlights subsequent to the three-month period ended Sept. 30, 2025
All amounts are in United States dollars unless otherwise indicated. All terms not otherwise defined have the meaning given to them under the CIM (Canadian Institute of Mining) definition standards for mineral resources and mineral reserves.
Standard Lithium closes upsized $130-million underwritten public follow-on equity offering:
Closed an underwritten public offering on Oct. 20 of 29,885,057 common shares at a price of $4.35 per common share for aggregate gross proceeds of approximately $130-million. Strong support received from institutional investors allowed the company to increase the original transaction size by an additional $10-million.
Smackover Lithium files DFS for its SWA project, North America's highest-grade reported lithium brine reserve:
Filed on Oct. 14
   
    following release of the DFS highlights during the third quarter. The SWA project contemplates initial production capacity of 22,500 tonnes per annum of battery-quality lithium carbonate, producing 447,000 tonnes (proven reserves) of lithium carbonate equivalent (LCE), or 38 per cent of the in situ measured and indicated resources of 1,177,000 tonnes LCE. The SWA project will begin production at an average lithium concentration of 549 mg/L (milligrams per litre) and will process 0.20 cubic kilometre of brine over its modelled 20-year life at an average lithium concentration of 481 mg/L.
Smackover Lithium files maiden inferred resource for its Franklin project in East Texas, containing the highest reported lithium-in-brine grades in North America:
Filed on Nov. 5
    following release of the highlights during the third quarter. This report for Smackover Lithium's first of three planned projects in the East Texas region of the Smackover highlights the size and quality of its brine position. It marks a key step toward the ultimate goal of reaching production of over 100,000 tonnes of lithium chemicals per year in Texas through multiple phases.
Smackover Lithium receives key final integration approval from the Arkansas Oil and Gas Commission (AOGC) for SWA project:
Received unanimous approval from the AOGC for its integration application for the Reynolds brine unit where the initial commercial phase of the SWA project is planned to be developed. Integration is the formal process which amalgamates any non-leased mineral interests into an approved brine production unit, ensuring the operator's access to the brine while protecting the correlative rights of mineral owners, and is a key derisking step providing certainty on the resource.
Highlights from three-month period ended Sept. 30, 2025
Smackover Lithium announces positive definitive feasibility study results for its South West Arkansas project:
Highlighted by a 20.2-per-cent unlevered pre-tax internal rate of return (IRR), with competitive average cash operating costs of $4,516/tonne and all-in costs of $5,924/t over the operating life, an all-in Class III capex (capital expenditure) estimate of $1.45-billion including a 12.3-per-cent contingency and an upgraded mineral resource. The principal recommendation from the DFS is that the project is ready to progress to an FID. Construction is expected to commence in 2026 shortly after FID, with first production targeted in 2028.
Smackover Lithium releases maiden inferred resource for its Franklin project comprising a portion of significant brine position in East Texas:
Highlighted by 2.2 million tonnes of LCE at an average lithium grade of 668 mg/L, 15.4 million tonnes of potash (as potassium chloride) -- a newly added mineral to the U.S. Geological Survey 2025 Draft Critical Mineral List -- and 2.6 million tonnes of bromide at the inferred resource category. It contains the highest reported lithium-in-brine grades in North America.
Smackover Lithium reports highest lithium brine grade in SWA project area:
Smackover Lithium completed sampling from its newest exploration well, the Lester well, in the SWA project area. One sample recorded the highest lithium concentration reported to date from the SWA project area: 616 mg/L lithium in brine, while average lithium concentration in brine from the Lester well was 582 mg/L. This concluded all subsurface exploration activities for phase 1 of the SWA project.
Aquatech acquires Koch Technology Solutions' direct lithium extraction business:
On Sept. 16, Aquatech announced the acquisition of a portion of Koch Technology Solution's business, including the Li-pro(TM) technology used in our demonstration plant activities and planned for use in the SWA project. As a result of the transaction, Aquatech has assumed Koch's role under existing arrangements with us with no material changes to underlying terms. Further information can be found in the Aquatech press release.
Expanded leadership team with appointment of general counsel:
Appointed Michael Lutgring as general counsel. This addition to the leadership team is critical as the company strengthens its capabilities and bring further expertise in-house and continues its growth and development as a public company.
Cash and working capital of $32.1-million and $29.0-million, respectively, as of Sept. 30, 2025.
The company has no term or revolving debt obligations as of Sept. 30, 2025.
Consolidated financial statements
This news release should be read in conjunction with the company's consolidated financial statements and MD&A (management's discussion and analysis) for the three- and nine-month fiscal periods ended Sept. 30, 2025, which are available on the company's issuer profile on SEDAR+ and on EDGAR.
Three-month period ended Sept. 30, 2025, webcast
The company will hold a webcast to discuss its three-month period ended Sept. 30, 2025, on Tuesday, Nov. 11, at 8 a.m. ET. Live access as well as a replay will be available via webcast.
Webcast details
Standard Lithium Q3 2025 earnings call and webcast
Nov. 11, 2025, at 8 a.m. Eastern Time (United States and Canada)
About Standard Lithium Ltd.
Standard Lithium is a leading near-commercial lithium development company focused on the sustainable development of a portfolio of large, high-grade lithium-brine properties in the United States. The company prioritizes projects characterized by high-grade resources, robust infrastructure, skilled labour and streamlined permitting. Standard Lithium aims to achieve sustainable, commercial-scale lithium production via the application of a scalable and fully integrated direct lithium extraction and purification process. The company's flagship projects are located in the Smackover formation, a world-class lithium brine asset, focused in Arkansas and Texas. In partnership with global energy leader Equinor, Standard Lithium is advancing the SWA project, a greenfield project located in Southern Arkansas, and actively advancing a promising lithium brine resource position in East Texas.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SLI\news_html\2025-11-10.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SLI/news_html/2025-11-10.html,,CHANGED,Maiden inferred resource at Franklin project: 2.2 million tonnes LCE at 668 mg/L,Franklin,,2024-12-31,2025-03-24
stockwatch,SLI,Standard Lithium Ltd.,2025-11-10,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6051763.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-24
