source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,SURG,Surge Copper Corp.,2026-03-09,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6143685.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SURG,Surge Copper Corp.,2026-03-02,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6137994.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SURG,Surge Copper Corp.,2026-03-02,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6137995.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SURG\pdfs\MD&A\2026-03-02_SURG_MD&A_INTERIM_MDA_EN.pdf,22,941,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SURG/2026-03-02_SURG_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SURG,Surge Copper Corp.,2026-03-02,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6137996.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SURG,Surge Copper Corp.,2026-03-02,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6137997.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SURG,Surge Copper Corp.,2026-03-02,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6137683.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SURG\pdfs\MaterialChange\2026-03-02_SURG_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,4,320,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SURG/2026-03-02_SURG_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,$20 million private placement closed,,,,,2023-12-31,2024-03-30
stockwatch,SURG,Surge Copper Corp.,2026-02-26,NEWS_RELEASE_EN,not applicable,NewsRelease,Surge Copper Announces Closing of First Tranche of $20 Million Private Placement,https://www.stockwatch.com/News/Item/Z-C!SURG-3789884/C/SURG,3789884,https://www.stockwatch.com/News/Sedardoc/6134361.pdf,,0,0,no,,"2026-02-26 16:41 ET - News Release
Not for distribution to U.S. newswire services or dissemination in the United States
Vancouver, British Columbia, Feb.  26, 2026  (GLOBE NEWSWIRE) --  Surge Copper Corp. (TSXV:
SURG
) (OTCQB:
SRGXF
) (Frankfurt:
G6D2
) (“Surge” or the “Company”)
is pleased to announce that it has closed the first tranche of its previously announced $20 million non-brokered private placement (the “
Offering
”), for gross proceeds of $16 million under the first tranche, consisting of 32,040,000 units (the “
Units
”). Each Unit consists of one common share of the Company and one common share purchase warrant, on the terms previously described in the Company’s
February 10, 2026 news release
.
The Offering was strongly supported by a combination of existing shareholders and new institutional investors.
Leif Nilsson, Chief Executive Officer, commented: “
We are pleased to complete the first tranche of this financing and appreciate the continued support from both existing shareholders and new institutional investors. This capital strengthens our balance sheet and positions the Company to advance our business in a disciplined and focussed manner.
”
The second and final tranche of the Offering is expected to consist of an approximately $4 million subscription from the Company’s strategic investor (see
press release dated May 31, 2024
), which has provided notice of its exercise of its participation rights under an investor rights agreement dated May 31, 2024. Closing of the second tranche remains subject to the execution of definitive subscription documentation, receipt of certain foreign regulatory approvals, and customary closing conditions, including conditional acceptance of the TSX Venture Exchange. The second tranche is expected to close on or about March 27, 2026 or such other date as the Company may determine.
The net proceeds from the Offering will be used to advance the Company’s mineral exploration and development projects, including the Berg and Ootsa projects, as well as for working capital and general corporate purposes.
The securities underlying the Units issued as part of the Offering are subject to a statutory hold period under applicable Canadian securities laws, expiring four months and a day from their issue date.
In connection with the first tranche of the Offering, the Company paid cash finder’s fees totalling approximately $39,600 to Canaccord Genuity Corp.
This news release does not constitute an offer to sell or a solicitation of an offer to buy nor shall there be any sale of any securities in any jurisdiction in which such offer, solicitation, or sale would be unlawful including any of the securities in the United States of America. The securities have not been and will not be registered under the United States Securities Act of 1933, as amended (the “
1933 Act
”) or any state securities laws and may not be offered or sold within the United States or to, or for account or benefit of, U.S. Persons (as defined in Regulation S under the 1933 Act) unless registered under the 1933 Act and applicable state securities laws, or an exemption from such registration requirements is available.
About Surge Copper Corp.
Surge Copper Corp. is a Canadian resource company advancing one of British Columbia’s emerging mineral districts. The Company’s 100%-owned Berg Project hosts a large-scale copper-molybdenum-silver deposit with strong development potential in a safe jurisdiction supported by established infrastructure. A 2023 Preliminary Economic Assessment outlined a long-life project producing essential metals for industrial and energy systems. Surge is advancing a Pre-Feasibility Study on the Berg Project to further define its technical and economic development potential.
In addition to Berg, Surge controls a large, contiguous mineral claim package that includes multiple advanced porphyry deposits, including the Ootsa Property adjacent to the past-producing Huckleberry Mine. The Company’s projects collectively position Surge as a future contributor to Canada’s critical minerals strategy through the responsible development of copper, molybdenum, and associated metals.
For more information, visit
www.surgecopper.com
On Behalf of the Board of Directors
“Leif Nilsson”
Chief Executive Officer
For Further information, please contact:
Riley Trimble, Corporate Communications & Development
Telephone: +1 604 639 3852
Email:
info@surgecopper.com
Twitter:
@SurgeCopper
LinkedIn:
Surge Copper Corp
https://www.surgecopper.com
Neither the TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this release
.
This News Release contains forward-looking statements, which relate to future events. In some cases, you can identify forward-looking statements by terminology such as ""will"", ""may"", ""should"", ""expects"", ""plans"", or ""anticipates"" or the negative of these terms or other comparable terminology. All statements included herein, other than statements of historical fact, are forward-looking statements, including but not limited to the Company’s expectations regarding the size of the second tranche of the Offering, the Company’s ability to close the second tranche of the Offering, Company’s ability to obtain all requisite approvals to complete the second tranche of the Offering, that the second tranche of the Offering will be the final tranche of the Offering, the use of proceeds from the Offering, statements about the Offering and general business and economic conditions, plans regarding the Berg Project and the Ootsa Property, the anticipated completion and results of the Pre-Feasibility Study, future exploration and technical programs, mineral resource estimates, mine planning, process flowsheet development, capital and operating cost estimates, waste, water, and tailings management, site infrastructure planning, environmental assessment and permitting activities, and engagement with Indigenous Nations. These statements are only predictions and involve known and unknown risks, uncertainties, and other factors that may cause the Company’s actual results, level of activity, performance, or achievements to be materially different from any future results, levels of activity, performance, or achievements expressed or implied by these forward-looking statements. Such uncertainties and risks may include, among others, the delay or failure to receive regulatory or other approvals, including the approval of the TSX Venture Exchange, for the Offering, actual results of the Company's exploration activities being different than those expected by management, the ability to obtain adequate financing to conduct its planned exploration programs, inability to procure labour, equipment, and supplies in sufficient quantities and on a timely basis, equipment breakdown, and bad weather.
While these forward-looking statements, and any assumptions upon which they are based, are made in good faith and reflect the Company's current judgment regarding the direction of its business, actual results will almost always vary, sometimes materially, from any estimates, predictions, projections, assumptions, or other future performance suggestions herein. Except as required by applicable law, the Company does not intend to update any forward-looking statements to conform these statements to actual results.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SURG\news_html\2026-02-26.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SURG/news_html/2026-02-26.html,,NONE,Closing of private placement financing,,,2023-12-31,2024-03-30
stockwatch,SURG,Surge Copper Corp.,2026-02-20,NEWS_RELEASE_EN,not applicable,NewsRelease,Surge Copper's Berg project gets into B.C. CMO,https://www.stockwatch.com/News/Item/Z-C!SURG-3787363/C/SURG,3787363,https://www.stockwatch.com/News/Sedardoc/6129338.pdf,,0,0,no,,"2026-02-20 17:47 ET - News Release
Mr. Leif Nilsson reports
SURGE COPPER ANNOUNCES BERG PROJECT ACCEPTANCE INTO BC CRITICAL MINERALS OFFICE
Surge Copper Corp. has received the British Columbia government's acceptance of the Berg project into the Critical Minerals Office (CMO).
The Berg project aligns with both national critical minerals objectives and the recently announced Western Canadian critical minerals strategy, positioning the project within provincial and federal priorities to strengthen secure, responsibly produced mineral supply chains. If developed as envisioned, Berg's projected output of critical minerals, including copper and molybdenum, would rank among the largest in Canada, reinforcing its strategic importance to British Columbia's long-term economic and industrial objectives.
Through the critical minerals office, the province provides co-ordinated support across ministries and agencies to help advance priority projects through the regulatory process in a clear, predictable and efficient manner. Inclusion in the CMO portfolio reflects the province's recognition of Berg's potential contribution to British Columbia's critical minerals strategy.
Minister of Mining and Critical Minerals of British Columbia, Jagrup Brar:
""We are pleased to welcome Surge Copper into the B.C. Critical Minerals Office. Partnerships like this are central to our government's commitment to responsibly advancing critical mineral development in British Columbia. The Berg project represents a significant opportunity to strengthen our province's role in supplying the minerals that are essential to clean energy, economic resilience and global supply chain security. We look forward to working closely with Surge Copper as the project advances through the regulatory process and contributes to sustainable economic growth for communities across the province.""
Minister of Jobs and Economic Growth of British Columbia, Ravi Kahlon:
""Critical minerals are a key priority under the province's Look West industrial and economic plan. We welcome Surge Copper to the Critical Minerals Office portfolio as they work to advance the Berg project and bring one of Canada's largest undeveloped copper deposits into production. Projects like this are engines for investment and job creation across B.C.""
Jennifer Anthony, Surge's vice-president environment and regulatory affairs, commented: ""Inclusion in the Critical Minerals Office is an important milestone for the Berg project. Co-ordinated engagement across provincial agencies, together with our ongoing collaboration with first nations partners, is foundational to advancing large-scale projects responsibly and efficiently. We appreciate the 
  province's
   support and look forward to working closely with the CMO as we continue to move Berg forward through the regulatory process.""
About Surge Copper Corp.
Surge Copper is a Canadian resource company advancing one of British Columbia's emerging copper districts. The company's 100-per-cent-owned Berg project hosts a large-scale copper-molybdenum-silver deposit in central British Columbia with a projected mine life exceeding 30 years. A 2023 preliminary economic assessment outlined a long-life project producing copper as a primary metal, with molybdenum, silver and gold byproducts. Surge is currently advancing a prefeasibility study to further define the project's technical and economic parameters.
Surge works closely with local first nations in advancing its projects through early engagement, transparent communication, and prior and informed consent.
In addition to Berg, Surge controls a large, contiguous mineral claim package that includes multiple advanced porphyry deposits, including the Ootsa property adjacent to the past-producing Huckleberry mine. Collectively, the company's assets position Surge as a potential long-term contributor to Canada's critical minerals strategy through the responsible development of copper, molybdenum and associated metals.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SURG\news_html\2026-02-20.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SURG/news_html/2026-02-20.html,,NONE,Berg project accepted into B.C. Critical Minerals Office,,,2023-12-31,2024-03-30
stockwatch,SURG,Surge Copper Corp.,2026-02-12,NEWS_RELEASE_EN,not applicable,NewsRelease,"PO Box 10351 888-700 West Georgia Street, Vancouver, BC, Canada, V7Y 1G5 www.surgecopper.com",,,https://www.stockwatch.com/News/Sedardoc/6123507.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SURG\pdfs\NewsRelease\2026-02-12_SURG_NewsRelease_fallback.pdf,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SURG/2026-02-12_SURG_NewsRelease_fallback.pdf,"Surge Copper Corp. 
 
1
 
 
PO Box 10351 888-700 West Georgia Street, Vancouver, BC, Canada, V7Y 1G5 
www.surgecopper.com  
 
TSX-V: SURG
OTCQB: SRGXF 
FRA: G6D2 
 
Telephone: +1 (604) 781-5454
Email: info@surgecopper.com
 
February 11, 2026 
 
NEWS RELEASE 
 
Surge Copper Announces Upsize of Private Placement to $20 Million 
 
Not for distribution to U.S. newswire services or dissemination in the United States 
 
February 11, 2026  Vancouver, British Columbia  Surge Copper Corp. (TSXV: SURG) 
(OTCQB: SRGXF) (Frankfurt: G6D2) (Surge or the Company) is pleased to announce 
that it has increased the size of its previously announced non-brokered private placement 
to $20 million (the Offering). 
 
Pursuant to the amended terms, the Offering will now consist of 40 million units (the Units) 
at a price of $0.50 per Unit for gross proceeds of $20 million. All other terms of the Offering 
remain unchanged. 
 
Leif Nilsson, Chief Executive Officer, commented: We appreciate the continued support 
from existing shareholders and the participation of new long-term investors. The decision to 
increase the size of the financing reflects constructive demand and alignment around the 
development pathway at Berg. This capital materially strengthens our balance sheet and 
provides enhanced financial visibility as we advance permitting and technical work beyond 
the upcoming PFS. We believe the Company is well positioned to execute its next phases of 
work from a position of financial strength. 
 
Pursuant to the terms of an investor rights agreement dated May 31, 2024 between the 
Company and a strategic investor (the Strategic Investor) (see press release dated May 31, 
2024), the Strategic Investor has the right to participate in the Offering in order to maintain 
its ownership interest in the Company, subject to applicable regulatory limits. The gross 
proceeds of the Offering assume the full exercise of this participation right by the Strategic 

Surge Copper Corp. 
 
2
Investor. The Strategic Investors participation in the Offering is subject to the receipt of 
certain foreign regulatory approvals. Any securities issued to the Strategic Investor will 
remain subject to the previously disclosed 19.9% ownership limitation. 
 
The Company anticipates that net proceeds from the Offering will be used to advance its 
mineral exploration and development projects, including the Berg and Ootsa projects, as 
well as for working capital and general corporate purposes. 
 
The Offering is expected to close on or about February 26, 2026, or such other date or dates 
as the Company may determine, and may be completed in one or more tranches, with any 
subsequent tranche subject to the receipt of applicable regulatory approvals. The closing of 
the Offering is subject to customary closing conditions, including receipt of all required 
regulatory approvals, including the conditional acceptance of the TSX Venture Exchange. 
 
The Company may pay certain finders cash fees equal to 6 per cent of eligible funds raised 
under the Offering, at the Companys discretion. No broker warrants will be issued. 
 
This news release does not constitute an offer to sell or a solicitation of an offer to buy nor 
shall there be any sale of any securities in any jurisdiction in which such offer, solicitation, 
or sale would be unlawful including any of the securities in the United States of America. The 
securities have not been and will not be registered under the United States Securities Act of 
1933, as amended (the 1933 Act) or any state securities laws and may not be offered or 
sold within the United States or to, or for account or benefit of, U.S. Persons (as defined in 
Regulation S under the 1933 Act) unless registered under the 1933 Act and applicable state 
securities laws, or an exemption from such registration requirements is available. 
 
About Surge Copper Corp. 
 
Surge Copper Corp. is a Canadian resource company advancing one of British Columbias 
emerging mineral districts. The Companys 100%-owned Berg Project hosts a large-scale 
copper-molybdenum-silver deposit with strong development potential in a safe jurisdiction 
supported by established infrastructure. A 2023 Preliminary Economic Assessment outlined 
a long-life project producing essential metals for industrial and energy systems. Surge is 
advancing a Pre-Feasibility Study on the Berg Project to further define its technical and 
economic development potential. 
 
In addition to Berg, Surge controls a large, contiguous mineral claim package that includes 
multiple advanced porphyry deposits, including the Ootsa Property adjacent to the past-
producing Huckleberry Mine. The Companys projects collectively position Surge as a future 
contributor to Canadas critical minerals strategy through the responsible development of 
copper, molybdenum, and associated metals. 
 

Surge Copper Corp. 
 
3
For more information, visit www.surgecopper.com 
 
On Behalf of the Board of Directors 
Leif Nilsson 
Chief Executive Officer 
For Further information, please contact: 
Riley Trimble, Corporate Communications & Development 
Telephone: +1 604 639 3852 
Email: info@surgecopper.com 
Twitter: @SurgeCopper 
LinkedIn: Surge Copper Corp 
https://www.surgecopper.com 
 
Neither the TSX Venture Exchange nor its Regulation Services Provider (as that term is 
defined in the policies of the TSX Venture Exchange) accepts responsibility for the adequacy 
or accuracy of this release. 
 
This News Release contains forward-looking statements, which relate to future events. In 
some cases, you can identify forward-looking statements by terminology such as ""will"", 
""may"", ""should"", ""expects"", ""plans"", or ""anticipates"" or the negative of these terms or other 
comparable terminology. All statements included herein, other than statements of historical 
fact, are forward-looking statements, including but not limited to the Companys plans 
regarding the Berg Project and the Ootsa Property, the anticipated completion and results of 
the Pre-Feasibility Study, future exploration and technical programs, mineral resource 
estimates, mine planning, process flowsheet development, capital and operating cost 
estimates, waste, water, and tailings management, site infrastructure planning, 
environmental assessment and permitting activities, and engagement with Indigenous 
Nations. These statements are only predictions and involve known and unknown risks, 
uncertainties, and other factors that may cause the Companys actual results, level of 
activity, performance, or achievements to be materially different from any future results, 
levels of activity, performance, or achievements expressed or implied by these forward-
looking statements. Such uncertainties and risks may include, among others, actual results 
of the Company's exploration activities being different than those expected by management, 
delays in obtaining or failure to obtain required government or other regulatory approvals, 
the ability to obtain adequate financing to conduct its planned exploration programs, 
inability to procure labour, equipment, and supplies in sufficient quantities and on a timely 
basis, equipment breakdown, and bad weather. While these forward-looking statements, 
and any assumptions upon which they are based, are made in good faith and reflect the 
Company's current judgment regarding the direction of its business, actual results will 
almost always vary, sometimes materially, from any estimates, predictions, projections, 

Surge Copper Corp. 
 
4
assumptions, or other future performance suggestions herein. Except as required by 
applicable law, the Company does not intend to update any forward-looking statements to 
conform these statements to actual results. 
 
",,,,NONE,Upsized private placement announcement,,,2023-12-31,2024-03-30
stockwatch,SURG,Surge Copper Corp.,2026-02-12,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6123509.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SURG\pdfs\MaterialChange\2026-02-12_SURG_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,4,728,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SURG/2026-02-12_SURG_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Private placement increased to $20 million,,,,,2023-12-31,2024-03-30
