source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,SVE,Silver One Resources Inc.,2026-03-13,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6147469.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SVE,Silver One Resources Inc.,2026-03-13,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6147470.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SVE,Silver One Resources Inc.,2026-03-13,MDA_EN,gold and precious metals,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6147464.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SVE\pdfs\MD&A\2026-03-13_SVE_MD&A_MDA_EN.pdf,22,777,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SVE/2026-03-13_SVE_MD&A_MDA_EN.pdf,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SVE,Silver One Resources Inc.,2026-03-13,AB_FORMF1,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6147456.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SVE,Silver One Resources Inc.,2026-03-13,AUDITED_ANNUAL_FINANCIAL_STATEMENTS_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6147446.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SVE,Silver One Resources Inc.,2026-03-02,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Silver One Commences Core Drilling for Geotechnical Pit Slope Study at Its Candelaria, Project Nevada",https://www.stockwatch.com/News/Item/Z-C!SVE-3791027/C/SVE,3791027,https://www.stockwatch.com/News/Sedardoc/6137184.pdf,,0,0,no,,"2026-03-02 00:16 ET - News Release
Vancouver, British Columbia--(Newsfile Corp. - March 2, 2026) -
Silver One Resources Inc. (TSXV: SVE) (OTCQX: SLVRF) (FSE: BRK1)
(""Silver One"" or the ""Company"") is pleased to announce that has commenced a core drilling program that will provide essential geotechnical data for its Candelaria Silver Project in Nevada.  In parallel, the company has engaged Call & Nicholas, Inc., a globally recognized geotechnical engineering firm, to conduct a pre-feasibility level (""PFS"") pit-slope stability study in support of a conceptual PFS open-pit design.  This work represents a major advancement toward the Company's planned PFS, scheduled for completion in Q4 2026.
The drilling program includes nine HQ-diameter (63.5 mm) core holes totaling approximately 1,900 metres, strategically positioned within and along the margins of the proposed open-pit footprint (See Figure 1). The resulting geotechnical data will guide slope design, optimize mine engineering, and support long-term operational safety and efficiency.
Candelaria stands out as one of the most compelling emerging silver projects in the United States. A former producing mine with a long history of successful operations, the project benefits from previous permitting, excellent infrastructure (including power and water), road access year-round, and significant potential for resource expansion along strike and at depth. These advantages position Candelaria as a rare combination of scale, simplicity, and growth opportunity in a Tier-1 jurisdiction.
The project currently hosts a substantial resource potentially suitable for open-pit development, including:
Measured & Indicated (""M&I""): 22,070,000 tonnes grading 94 g/t Ag and 0.20 g/t Au, containing 66.754 million ounces of silver and 141,400 ounces of gold, or 70.84 million ounces AgEq
Inferred: 2,960,000 tonnes grading 68 g/t Ag and 0.18 g/t Au, containing 6.462 million ounces of silver and 17,000 ounces of gold, or 7.00 million ounces AgEq
This open-pit resource constitutes only a portion of the overall property resources, which also include two heap leach pads hosting substantial amounts of silver and gold.  The current global resource for the property amounts to 108.18 million ounces AgEq M&I plus 29.53 million ounces AgEq Inferred  (See Table 1 and 2; Company news release dated May 6, 2025; and complete details in the NI 43-101 Technical Report
""Mineral Resource Estimate on the Candelaria Property""
dated April 30, 2025, filed on SEDAR+).
Gregory Crowe, President and CEO, commented:
""Launching the geotechnical drilling program and commissioning Call & Nicholas for the PFS-level slope-stability study marks a major milestone in de-risking and advancing Candelaria. This work provides the engineering backbone for our open-pit design and is essential to delivering a robust pre-feasibility study. With its strong resource base, past-producing history, excellent infrastructure, and clear potential for expansion, Candelaria continues to demonstrate why it is one of the most exciting silver development projects in Nevada.""
Figure 1
. Planned geotechnical drill-hole location map (UTM NAD83 11S).  Blue line shows the perimeter of the proposed pit design.
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/4730/285851_e18aa4234463c854_001full.jpg
Table 1
. Candelaria in-ground, underground, and stockpiles mineral resource estimates. The mineral resource estimate has an Effective Date of April 30, 2025.
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/4730/285851_image1.jpg
Table 2
. Candelaria Leach Pad mineral resources. The mineral resource has an Effective Date of August 6, 2020.
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/4730/285851_image2.jpg
Qualified Persons
The technical content of this news release, not related to the mineral resource, has been reviewed and approved by Robert M. Cann, P. Geo, a Qualified Person as defined by National Instrument 43-101 and an independent consultant to the Company.
About Silver One
Silver One is focused on the exploration and development of quality silver projects.  The Company holds 100% interest in its flagship project, the past-producing Candelaria Mine located in Nevada.  Potential reprocessing of silver from the historic leach pads at Candelaria provides an opportunity for possible near-term production.  Additional opportunities lie in previously identified high-grade silver intercepts down-dip and potentially increasing the substantive silver mineralization along-strike from the two past-producing open pits.
The Company owns 636 lode claims and five patented claims on its Cherokee project located in Lincoln County, Nevada, host to multiple silver-copper-gold vein systems, traced to date for over 11 km along-strike.
Silver One also owns a 100% interest in the Silver Phoenix Project. The Silver Phoenix Project is a very high-grade native silver prospect that lies within the ""Arizona Silver Belt,"" immediately adjacent to the prolific copper producing area of Globe, Arizona.
For more information, please contact:
Silver One Resources Inc.
Gary Lindsey - VP, Investor Relations
Phone: 604-974‐5274
Mobile: (720) 273-6224
Email:
gary@strata-star.com
Forward-Looking Statements
Information set forth in this news release contains forward-looking statements that are based on assumptions as of the date of this news release. These statements reflect management's current estimates, beliefs, intentions and expectations. They are not guarantees of future performance. Silver One cautions that all forward-looking statements are inherently uncertain, and that actual performance may be affected by a number of material factors, many of which are beyond Silver One's control. Such factors include, among other things: risks and uncertainties relating to Silver One's limited operating history, ability to obtain sufficient financing to carry out its exploration and development objectives on the Candelaria Project, obtaining the necessary permits to carry out its activities and the need to comply with environmental and governmental regulations. Accordingly, actual and future events, conditions and results may differ materially from the estimates, beliefs, intentions and expectations expressed or implied in the forward-looking information. Except as required under applicable securities legislation, Silver One undertakes no obligation to publicly update or revise forward-looking information.
NEITHER TSX VENTURE EXCHANGE NOR ITS REGULATION SERVICES PROVIDER (AS THAT TERM IS DEFINED IN THE POLICIES OF THE TSX VENTURE EXCHANGE) ACCEPTS RESPONSIBILITY FOR THE ADEQUACY OR ACCURACY OF THIS RELEASE.
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/285851
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SVE\news_html\2026-03-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SVE/news_html/2026-03-02.html,,NONE,Commencement of geotechnical drilling program,,,2023-12-31,2024-03-30
stockwatch,SVE,Silver One Resources Inc.,2026-02-23,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Silver One begins drilling at Candelaria,https://www.stockwatch.com/News/Item/Z-C!SVE-3788072/C/SVE,3788072,https://www.stockwatch.com/News/Sedardoc/6129903.pdf,,0,0,no,,"2026-02-23 20:42 ET - News Release
Mr. Gregory Crowe reports
SILVER ONE INITIATES DRILLING ON CANDELARIA'S, NEVADA HEAP LEACH PADS TO UPGRADE RESOURCES AND PREPARE FOR PILOT METALLURGICAL TESTING
Silver One Resources Inc. is launching a new drilling campaign at its Candelaria project in Nevada, designed to upgrade the leach pad indicated and inferred mineral resources to measured and indicated. This program marks another step forward in advancing Candelaria toward development. The new resource will be incorporated into a prefeasibility study currently in progress.
In addition to supporting resource conversion, the program will generate bulk samples for metallurgical pilot testing -- a key component in refining processing assumptions and strengthening project economics.
The campaign comprises 1,400 metres using an eight-inch-diameter hollow stem auger across 56 planned holes on the LP1 and LP2 leach pads.
Candelaria's leach pad resources currently include 22.18 million tonnes grading 42.1 grams per tonne silver and 0.074 g/t gold, containing 30.02 million ounces of silver and 52,000 ounces of gold in the indicated category. The inferred category comprises an additional 11.45 million tonnes grading 41.8 g/t silver and 0.10 g/t gold, containing 15.4 million ounces of silver and 36,700 ounces of gold. Silver equivalent resources total 30.8 million ounces indicated and 16.1 million ounces inferred (see table 1 and the company's news release dated May 6, 2025).
Gregory Crowe, president and chief executive officer, commented: ""This upcoming drilling and sampling program is designed to enhance confidence in these substantial leach pad resources while providing the metallurgical data needed to support ongoing project advancement.   Pilot testing will potentially validate the increased silver recoveries using Extrakt/Bechtel non-cyanide solutions and pave the way towards what is hoped to be a robust PFS later in 2026.""
Candelaria's project resources total 108.18 million ounces of silver equivalent in the measured and indicated categories, and 29.46 million ounces of AgEq, including in-ground, leach pad and stockpiles material (see the company's news release dated May 6, 2025, and the technical report titled ""Mineral Resource Estimate on the Candelaria Property"" dated April 30, 2025, and filed on SEDAR+ for complete technical details).
Candelaria project background
Candelaria was historically the highest-grade silver producer in the state of Nevada, averaging over 1,200 g/t silver (40 ounces per ton Ag) from high-grade vein mining between the mid-1800s and the mid-1900s. Open-pit mining operations mined silver and base metals from stockwork and manto-style mineralized bodies with accessory gold values hosted in rocks of the Candelaria and Pickhandle Gulch formations. The majority of the mineralization is associated with the lower Candelaria shear and Pickhandle thrusts.  Open-pit mining was undertaken in the 1980s through 1998 by several companies, including Nerco Inc. and Kinross Gold.  Kinross closed the open-pit and leach operation in 1998 due to low silver prices; however, leaching of the historic pads was not completed leaving a substantial amount of unrecovered silver. It is estimated that the property has produced over 68 million ounces of silver.  Historical information was obtained from ""Geology of the Candelaria Mining District, Mineral County, Nevada, 1959, Nevada Bureau of Mines, Bulletin 56.""
Qualified person
The technical content of this news release, not related to the mineral resource, has been reviewed and approved by Robert M. Cann, PGeo, a qualified person as defined by National Instrument 43-101, an independent consultant to the company.
About Silver One Resources Inc.
Silver One is focused on the exploration and development of quality silver projects.  The company holds a 100-per-cent interest in its flagship project, the past-producing Candelaria mine located in Nevada.  Potential reprocessing of silver from the historic leach pads at Candelaria provides an opportunity for possible near-term production.  Additional opportunities lie in previously identified high-grade silver intercepts downdip and potentially increasing the substantive silver mineralization along strike from the two past-producing open pits.
The company owns 636 lode claims and five patented claims on its Cherokee project located in Lincoln county, Nevada, host to multiple silver-copper-gold vein systems, traced to date for over 12 kilometres along strike.
Silver One also owns a 100-per-cent interest in the Silver Phoenix project. The Silver Phoenix project is a very high-grade native silver prospect that lies within the Arizona silver belt, immediately adjacent to the prolific copper-producing area of Globe, Ariz.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SVE\news_html\2026-02-23.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SVE/news_html/2026-02-23.html,,NONE,Drilling campaign initiated at Candelaria project,,,2023-12-31,2024-03-30
stockwatch,SVE,Silver One Resources Inc.,2026-02-06,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6120363.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SVE,Silver One Resources Inc.,2026-02-05,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6118955.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SVE\pdfs\MaterialChange\2026-02-05_SVE_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,128,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SVE/2026-02-05_SVE_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Private placement financing completed,,,,,2023-12-31,2024-03-30
stockwatch,SVE,Silver One Resources Inc.,2026-02-03,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6117826.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SVE\pdfs\MaterialChange\2026-02-03_SVE_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,105,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SVE/2026-02-03_SVE_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Private placement financing closed,,,,,2023-12-31,2024-03-30
