source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,SVRS,Silver Storm Mining Ltd.,2026-02-27,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Silver Storm Invites PDAC 2026 Attendees to Visit the Company at Booth #2540 on March 1-4,https://www.stockwatch.com/News/Item/Z-C!SVRS-3790287/C/SVRS,3790287,https://www.stockwatch.com/News/Sedardoc/6135071.pdf,,0,0,no,,"2026-02-27 07:00 ET - News Release
Company Website:
https://Silverstorm.ca
TORONTO -- (Business Wire)
Silver Storm Mining Ltd. (“
Silver Storm
” or the ""
Company
"") (TSX.V: SVRS | OTCQX: SVRSF | FSE: SVR) is pleased to invite attendees of the 2026 Prospectors & Developers Association of Canada (“PDAC”) Convention to visit the Company at
Booth #2540
from Sunday, March 1, to Wednesday, March 4, 2026. Visitors will have an opportunity to engage directly with the Company and learn more about the ongoing rehabilitation work ahead of the potential restart of operations at the La Parrilla Silver Mine Complex in the second quarter of 2026.
The PDAC Convention will be held on March 1-4, 2026, at the Metro Toronto Convention Centre.
Greg McKenzie, President & CEO, will also be presenting live at the 2026 PDAC Convention:
DATE
: Tuesday, March 3, 2026
TIME
: 10:47 am EST
LOCATION
: Room 801A
SESSION NAME
: Silver and Royalty
About Silver Storm Mining Ltd.
Silver Storm Mining Ltd. holds advanced-stage silver projects located in Durango, Mexico. Silver Storm is committed to advancing toward a potential near-term restart of its 100%-owned La Parrilla Silver Mine Complex, a prolific operation comprised of a 2,000 tpd mill and three underground mines. The Company also holds a 100% interest in the San Diego Project which ranks among the largest undeveloped silver projects in Mexico. For more information regarding the Company and its projects, please visit our website at
www.silverstorm.ca
.
Neither the TSXV nor its Regulation Services Provider (as that term is defined in the policies of the TSXV) accepts responsibility for the adequacy or accuracy of this news release.
Cautionary Note Regarding Forward Looking Statements:
Certain statements in this news release are forward-looking and involve a number of risks and uncertainties. Such forward-looking statements are within the meaning of the phrase ‘forward-looking information’ in the Canadian Securities Administrators’ National Instrument 51-102 – Continuous Disclosure Obligations. Forward-looking statements are not comprised of historical facts. Forward-looking statements include estimates and statements that describe the Company’s future plans, objectives, or goals, including words to the effect that the Company or management and Qualified Persons (in the case of technical and scientific information) expect a stated condition or result to occur. Forward-looking statements may be identified by such terms as “believes”, “anticipates”, “expects”, “estimates”, “may”, “could”, “would”, “will”, or “plan”. Since forward-looking statements are based on assumptions and address future events and conditions, by their very nature they involve inherent risks and uncertainties. Although these statements are based on information currently available to the Company, the Company provides no assurance that actual results will meet management’s expectations. Risks, uncertainties, and other factors involved with forward-looking information could cause actual events, results, performance, prospects, and opportunities to differ materially from those expressed or implied by such forward-looking information. Forward-looking information in this news release includes but is not limited to: the Company's plans and expectations for La Parrilla; the timeline for the completion of the rehabilitation work at La Parrilla; and the timeline and ability to place the La Parrilla Silver Mine Complex back into operation.
In making the forward-looking statements included in this news release, the Company has applied several material assumptions, including, among other things, the absence of material adverse changes in market conditions, metal prices, permitting status, operating conditions, labour availability, and access to required equipment, parts, and consumables. The Company cautions that its decision to potentially restart operations at La Parrilla, and any related production decisions, are largely based on internal Company data, historical operating results, reports, and engineering assessments and are not supported by a current mineral reserve estimate prepared in accordance with NI 43-101, preliminary economic assessments, pre-feasibility studies, or feasibility studies that demonstrate economic and technical viability. As a result, there is increased uncertainty and a higher degree of economic and technical risk associated with any such production decision than would be the case if such mineral reserves estimates or studies were completed and relied upon to support a production decision. No mineral reserves have been established for La Parrilla, and mineral resources that are not reserves do not have demonstrated economic viability. The absence of mineral reserve estimates prepared in accordance with NI 43-101, preliminary economic assessments, pre-feasibility studies, or feasibility studies supporting a production decision increases the uncertainty of achieving any particular level of mineral recovery or the cost of such recovery and heightens the risks associated with developing a commercially mineable deposit. Historically, projects advanced without the support of such mineral reserves estimates and studies have experienced a significantly higher incidence of economic and technical failure. There can be no assurance that production at La Parrilla will commence as anticipated or at all, or that any anticipated production levels or operating costs will be achieved. A failure to commence production would have a material adverse effect on the Company’s ability to generate revenue and cash flow to fund its operations. Similarly, a failure to achieve anticipated production costs would have a material adverse effect on the Company’s cash flow and future profitability.
Forward-looking statements and information are subject to various known and unknown risks and uncertainties, many of which are beyond the ability of the Company to control or predict, that may cause the Company’s actual results, performance, or achievements to be materially different from those expressed or implied thereby, and are developed based on assumptions about such risks, uncertainties, and other factors set out herein.
Such forward-looking information represents management’s and Qualified Persons’ (in the case of technical and scientific information) best judgment based on information currently available. No forward-looking statement can be guaranteed, and actual future results may vary materially. Accordingly, readers are advised not to place undue reliance on forward-looking statements or information.
View source version on businesswire.com:
https://www.businesswire.com/news/home/20260227837828/en/
Contacts:
For additional information, please contact:
Greg McKenzie, President & CEO
Ph: +1 (416) 504-2024
info@silverstorm.ca
Source: Silver Storm Mining Ltd.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SVRS\news_html\2026-02-27.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SVRS/news_html/2026-02-27.html,,NONE,Invitation to PDAC 2026 convention,,,2023-12-31,2024-03-30
stockwatch,SVRS,Silver Storm Mining Ltd.,2026-02-26,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Silver Storm's processing plant rehab 50% complete,https://www.stockwatch.com/News/Item/Z-C!SVRS-3789969/C/SVRS,3789969,https://www.stockwatch.com/News/Sedardoc/6133196.pdf,,0,0,no,,"2026-02-26 17:24 ET - News Release
Mr. 
  Greg McKenzie reports
SILVER STORM REPORTS 50% COMPLETION OF PROCESSING PLANT REHABILITATION ACTIVITIES AT LA PARRILLA
Silver Storm Mining Ltd. has provided an update on the progress of the processing plant rehabilitation activities at the company's 100-per-cent-owned past-producing La Parrilla silver mine complex, located in Durango state, Mexico.
Greg McKenzie, president and chief executive officer, stated: ""We are pleased to report that overall rehabilitation of the La Parrilla processing plant has reached 50-per-cent completion. This progress represents an important project milestone on the path to potentially restarting the operations at La Parrilla in the second quarter of 2026.""
The rehabilitation work at the La Parrilla processing plant includes significant advancements in several areas as outlined below:
Primary raw material feed and crushing circuit: Rehabilitation of the primary raw material feed and crushing circuit is nearing completion. Remaining work includes: (a) refurbishment and strengthening of the primary run-of-mine material bins; and (b) installation of the new vibrating grizzly screen and primary jaw crusher, with both of these long-lead items already on site. This work is scheduled to be completed in the next few weeks.
Flotation circuit: The eight new 1,000-cubic-foot sulphide flotation cells (see the company's news release dated on Feb. 3, 2026) have been set into their respective operating locations. Next steps will include installation of agitators, piping and electrification. Silver Storm expects that installation of the new flotation cells will be fully completed by the end of the first quarter of 2026, which would allow the nominal processing capacity of the sulphide flotation circuit to be expanded from 1,000 tonnes per day to 1,250 tonnes per day. The existing eight cleaner cells are currently being refurbished and will be installed sequentially over the next eight to 10 weeks.
Oxide circuit: The company is in the process of rehabilitating six leach tanks, with approximately 40 per cent of the work completed to date. Seven holding and conditioning tanks also require rehabilitation, and one conditioning tank will be replaced. The oxide circuit rehabilitation work is expected to be completed early in the second quarter of 2026.
Milling area: Rehabilitation of three ball mills and supporting infrastructure is under way. Milling area rehabilitation work includes relining of the ball mills, revamping of the cooling system, and installation of new cyclones and pumps, as required.
Qualified person
The scientific and technical information in this document has been reviewed and approved by Shane Ghouralal, PEng, director, technical services, of the company, a qualified person as defined by National Instrument 43-101, Standards of Disclosure for Mineral Projects.
About Silver Storm Mining Ltd.
Silver Storm Mining holds advanced-stage silver projects located in Durango, Mexico. Silver Storm is committed to advancing toward a potential near-term restart of its 100-per-cent-owned La Parrilla silver mine complex, a prolific operation comprising a 2,000-tonne-per-day mill and three underground mines. The company also holds a 100-per-cent interest in the San Diego project, which ranks among the largest undeveloped silver projects in Mexico.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SVRS\news_html\2026-02-26.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SVRS/news_html/2026-02-26.html,,NONE,Processing plant rehabilitation update at La Parrilla,,,2023-12-31,2024-03-30
stockwatch,SVRS,Silver Storm Mining Ltd.,2026-02-24,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6131694.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SVRS,Silver Storm Mining Ltd.,2026-02-24,INTERIM_MDA_EN,gold and precious metals,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6131697.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SVRS\pdfs\MD&A\2026-02-24_SVRS_MD&A_INTERIM_MDA_EN.pdf,24,408,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SVRS/2026-02-24_SVRS_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SVRS,Silver Storm Mining Ltd.,2026-02-24,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6131700.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SVRS,Silver Storm Mining Ltd.,2026-02-24,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6131701.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,SVRS,Silver Storm Mining Ltd.,2026-02-18,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Silver Storm sells Springer royalty for $2.18-million,https://www.stockwatch.com/News/Item/Z-C!SVRS-3786191/C/SVRS,3786191,https://www.stockwatch.com/News/Sedardoc/6126456.pdf,,0,0,no,,"2026-02-18 10:57 ET - News Release
Mr. 
Greg McKenzie reports
SILVER STORM SELLS NON-CORE CAPPED ROYALTY IN NEVADA, USA
Silver Storm Mining Ltd. has sold the non-core capped
production gross royalty on the Springer mine and mill property in the state of
Nevada, United States, for gross proceeds of $2,183,000 in cash.
The company acquired the Springer royalty as part of the acquisition of 100 per cent of the issued and
outstanding common shares of Till Capital Corp.  in 2025 (see the news release  
published on July 18, 2025). Till's royalty portfolio consisted of four mining royalties, including the
Springer royalty, which is capped at $2.5-million (U.S.).
Greg McKenzie, president and chief executive officer, commented: ""Silver Storm acquired Till at a transaction value
of $7.2-million, which incorporated approximately $6.2-million in cash held by Till prior to the closing of the
transaction, implying a valuation of approximately $1-million for Till's portfolio of mineral investments and
royalties. The Springer royalty sale represented an opportunity to monetize one of our non-core
royalty assets while adding financial flexibility and additional liquidity ahead of the potential restart of
operations at the La Parrilla silver mine complex in the second quarter of 2026.""
About Silver Storm Mining Ltd.
Silver Storm Mining  holds advanced-stage silver projects located in Durango, Mexico. Silver Storm
is committed to advancing toward a potential near-term restart of its 100-per-cent-owned La Parrilla silver
mine complex, a prolific operation comprising a 2,000-tonne-per-day mill and three underground mines. The
company also holds a 100-per-cent interest in the San Diego project, which is among the largest
undeveloped silver assets in Mexico.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SVRS\news_html\2026-02-18.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SVRS/news_html/2026-02-18.html,,NONE,Sale of non-core Springer royalty,,,2023-12-31,2024-03-30
stockwatch,SVRS,Silver Storm Mining Ltd.,2026-02-03,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Silver Storm to install flotation cells at La Parrilla,https://www.stockwatch.com/News/Item/Z-C!SVRS-3781164/C/SVRS,3781164,https://www.stockwatch.com/News/Sedardoc/6117156.pdf,,0,0,no,,"2026-02-03 15:32 ET - News Release
Mr. 
  Greg McKenzie reports
SILVER STORM COMMENCES THE EXPANSION OF THE LA PARRILLA SULPHIDE FLOTATION CIRCUIT TO 1,250 TPD
All eight new flotation cells have been fabricated and delivered to site at Silver Storm Mining Ltd.'s 100-per-cent-owned La Parrilla silver mine complex in Durango, Mexico.
The installation of the new 1,000-cubic-foot flotation cells, when combined with the existing processing equipment, will allow the processing capacity of the sulphide flotation circuit at the La Parrilla complex to be expanded from 1,000 tonnes per day to 1,250 tonnes per day. Two of the new cells have already been installed, with the remaining six cells slated for installation during the first quarter of 2026.
Greg McKenzie, president and chief executive officer, commented: ""The installation of the new flotation cells and the subsequent expansion of the sulphide flotation circuit at La Parrilla represent an important step toward the potential restart of operations in the second quarter of 2026. The expansion of the sulphide circuit aligns with the sulphide-dominant nature of the La Parrilla mineral resource.""
Qualified person
The scientific and technical information in this document has been reviewed and approved by Shane Ghouralal, PEng, director, technical services, of the company, a qualified person as defined by National Instrument 43-101, Standards of Disclosure for Mineral Projects.
About Silver Storm Mining Ltd.
Silver Storm Mining holds advanced-stage silver projects located in Durango, Mexico. Silver Storm is committed to advancing toward a potential near-term restart of its 100-per-cent-owned La Parrilla silver mine complex, a prolific operation comprising a 2,000-tonne-per-day  mill and three underground mines. The company also holds a 100-per-cent interest in the San Diego project, which is among the largest undeveloped silver assets in Mexico.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SVRS\news_html\2026-02-03.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SVRS/news_html/2026-02-03.html,,NONE,Expansion of flotation circuit at La Parrilla,,,2023-12-31,2024-03-30
stockwatch,SVRS,Silver Storm Mining Ltd.,2026-01-21,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Silver Storm to Present at the 2026 Vancouver Resource Investor Conference,https://www.stockwatch.com/News/Item/Z-C!SVRS-3776178/C/SVRS,3776178,https://www.stockwatch.com/News/Sedardoc/6105360.pdf,,0,0,no,,"2026-01-21 07:00 ET - News Release
Company Website:
https://Silverstorm.ca
TORONTO -- (Business Wire)
Silver Storm Mining Ltd. (“
Silver Storm
” or the ""
Company
"") (TSX.V: SVRS | OTCQX: SVRSF | FSE: SVR) is pleased to announce that Greg McKenzie, President & CEO, will present live at the 2026 Vancouver Resource Investor Conference (the “VRIC”), being held at the Vancouver Convention Centre West Building on January 25-26, 2026.
DATE
: January 25, 2026
TIME
: 2:00 pm PST
LOCATION
: Workshop 1, Vancouver Convention Centre West Building
Silver Storm also invites attendees to visit it at
Booth #313
. Visitors will have an opportunity to engage directly with the Company and learn more about the ongoing rehabilitation work and drilling program ahead of the potential restart of operations at the La Parrilla Silver Mine Complex in the second quarter of 2026.
Investors interested in attending the VRIC can register here:
https://cambridgehouse.com/vancouver-resource-investment-conference
About Silver Storm Mining Ltd.
Silver Storm Mining Ltd. holds advanced-stage silver projects located in Durango, Mexico. Silver Storm recently completed the acquisition of 100% of the La Parrilla Silver Mine Complex, a prolific operation which is comprised of a 2,000 tpd mill as well as five underground mines and an open pit that collectively produced 34.3 million silver-equivalent ounces between 2005 and 2019. The Company also holds a 100% interest in the San Diego Project, which is among the largest undeveloped silver assets in Mexico. For more information regarding the Company and its projects, please visit our website at
www.silverstorm.ca
.
Neither the TSXV nor its Regulation Services Provider (as that term is defined in the policies of the TSXV) accepts responsibility for the adequacy or accuracy of this news release.
Cautionary Note Regarding Forward Looking Statements:
Certain statements in this news release are forward-looking and involve a number of risks and uncertainties. Such forward-looking statements are within the meaning of the phrase ‘forward-looking information’ in the Canadian Securities Administrators’ National Instrument 51-102 – Continuous Disclosure Obligations. Forward-looking statements are not comprised of historical facts. Forward-looking statements include estimates and statements that describe the Company’s future plans, objectives or goals, including words to the effect that the Company or management and Qualified Persons (in the case of technical and scientific information) expects a stated condition or result to occur. Forward-looking statements may be identified by such terms as “believes”, “anticipates”, “expects”, “estimates”, “may”, “could”, “would”, “will”, or “plan”. Since forward-looking statements are based on assumptions and address future events and conditions, by their very nature they involve inherent risks and uncertainties. Although these statements are based on information currently available to the Company, the Company provides no assurance that actual results will meet management’s expectations. Risks, uncertainties and other factors involved with forward-looking information could cause actual events, results, performance, prospects and opportunities to differ materially from those expressed or implied by such forward-looking information. Forward-looking information in this news release includes but is not limited to statements regarding the Company’s current drilling program and the timeline and ability to place the La Parrilla Silver Mine Complex back into operation.
In making the forward-looking statements included in this news release, the Company have applied several material assumptions, including: no unexpected or adverse regulatory changes with respect to the trading of its common shares, and that the decision to potentially place La Parrilla into production, and any related production decisions are largely based on internal Company data and reports from previous operations and have not been supported by mineral reserve estimates prepared in accordance with NI 43-101, preliminary economic assessments, pre-feasibility or feasibility studies that demonstrate economic and technical viability. As a result, there is increased uncertainty and a higher degree of economic and technical risk associated with any such production decision than would be the case if such mineral reserves estimates or studies were completed and relied upon to support a production decision. No mineral reserves have been established for La Parrilla, and mineral resources that are not reserves do not have demonstrated economic viability. The absence of mineral reserve estimates prepared in accordance with NI 43-101, preliminary economic assessments, pre-feasibility or feasibility studies supporting a production decision increases the uncertainty of achieving any particular level of mineral recovery or the cost of such recovery, and heightens the risks associated with developing a commercially mineable deposit. Historically, projects advanced without the support of such mineral reserves estimates and studies have experienced a significantly higher incidence of economic and technical failure. There can be no assurance that production at La Parrilla will commence as anticipated or at all, or that any anticipated production levels or operating costs will be achieved. A failure to commence production would have a material adverse effect on the Company’s ability to generate revenue and cash flow to fund its operations. Similarly, a failure to achieve anticipated production costs would have a material adverse effect on the Company’s cash flow and future profitability.
Forward-looking statements and information are subject to various known and unknown risks and uncertainties, many of which are beyond the ability of the Company to control or predict, that may cause the Company’s actual results, performance or achievements to be materially different from those expressed or implied thereby, and are developed based on assumptions about such risks, uncertainties and other factors set out herein.
Such forward-looking information represents managements and Qualified Persons (in the case of technical and scientific information) best judgment based on information currently available. No forward-looking statement can be guaranteed, and actual future results may vary materially. Accordingly, readers are advised not to place undue reliance on forward-looking statements or information.
View source version on businesswire.com:
https://www.businesswire.com/news/home/20260121223842/en/
Contacts:
Greg McKenzie, President & CEO
Ph: +1 (416) 504-2024
info@silverstorm.ca
Source: Silver Storm Mining Ltd.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SVRS\news_html\2026-01-21.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SVRS/news_html/2026-01-21.html,,NONE,Presentation at 2026 Vancouver Resource Investor Conference,,,2023-12-31,2024-03-30
stockwatch,SVRS,Silver Storm Mining Ltd.,2026-01-15,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Silver Storm lists shares on OTCQX, delists from OTCQB",https://www.stockwatch.com/News/Item/Z-C!SVRS-3774568/C/SVRS,3774568,https://www.stockwatch.com/News/Sedardoc/6101937.pdf,,0,0,no,,"2026-01-15 12:52 ET - News Release
Mr. Greg McKenzie reports
SILVER STORM UPGRADED TO TRADE ON THE OTCQX BEST MARKET
Silver Storm Mining Ltd. has qualified to trade on the OTCQX Best Market, upgrading from the OTCQB Venture Market. Effective today, the common shares of the company will commence trading on the OTCQX Market under the symbol SVRSF. The company's shares will continue to be listed and trade on the TSX Venture Exchange under the symbol SVRS and on the Frankfurt Stock Exchange under the symbol SVR.
Greg McKenzie, president and chief executive officer of Silver Storm, commented: ""We are excited to have qualified for graduating to the OTCQX Market. This graduation improves our visibility to U.S. investors, increases liquidity and highlights our commitment to creating long-term value for shareholders, as we advance toward the potential restart of operations at the La Parrilla silver mine complex in the second quarter 2026.""
About Silver Storm Mining Ltd.
Silver Storm Mining holds advanced-stage silver projects located in Durango, Mexico. Silver Storm recently completed the acquisition of 100 per cent of the La Parrilla silver mine complex, a prolific operation which comprised a 2,000-tonne-per-day mill as well as five underground mines and an open pit that collectively produced 34.3 million silver-equivalent ounces between 2005 and 2019. The company also holds a 100-per-cent interest in the San Diego project, which is among the largest undeveloped silver assets in Mexico.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SVRS\news_html\2026-01-15.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SVRS/news_html/2026-01-15.html,,NONE,Company upgraded to OTCQX market,,,2023-12-31,2024-03-30
