source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,TK,Tinka Resources Limited,2026-03-12,NEWS_RELEASE_EN,not applicable,NewsRelease,Tinka Resources uplists to OTCQX Best Market,https://www.stockwatch.com/News/Item/Z-C!TK-3795545/C/TK,3795545,https://www.stockwatch.com/News/Sedardoc/6146162.pdf,,0,0,no,,"2026-03-12 23:05 ET - News Release
Dr. Graham Carman reports
TINKA ANNOUNCES UPGRADE TO OTCQX
Tinka Resources Ltd. has qualified to upgrade from the OTCQB Venture Market to the OTCQX Best Market. The company will commence trading today on OTCQX under the symbol TKRFF.
The OTCQX Best Market is the highest market of OTC Markets, and trading on OTCQX will enhance the visibility and accessibility of the company to U.S. investors. To qualify for OTCQX, companies must meet high financial reporting standards, follow best practices with respect to corporate governance and demonstrate compliance with applicable securities laws.  U.S. investors can find current financial disclosure and real-time Level 2 quotes for the company on the OTC Markets website.
Brandon Macdonald, executive chairman of Tinka, stated: ""Tinka's graduation from OTCQB to OTCQX is part of a continued evolution and reflects the quality of our company and projects. With access to a wider investor audience on OTCQX, we anticipate improved visibility and liquidity and a broader base of both U.S. and global investors.""
About Tinka Resources Ltd.
Tinka is an exploration and development company focused on base and precious metals projects in Peru. The company's flagship property is the Ayawilca zinc-silver-tin project which has substantial mineral resources of zinc-silver sulphides, the Colquipucro silver deposit and a separate tin resource. The company filed a National Instrument 43-101 technical report on an updated PEA (preliminary economic assessment) for the Ayawilca project on April 15, 2024. Dr. Graham Carman, Tinka's president and chief executive officer, has reviewed, verified and approved the technical contents of this release. Dr. Carman is a fellow of the Australasian Institute of Mining and Metallurgy and is a qualified person as defined by NI 43-101.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\TK\news_html\2026-03-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/TK/news_html/2026-03-12.html,,NONE,Upgrade to OTCQX Best Market,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-02-26,NEWS_RELEASE_EN,not applicable,NewsRelease,Tinka Provides Initial Drill Results at Silvia Copper-Gold Project and Updates Exploration Progress at Ayawilca,https://www.stockwatch.com/News/Item/Z-C!TK-3789604/C/TK,3789604,https://www.stockwatch.com/News/Sedardoc/6133670.pdf,,0,0,no,,"2026-02-26 07:47 ET - News Release
Vancouver, British Columbia--(Newsfile Corp. - February 26, 2026) -
Tinka Resources Limited (TSXV: TK) (OTCQB: TKRFD)
(""
Tinka
"" or the ""
Company
"") is pleased to provide an exploration update on the Ayawilca zinc-silver-tin project including a review of a high priority silver exploration vein target at West Ayawilca, and the results of the initial 1,400 metre drill program at the Silvia copper-gold project in Peru.
Silvia NW Copper-Gold Project Drilling Highlights:
Hole S25-001:  15.1 metres @ 0.17% copper and 0.26 g/t gold from 18.5 metres depth, incl. 4.1 metres @ 0.54% copper and 0.86 g/t gold.
Hole S25-002:  38.2 metres @ 0.17% copper and 0.06 g/t gold from 15.9 metres depth, incl. 2.5 metres @ 0.93% copper and 0.43 g/t gold.
Hole S25-004:  23.2 metres @ 0.20% copper and 0.05 g/t gold from 231.8 metres depth, incl.  4.2 metres @ 0.37% copper and 0.11 g/t gold.
Next steps:  A ground geophysical survey including magnetotellurics (MT) covering several targets over a much larger area at Silvia NW (~ 2 km
2
) is planned for May 2026.
Dr. Graham Carman, President and CEO of Tinka, stated:
""The initial drilling at Silvia NW has intersected relatively narrow copper - gold zones so far, however the strong skarn alteration and coincidence of copper and gold is encouraging and suggests that a significant mineralizing source could be nearby.  The footprint drill area tested was also restricted in size, being a small part of the overall target area at Silvia.  Multiple copper-gold targets exist at Silvia NW covering several square kilometres, and the most prospective areas will be covered by a ground geophysical survey following cessation of the current wet season in May.""
""At Ayawilca, good progress is being made with our active discussions with the local communities to extend our social licence at the project for an additional three years.  Tinka has been working with these same communities for over 10 years, and our relationship remains strong.  More details of a drilling program at Ayawilca, scheduled for early Q3 2026, will be forthcoming.""
Discussion of Silvia Drilling Results
Four diamond drill holes were completed at Silvia NW Area A between late October 2025 and early January 2026.  Three of the holes (S25-001, 002 and 004) were drilled on one section line with holes inclined to the west.  A fourth hole, S25-003, was drilled on a separate section approximately 100 metres to the north. An east-west cross section of the holes is shown in Figure 1.   A summary of the drill intercepts is presented in Table 1.  True width for intersections at Silvia cannot be accurately determined as the geometry of the mineralization remains unknown.
As foreshadowed in the initial Silvia drilling news release on
January 23, 2026
, the intervals of copper-gold mineralization in the drill holes are restricted to relatively narrow intervals at the contacts of intrusive monzonite dikes with the limestone.  Skarn alteration (mostly green and brown garnets with later chlorite and quartz-carbonate) is strongly developed within a few metres of the contact zones.  Sulphides (chalcopyrite, pyrite, and minor pyrrhotite) are typically restricted to narrow veins or minor disseminations within the skarn.  It is encouraging that the copper and gold occur together.  More exploration is required to target stronger concentrations, and it should be noted the footprint of the area tested was restricted in size (~ 0.05 km
2
).    Silvia NW has multiple exploration targets for skarn, and potentially porphyry style mineralization, covering a much wider area of approximately 3 km
2
.  Area B has the largest area of mapped skarn alteration which will be covered by an upcoming magnetotellurics (MT) survey, and possibly an Induced Polarization (IP) geophysical survey - Figure 2.
Table 1.  Summary of drill hole results from initial program at Silvia NW
Hole
From
To
Length m
Cu %
Au g/t
Ag g/t
Mo ppm
S25-001
18.50
33.60
15.10
0.17
0.26
1.3
22
including
29.55
33.60
4.05
0.54
0.86
3.5
27
including
29.55
32.15
2.60
0.83
1.13
5.3
14
and
36.25
48.70
12.45
*
*
*
203
S25-002
15.90
54.10
38.20
0.17
0.06
1.1
45
including
15.90
36.50
20.60
0.19
0.09
1.6
22
including
31.75
34.20
2.45
0.93
0.43
5.3
35
and
36.50
49.10
12.60
*
*
*
89
including
51.40
54.10
2.70
0.96
0.09
3.0
25
and
70.10
87.60
17.50
*
*
*
104
and
96.15
97.55
1.40
0.32
0.25
1.6
37
and
145.00
163.40
18.40
0.10
0.05
0.6
13
including
160.50
163.40
2.90
0.34
0.06
1.4
14
S25-003
159.90
162.50
2.60
0.32
0.04
2.5
2
and
208.50
211.20
2.7
0.27
0.03
1.9
4
S25-004
231.80
255.00
23.2
0.2
0.05
2.1
4
including
238.60
242.75
4.15
0.37
0.11
3.1
11
including
241.50
242.75
1.25
0.66
0.24
4.6
9
*Not Significant Values
Figure 1.  Cross section of drill holes at Silvia NW Area A with drill results highlighted
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/2197/285433_4c646e483448fb2c_007full.jpg
Figure 2.  Map of main exploration targets at Silvia NW highlighting area of proposed upcoming ground geophysics
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/2197/285433_4c646e483448fb2c_008full.jpg
Ayawilca Update
The Company is engaged in active discussions to extend its social licence at the Ayawilca Project for an additional three years by signing community agreements.  Good progress is being made with the local communities and we anticipate having one or more new agreements in place by mid-year.  This will allow commencement of a drill program at Ayawilca, and potentially at Colquipucro, Q3 of this year.
While the social engagement discussions are ongoing, the Company is actively engaged in reinterpreting the structural controls and other geological characteristics of the main zones at Ayawilca.  Combined with metallurgical test work, some of which will rely on fresh samples from the upcoming drill program, we anticipate being able to produce a more accurate modelling of metallurgical domains and, by extension, a more robust economic model for future studies.
Other work being carried out by the Company's geological team is the development and implementation of a framework for the ranking of targets in preparation for the upcoming drilling program.  In addition to plans for testing the expansion potential of the high-grade Zn-(Pb-Ag) zones at West and South Ayawilca, we are also re-evaluating our nearby Colquipucro silver mineral resource (included in 2024 Technical Report
1
, but unmodified since 2016) which lies just 2 km north of Ayawilca, as well as an area of silver-rich veins in outcrop (West silver veins - see Figure 3).  Both Colquipucro and the West silver veins are potential silver targets for future drilling and will be considered for inclusion into any upcoming resource statements and economic studies.
Of note, the West silver veins were not included in the most recent mineral resource estimation in 2024, and have only seen sparse drilling, albeit with highly promising results for silver including 10 metres @ 661 g/t silver with 3.1% Pb+Zn from 264 metres depth, and 7.8 metres @ 183 g/t silver with 13.2% Pb+Zn from 94 metres depth (downhole intercepts, not true width).  Some of the silver vein highlights are shown in the cross section in Figure 4 (down-hole intercepts only, not true width).  Mineralization remains open along strike, as well as up and down dip.  The extent of this vein system has not been fully assessed with the drilling to date, and there is undoubted exploration potential for significant extensions.
Figure 3.  Map of Ayawilca highlighting key zinc, silver and tin exploration targets and main faults (on RTP magnetics)
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/2197/285433_4c646e483448fb2c_009full.jpg
Figure 4.  Cross Section AB of silver vein intercepts adjacent to West Ayawilca (viewing west)
To view an enhanced version of this graphic, please visit:
https://images.newsfilecorp.com/files/2197/285433_4c646e483448fb2c_010full.jpg
Table 2.  Drill collar details of holes completed at Silvia NW
Drill  hole
Easting
Northing
Elevation
Azimuth (mag)
Dip
Total Depth (m)
S25-001
304354
8857384
4497
293
-55
257.1
S25-002
304355
8857383
4497
270
-70
258.7
S25-003
304379
8857468
4507
280
-80
447.3
S25-004
304417
8857388
4532
270
-75
438.5
Note:  Coordinates are in WGS84-18S UTM datum
Note on sampling and assaying
Drill holes are diamond HQ size core holes with recoveries generally close to 100%. The drill core from Silvia was carried from the drill site approximately 3 km to a local village, where it was geologically logged, marked up and photographed. The cores were then transported to the Company's core storage facility in Huanuco, where it was cut with half-cores stored as a future reference. Half-core was then sampled on average over 1 to 2 metre composite intervals, and sample batches were then trucked to SGS laboratory in Lima for assay. Standards, blanks and duplicates were inserted by Tinka into each batch. At the laboratory samples were dried, crushed to 100% passing 2mm, then 500 grams pulverized for multi-element analysis by ICPMS using multi-acid digestion. Gold was analysed by fire assay using 30 g aliquots with AAS finish.  Samples assaying over 1% copper were re-assayed using AAS techniques.
On behalf of the Board,
""
Graham Carman
""
Dr. Graham Carman, President & CEO
Further Information:
www.tinkaresources.com
Tim McNulty  1.604.290.8100
info@tinkaresources.com
Stay up to date by subscribing for news alerts at
Contact Tinka
and by following Tinka on
X
,
LinkedIn
and
Facebook
.
1.
This NI 43‐101 Technical Report was prepared by independent consulting firm SRK Consulting (UK), as principal consultants, with contributions from other independent Qualified Persons (as the term is defined in NI 43‐101) with specific subject matter expertise including, SLR Consulting (Canada) Ltd. for mineral resource estimation, Transmin Metallurgical Consultants, UK, for processing, metallurgical and recovery inputs, MineFill Services, Seattle, for mine backfill inputs, and Envis Peru S.A.C. (Envis) for processing and costs for surface tailings storage. The Technical Report may be found under the Company's profile on SEDAR+ at
www.sedarplus.ca
and on the Company's website at
www.tinkaresources.com
.
About Tinka Resources Limited
Tinka is an exploration and development company focused on base and precious metals projects in Peru. The Company's flagship property is the Ayawilca zinc-silver-tin project which has substantial mineral resources of zinc (with silver-lead credits), the Colquipucro silver deposit and the Tin Zone in separate areas. The nearby Silvia gold-copper project is the current focus of exploration drilling. The Company filed a NI 43-101 technical report
1
on an updated PEA for the Ayawilca Project on April 15, 2024 (link to NI 43-101 report
here
).  Dr. Graham Carman, Tinka's President and CEO, has reviewed, verified and approved the technical contents of this release. Dr. Carman is a Fellow of the Australasian Institute of Mining and Metallurgy, and is a Qualified Person as defined by National Instrument 43-101.
Forward Looking Statements:
Certain information in this news release contains forward-looking statements and forward-looking information within the meaning of applicable securities laws (collectively ""forward-looking statements"").  All statements, other than statements of historical fact, are forward-looking statements. Forward-looking statements are based on the beliefs and expectations of Tinka as well as assumptions made by and information currently available to Tinka's management.  Such statements reflect the current risks, uncertainties and assumptions related to certain factors including, without limitations: timing of planned work programs and results varying from expectations; delay in obtaining results; changes in equity markets; uncertainties relating to the availability and costs of financing needed in the future; equipment failure; unexpected geological conditions; imprecision in resource estimates or metal recoveries; success of future development initiatives; competition and operating performance; environmental and safety risks; timing of geological reports; the preliminary nature of the Ayawilca Project PEA and the Company's ability to realize the results of the Ayawilca Project PEA; the political environment in which the Company operates continuing to support the development and operation of mining projects; risks related to negative publicity with respect to the Company or the mining industry in general; delays in obtaining or failure to obtain necessary permits and approvals from local authorities; community agreements and relations; and, other development and operating risks. Should any one or more of these risks or uncertainties materialize, or should any underlying assumptions prove incorrect, actual results may vary materially from those described herein.  Although Tinka believes that assumptions inherent in the forward-looking statements are reasonable, forward-looking statements are not guarantees of future performance and accordingly undue reliance should not be put on such statements due to the inherent uncertainty therein. Except as may be required by applicable securities laws, Tinka disclaims any intent or obligation to update any forward-looking statement.
Neither the TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this news release.
To view the source version of this press release, please visit
https://www.newsfilecorp.com/release/285433
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\TK\news_html\2026-02-26.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/TK/news_html/2026-02-26.html,,NONE,Initial drill results at Silvia project,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-02-24,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6131575.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-02-24,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6131576.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-02-24,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6131569.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-02-24,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6131572.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\TK\pdfs\MD&A\2026-02-24_TK_MD&A_INTERIM_MDA_EN.pdf,12,324,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/TK/2026-02-24_TK_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-01-27,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6110546.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-01-27,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6110547.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-01-27,AB_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6110539.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-01-27,ON_FORMF1,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6110540.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-01-27,MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6110542.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\TK\pdfs\MD&A\2026-01-27_TK_MD&A_MDA_EN.pdf,12,328,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/TK/2026-01-27_TK_MD&A_MDA_EN.pdf,,,,,,,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-01-27,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6112052.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-01-27,52109FV1_CERTIFICATION_OF_ANNUAL_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6112053.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-01-27,AUDITED_ANNUAL_FINANCIAL_STATEMENTS_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6110512.pdf,,0,0,no,,,,,,,,,,2024-01-31,2024-04-02
stockwatch,TK,Tinka Resources Limited,2026-01-23,NEWS_RELEASE_EN,not applicable,NewsRelease,"Tinka completes 1,400 metres of drilling at Silvia",https://www.stockwatch.com/News/Item/Z-C!TK-3777346/C/TK,3777346,https://www.stockwatch.com/News/Sedardoc/6107435.pdf,,0,0,no,,"2026-01-23 15:58 ET - News Release
Dr. Graham Carman reports
TINKA PROVIDES UPDATE ON SILVIA GOLD-COPPER PROJECT WITH COMPLETION OF INITIAL 1,400 METRE DRILL PROGRAM
Tinka Resources Ltd. has  provided an update of the exploration activities at the Silvia gold-copper property in Peru.
Highlights of initial drilling at Silvia:
Initial 1,400-metre diamond drill program completed: A four-hole, 1,400-metre diamond drill program, which commenced in late October, 2025, was completed in early January, 2026.  The drill cores are being assayed for gold, copper and pathfinder elements at a commercial laboratory in Lima. Assays are awaited.
Visible copper mineralization: Copper in the form of chalcopyrite was observed in all holes. Visible chalcopyrite of potentially economic grade occurs over relatively narrow intervals up to a few metres in thickness and is concentrated on or near the contacts between monzonite intrusive dikes and limestone associated with skarn alteration.  Chalcopyrite is associated pyrite, magnetite and minor pyrrhotite.  Molybdenite is also present in some intersections but typically not directly associated with visible chalcopyrite.
Copper increasing with depth: There are multiple intervals of copper mineralization, and there appears to be a tendency for the chalcopyrite mineralization to increase in intensity with depth, to be confirmed by the assay results.
Drill rig remains on site: The portable drill rig will remain on site for the wet season until the end of April at the earliest or until a decision is made to continue the drilling program subject to results of a coming geophysical program.
Next steps: Assay results for the four-hole drill program are expected Q1 2026.  A ground geophysical survey using induced polarization (IP) and/or magnetotellurics (MT) is planned for Q2 2026 targeting zones of greater sulphide concentrations.
Dr. Graham Carman, president and chief executive officer of Tinka, stated: ""The first drill program at Silvia has been completed at Silvia NW Area A, one of three targets at the Silvia gold-copper property. Four holes were drilled to depths of between 250 metres and 450 metres targeting gold-copper mineralization sampled at surface.  Copper mineralization appears to be relatively narrow but we are encouraged by the confirmation of its presence in the subsurface.  There are multiple intervals of visible copper sulphides in some of the holes, and there appears to be a tendency for copper abundance to increase with depth, to be confirmed by assays.  We are planning a ground geophysical program to follow up this drilling once access allows after the wet season. The geophysical surveys are intended to highlight areas of greater sulphide concentrations both laterally removed from Area A and at depth, including at areas A and B.""
Discussion of observed geology in the drill holes
Four diamond drill holes were completed at Silvia NW Area A between late October, 2025, and early January, 2026.  Three of the holes (S25-001, S25-002 and S25-004) were drilled on one section line with holes inclined to the west.  A fourth hole (S25-003) was drilled on a separate section approximately 100 metres to the north.
A summary of the drill intercepts that have significant visible chalcopyrite is presented in Table 1.
There is widespread and pervasive skarn alteration in the intrusive rocks (quartz monzonite) and limestone (Jumasha formation) in the drill holes.  Skarn typically consists of green and brown garnet with lesser pyroxene, vesuvianite and potassium feldspar (pro-grade alteration), which is overprinted by variable amounts of chlorite, quartz, amphibole, magnetite and carbonate (retrograde alteration) in veins and replacements.  Exoskarn refers to skarn in limestone, whereas endoskarn refers to alteration in monzonite intrusions (mostly dikes).  Sulphides, including chalcopyrite, are typically associated with the retrograde alteration.  On the edges of the skarn, marble and recrystallized limestone predominate.
About Tinka Resources Ltd.
Tinka is an exploration and development company focused on base and precious metals projects in Peru. The company's flagship property is the Ayawilca zinc-silver-tin project, which has substantial mineral resources of zinc (with silver-lead credits), the Colquipucro silver deposit and the Tin zone in separate areas. The nearby Silvia gold-copper project is the current focus of exploration drilling. The company filed a National Instrument 43-101 technical report on an updated preliminary economic assessment for the Ayawilca project on April 15, 2024.  Dr. Graham Carman, Tinka's president and chief executive officer, has reviewed, verified and approved the technical contents of this release. Dr. Carman is a fellow of the Australasian Institute of Mining and Metallurgy and is a qualified person as defined by NI  43-101.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\TK\news_html\2026-01-23.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/TK/news_html/2026-01-23.html,,NONE,Update on drilling activities at Silvia,,,2024-01-31,2024-04-02
