source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,TUD,Tudor Gold Corp.,2025-07-02,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5958122.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\TUD\pdfs\AIF\2025-07-02_TUD_AIF.pdf,51,796,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/TUD/2025-07-02_TUD_AIF.pdf,,,,,,,,,2025-04-30,2025-07-02
stockwatch,TUD,Tudor Gold Corp.,2026-03-13,NOTICE_OF_THE_MEETING_AND_RECORD_DATE_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6147048.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-02
stockwatch,TUD,Tudor Gold Corp.,2026-03-12,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6146907.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-02
stockwatch,TUD,Tudor Gold Corp.,2026-03-12,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6146908.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-02
stockwatch,TUD,Tudor Gold Corp.,2026-03-12,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6146901.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\TUD\pdfs\MD&A\2026-03-12_TUD_MD&A_INTERIM_MDA_EN.pdf,28,915,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/TUD/2026-03-12_TUD_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2025-04-30,2025-07-02
stockwatch,TUD,Tudor Gold Corp.,2026-03-12,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6146900.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-02
stockwatch,TUD,Tudor Gold Corp.,2026-03-10,NEWS_RELEASE_EN,not applicable,NewsRelease,Tudor Gold files Treaty Creek NI 43-101 report,https://www.stockwatch.com/News/Item/Z-C!TUD-3794316/C/TUD,3794316,https://www.stockwatch.com/News/Sedardoc/6143932.pdf,,0,0,no,,"2026-03-10 13:22 ET - News Release
Mr. Joseph Ovsenek  reports
TUDOR GOLD ANNOUNCES FILING OF TREATY CREEK PROJECT, NI 43-101 TECHNICAL REPORT
Tudor Gold Corp. has filed a National Instrument 43-101, Standards of Disclosure for Mineral Projects, technical report entitled ""NI 43-101 Technical Report, Treaty Creek Project, British Columbia,"" with an effective date of Nov. 30, 2025. The Treaty Creek technical report is available under the company's profile on SEDAR+ and on the company's website.
The Treaty Creek technical report was prepared by Garth Kirkham, PGeo, of Kirkham Geosystems Ltd. of Burnaby, B.C., and Renee Goold (Morrison), PEng, of Fuse Advisors Inc. of Vancouver, B.C., each of whom is a qualified person as defined by NI 43-101 and independent of the company.
Qualified persons
Ken Konkin, PGeo, Tudor's senior vice-president, exploration, is the qualified person, as defined by NI 43-101, responsible for the Treaty Creek project.  Mr. Konkin has reviewed, verified and approved the scientific and technical information in this news release.
About Tudor Gold Corp.
Tudor Gold is a precious and base metals exploration and development company with claims in British Columbia's Golden Triangle (Canada), an area that hosts producing and past-producing mines and several large deposits that are approaching potential development. The 17,913-hectare Treaty Creek project (in which Tudor Gold has an 80-per-cent interest) borders Seabridge Gold Inc.'s KSM property to the southwest and borders Newmont Corp.'s Brucejack mine property to the southeast.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\TUD\news_html\2026-03-10.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/TUD/news_html/2026-03-10.html,,CHANGED,Filed NI 43-101 report for Treaty Creek project,Treaty Creek,,2025-04-30,2025-07-02
stockwatch,TUD,Tudor Gold Corp.,2026-03-09,CONSENT_OF_QUALIFIED_PERSON_NI_43101_EN,not applicable,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6143896.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-02
stockwatch,TUD,Tudor Gold Corp.,2026-03-09,TECHNICAL_REPORT_NI_43101_EN,not applicable,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6143892.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\TUD\pdfs\NI43-101\2026-03-09_TUD_NI43-101_TECHNICAL_REPORT_NI_43101_EN.pdf,277,16587,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/TUD/2026-03-09_TUD_NI43-101_TECHNICAL_REPORT_NI_43101_EN.pdf,,,,,,,,,2025-04-30,2025-07-02
stockwatch,TUD,Tudor Gold Corp.,2026-03-09,CERTIFICATE_OF_QUALIFIED_PERSON_NI_43101_EN,not applicable,NI43-101,,,,https://www.stockwatch.com/News/Sedardoc/6143893.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-02
