source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,VIPR,Silver Viper Minerals Corp.,2026-02-18,NEWS_RELEASE_EN,not applicable,NewsRelease,"ON BEHALF OF THE BOARD OF DIRECTORS,",,,https://www.stockwatch.com/News/Sedardoc/6126538.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VIPR\pdfs\NewsRelease\2026-02-18_VIPR_NewsRelease_fallback.pdf,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VIPR/2026-02-18_VIPR_NewsRelease_fallback.pdf,"Silver Viper Minerals Named a Top 50
Performer on the TSX Venture Exchange
VANCOUVER, BC, Feb. 18, 2026 /CNW/ - Silver Viper Minerals Corp. (TSX-V:VIPR;
OTCQB:VIPRF)  (the ""Company"") is pleased to announce its inclusion in the 2026 TSX Venture
50, a highly respected ranking of the top 50 performing companies listed on the TSX Venture
Exchange (""TSXV"") based on growth metrics and market performance.
This annual recognition highlights companies that demonstrate strong performance in market
capitalization growth, share price appreciation, and trading value, a reflection of both operational
execution and investor confidence.
Silver Viper's positioning on the TSX Venture 50 further reinforces the Company's trajectory of
progress and growth within the junior mining sector. This acknowledgment also underscores
continued market interest in Silver Viper's high-potential gold and silver projects, and investors' belief
in management's ability to progress these assets.
Performance Highlights:
Market Growth: Achieved 453% share price appreciation during the 2025 calendar year.
Liquidity: Significant increase in average daily trading volume, reflecting enhanced investor
reach.
Asset Expansion: Successfully acquired Cimarron, announced the signing of a binding term
sheet to acquire the Coneto project, and secured over $21M in 2025 growth capital; this
strategic consolidation positions Silver Viper to execute one of the sector's most expansive
exploration and drilling programs throughout 2026.
Adam Cegielski, Chairman of Silver Viper Minerals, stated:
""We are honored to be recognized by the TSX Venture Exchange as one of the top 50 performing
companies for 2026. This achievement reflects the strength of our business strategy, the quality of
our asset base, and the dedication of our team. We are grateful for the continued support of our
shareholders, partners, and stakeholders, and we remain focused on advancing our exploration and
development programs, strengthening our balance sheet, and pursuing strategic initiatives that
position the Company for long-term success while delivering sustainable value for shareholders.""
About Silver Viper Minerals Corp.
Silver Viper Minerals Corp. (TSX-V: VIPR; OTCQB: VIPRF) is a Canadian-based junior mineral
exploration company focused on advancing precious-metals projects in Mexico. The Company's
portfolio includes the La Virginia Gold-Silver Project in Sonora, the Cimarron Gold-Copper Project in
Sinaloa, and the recently announced Coneto Silver-Gold Project acquisition, collectively representing
a strong pipeline of district-scale exploration opportunities within Mexico's prolific silver belt.
ON BEHALF OF THE BOARD OF DIRECTORS,
Adam Cegielski 
Chairman
Tel: +1 905-510-8890
Email: adam@silverviperminerals.com
Steve Cope

President and CEO
For further information, please email info@silverviperminerals.com 
Or visit our website at www.silverviperminerals.com
Follow us on social media:
X: @SilverViperCorp
LinkedIn: Silver Viper Minerals Corp.
Facebook: Silver Viper Minerals
YouTube: @SilverViperMineralsCorp
Instagram: @SilverViperMinerals
Neither TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the
policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this
release.
Forward-Looking Information
This news release may contain forward-looking statements, including statements with respect to
the Company's business plans, exploration activities, strategic objectives, and future growth
initiatives. These statements reflect management's current estimates, beliefs, intentions and
expectations; they are not guarantees of future performance. Forward-looking statements address
future events and conditions and therefore involve inherent risks and uncertainties. Such factors
include, among other things: risks and uncertainties relating to exploration and development, the
ability of the Company to obtain additional financing, the need to comply with environmental and
governmental regulations, fluctuations in the prices of commodities, operating hazards and risks,
competition and other risks and uncertainties, including those described in the Company's financial
statements, management discussion and analysis and/or annual information form available on 
www.sedar.com. The risk factors identified in such documents are not intended to represent a
complete list of factors that could affect the Company. Actual results may differ materially from
those currently anticipated in such statements and the Company undertakes no obligation to update
such statements, except as required by law.
SOURCE Silver Viper Minerals Corp.
 View original content to download multimedia: 
http://www.newswire.ca/en/releases/archive/February2026/18/c1163.html
%SEDAR: 00042333E
CO: Silver Viper Minerals Corp.
CNW 08:30e 18-FEB-26
",,,,NONE,Company recognized as a top performer on TSXV,,,2023-12-31,2024-03-30
stockwatch,VIPR,Silver Viper Minerals Corp.,2026-01-23,NEWS_RELEASE_EN,not applicable,NewsRelease,Silver Viper appoints Malhotra as CFO,https://www.stockwatch.com/News/Item/Z-C!VIPR-3777293/C/VIPR,3777293,https://www.stockwatch.com/News/Sedardoc/6107202.pdf,,0,0,no,,"2026-01-23 12:47 ET - News Release
Mr. Adam Cegielski reports
SILVER VIPER MINERALS ANNOUNCES APPOINTMENT OF RAKESH MALHOTRA AS CHIEF FINANCIAL OFFICER
Silver Viper Minerals Corp.
    has appointed Rakesh Malhotra as chief financial officer, effective immediately.
Mr. Malhotra joins Silver Viper Minerals with more than 30 years of extensive financial leadership experience spanning both public and private companies. His expertise encompasses accounting, capital markets, corporate governance, financial reporting and strategic growth initiatives. Over the course of his career, Mr. Malhotra has held senior finance roles across North America and the Middle East, including leadership positions at multinational organizations and Toronto Stock Exchange-listed mining companies, where he played a key role in shaping financial strategies, managing complex operations and supporting sustainable growth.
He is a chartered professional accountant (CPA, CA) in Canada and a United States-certified public accountant (CPA) and holds a bachelor of commerce (honours). Mr. Malhotra's extensive background combines technical financial expertise with a proven ability to guide organizations through periods of expansion, capital raising and strategic transformation.
On his appointment, Mr. Malhotra commented:
""I am thrilled to join Silver Viper at such a pivotal stage of growth. The company's high-quality portfolio of projects on prominent mineral trends in Mexico represents a unique opportunity for the company. I look forward to supporting the team in advancing its projects, optimizing financial strategies and delivering long-term value to shareholders.""
Adam Cegielski, chairman of Silver Viper Minerals, added:
""Rakesh brings extensive experience in managing complex financial operations, capital markets initiatives and corporate governance. His expertise will be invaluable as Silver Viper continues to advance its silver and gold assets and execute its long-term growth strategy. We are confident that Rakesh's leadership will play a key role in driving the company forward, building on his current success as CFO of Goldsky Resources Corp. (TSX-V: GSKR), formerly First Nordic Metals (TSX-V: FNM).""
About Silver Viper Minerals Corp.
Silver Viper Minerals is a Canadian-based junior mineral exploration company focused on advancing precious-metals projects in Mexico. The company's portfolio includes the La Virginia gold-silver project in Sonora, the Cimarron gold-copper project in Sinaloa and the recently announced Coneto silver-gold project acquisition, collectively representing a strong pipeline of district-scale exploration opportunities within Mexico's prolific silver belt.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VIPR\news_html\2026-01-23.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VIPR/news_html/2026-01-23.html,,NONE,Appointment of Rakesh Malhotra as CFO,,,2023-12-31,2024-03-30
stockwatch,VIPR,Silver Viper Minerals Corp.,2026-01-08,NEWS_RELEASE_EN,not applicable,NewsRelease,"Silver Viper appoints L'Abbe, Wober as advisers",https://www.stockwatch.com/News/Item/Z-C!VIPR-3772430/C/VIPR,3772430,https://www.stockwatch.com/News/Sedardoc/6097992.pdf,,0,0,no,,"2026-01-08 15:44 ET - News Release
Mr. Adam Cegielski reports
ADDITIONS TO SILVER VIPER MINERALS ADVISORY TEAM
Silver Viper Minerals Corp. has appointed Andreas L'Abbe as financial adviser and Gernot Wober as technical adviser.
Mr. L'Abbe most recently spent nearly eight years as chief financial officer and corporate secretary of Discovery Silver Corp., having joined the company shortly after its inception in 2017. During his tenure, he oversaw finance, accounting, treasury, ESG (environmental, social and governance) and corporate functions and played a key role in Discovery's growth and transformation from an exploration company into a mid-tier producer. He was actively involved in strategic planning, financing, budgeting, and merger and acquisition activities, including the acquisition of Newmont Corp.'s Porcupine complex, a transaction that significantly increased the company's market capitalization. Mr. L'Abbe is a chartered professional accountant (CPA, CA) and holds a master of business administration (MBA), with more than 17 years of experience in the mining sector, primarily focused on Latin American assets. Prior to Discovery, he held senior finance and strategy roles with several producing mining companies, including Tahoe Resources Inc., Timmins Gold Corp. and Goldcorp Inc., gaining extensive operational and transactional experience across Canada, Mexico, Peru, Guatemala and Argentina.
Mr. Wober is a highly accomplished geologist with more than 35 years of international experience in mineral exploration and project development, bringing deep technical expertise across a wide range of deposit types, including orogenic gold systems, greenstone-hosted deposits, epithermal polymetallic vein systems, and porphyry-related silver, copper and gold deposits, with a strong  record of discovery, resource growth and technical leadership. He previously served as vice-president, exploration, at Discovery Silver, where he played a key role in advancing the Cordero silver project in Chihuahua, Mexico, from resource stage through feasibility, helping establish it as one of the world's largest undeveloped silver projects, and contributed to the technical due diligence supporting Discovery's acquisition of Newmont's Porcupine complex. Prior to Discovery, Mr. Wober was vice-president, exploration, Canada, at Osisko Mining Inc., where he led exploration activities at the Windfall gold project and was instrumental in the discovery of the high-grade Lynx zone.
Adam Cegielski, chairman of Silver Viper Minerals, commented:
  
""We are pleased to welcome Andreas and Gernot to the Silver Viper advisory team. Both bring valuable experience from Discovery Silver, where they held senior leadership roles and were instrumental in advancing one of the sector's leading development stories. Andreas's capital markets expertise and Gernot's deep technical knowledge, particularly in Mexico, add meaningful strength to our advisory capabilities. Their combined experience supports our strategy to advance our projects in a disciplined manner while continuing to build long-term value for shareholders.""
About Silver Viper Minerals Corp.
Silver Viper Minerals is a Canadian-based junior mineral exploration company focused on advancing precious metals projects in Mexico. The company's portfolio includes the La Virginia gold-silver project in Sonora, the Cimarron gold-copper project in Sinaloa and the recently announced Coneto silver-gold project acquisition, collectively representing a strong pipeline of district-scale exploration opportunities within Mexico's prolific silver belt.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VIPR\news_html\2026-01-08.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VIPR/news_html/2026-01-08.html,,NONE,Appointment of new advisers to the team,,,2023-12-31,2024-03-30
stockwatch,VIPR,Silver Viper Minerals Corp.,2026-01-06,NEWS_RELEASE_EN,not applicable,NewsRelease,Silver Viper appoints Couch as director,https://www.stockwatch.com/News/Item/Z-C!VIPR-3771687/C/VIPR,3771687,https://www.stockwatch.com/News/Sedardoc/6097049.pdf,,0,0,no,,"2026-01-06 18:50 ET - News Release
Mr. Adam Cegielski reports
SILVER VIPER MINERALS APPOINTS JEFF COUCH TO BOARD OF DIRECTORS
Silver Viper Minerals Corp. has appointed Jeff Couch to its board of directors, effective Tuesday, Jan. 6, 2026.
""We are very pleased to welcome Jeff to Silver Viper,"" said Adam Cegielski, chairman of Silver Viper Minerals. ""Jeff brings deep capital markets expertise and extensive board experience across global mining jurisdictions. His experience strengthens our governance as we continue to advance our portfolio in Mexico.""
Appointment of Mr. Couch as a director reporting to the chairman
Mr. Couch is a seasoned capital markets executive with extensive experience in the natural resources sector, having advised companies and raised capital globally, with a particular focus on emerging markets. Mr. Couch currently works with a mining-focused global private equity firm with several billion dollars of assets under management and is presently acting chief executive officer of Lydian Mining, an Armenian gold development company, and Alufer Mining, a Guinean bauxite producer, both portfolio companies of the private equity firm.
Previously, Mr. Couch held senior investment banking roles in Europe, including serving as head of investment banking, Europe, for BMO Capital Markets for over a decade. He has also held senior positions with Credit Suisse Europe and Citigroup (Salomon Brothers). Mr. Couch has extensive public company board experience on both the Toronto Stock Exchange and the London Stock Exchange.
Mr. Couch holds an undergraduate business degree from the Richard Ivey School of Business at the University of Western Ontario and a law degree from Osgoode Hall Law School.
Mr. Couch will take on some executive responsibilities to help guide the company to its next phase of growth and portfolio development.
TSX Venture Exchange disclosure
The appointments are subject to acceptance by the TSX-V, as applicable. No security-based compensation has been granted in connection with this appointment.
About Silver Viper Minerals Corp.
Silver Viper is a Canadian-based junior mineral exploration company focused on advancing precious metals projects in Mexico. The company's portfolio includes the La Virginia gold-silver project in Sonora, the Cimarron gold-copper project in Sinaloa and the recently announced Coneto silver-gold project acquisition, collectively representing a strong pipeline of district-scale exploration opportunities within Mexico's prolific silver belt.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VIPR\news_html\2026-01-06.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VIPR/news_html/2026-01-06.html,,NONE,Appointment of Jeff Couch to board of directors,,,2023-12-31,2024-03-30
stockwatch,VIPR,Silver Viper Minerals Corp.,2026-01-05,NEWS_RELEASE_EN,not applicable,NewsRelease,Silver Viper hires Nordcore Media for digital marketing,https://www.stockwatch.com/News/Item/Z-C!VIPR-3771265/C/VIPR,3771265,https://www.stockwatch.com/News/Sedardoc/6096889.pdf,,0,0,no,,"2026-01-05 20:35 ET - News Release
Mr. Steve Cope reports
SILVER VIPER ENTERS AGREEMENT WITH NORDCORE MEDIA
Silver Viper Minerals Corp. has entered into an agreement to support continuing digital marketing efforts with Nordcore Media LLC.
The company has retained Nordcore Media to provide digital advertising and on-line marketing services in connection with Silver Viper's investor awareness initiatives. The engagement covers the creation and management of advertising campaigns, remarketing and related digital strategy activities. Nordcore is at arm's length from the company and will receive cash compensation only. No securities will be issued.
Under the agreement, Nordcore will provide digital advertising and on-line marketing services in connection with the company's investor awareness initiatives, including the creation of advertising materials, campaign management, remarketing initiatives and related digital advertising services.
The agreement with Nordcore is for a term of six months.
The total cost payable to Nordcore for the six-month term is $300,000 (U.S.) in cash. In addition, the company may allocate up to $500,000 (U.S.) for third party digital advertising expenditures, which are not paid to Nordcore as compensation and are subject to management discretion.
About Silver Viper Minerals Corp.
Silver Viper is a Canadian-based junior mineral exploration company focused on advancing precious metals projects in Mexico. The company's portfolio includes the La Virginia gold-silver project in Sonora, the Cimarron gold-copper project in Sinaloa and the recently announced Coneto silver-gold project acquisition, collectively representing a strong pipeline of district-scale exploration opportunities within Mexico's prolific silver belt.
About Nordcore Media LLC
Nordcore Media is a digital marketing and advertising agency specializing in data-driven growth strategies for public companies. The firm provides performance-based marketing campaigns across social media, search platforms and content distribution networks, with an emphasis on targeting and analytics. Nordcore supports issuers by developing and optimizing digital investor awareness initiatives aimed at improving visibility and reach within the capital markets.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VIPR\news_html\2026-01-05.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VIPR/news_html/2026-01-05.html,,NONE,Agreement with Nordcore Media for marketing,,,2023-12-31,2024-03-30
stockwatch,VIPR,Silver Viper Minerals Corp.,2026-01-02,NEWS_RELEASE_EN,not applicable,NewsRelease,"Silver Viper clarifies Nordcore, Red Cloud deals",https://www.stockwatch.com/News/Item/Z-C!VIPR-3770863/C/VIPR,3770863,https://www.stockwatch.com/News/Sedardoc/6096174.pdf,,0,0,no,,"2026-01-02 18:46 ET - News Release
An anonymous director reports
SILVER VIPER PROVIDES CLARIFICATION ON AGREEMENTS WITH NORDCORE MEDIA AND RED CLOUD SECURITIES
Silver Viper Minerals Corp. has issued this corrected and supplemented news release to provide additional detail relating to its previously announced agreements with Nordcore Media and Red Cloud Securities.
As noted in the Nov. 6, 2025, release, the company entered into two independent agreements to support continuing digital marketing and trading liquidity efforts. The company is issuing this update to provide the full terms of those agreements, in accordance with the disclosure requirements under TSX Venture Exchange.
Nordcore Media LLC
The company has retained Nordcore to provide digital advertising and online marketing services in connection with Silver Viper's investor awareness initiatives, including the creation and management of advertising campaigns, remarketing, and related digital strategy activities, as previously disclosed. 
The agreement with Nordcore is for a term of six months.
The total cost for these services is $300,000 (U.S.),  payable in cash.
Red Cloud Securities Inc.
The company has entered into a market stabilization and liquidity services agreement with Red Cloud (agreement dated Oct. 20, 2025), under which Red Cloud will use its best efforts to maintain reasonable trading liquidity in Silver Viper's common shares on TSX-V -- as previously disclosed.
The agreement is structured on a month-to-month basis and may be terminated by either party upon 30 days of notice, as previously described.
The cost for these services is $7,000 per month, payable in cash. Red Cloud is responsible for all costs it incurs in connection with the market-making services.
All other terms, including the parties' arm's-length status, lack of security-based compensation and absence of securities issuance, remain unchanged from the Nov. 6, 2025, release.
Board resignation
The company also announces that Taj Singh has resigned from the board of directors, effective Dec. 18, 2025. The board and management thank Mr. Singh for his contributions and service to the company and wish him success in his future endeavours.
About Silver Viper Minerals Corp.
Silver Viper Minerals is a Canadian-based junior mineral exploration company focused on advancing precious metals projects in Mexico. The company's portfolio includes the La Virginia gold-silver project in Sonora, the Cimarron gold-copper project in Sinaloa and the recently announced Coneto silver-gold project acquisition, collectively representing a strong pipeline of district-scale exploration opportunities within Mexico's prolific silver belt.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VIPR\news_html\2026-01-02.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VIPR/news_html/2026-01-02.html,,NONE,Clarification on marketing agreements and board resignation,,,2023-12-31,2024-03-30
stockwatch,VIPR,Silver Viper Minerals Corp.,2025-12-24,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6092437.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,VIPR,Silver Viper Minerals Corp.,2025-12-24,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106_AMENDED,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6125131.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,VIPR,Silver Viper Minerals Corp.,2025-12-23,MATERIAL_CHANGE_REPORT_EN,not applicable,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6092321.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VIPR\pdfs\MaterialChange\2025-12-23_VIPR_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,2,214,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VIPR/2025-12-23_VIPR_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,$17 million private placement closed,,,,,2023-12-31,2024-03-30
stockwatch,VIPR,Silver Viper Minerals Corp.,2025-12-19,NEWS_RELEASE_EN,not applicable,NewsRelease,Silver Viper closes final tranche of financing,https://www.stockwatch.com/News/Item/Z-C!VIPR-3768035/C/VIPR,3768035,https://www.stockwatch.com/News/Sedardoc/6089848.pdf,,0,0,no,,"2025-12-19 21:01 ET - News Release
Mr. Steve Cope reports
SILVER VIPER CLOSES FINAL TRANCHE OF PRIVATE PLACEMENT
Silver Viper Minerals Corp. has closed the final tranche of its non-brokered private placement, announced on Nov. 18, 2025. The final tranche comprised 3,433,750 units of the company, issued at a price of 80 cents per unit, for aggregate gross proceeds of $2,747,000. In total, the company raised $17-million pursuant to the offering, having previously closed the first tranche on Dec. 12, 2025, which raised an aggregate of $14,253,000.
Each unit consisted of one common share of the company and one warrant. Each warrant entitles the holder thereof to acquire one share from the company at a price of $1.20 per share for a period of 24 months from the date of issue. The shares and warrants comprising the units and any shares issued upon the exercise of the warrants are subject to a statutory hold period that expires on April 20, 2026. The expiry date of the warrants may be accelerated by the company at any time following closing and prior to the expiry date of the warrants if the volume-weighted average trading price of the Company's common shares is greater than $1.40 for any 20 consecutive trading days. Following the occurrence of an acceleration event, the company may accelerate the expiry date of the warrants by issuing a news release announcing the acceleration of the expiry date of the warrants, following which the warrants will expire on a date not less than the 20th calendar day after the date of such news release.
The funds will be used to continue surface exploration, including mapping and sampling, in preparation for a future drill campaign at the company's La Virginia gold-silver project, located in Mexico. In addition, a portion of the funds raised will be used for working capital requirements and other general corporate purposes.
The company has agreed to pay finders' fees to certain finders in respect of those purchasers under the offering introduced to the company by such finders. In connection with the closing of the final tranche, Silver Viper will pay finders' fees of $3,000 to Research Capital Corp. and $1,800 to Ventum Financial Corp. In total, the company will pay $594,150 in finders' fees in connection with the offering, having previously closed a tranche on Dec. 12, 2025, which resulted in payment of $589,350 in finders' fees.
Insiders of the company subscribed for a total of 250,000 units. Participation by the insiders constitutes a related party transaction as defined under Multilateral Instrument 61-101. The company is relying on the exemptions from the valuation and minority shareholder approval requirements of MI 61-101 contained in sections 5.5(a) and 5.7(1)(a) of MI 61-101, as the fair market value of the participation in the private placement by insiders does not exceed 25 per cent of the market capitalization of the company, as determined in accordance with MI 61-101.
Coneto silver-gold project update
Further to the company's news release dated Oct. 28, 2025, the company is working toward completion of its acquisition of 100-per-cent ownership of the Coneto silver-gold project, located in Durango, Mexico, from Fresnillo PLC and Orex Minerals Inc. The acquisition remains subject to the parties completing definitive documentation and receipt of the requisite regulatory approvals, including that of the TSX Venture Exchange.
About Silver Viper Minerals Corp.
Silver Viper Minerals is a Canadian-based junior mineral exploration company focused on advancing precious metals projects in Mexico. The company's portfolio includes the La Virginia gold-silver project in Sonora, the Cimarron gold-copper project in Sinaloa and the recently announced Coneto silver-gold project acquisition, collectively representing a strong pipeline of district-scale exploration opportunities within Mexico's prolific silver belt.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VIPR\news_html\2025-12-19.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VIPR/news_html/2025-12-19.html,,NONE,Final tranche of private placement financing completed,,,2023-12-31,2024-03-30
