source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,VZLA,Vizsla Silver Corp.,2025-07-17,ANNUAL_INFORMATION_FORM_EN,gold and precious metals,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5966054.pdf,,0,0,no,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VZLA/2025-07-17_VZLA_AIF.pdf,,,,,,,,,2025-04-30,2025-07-17
stockwatch,VZLA,Vizsla Silver Corp.,2026-03-12,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6146316.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-17
stockwatch,VZLA,Vizsla Silver Corp.,2026-03-12,52109F2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6146317.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-17
stockwatch,VZLA,Vizsla Silver Corp.,2026-03-12,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6146310.pdf,,0,0,no,,,,,,,,,,2025-04-30,2025-07-17
stockwatch,VZLA,Vizsla Silver Corp.,2026-03-12,INTERIM_MDA_EN,gold and precious metals,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6146315.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VZLA\pdfs\MD&A\2026-03-12_VZLA_MD&A_INTERIM_MDA_EN.pdf,0,0,exists,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VZLA/2026-03-12_VZLA_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2025-04-30,2025-07-17
stockwatch,VZLA,Vizsla Silver Corp.,2026-03-05,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Vizsla Silver says 2 more dead, 3 missing at Concordia",https://www.stockwatch.com/News/Item/Z-C!VZLA-3793221/C/VZLA,3793221,https://www.stockwatch.com/News/Sedardoc/6141304.pdf,,0,0,no,,"2026-03-05 18:14 ET - News Release
Mr. Michael Konnert reports
VIZSLA SILVER PROVIDES UPDATE ON SITUATION IN CONCORDIA
Vizsla Silver Corp. has provided an update on the situation in Concordia, Mexico.
Vizsla Silver has been focused on supporting the families of the ten colleagues taken from its project site in Concordia, as well as its employees, through a time of pain, grief and uncertainty. In recent days, two additional families have received confirmation that their loved one is deceased. Three colleagues remain missing, and Vizsla Silver stands with all affected families during this profoundly difficult time.
Michael Konnert, president and chief executive officer of Vizsla Silver, said: ""Our hearts are with the families who have lost loved ones and with those who continue to wait for answers. We remain focused on supporting the affected families and our team, and on the continued efforts to locate those who are still missing.""
Vizsla Silver continues to co-operate fully with Mexican authorities as search efforts and the broader investigation proceed. The company remains committed to supporting the authorities in their work and will continue to provide updates as confirmed information becomes available.
The safety and security of employees, contractors, and community members remain Vizsla Silver's highest priority. The company continues to review and strengthen its security protocols in close coordination with local authorities.
Mr. Konnert added: ""Mexico has a long and proud mining tradition, and we continue to believe strongly in the long-term potential of the Panuco project. In the face of such a painful and tragic moment, we have seen the strength and resilience of our people and the Concordia community. As we work collaboratively with the community and authorities to ensure a safe and responsible path forward, we will do so with our people, our lost colleagues and their families front of mind.""
The company appreciates the support of its stakeholders and respectfully asks that the privacy of the individuals and their families be honoured at this time.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VZLA\news_html\2026-03-05.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VZLA/news_html/2026-03-05.html,,NONE,"Update on situation in Concordia, Mexico",,,2025-04-30,2025-07-17
stockwatch,VZLA,Vizsla Silver Corp.,2026-02-12,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Vizsla Silver says 5 workers ""remain unaccounted for""",https://www.stockwatch.com/News/Item/Z-C!VZLA-3784743/C/VZLA,3784743,https://www.stockwatch.com/News/Sedardoc/6123276.pdf,,0,0,no,,"2026-02-12 19:32 ET - News Release
Mr. Michael Konnert reports
VIZSLA SILVER PROVIDES SECURITY AND OPERATIONS UPDATE
Vizsla Silver Corp. has provided a further update on the situation in Concordia and the steps it is taking to support the affected families and its colleagues. The company also reaffirmed its adherence to best practices in safety and governance as it acts in the long-term interests of Vizsla Silver and its stakeholders.
""This is an incredibly painful time for the families of our colleagues, for our team and for the community of Concordia,"" said Michael Konnert, president and chief executive officer. ""We stand with the families and are doing what we can to support them while also looking after our colleagues during this difficult period.""
The company regrettably confirms that five colleagues remain unaccounted for. It recognizes the uncertainty and difficulty this continues to create for their families, for the company's employees and for the broader community. Vizsla Silver remains focused on supporting affected families and staying closely engaged with the relevant authorities as efforts continue. Vizsla Silver is in direct contact with affected families and is providing practical and financial assistance as well as access to appropriate support services. Company representatives will continue working closely with families to meet their evolving needs. In addition, Vizsla Silver is supporting its Mexico- and Canada-based teams with access to grief counselling and flexible work arrangements.
The safety and security of Vizsla Silver's employees and contractors remain a top priority. Since inception, Vizsla Silver has made significant investments in security and risk management, with active leadership oversight, including regular site visits. While specific security measures require a degree of confidentiality, the company wishes to advise that it works with experienced, internationally recognized security advisers and continuously assesses conditions across its operating areas. Decisions are informed by continuing monitoring and intelligence, and the company acts with the highest degree of caution based on the information available at the time.
In addition to co-operating fully with Mexican authorities as their investigation and search continue, the company is thoroughly reviewing the circumstances surrounding recent tragic events. Given the seriousness of the situation, the company will comment only on confirmed information as it becomes available and will not engage with unfounded rumours or speculation. Vizsla Silver operates in compliance with applicable Mexican and Canadian laws. A zero-tolerance approach is maintained toward bribery, corruption, extortion, and any form of unlawful or unethical conduct.
The company advises that work on the Panuco project continues while site operations remain suspended. Much of the near-term advancement of the Panuco project is engineering based and can be conducted remotely, and that work is progressing as Vizsla Silver advances toward its key milestones. The company remains committed to responsibly developing the Panuco district over the long term and maintaining its investment in the community of Concordia.
Mr. Konnert added: ""We are taking the steps necessary to navigate this period responsibly. We will continue to support the affected families and our team, remain fully engaged with the relevant authorities, and ensure safety continues to guide all decisions. At the same time, we remain committed to safeguarding the long-term value and strength of Vizsla Silver to benefit all stakeholders and the community of Concordia.""
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VZLA\news_html\2026-02-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VZLA/news_html/2026-02-12.html,,NONE,Security and operations update regarding unaccounted workers,,,2025-04-30,2025-07-17
stockwatch,VZLA,Vizsla Silver Corp.,2026-02-09,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Vizsla Silver abducted workers found dead, families say",https://www.stockwatch.com/News/Item/Z-C!VZLA-3783181/C/VZLA,3783181,https://www.stockwatch.com/News/Sedardoc/6120548.pdf,,0,0,no,,"2026-02-09 21:05 ET - News Release
Mr. Michael Konnert reports
VIZSLA SILVER PROVIDES UPDATE ON SITUATION IN CONCORDIA, MEXICO
Vizsla Silver Corp. has been informed by a number of families that their relatives, Vizsla's colleagues, who were taken from the company's project site in Concordia, Mexico, have been found deceased. The company is awaiting confirmation from the Mexican authorities and will provide further updates as appropriate.
Michael Konnert, president and chief executive officer of Vizsla, commented: ""We are devastated by this outcome and the tragic loss of life. Our deepest condolences are with our colleagues' families, friends and co-workers, and the entire community of Concordia. Our focus remains on the safe recovery of those who remain missing and on supporting all affected families and our people during this incredibly difficult time.""
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VZLA\news_html\2026-02-09.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VZLA/news_html/2026-02-09.html,,NONE,"Update on situation in Concordia, Mexico",,,2025-04-30,2025-07-17
stockwatch,VZLA,Vizsla Silver Corp.,2026-01-28,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Vizsla Silver says Panuco incident under investigation,https://www.stockwatch.com/News/Item/Z-C!VZLA-3779160/C/VZLA,3779160,https://www.stockwatch.com/News/Sedardoc/6111961.pdf,,0,0,no,,"2026-01-28 20:34 ET - News Release
An anonymous director reports
VIZSLA SILVER PROVIDES AN UPDATE ON MEDIA-REPORTED SECURITY INCIDENT AT THE PANUCO PROJECT
Ten individuals have been taken from Vizsla Silver Corp.'s project site in Concordia, Mexico. The incident is currently under investigation and information remains limited.
Local authorities have been notified, and the company's crisis management and security response teams are actively engaged. The company's immediate priority is the safety and well-being of the individuals involved.
As a precautionary measure, certain activities at and near the site have been temporarily suspended.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VZLA\news_html\2026-01-28.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VZLA/news_html/2026-01-28.html,,NONE,Update on security incident at Panuco project,,,2025-04-30,2025-07-17
stockwatch,VZLA,Vizsla Silver Corp.,2026-01-20,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,VIZSLA SILVER PROVIDES 2025 YEAR-END SUMMARY AND 2026 OUTLOOK,https://www.stockwatch.com/News/Item/Z-C!VZLA-3775626/C/VZLA,3775626,https://www.stockwatch.com/News/Sedardoc/6104583.pdf,,0,0,no,,"2026-01-20 06:00 ET - News Release
VIZSLA SILVER PROVIDES 2025 YEAR-END SUMMARY AND 2026 OUTLOOK
PR Newswire
VANCOUVER, BC, Jan. 20, 2026
NYSE: VZLA     TSX: VZLA
VANCOUVER, BC
,
Jan. 20, 2026
/PRNewswire/ -
Vizsla Silver Corp.
(TSX: VZLA) (NYSE: VZLA) (Frankfurt: 0G3) (""
Vizsla Silver
"" or the ""
Company
"") is pleased to provide a year-end summary of its activities at its flagship Panuco silver-gold property (the ""Property"" or ""Panuco"") located in Sinaloa, Mexico and outline the Company's key objectives/milestones for 2026.
""2025 was an extraordinary year for Vizsla, the Panuco project and the underlying commodities,""
commented Michael Konnert, President and CEO.
""Throughout the year, Vizsla Silver employed a dual track approach focused on both advancing project development objectives, while maintaining exploration momentum in the hunt for new centers of mineralization. At the project, an updated mineral resource estimate at the start of the year highlighted a 43% increase to measured and indicated resources at a ~5% higher grade profile. This set the stage for an industry leading Feasibility Study published in November, outlining over 20 million ounces of annual silver equivalent production over the first five years and 17.4 million ounces annually over the initial 9.4-year mine life, an after-tax NPV (5%) of US$1.8 billion, 111% IRR and a 7-month payback at US$35.50 per ounce silver and US$3,100 per ounce gold. It's important to remember this is a snapshot in time based on conservative commodity price assumptions, especially given the current metals price environment. The ongoing test mine program advanced considerably in 2025, now down to the 460 level, where we intend to extract the bulk sample. This program has provided invaluable information not only to support detailed engineering and mine development but has allowed access for underground drilling to target over 25 million ounces of inferred mineralization, not currently in the Feasibility Study mine plan. On the exploration side, our geologists focused on expanding, upgrading and converting known resources while simultaneously mapping, sampling and collecting data to support new discoveries. Our most notable discovery was at the Animas target located in the central portion of the district, where we intercepted 897 g/t AgEq over 5.8 meters. This world class interval is planned to be further tested this year as part of a broader 60,000-meter district wide drill program. With a current cash position of over US$450M, the project is now fully financed, and we are ready to build and ready to grow following receipt of our MIA permit expected sometime mid-year. In 2026, we aim to continue derisking and enhancing project value for shareholders. Our recent property acquisitions provide an excellent pipeline of new targets to test, while ongoing optimization work on the project continues to improve efficiency and overall economics. I am extremely proud of our team's performance in 2025 and grateful for the continued support of our community members, shareholders and other stakeholders as we advance toward first silver production in the second half of 2027.""
Key Objectives for 2026
Advance detailed engineering and select contractors for construction and mining
Advance ongoing test mine and bulk sample program
Continue underground infill and expansion drilling to support an updated project MRE
Advance district-wide surface exploration drilling, including follow up test work at Animas
Complete updated district-scale airborne EM and MAG surveys
Conduct initial LiDAR, mapping and sampling on the Peñoles and La Garra claims
2025 Highlights
2025 represented a step-change for Vizsla Silver as the Company advanced from study-driven validation to construction readiness. Throughout the year Vizsla continued to expand its land package with new acquisitions and delivered on several key de-risking initiatives, including the development of a fully funded and fully permitted test mine, publication of the Project's first Feasibility Study and securing project finance to construct the Panuco Mine, have been transformative for the Company and the asset as it enters the development stage.
The year started with an updated mineral resource estimate outlining both growth and conversion of resources into higher confidence categories. This ultimately served as the foundation for a Feasibility Study published in November, highlighting 17.4 Moz AgEq of annual production over an initial 9.4-year mine life (averaging 20.1 Moz AgEq per year for years 1-5), an after-tax NPV (5%) of US$1.8B, 111% IRR and a 7-month payback at US$35.50/oz Ag and US$3,100/oz Au.
Vizsla Silver is now fully funded to develop and construct the Panuco project, finishing the year with more than US$450M in cash (almost 2x the initial capital expenditure requirement as stated in the FS). In November, the Company announced a US$300M project financing facility, structured as a five-year, cash-settled capped call convertible notes issuance, which carries a 5% coupon and an effective conversion price of US$10.54 per share. This represented the largest ever financing of this structure completed by a Canadian silver-focused development company.
The test mine advanced from surface to over 700 meters down the decline, achieving an average of two blasts and six meters of development per day. Two of three planned underground drill bays were established, closing the year with two underground drill rigs conducting infill drilling at central Copala and Christiano.
Drilling throughout the year totaled ~21,000 meters, focused primarily on geotechnical drilling around the Feasibility Study mine plan area. This drilling will support the final phase of detailed engineering slated to commence in early 2026. Additionally, two drill rigs carried out expansion and discovery-based drilling in the west and eastern portions of the district to extend known resources and target select anomalies highlighted in a recently completed HLEM survey. A new discovery at Animas, located in the eastern portion of the district, marked by 897g/t AgEq over 5.85 meters, adds another high-grade center of near-surface mineralisation to continue exploring and defining in 2026.
Other notable achievements in 2025:
Vizsla Silver's share price increased by 220% from US$1.71 to US$5.47 per share, and liquidity across the TSX and NYSE collectively increased the 3-month average daily trading volume 217% from 2.2 million to 6.8 million.
Vizsla Silver raised US$160M in equity including a US$115.5M bought deal at US$3.00 per share in June.
Raised net proceeds of US$240M through a cash-settled, capped-call convertible bond issuance to fully fund the construction and development of the Panuco project, carrying a 5% coupon rate an effective conversion price of US$10.51.
Completed 50-line km HLEM surveys across Panuco West covering Copala North and Napoleon North, identifying several extensional targets for drilling in 2026.
Expanded district-scale geological interpretation by extending 1:1,000-scale mapping beyond the original Project 1 footprint into the central and eastern Panuco district and integrating WorldView-III, ASTER, and Terraspec datasets to refine alteration patterns, structural controls, and target prioritization.
Vizsla Silver acquired a total of 14,607 hectares in 2025 along the San Dimas corridor, comprising 12,229 hectares Santa Fé claims in May, and 2,378 hectares Peñoles claims in December (see figure 1 below).
Completed a fourth round of metallurgical test work to support Feasibility Study flow sheet variability and optimization.
Published the third annual Sustainability Report.
Organized four health fairs/social programs, servicing approximately 2,000 individuals within the local communities
Vizsla Silver's Mexican subsidiary, Minera CANAM, was awarded the Socially Responsible Company Distinction (ESR), for the fourth year in a row.
2026 Outlook
2026 should be another transformative year for Vizsla Silver and the Panuco Project. With several new growth and de-risking initiatives, the Company is focused on further validating and enhancing value beyond the recently published Feasibility Study. Key initiatives include detailed engineering, underground drilling, geophysical surveys, and optimization work required to enter a construction decision in the second half of 2026, once permits are received.
Vizsla has budgeted ~60,000 meters of diamond drilling across the Panuco district for 2026. This includes underground drilling at Copala, Christiano and Tajitos, surface exploration drilling in the central and eastern portions of the district, additional Geotech drilling at Napoleon and La Lusia, and initial reconnaissance drilling at Santa Fe and La Garra.
In parallel, the engineering team is advancing detailed engineering of the mine and process infrastructure as it transitions into project execution, including the selection of key partners for construction and mining. Contractor selection for bulk earthworks, electrical, piping, and underground mining will continue through competitive processes, supported by equipment-specific test work from the test mine bulk sample material to validate performance guarantees.
The planned 10k tonne bulk sample material will support a fifth phase of metallurgical testwork to optimize silver and gold recovery, reagent usage, and further rheological testing to ensure robustness of tailings and paste backfill.
Exploration in 2026 will focus on advancing surface drilling around Panuco West to extend resources proximal to the Feasibility Study mine plan, while ongoing technical work will support future drill programs at Santa Fé, follow-up drilling at Animas, and initial testing of other targets in the northeast. Vizsla will also commence initial LiDAR surveys, geological mapping, and surface sampling across the newly acquired Peñoles claims, alongside first pass LiDAR, mapping, and prospecting at La Garra, laying the groundwork for future drill targeting across the broader land package.
Key Objectives for 2026
Advance detailed engineering and select contractors for construction and mining
Advance ongoing test mine and bulk sample program
Continue underground infill and expansion drilling to support an updated project MRE
Advance district wide surface exploration drilling, including follow up test work at Animas
Complete updated district scale airborne EM and MAG surveys
Conduct initial LiDAR, mapping and sampling on the Peñoles and La Garra claims
In accordance with NI 43-101, Jesus Velador, Ph.D. MMSA QP., Chief Geologist, is the Qualified Person for the Company and has reviewed and approved the technical and scientific content of this news release.
About Vizsla Silver and the Panuco Project
Vizsla Silver is a Canadian mineral exploration and development company headquartered in Vancouver, BC, focused on advancing its flagship, 100%-owned Panuco silver-gold project located in Sinaloa, Mexico. The Company recently completed a Feasibility Study for Panuco in November 2025 which highlights 17.4 Moz AgEq of annual production over an initial 9.4-year mine life, an after-tax NPV(5%) of US$1.8B, 111% IRR and a 7-month payback at US$35.50/oz Ag and US$3,100/oz Au. Vizsla Silver aims to position itself as a leading silver company by implementing a dual track development approach at Panuco, advancing mine development while continuing district-scale exploration through low-cost means.
Website:
www.vizslasilvercorp.ca
SPECIAL NOTE REGARDING FORWARD LOOKING STATEMENTS
This news release contains ""forward-looking statements"" and ""forward-looking information"" (together, ""forward-looking statements"") within the meaning of applicable Canadian securities laws and the United States Private Securities Litigation Reform Act of 1995. Forward-looking statements relate to future events or performance and reflect management's expectations or beliefs regarding future events, plans, and objectives.
Forward-looking statements in this release include, but are not limited to, statements regarding: the Company's 2026 objectives and milestones, including the timing and receipt of environmental and other regulatory permits (including the MIA/EIA); the timing and execution of construction activities, including the commencement of construction, advancement of detailed engineering, and selection of contractors and development partners; the Company's ability to advance the Panuco Project toward production, including expectations regarding first silver production in the second half of 2027; the results, timing and scope of planned drilling programs, including underground infill and expansion drilling, district-wide surface drilling, and follow-up drilling at Animas, Santa Fé, La Garra, Peñoles and other targets; the conversion of inferred mineral resources to indicated mineral resources, including targeted conversion of inferred mineralization within the Copala zone; the size, grade, continuity and potential expansion of mineral resources, including the potential to add mine life beyond the current feasibility study mine plan; the completion and outcomes of bulk sampling, metallurgical testing, geotechnical work and optimization studies, and their anticipated impact on project economics and mine design; the economic results of the Panuco Project, including forecast production rates, mine life, capital costs, operating costs, free cash flow, net present value, internal rate of return, and payback period, as derived from the Feasibility Study; the assumptions underlying the Feasibility Study, including commodity prices, metallurgical recoveries, operating and capital cost estimates, permitting timelines, and development schedules; the Company's ability to fund construction and development, including expectations regarding the sufficiency of existing cash balances and access to financing; the anticipated benefits of property acquisitions and exploration programs, including the identification of new mineralized zones and discovery of additional deposits; and the Company's long-term growth strategy, including its ability to enhance shareholder value through continued exploration success, project development and operational execution.
Forward-looking statements are based on a number of assumptions believed to be reasonable by the Company as of the date of this release, including, without limitation: the accuracy of the Feasibility Study parameters; the availability of financing on acceptable terms; that required permits and approvals will be obtained in the expected timeframe; continued community and government support; stability in market, political and economic conditions; reasonable accuracy of operating and capital cost estimates; and continued favourable metal prices and exchange rates.
Forward-looking statements are subject to known and unknown risks, uncertainties and other factors that may cause actual results to differ materially. Such risks include, but are not limited to: exploration, development and operating risks; permitting, environmental and regulatory risks; community relations and social licence risks; commodity price and currency fluctuations; inflation and cost escalation; financing and liquidity risks; reliance on contractors and suppliers; title and surface rights risks; changes in project parameters; inaccuracies in technical or economic modelling; the risk that the feasibility study assumptions prove inaccurate; and other risks described in the Company's continuous disclosure filings available under its profile on SEDAR+ at
www.sedarplus.ca
.
There can be no assurance that the Panuco Project will be placed into production or that the results of the Feasibility Study will be realized. The purpose of the forward-looking statements is to provide information about management's current expectations and plans and may not be appropriate for other purposes. Readers are cautioned not to place undue reliance on forward-looking statements, which speak only as of the date of this release. Except as required by applicable law, the Company undertakes no obligation to update or revise any forward-looking statements contained herein.
No Production Decision: The Company has not made a production decision for the Panuco Project. A decision to proceed with construction will only be made following the completion and review of detailed engineering, financing arrangements, and receipt of all required permits and approvals.
View original content to download multimedia:
https://www.prnewswire.com/news-releases/vizsla-silver-provides-2025-year-end-summary-and-2026-outlook-302665058.html
SOURCE Vizsla Silver Corp.
Contact:
Contact Information: For more information and to sign-up to the mailing list, please contact: Michael Konnert, President and Chief Executive Officer, Tel: (604) 364-2215, Email: info@vizslasilver.ca
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\VZLA\news_html\2026-01-20.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/VZLA/news_html/2026-01-20.html,,NONE,2025 year-end summary and 2026 outlook,,,2025-04-30,2025-07-17
