source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,WRN,Western Copper and Gold Corporation,2025-03-19,ANNUAL_INFORMATION_FORM_EN,metals and minerals - mining,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5863240.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\WRN\pdfs\AIF\2025-03-19_WRN_AIF.pdf,60,1015,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/WRN/2025-03-19_WRN_AIF.pdf,,,,,,,,,2024-12-31,2025-03-19
stockwatch,WRN,Western Copper and Gold Corporation,2026-02-26,MATERIAL_CHANGE_REPORT_EN,metals and minerals - mining,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6133352.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\WRN\pdfs\MaterialChange\2026-02-26_WRN_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,3,193,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/WRN/2026-02-26_WRN_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Bought deal share offering completed,,,,,2024-12-31,2025-03-19
stockwatch,WRN,Western Copper and Gold Corporation,2026-02-26,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Western Copper closes $92-million public offering,https://www.stockwatch.com/News/Item/Z-C!WRN-3790143/C/WRN,3790143,https://www.stockwatch.com/News/Sedardoc/6133340.pdf,,0,0,no,,"2026-02-26 19:50 ET - News Release
Mr. Sandeep Singh reports
WESTERN COPPER AND GOLD ANNOUNCES COMPLETION OF BOUGHT DEAL PUBLIC OFFERING OF $92 MILLION
Western Copper and Gold Corp. has completed its previously announced bought deal public offering of 22,169,125 common shares of the company at a price of $4.15 per common share for gross proceeds of $92,001,868.75, including the full exercise of the overallotment option.
The offering was completed pursuant to an underwriting agreement dated Feb. 12, 2026, entered into between the company and a syndicate of underwriters led by Stifel Canada, and including ATB Capital Markets Corp., National Bank Financial Inc., Agentis Capital Markets, BMO Capital Markets, Canaccord Genuity Corp., CIBC World Markets Inc., and H.C. Wainwright & Co. LLC. In connection with the offering, the company paid the underwriters a cash commission equal to 5.0 per cent of the gross proceeds, other than on sales of an aggregate of 1,098,500 common shares to purchasers on a president's list.
The net proceeds from the sale of the common shares are expected to be used to advance permitting and engineering activity at the company's Casino project in Yukon, and for general corporate and working capital purposes.
The offering was completed by way of a short form prospectus filed in all of the provinces of Canada, except Quebec, and in the United States pursuant to a prospectus filed as part of a registration statement on Form F-10 under the Canada/U.S. multijurisdictional disclosure system. The prospectus is available on SEDAR+. The registration statement is available on EDGAR.
Certain directors and officers of the company participated in the offering. The insiders' participation in the offering constitutes a related party transaction as defined in Multilateral Instrument 61-101, Protection of Minority Security Holders in Special Transactions. The company is relying on the exemptions from the formal valuation and minority shareholder approval requirements contained in sections 5.5(a) and 5.7(1)(a) of 61-101 in respect of the offering as neither the fair market value of the securities issued to the insiders nor the consideration paid by the insiders for such securities exceed 25 per cent of the company's market capitalization. The company will file a material change report in respect of the offering. However, the company did not file a material change report 21 days prior to closing of the offering as the participation of insiders of the company in the offering had not been confirmed at that time.
About Western Copper and Gold Corp.
Western Copper and Gold is advancing the Casino project, Canada's premier copper-gold mine in Yukon and one of the most economic greenfield copper-gold mining projects in the world.
The company is committed to working collaboratively with first nations and local communities to progress the Casino project, using internationally recognized responsible mining technologies and practices.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\WRN\news_html\2026-02-26.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/WRN/news_html/2026-02-26.html,,NONE,Completion of bought deal public offering,,,2024-12-31,2025-03-19
stockwatch,WRN,Western Copper and Gold Corporation,2026-02-20,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Western Copper files final prospectus for shares,https://www.stockwatch.com/News/Item/Z-C!WRN-3787430/C/WRN,3787430,https://www.stockwatch.com/News/Sedardoc/6129445.pdf,,0,0,no,,"2026-02-20 19:13 ET - News Release
Mr. Sandeep Singh reports
WESTERN COPPER AND GOLD ANNOUNCES FILING OF FINAL SHORT FORM PROSPECTUS
Further to the news releases dated Feb. 11, 2026, and Feb. 12, 2026, Western Copper and Gold Corp. has filed a final short form prospectus dated Feb. 20, 2026, with the securities commissions in each of the provinces of Canada, except Quebec, in connection with its bought deal public offering of common shares of the company at a price of $4.15 per common share for gross proceeds to the company of approximately $80,001,625.
The offering is being conducted through a syndicate of underwriters including Stifel Canada, as lead underwriter and sole bookrunner, along with ATB Capital Markets Corp., National Bank Financial Inc., Agentis Capital Markets, BMO Capital Markets, Canaccord Genuity Corp., CIBC World Markets Inc., and H.C. Wainwright & Co. LLC. The company has granted the underwriters an option, exercisable, in whole or in part, at any time until and including 30 days following the closing of the offering, to purchase up to an additional 2,891,625 common shares of the offering. If this option is exercised in full, an additional $12,000,243.75 in gross proceeds will be raised pursuant to the offering and the aggregate gross proceeds of the offering will be approximately $92,001,869.
Access to the final prospectus and any amendment to the documents are provided in accordance with securities legislation relating to procedures for providing access to a prospectus. The final prospectus is accessible on SEDAR+. An electronic or paper copy of the final prospectus and any amendment may be obtained, without charge, from Stifel Canada by 161 Bay St., Suite 3800, Toronto, Ont., Canada, M5J 2S1, or by e-mail at syndprospectus@stifel.com by providing the contact with an e-mail address or address, as applicable. The final prospectus contains important detailed information about the company and the offering. Prospective investors should read the final prospectus and the other documents the company has filed on SEDAR+ before making an investment decision.
The common shares will also be offered in the United States pursuant to a prospectus filed as part of a registration statement on Form F-10 under the Canada/U.S. multijurisdictional disclosure system. The registration statement relating to the common shares has been filed with the U.S. Securities and Exchange Commission. The registration statement is available on EDGAR. Alternatively, the registration statement and the prospectus included therein may be obtained, at no charge upon request, from Stifel Canada at 161 Bay St., Suite 3800, Toronto, Ont., Canada, M5J 2S1, or by e-mail at syndprospectus@stifel.com.  The registration statement and prospectus included therein contain important detailed information about the company and the offering. Prospective investors should read the registration statement, such prospectus and the other documents the company has filed on EDGAR before making an investment decision.
The offering is scheduled to close on or about Feb. 26, 2026, and is subject to certain conditions, including, but not limited to, the receipt of all necessary approvals, including the approval of the Toronto Stock Exchange and the NYSE American and the applicable securities regulatory authorities.
About Western Copper and Gold Corp.
Western Copper is advancing the Casino project, Canada's premier copper-gold mine in the Yukon and one of the most economic greenfield copper-gold mining projects in the world.
The company is committed to working collaboratively with first nations and local communities to progress the Casino project, using internationally recognized responsible mining technologies and practices.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\WRN\news_html\2026-02-20.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/WRN/news_html/2026-02-20.html,,NONE,Final prospectus filed for bought deal financing,,,2024-12-31,2025-03-19
stockwatch,WRN,Western Copper and Gold Corporation,2026-02-13,MATERIAL_CHANGE_REPORT_EN,metals and minerals - mining,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6124318.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\WRN\pdfs\MaterialChange\2026-02-13_WRN_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,3,197,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/WRN/2026-02-13_WRN_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Bought deal share offering announced,,,,,2024-12-31,2025-03-19
stockwatch,WRN,Western Copper and Gold Corporation,2026-02-12,NEWS_RELEASE_EN,metals and minerals - mining,NewsRelease,Western Copper increases financing to $80-million,https://www.stockwatch.com/News/Item/Z-C!WRN-3784769/C/WRN,3784769,https://www.stockwatch.com/News/Sedardoc/6123318.pdf,,0,0,no,,"2026-02-12 20:24 ET - News Release
Mr. Sandeep Singh reports
WESTERN COPPER AND GOLD ANNOUNCES UPSIZED C$80 MILLION BOUGHT DEAL FINANCING
Western Copper and Gold Corp., due to significant investor demand, has entered into an amended agreement with Stifel Canada, on its own behalf and on behalf of a syndicate of underwriters, pursuant to which the underwriters have agreed to purchase, on a bought deal basis, 19,277,500 common shares of the company at a price of $4.15 per common share for gross proceeds to the company of approximately $80,001,625.
The company has granted the underwriters an option, exercisable, in whole or in part, at any time until and including 30 days following the closing of the offering, to purchase up to an additional 2,891,625 common shares of the offering. If this option is exercised in full, an additional $12,000,243.75 in gross proceeds will be raised pursuant to the offering and the aggregate gross proceeds of the offering will be approximately $92,001,869.
The company plans to use the net proceeds from the offering to advance permitting and engineering activity at the company's Casino project in Yukon, and for general corporate and working capital purposes.
The offering will be made by way of a short form prospectus filed in all of the provinces of Canada, except Quebec, and in the United States pursuant to a prospectus filed as part of a registration statement on Form F-10 under the Canada/U.S. multijurisdictional disclosure system. The prospectus and the registration statement are subject to completion and amendment. Such documents contain important information about the offering.
The registration statement relating to the common shares has been filed with the United States Securities and Exchange Commission but has not yet become effective. The common shares to be sold pursuant to the offering described in this news release may not be sold nor may offers to buy be accepted prior to the time the registration statement becomes effective. Before readers invest, they should read the prospectus in the registration statement and other documents the company has filed with Canadian regulatory authorities and the United States Securities and Exchange Commission for more complete information about the company and the offering. The prospectus is available on SEDAR+. The registration statement is available on EDGAR. Alternatively, the prospectus and the registration statement may be obtained, for free upon request, from Stifel Canada at 161 Bay St., Suite 3800, Toronto, Ont., Canada, M5J 2S1, or by e-mail at syndprospectus@stifel.com.
The offering is scheduled to close on or about Feb. 26, 2026, and is subject to certain conditions, including, but not limited to, the receipt of all necessary approvals, including the approval of the Toronto Stock Exchange and the NYSE American, and the applicable securities regulatory authorities.
About Western Copper and Gold Corp.
Western Copper is advancing the Casino project, Canada's premier copper-gold mine in the Yukon and one of the most economic greenfield copper-gold mining projects in the world.
The company is committed to working collaboratively with first nations and local communities to progress the Casino project, using internationally recognized responsible mining technologies and practices.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\WRN\news_html\2026-02-12.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/WRN/news_html/2026-02-12.html,,NONE,Upsized bought deal financing announced,,,2024-12-31,2025-03-19
stockwatch,WRN,Western Copper and Gold Corporation,2026-02-11,DECISION_DOCUMENT_AMENDMENT_TO_PRELIMINARY,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6124169.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-19
stockwatch,WRN,Western Copper and Gold Corporation,2026-02-11,UNDERWRITING_OR_AGENCY_AGREEMENT,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6124170.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-19
stockwatch,WRN,Western Copper and Gold Corporation,2026-02-11,AMENDMENT_TO_OR_AMENDED_PRELIMINARY_SHORT_FORM_PROSPECTUS_EN,metals and minerals - mining,Prospectus,,,,https://www.stockwatch.com/News/Sedardoc/6124171.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\WRN\pdfs\Prospectus\2026-02-11_WRN_Prospectus_AMENDMENT_TO_OR_AMENDED_PRELIM.pdf,37,294,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/WRN/2026-02-11_WRN_Prospectus_AMENDMENT_TO_OR_AMENDED_PRELIM.pdf,,,,,,,,,2024-12-31,2025-03-19
stockwatch,WRN,Western Copper and Gold Corporation,2026-02-11,MARKETING_MATERIALS_EN,metals and minerals - mining,Other,,,,https://www.stockwatch.com/News/Sedardoc/6124172.pdf,,0,0,no,,,,,,,,,,2024-12-31,2025-03-19
