source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,WVM,West Vault Mining Inc.,2025-04-24,ANNUAL_INFORMATION_FORM_EN,not applicable,AIF,,,,https://www.stockwatch.com/News/Sedardoc/5898954.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\WVM\pdfs\AIF\2025-04-24_WVM_AIF.pdf,77,4546,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/WVM/2025-04-24_WVM_AIF.pdf,,,,,,,,,2025-01-31,2025-04-24
stockwatch,WVM,West Vault Mining Inc.,2025-11-14,INTERIM_FINANCIAL_STATEMENTSREPORT_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6057429.pdf,,0,0,no,,,,,,,,,,2025-01-31,2025-04-24
stockwatch,WVM,West Vault Mining Inc.,2025-11-14,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6057431.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\WVM\pdfs\MD&A\2025-11-14_WVM_MD&A_INTERIM_MDA_EN.pdf,17,564,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/WVM/2025-11-14_WVM_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2025-01-31,2025-04-24
stockwatch,WVM,West Vault Mining Inc.,2025-11-14,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6057433.pdf,,0,0,no,,,,,,,,,,2025-01-31,2025-04-24
stockwatch,WVM,West Vault Mining Inc.,2025-11-14,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/6057435.pdf,,0,0,no,,,,,,,,,,2025-01-31,2025-04-24
stockwatch,WVM,West Vault Mining Inc.,2025-09-29,NEWS_RELEASE_EN,not applicable,NewsRelease,West Vault Mining hires InvestorBrandNetwork,https://www.stockwatch.com/News/Item/Z-C!WVM-3736206/C/WVM,3736206,https://www.stockwatch.com/News/Sedardoc/6023835.pdf,,0,0,no,,"2025-09-29 18:00 ET - News Release
Mr. Frank Hallam reports
WEST VAULT RETAINS IBN TO SUPPORT INVESTOR AWARENESS EFFORTS
West Vault Mining Inc. has retained InvestorBrandNetwork (IBN). IBN provides cutting-edge communications and a digital engagement platform, and is a multifaceted content creator, publisher and news distributor providing tailored platform solutions for select public companies to amplify visibility and recognition with large, diverse audiences of investors on behalf of the company. The objective of the engagement is to expand awareness of West Vault Mining and its Hasbrouck gold project, located in Nevada. IBN will distribute company updates and information through financial media outlets and digital platforms.
Under the terms of the agreement, IBN will receive a quarterly cash retainer of $21,000 (U.S.) for an initial term of 180 days, with the engagement continuing on a quarterly basis thereafter unless otherwise terminated.  IBN will commence to provide its services today, with the publication of this news release.  The agreement may be subject to TSX Venture Exchange approval.
IBN is a United States-based provider of investor services with over 19 years of experience, and has worked with both public and private companies across various industries. IBN and its principals are at arm's length to the company, and, to the best of the company's knowledge, neither IBN nor its principals hold any securities of West Vault.
About West Vault Mining Inc.
West Vault is committed to maximizing shareholder value through its low-risk gold-in-ground strategy. The company's business model involves acquiring, advancing, holding and selling high-quality development gold projects in the best jurisdictions.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\WVM\news_html\2025-09-29.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/WVM/news_html/2025-09-29.html,,NONE,Investor awareness engagement with IBN,,,2025-01-31,2025-04-24
stockwatch,WVM,West Vault Mining Inc.,2025-09-22,NEWS_RELEASE_EN,not applicable,NewsRelease,"West Vault Mining grants options to buy 895,998 shares",https://www.stockwatch.com/News/Item/Z-C!WVM-3733791/C/WVM,3733791,https://www.stockwatch.com/News/Sedardoc/6019054.pdf,,0,0,no,,"2025-09-22 21:44 ET - News Release
Mr. Frank Hallam reports
WEST VAULT ANNOUNCES GRANT OF STOCK OPTIONS
West Vault Mining Inc.'s board of directors, on Sept. 19, 2025, granted to certain officers, directors, employees, management company employees and consultants an aggregate 895,998 options to acquire common shares of the company. Each option entitles the holder to purchase one common share of the company at an exercise price of $1.84 per share for a five-year term expiring Sept. 19, 2030. The options are subject to a three-year vesting period from the grant date. The options are governed by the share compensation plan of the company and are subject to TSX Venture Exchange acceptance.
About West Vault Mining Inc.
West Vault is committed to maximizing shareholder value through its low-risk gold-in-ground strategy, which involves acquiring, advancing, holding and selling high-quality development gold projects in the best jurisdictions.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\WVM\news_html\2025-09-22.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/WVM/news_html/2025-09-22.html,,NONE,Grant of stock options announced,,,2025-01-31,2025-04-24
stockwatch,WVM,West Vault Mining Inc.,2025-08-27,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/5999684.pdf,,0,0,no,,,,,,,,,,2025-01-31,2025-04-24
stockwatch,WVM,West Vault Mining Inc.,2025-08-27,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,not applicable,Other,,,,https://www.stockwatch.com/News/Sedardoc/5999685.pdf,,0,0,no,,,,,,,,,,2025-01-31,2025-04-24
stockwatch,WVM,West Vault Mining Inc.,2025-08-27,INTERIM_MDA_EN,not applicable,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/5999674.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\WVM\pdfs\MD&A\2025-08-27_WVM_MD&A_INTERIM_MDA_EN.pdf,17,487,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/WVM/2025-08-27_WVM_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2025-01-31,2025-04-24
