source,symbol,issuer,filing_date,doc_type,industry,category,synopsis,article_url,article_id,pdf_url,pdf_path,page_count,pdf_size_kb,downloaded,r2_url,news_text,news_html_path,news_html_r2_url,mat_summary,llm_flag,llm_summary,llm_project,llm_error,as_at_date,aif_filed
stockwatch,YGT,Gold Terra Resource Corp.,2026-03-04,MATERIAL_CHANGE_REPORT_EN,gold and precious metals,MaterialChange,,,,https://www.stockwatch.com/News/Sedardoc/6140873.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\YGT\pdfs\MaterialChange\2026-03-04_YGT_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,3,44,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/YGT/2026-03-04_YGT_MaterialChange_MATERIAL_CHANGE_REPORT_EN.pdf,,,,Private placements totaling C$9.4 million,,,,,2023-12-31,2024-03-30
stockwatch,YGT,Gold Terra Resource Corp.,2026-02-10,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Gold Terra to Present at the Precious Metals & Critical Minerals Virtual Investor Conference February 11, 2026",https://www.stockwatch.com/News/Item/Z-C!YGT-3783415/C/YGT,3783415,https://www.stockwatch.com/News/Sedardoc/6121467.pdf,,0,0,no,,"2026-02-10 08:35 ET - News Release
VANCOUVER, British Columbia, Feb.  10, 2026  (GLOBE NEWSWIRE) --
Gold Terra Resource Corp. (TSX-V: YGT; Frankfurt: TX0; OTCQX: YGTFF)
(“
Gold Terra
” or the “
Company
”) today announced that Gerald Panneton, Chairman and CEO, will present live at the Precious Metals & Critical Minerals Virtual Investor Conference hosted by VirtualInvestorConferences.com, on February 11, 2026
DATE
:
Wednesday, February 11
th
TIME: 10:00 AM ET
REGISTER HERE
This will be a live, interactive online event where investors are invited to ask the company
questions in real-time. If attendees are not able to join the event live on the day of the
conference, an archived webcast will also be made available after the event.
It is recommended that online investors pre-register and run the online system check to expedite participation and receive event updates.
Learn more about the event at
www.virtualinvestorconferences.com
.
Recent Company Highlights
Fully financed for the current 15,000 metre 2026 Winter drill program.
Appointed Todd Burlingame as our Chief Development Officer to oversee the Company's direction towards development of the Yellowknife assets.
Company has completed over 10 holes in January (see
February 5
,
2026
press release) and, approx. 3,000 additional metres to date, as the drilling continues to target the past producing Campbell Shear (CS), south of the historic Con Mine and in the Northbelt area, north of Yellowknife.
The Company has engaged SLR Consulting to complete an updated Mineral Resource Estimate (MRE) on the Yellowknife Project.
The technical information contained in this news release has been reviewed and approved by Joseph Campbell, a Qualified Person as defined in National Instrument 43-101 - Standards of Disclosure for Mineral Projects and Senior Technical Advisor for the Company.
About Gold Terra
The Yellowknife Project (YP) encompasses 836 sq. km of contiguous land immediately north, south and east of the City of Yellowknife in the Northwest Territories. Through a series of acquisitions, Gold Terra controls one of the six major high-grade gold camps in Canada. Being within 10 kilmetres of the City of Yellowknife, the YP is close to vital infrastructure, including all-season roads, air transportation, service providers, hydro-electric power, and skilled tradespeople. Gold Terra is currently focusing its drilling on the prolific Campbell Shear, where approximately 14 Moz of gold has been produced, (refer to
Gold Terra Oct 21, 2022, Technical Report
) and most recently on the CMO property claims immediately south of the past producing Con Mine which produced 6.1 Moz between the Con, Rycon, and Campbell shear structures (1938-2003).
The YP and CMO properties lie on the prolific Yellowknife greenstone belt, covering nearly 70 kilometres of strike length along the main mineralized shear system that hosts the former-producing high-grade Con and Giant gold mines. The Company's exploration programs have successfully identified significant zones of gold mineralization and multiple targets that remain to be tested which reinforces the Company's objective of re-establishing Yellowknife as one of the premier gold mining districts in Canada.
Visit our website at
https://goldterracorp.com/
.
About Virtual Investor Conferences
®
Virtual Investor Conferences (VIC) is the leading proprietary investor conference series that provides an interactive forum for publicly traded companies to seamlessly present directly to investors.
Providing a real-time investor engagement solution, VIC is specifically designed to offer companies more efficient investor access.  Replicating the components of an on-site investor conference, VIC offers companies enhanced capabilities to connect with investors, schedule targeted one-on-one meetings and enhance their presentations with dynamic video content. Accelerating the next level of investor engagement, Virtual Investor Conferences delivers leading investor communications to a global network of retail and institutional investors.
CONTACTS:
For Gold Terra, please contact:

Gerald Panneton, Chairman & CEO

gpanneton@goldterracorp.com

Mara Strazdins, Investor Relations
Phone: 1-778-897-1590 | 416-710-0646
strazdins@goldterracorp.com

Virtual Investor Conferences
John M. Viglotti
SVP Corporate Services, Investor Access
OTC Markets Group
(212) 220-2221
johnv@otcmarkets.com
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\YGT\news_html\2026-02-10.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/YGT/news_html/2026-02-10.html,,NONE,Gold Terra to present at investor conference,,,2023-12-31,2024-03-30
stockwatch,YGT,Gold Terra Resource Corp.,2026-01-23,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Gold Terra adds Burlingame as chief development officer,https://www.stockwatch.com/News/Item/Z-C!YGT-3777268/C/YGT,3777268,https://www.stockwatch.com/News/Sedardoc/6108254.pdf,,0,0,no,,"2026-01-23 11:26 ET - News Release
Mr. Gerald Panneton reports
GOLD TERRA APPOINTS TODD BURLINGAME AS CHIEF DEVELOPMENT OFFICER
Gold Terra Resource Corp. has appointed Todd Burlingame as chief development officer (CDO) to oversee the company's direction toward development of the company's Yellowknife assets, including all stakeholder relationships, permitting strategy, and all other impending policies and plans on the future growth of the company in Yellowknife.
Mr. Burlingame brings extensive experience, leadership and widespread familiarity with the Northwest Territories to this role. Mr. Burlingame is the principal and founder of Kee Scarp Ltd., a resource development company founded in 1996 that derisks and advances large-scale projects by restructuring organizations, building teams, participating in financing initiatives, meeting project milestones, securing approvals and negotiating benefits agreements with indigenous groups.
Mr. Burlingame's most significant positions over the last 30 years include:
Chairman and chief executive officer at Mackenzie Valley Environmental Impact Review Board;
Chairman and chief executive officer at Mackenzie Valley Land & Water Board;
Project manager at Vale's Long Harbour hydrometallurgical plant;
Manager at Nalcor Energy's Lower Churchill hydroelectric project;
Executive vice-president at Alderon Iron Ore Corp.'s project;
Vice-president at Baffinland Iron Mines;
President at High Tide Resources Corp.;
Chief executive officer at Search Minerals;
Chief executive officer at E-Tech Xploration.
Mr. Burlingame currently serves as an independent director at Ventra Metals Corp.
Mr. Burlingame has a BSc geology degree from the University of British Columbia and is a registered professional geologist (PGeo) in Nova Scotia.
Gold Terra, subject to board approval, will grant the CDO an initial 800,000 stock options at the closing price on the first day of employment on Jan. 23, 2026. The option grant is according to the company's plan which is for five years with 25 per cent vesting increment every six months after the date of the issuance.
Chairman and chief executive officer Gerald Panneton commented: ""We welcome Todd's experience in joining the Gold Terra team. As we move closer into the next chapter of our Yellowknife gold discovery story, Todd's experience in senior management and his extensive familiarity with the NWT regulatory environment, will be key in the very near future. He will be a great asset to the company as we continue to advance our drilling, engineering, permitting on our advanced gold targets at the Con mine and our other satellite deposits just 20 kilometres north of town. As we build our future in Yellowknife with all the local stakeholders, Todd will be there, and available in Yellowknife, as we move our project forward towards development.""
Meet with Gold Terra at VRIC
Gold Terra would like to cordially invite you to visit the comapny at Booth 316 at the Vancouver Resource Investment Conference (VRIC) to be held at the Vancouver Convention Centre West (1055 Canada Pl., Vancouver) on Sunday,  Jan. 25 to Monday, Jan. 26, 2026. Management will be available to provide an update on the company's current 2026 drilling program and company strategy going forward. The company looks forward to meeting you there.
About Gold Terra Resource Corp.
The Yellowknife project (YP) encompasses 836 square kilometres of contiguous land immediately north, south and east of the city of Yellowknife in the Northwest Territories. Through a series of acquisitions, Gold Terra controls one of the six major high-grade gold camps in Canada. Being within 10 kilometres of the city of Yellowknife, the YP is close to vital infrastructure, including all-season roads, air transportation, service providers, hydroelectric power and skilled tradespeople. Gold Terra is currently focusing its drilling on the Campbell shear, where approximately 14 million ounces of gold has been produced (refer to Gold Terra Oct. 21, 2022, technical report) and most recently on the CMO property claims immediately south of the past-producing Con mine which produced 6.1 Moz between the Con, Rycon and Campbell shear structures (1938 to 2003).
The YP and CMO properties lie on the Yellowknife greenstone belt, covering nearly 70 kilometres of strike length along the main mineralized shear system that hosts the former-producing high-grade Con and Giant gold mines. The company's exploration programs have successfully identified significant zones of gold mineralization and multiple targets that remain to be tested which reinforces the company's objective of re-establishing Yellowknife as one of the premier gold mining districts in Canada.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\YGT\news_html\2026-01-23.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/YGT/news_html/2026-01-23.html,,NONE,Appointment of chief development officer,,,2023-12-31,2024-03-30
stockwatch,YGT,Gold Terra Resource Corp.,2026-01-06,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Gold Terra begins winter drill program at Yellowknife,https://www.stockwatch.com/News/Item/Z-C!YGT-3771530/C/YGT,3771530,https://www.stockwatch.com/News/Sedardoc/6097367.pdf,,0,0,no,,"2026-01-06 16:01 ET - News Release
Mr. Gerald Panneton reports
GOLD TERRA STARTS 2026 WINTER DRILL PROGRAM ON CON MINE AREA AND PROVIDES CORPORATE UPDATE
Gold Terra Resource Corp. has commenced its winter 2026 diamond drilling program on the Yellowknife project in the Northwest Territories. The program will utilize four diamond drill rigs and is focused on advancing priority targets within the Con mine area and the Northbelt.
2026 winter drill program highlights
Initial drilling will target the Con mine area, with the objective of expanding and upgrading mineralization within the Yellorex zone, located along the Campbell shear south of the historic Con mine. Additional drilling will test nearby targets along the Campbell shear corridor between Yellorex and the Con mine.
Drilling within the Northbelt is expected to commence later in January, following sufficient ice development. Northbelt drilling will primarily target high-grade gold areas such as where hole GTWL22-0014, which returned 31.89 grams per tonne gold over three metres, including 69.4 g/t Au over one metre (see the Aug. 25, 2022, press release), was intersected near surface in the Mispickel area. The winter 2026 program is designed to advance known high-grade mineralized zones, test new targets and support future resource growth just north of the town of Yellowknife.
New five-year land-use permit, water licence and security
Gold Terra has received all key regulatory approvals required to conduct exploration work for the next five years at the Yellowknife project and Con mine. The Mackenzie Valley Land and Water Board has issued a renewed Type A land-use permit (MV2025C0015), effective Jan. 17, 2026, with a five-year term (and the ability to apply for a two-year extension), authorizing mineral exploration activities, including diamond drilling, winter road construction, camp operations and progressive reclamation.
In addition, the company has been granted a renewed Type B water licence (MV2025L8-0006), effective Jan. 17, 2026, with a seven-year term. The licence authorizes water withdrawal and waste deposition associated with mineral exploration and drilling activities, subject to established environmental protection measures.
Gold Terra has also topped up its reclamation securities with the government of the Northwest Territories. Both securities were topped up in early January for the land-use permit (LUP) and water licence (WL). Both securities totalled $198,000 and $36,450 for each permit and cover activities for up to four drill rigs in action.
Gold Terra retains Soar Financial Partners
The company has retained Soar Financial Partners (a brand of NorthStar Communications GmbH) for a targeted investor relations and media outreach proposal designed to expand Gold Terra's visibility across the United States, Europe and strategically in Germany, pursuant to an agreement  entered into between the company and Soar dated Jan. 1, 2026, subject to the approval of the TSX Venture Exchange.
Soar provides strategic marketing and investor communications for the mining sector through multinational road shows, conferences, media outreach and social media platforms primarily for the European investment community. Soar has offices in Frankfurt, Germany and Vancouver.
The investor relations agreement has a one-year term. Pursuant to the agreement,  Gold Terra will pay Soar a base fee of $7,000 (U.S.) per month.
Subject to the policies of the TSX-V and the terms of  the company's  stock option plan, the company plans to grant 300,000 options  to  purchase common shares of the company as part consideration for  its services under  the investor relations agreement.
Soar does not currently own any shares of the company or have any other direct or  indirect interest in  the company. The fees paid by the company to Soar under the  investor relations agreement are for  services only.
Grant of stock options
The company announces that the board of directors has approved a grant of stock options under the company's stock option plan to its directors, officers, employees and consultants to purchase up to an aggregate of 3.6 million treasury shares at 19  cents (including the 300,000 options to Soar).
The options are exercisable at a price of 19 cents per share for a period of five years effective on Jan. 2, 2026, expiring on Jan. 2, 2031, and are subject to the policies of the TSX-V and the company's stock option plan, which includes a vesting period beginning six months after issue for 25 per cent of the options and 25 per cent every six months following.
The technical information contained in this news release has been reviewed and approved by Joseph Campbell, a qualified person as defined in National Instrument 43-101, Standards of Disclosure for Mineral Projects, and senior technical adviser for the company.
About Gold Terra Resource Corp.
The Yellowknife project (YP) encompasses 836 square kilometres  of contiguous land immediately north, south and east of the city of Yellowknife in the Northwest Territories. Through a series of acquisitions, Gold Terra controls one of the six major high-grade gold camps in Canada. Being within 10 kilometres of the city of Yellowknife, the YP is close to vital infrastructure, including all-season roads, air transportation, service providers, hydroelectric power and skilled tradespeople. Gold Terra is currently focusing its drilling on the Campbell shear, where approximately 14 million ounces of gold have been produced (refer to Gold Terra's Oct. 21, 2022, technical report), and most recently on the CMO (Con mine option) property claims immediately south of the past-producing Con mine, which produced 6.1 million ounces between the Con, Rycon and Campbell shear structures (1938 to 2003).
The YP and CMO properties lie on the Yellowknife greenstone belt, covering nearly 70 kilometres of strike length along the main mineralized shear system that hosts the former-producing high-grade Con and Giant gold mines. The company's exploration programs have successfully identified significant zones of gold mineralization and multiple targets that remain to be tested, reinforcing the company's objective of re-establishing Yellowknife as one of the premier gold mining districts in Canada.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\YGT\news_html\2026-01-06.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/YGT/news_html/2026-01-06.html,,NONE,Winter drill program commenced at Yellowknife,,,2023-12-31,2024-03-30
stockwatch,YGT,Gold Terra Resource Corp.,2025-12-17,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,"Gold Terra looks back at 2025, ahead to 2026",https://www.stockwatch.com/News/Item/Z-C!YGT-3766680/C/YGT,3766680,https://www.stockwatch.com/News/Sedardoc/6087413.pdf,,0,0,no,,"2025-12-17 16:18 ET - News Release
Mr. Gerald Panneton reports
GOLD TERRA PROVIDES A SUMMARY OF 2025 ACHIEVEMENTS AND 2026 PLAN
Gold Terra Resource Corp. has outlined the company's key achievements from the past year as it looks ahead to numerous catalysts in 2026. Over the past 12 months, Gold Terra has delivered a series of strategic advancements across exploration, financing and key strategic investor support. These strategic steps include the confirmation of the Campbell shear gold potential at depth on the Con mine option property, the identification of new 2026 drilling targets with the potential to increase the company's current mineral resource estimates, and solid financing support from new and continuing shareholders.
Chairman and chief executive officer Gerald Panneton commented: ""Gold Terra has had a very good transitional year with both technical and corporate achievements that bring value to our shareholders. We cannot ignore the 2025 gold market performance of the last few months to support our exploration effort in Yellowknife. We are also very confident that 2026 will bring more successes as we intend to have more than 15,000 metres of drilling planned in the first half of 2026 that is fully funded. We thank all our shareholders for their continued support, our employees and most importantly all our community stakeholders for their continued support.
Significant highlights of 2025:
Confirmation of the Campbell shear at depth, below the existing underground workings, adding significant potential to add ounces;
OR Royalties elected to early exercise its first option on the 2015 royalty agreement for a cash consideration of $2-million, confirming support for the Yellowknife region;
$7-million successful financing in November (read the Nov. 28, 2025, news release) with three major and strategic investors, Eric Sprott, David Harquail and Mckenzie Funds;
Receipt of two government mineral incentive grants of $257,560 for winter 2026 drilling.
2026 leadership vision
As the market environment for gold strengthens, Gold Terra is executing its vision to re-establish the Yellowknife as a premier gold mining district in Canada.
""This last year has been pivotal for Gold Terra as we are entering a new phase and a clear path forward to create value for our shareholders and a solid future for the community of Yellowknife,"" said Mr. Panneton. ""We look forward to providing regular updates to our shareholders and investors as major developments unfold in our 2026 exploration and drilling program.""
The technical information contained in this news release has been reviewed and approved by Joseph Campbell, a qualified person as defined in National Instrument 43-101 (Standards of Disclosure for Mineral Projects), senior technical adviser for the company.
About Gold Terra Resource Corp.
The Yellowknife project encompasses 836 square kilometres of contiguous land immediately north, south and east of the city of Yellowknife in the Northwest Territories. Through a series of acquisitions, Gold Terra controls one of the six major high-grade gold camps in Canada. Being within 10 kilometres of the city of Yellowknife, the YP is close to vital infrastructure, including all-season roads, air transportation, service providers, hydroelectric power and skilled tradespeople. Gold Terra is currently focusing its drilling on the Campbell shear, where approximately 14 million ounces of gold has been produced (refer to Gold Terra's Oct. 21, 2022, technical report) and most recently on the CMO property claims immediately south of the past-producing Con mine, which produced 6.1 million ounces between the Con, Rycon and Campbell shear structures (1938 to 2003).
The YP and CMO properties lie on the Yellowknife greenstone belt, covering nearly 70 kilometres of strike length along the main mineralized shear system that hosts the former-producing high-grade Con and Giant gold mines. The company's exploration programs have identified significant zones of gold mineralization and multiple targets that remain to be tested, which reinforces the company's objective of re-establishing Yellowknife as one of the premier gold mining districts in Canada.
We seek Safe Harbor.
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\YGT\news_html\2025-12-17.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/YGT/news_html/2025-12-17.html,,NONE,2025 achievements and 2026 exploration plans,,,2023-12-31,2024-03-30
stockwatch,YGT,Gold Terra Resource Corp.,2025-11-28,NEWS_RELEASE_EN,gold and precious metals,NewsRelease,Gold Terra investor Sprott acquires 20 million shares,https://www.stockwatch.com/News/Item/Z-C!YGT-3760225/C/YGT,3760225,https://www.stockwatch.com/News/Sedardoc/6073380.pdf,,0,0,no,,"2025-11-28 18:56 ET - News Release
Mr. Eric Sprott, a shareholder, reports
ERIC SPROTT ANNOUNCES CHANGES TO HIS HOLDINGS OF GOLD TERRA RESOURCE CORP.
2176423 Ontario Ltd., a corporation beneficially owned by  Eric Sprott, acquired 20 million common shares of Gold Terra Resource Corp. today at 10 cents per share for total consideration of $2-million. A total of five million shares were purchased through a private placement, and 15 million shares were purchased by way of a share purchase agreement concurrent with such private placement.
Prior to the acquisition, Mr. Sprott beneficially owned and controlled 30 million shares, representing approximately 7.3 per cent of the outstanding shares. Mr. Sprott now beneficially owns and controls 50 million shares, representing approximately 10.7 per cent of the outstanding shares, being an increase in holdings to above 10 per cent and, therefore, the filing of an early warning report was required.
The securities are held for investment purposes. Mr. Sprott has a long-term view of the investment and may acquire additional securities including on the open market or through private acquisitions or sell the securities including on the open market or through private dispositions in the future depending on market conditions, reformulation of plans and/or other relevant factors.
A copy of the early warning report with respect to the foregoing will appear on Gold Terra Resource's profile on SEDAR+ and may also be obtained by calling Mr. Sprott's office at 416-945-3294 (2176423 Ontario, 7 King St. East, Suite 1106, Toronto, Ont., M5C 3C5).
© 2026 Canjex Publishing Ltd. All rights reserved.",C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\YGT\news_html\2025-11-28.html,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/YGT/news_html/2025-11-28.html,,NONE,Eric Sprott acquires 20 million shares,,,2023-12-31,2024-03-30
stockwatch,YGT,Gold Terra Resource Corp.,2025-11-28,REPORT_OF_EXEMPT_DISTRIBUTION_NI_45106,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6072628.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,YGT,Gold Terra Resource Corp.,2025-11-24,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CEO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6064832.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,YGT,Gold Terra Resource Corp.,2025-11-24,52109FV2_CERTIFICATION_OF_INTERIM_FILINGS_CFO_EN,gold and precious metals,Other,,,,https://www.stockwatch.com/News/Sedardoc/6064833.pdf,,0,0,no,,,,,,,,,,2023-12-31,2024-03-30
stockwatch,YGT,Gold Terra Resource Corp.,2025-11-24,INTERIM_MDA_EN,gold and precious metals,MD&A,,,,https://www.stockwatch.com/News/Sedardoc/6064824.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\YGT\pdfs\MD&A\2025-11-24_YGT_MD&A_INTERIM_MDA_EN.pdf,15,1186,yes,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/YGT/2025-11-24_YGT_MD&A_INTERIM_MDA_EN.pdf,,,,,,,,,2023-12-31,2024-03-30
