symbol,company_name,exchange
SXGC,Southern Cross Gold Consolidated Ltd.,TSX
CSC,Capstone Copper Corp.,TSX
FM,First Quantum Ltd.,TSX
TECK.B,Teck Resources Limited,TSX
ERO,Ero Copper Corp,TSX
HBM,Hudbay Minerals Inc.,TSX
III,Imperial Metals Corp,TSX
IVN,Ivanhoe Mines Ltd,TSX
LUN,Lundin Mining Corporation,TSX
TKO,Taseko Mines Ltd.,TSX
ALDE,Aldebaran Resources Inc.,TSXV
ASCU,Arizona Sonoran Copper Company,TSX
ATCU,Alta Copper Corp.,TSX
ATX,ATEX Resources Inc.,TSXV
CUU,Copper Fox Metals Inc,TSXV
ORE,Orezone Gold Corporation,TSX
FDY,Faraday Copper Corp.,TSX
FOM,Foran Mining Corporation,TSX
HI,Highland Copper Company,TSX
KC,Kutcho Copper Corp.,TSX
LA,Los Andes Copper Ltd.,TSX
MUX,McEwen Mining Inc.,TSX
NCX,Northisle Copper and Gold Inc,TSX
NDM,Northern Dynasty Minerals Ltd.,TSX
PML,Panoro Minerals Ltd,TSX
SEA,Seabridge Gold Inc,TSX
SLS,Solaris Resources Inc,TSX
ABX,Barrick Mining Corporation,TSX
AEM,Agnico Eagle Mines Limited,TSX
ARIS,Aris Mining Corporation,TSX
AGI,Alamos Gold Inc.,TSX
ASE,Asante Gold Corporation,TSX
BTO,B2Gold Corporation,TSX
CG,Centerra Gold Incorporated,TSX
CGG,China Gold International Resources Corporation,TSX
ELD,Eldorado Mining plc,TSX
EQX,Equinox Gold Corp.,TSX
GAU,Galiano Gold Inc.,TSX
GGD,GoGold Resources Inc.,TSX
ITR,Integra Resources Corp,TSX
JAG,Jaguar Mining Inc.,TSX
K,Kinross Gold Corporation,TSX
LUG,Lundin Gold Inc.,TSX
MAI,Minera Alamos Inc.,TSXV
MKO,Mako Mining Corp,TSXV
OGC,OceanaGold Corporation,TSX
OLA,Orla Mining Ltd,TSX
PASS,Pan American Silver Corporation,TSX
TXG,Torex Gold Resources Inc.,TSX
WDO,Wesdome Gold Mines Ltd.,TSX
KNT,K92 Mining Inc.,TSX
LGD,Liberty Gold Corp,TSX
LN,Loncor Gold Incorporated,TSX
MAW,Mawson Finland Ltd.,TSXV
RBX,Robex Resources Inc.,TSXV
VZLA,Vizsla Resources Corp.,TSX
USA,Americas Gold and Silver Corporation,TSX
PAAS,Pan American Silver Corp.,TSX
AG,First Majestic Silver Corp.,TSX
GMIN,G Mining Ventures Corp.,TSX
ARTG,Artemis Gold Inc.,TSXV
SSRM,SSR Mining Inc.,TSX
DSV,Discovery Silver Corp.,TSX
AAUC,Allied Gold Corporation,TSX
FVI,Fortuna Mining Corp.,TSX
SVM,Silvercorp Metals Inc.,TSX
IAU,i-80 Gold Corp.,TSX
ODV,Osisko Development Corp.,TSXV
THX,Thor Explorations Ltd.,TSXV
AMRQ,Amaroq Ltd.,TSXV
TRX,TRX Gold Corporation,TSX
HSTR,Heliostar Metals Ltd.,TSXV
WRLG,West Red Lake Gold Mines Ltd.,TSXV
ERD,Erdene Resource Development Corporation,TSX
LUCA,Luca Mining Corp.,TSXV
GGA,Goldgroup Mining Inc.,TSXV
CAMB,Cambria Gold Mines Inc.,TSXV
MMY,Monument Mining Limited,TSXV
STGO,Steppe Gold Ltd.,TSX
ORV,Orvana Minerals Corp.,TSX
SOMA,Soma Gold Corp.,TSXV
GG,Golconda Gold Ltd.,TSXV
MJS,Majestic Gold Corp.,TSXV
LIO,Lion One Metals Limited,TSXV
HAR,Harfang Exploration Inc.,TSXV
NG,NovaGold Resources Inc.,TSX
SKE,Skeena Resources Limited,TSX
PPTA,Perpetua Resources Corp.,TSX
AYA,Aya Gold & Silver Inc.,TSX
